ENTRY            L0140   20111210                             L017L014000000001 
SUBENT        L0140001   20111210                             L017L014000100001 
BIB                 12         40                                 L014000100002 
TITLE      Dipole strength in 89Y up to the neutron-separation    L014000100003 
           energy                                                 L014000100004 
AUTHOR     (N.Benouaret,R.Schwengner,G.Rusev,F.Donau,R.Beyer,     L014000100005 
           M.Erhard, E.Grosse,A.R.Junghans,K.Kosev,C.Nair,        L014000100006 
           K.D.Schilling,A.Wagner,N.Bendjaballah)                 L014000100007 
INSTITUTE  (2GERZFK,2GERDRE)                                      L014000100008 
           (3ALGALG)Universite des Sciences et de la              L014000100009 
           Technologie d'Alger,Algeria                            L014000100010 
REFERENCE  (J,PR/C,79,014303,2009)                                L014000100011 
FACILITY   (LINAC,2GERZFK) Superconducting electron accelerator   L014000100012 
           ELBE of the research center Dresden-Rossendorf         L014000100013 
SAMPLE     The target consisted of 3303.2 mg of natural yttrium   L014000100014 
           powder formed into a disk of about 20 mm in            L014000100015 
           diameter, enabling a uniform photon flux within the    L014000100016 
           beam spot diameter of 38 mm at the target position.    L014000100017 
DETECTOR   (HPGE)Scattered photons were measured with four high-  L014000100018 
           purity germanium (HPGe) detectors of about 100%        L014000100019 
           efficiency relative to a 3 x 3 in. NaI detector.       L014000100020 
           Two HPGe detectors were placed at theta = 90 deg       L014000100021 
           with respect to the incident photon beam at a          L014000100022 
           distance of 28 cm to the target while the other two    L014000100023 
           were positioned at theta= 127 deg at a distance of     L014000100024 
           32 cm to the target, corresponding to opening angles   L014000100025 
           of 16 and 14 deg, respectively. Each HPGe              L014000100026 
           detector was surrounded by an escape-suppression       L014000100027 
           shield made of bismuthe-germanate (BGO)                L014000100028 
           scintillation detectors.                               L014000100029 
METHOD     (GSPEC)                                                L014000100030 
MONITOR    (5-B-11(G,INL)5-B-11,,SIG,,BRS) The target was combinedL014000100031 
           with 339.5 mg of 11B enriched to 99.52%, also formed   L014000100032 
           into a disk of 20 mm in diameter and used for the      L014000100033 
           determination of the photon flux.                      L014000100034 
INC-SOURCE (BRST) Bremsstrahlung was produced by irradiating      L014000100035 
           niobium foils of 4 mum or 7 mum thickness with         L014000100036 
           electron beams with energies of 9.5 and 13.2MeV and    L014000100037 
           average currents of 520 and 600 muA                    L014000100038 
ERR-ANALYS (DATA-ERR) No information given                        L014000100039 
HISTORY    (20090113C) Compiled by S.H.                           L014000100040 
           (20110727U) OS. Text corr. under FACILITY              L014000100041 
           (20111210A) OS. REACTION in sub.2 corrected            L014000100042 
ENDBIB              40          0                                 L014000100043 
NOCOMMON             0          0                                 L014000100044 
ENDSUBENT           43          0                                 L014000199999 
SUBENT        L0140002   20111210                             L017L014000200001 
BIB                  3          5                                 L014000200002 
REACTION  1(39-Y-89(G,0),,EN)                                     L014000200003 
          2(39-Y-89(G,EL),,ARE)                                   L014000200004 
          3(39-Y-89(G,EL),,WID/STR)                               L014000200005 
STATUS     (TABLE) Data taken from tab. 1 of the reference        L014000200006 
HISTORY    (20111210A) OS. REACTION SF1 corrected                 L014000200007 
ENDBIB               5          0                                 L014000200008 
NOCOMMON             0          0                                 L014000200009 
DATA                 6        251                                 L014000200010 
DATA      1DATA-ERR  1DATA      2DATA-ERR  2DATA      3DATA-ERR  3L014000200011 
KEV        KEV        B*EV       B*EV       MILLI-EV   MILLI-EV   L014000200012 
 1508.0      0.2       134.0        14.0        79.0       8.0    L014000200013 
 2881.7      0.2        67.0         7.0       145.0      15.0    L014000200014 
 3067.7      0.2        43.0         5.0       105.0      12.0    L014000200015 
 3107.7      0.2        21.0         3.0        53.0       7.0    L014000200016 
 3139.5      0.3        20.0         3.0        51.0       8.0    L014000200017 
 3516.6      0.2        19.0         2.0        61.0       8.0    L014000200018 
 3992.4      0.2        35.0         4.0       145.0      16.0    L014000200019 
 4171.7      0.3        23.0         3.0       104.0      13.0    L014000200020 
 4617.8      1.5         7.0         2.0        39.0      12.0    L014000200021 
 4625.8      0.5         2.0         1.0        11.0       6.0    L014000200022 
 4993.5      1.5         6.0         2.0        39.0      13.0    L014000200023 
 5085.4      0.6         8.0         2.0        54.0      13.0    L014000200024 
 5167.7      0.3        30.0         4.0       208.0      28.0    L014000200025 
 5419.4      0.5        17.0         3.0       130.0      23.0    L014000200026 
 5614.4      1.5         6.0         2.0        49.0      16.0    L014000200027 
 5625.8      0.2        63.0         7.0       519.0      58.0    L014000200028 
 5653.9      1.5         6.0         3.0        50.0      25.0    L014000200029 
 5789.4      0.8        10.0         2.0        87.0      17.0    L014000200030 
 5796.4      0.8        11.0         2.0        96.0      17.0    L014000200031 
 5910.7      0.2        74.0         8.0       673.0      73.0    L014000200032 
 5923.4      0.9         8.0         2.0        73.0      18.0    L014000200033 
 6122.9      0.2        79.0         9.0       771.0      50.0    L014000200034 
 6206.3      0.3        35.0         5.0       350.0      50.0    L014000200035 
 6275.6      0.2       409.0        43.0      4191.0     441.0    L014000200036 
 6297.6      0.3        70.0         8.0       722.0      83.0    L014000200037 
 6331.6      0.3        53.0         6.0       552.0      63.0    L014000200038 
 6359.1      0.2        60.0         7.0       631.0      74.0    L014000200039 
 6398.2      0.2        95.0        10.0      1012.0     107.0    L014000200040 
 6441.5      0.2        96.0        10.0      1036.0     108.0    L014000200041 
 6472.3      1.8        12.0         4.0       131.0      44.0    L014000200042 
 6479.0      0.3         7.0         3.0        76.0      33.0    L014000200043 
 6493.5      0.8        18.0         4.0       197.0      44.0    L014000200044 
 6532.3      0.3        69.0         8.0       766.0      89.0    L014000200045 
 6592.2      0.3        37.0         5.0       418.0      57.0    L014000200046 
 6608.9      0.5        17.0         3.0       193.0      34.0    L014000200047 
 6651.6      0.8        12.0         3.0       138.0      35.0    L014000200048 
 6666.8      0.8        12.0         3.0       139.0      35.0    L014000200049 
 6728.0      0.2         5.0         2.0        59.0      24.0    L014000200050 
 6751.1      1.2         8.0         2.0        95.0      24.0    L014000200051 
 6772.0      0.1         9.0         2.0       107.0      24.0    L014000200052 
 6782.9      0.6        21.0         3.0       251.0      36.0    L014000200053 
 6798.2      0.5        35.0         5.0       421.0      60.0    L014000200054 
 6852.4      0.8        17.0         3.0       208.0      37.0    L014000200055 
 6866.0      0.2         5.0         2.0        61.0      25.0    L014000200056 
 6921.0      0.2         4.0         2.0        50.0      25.0    L014000200057 
 6934.7      1.1        11.0         2.0       138.0      25.0    L014000200058 
 6944.5      1.2        10.0         2.0       125.0      25.0    L014000200059 
 6959.6      1.4         8.0         2.0       101.0      25.0    L014000200060 
 6987.4      1.5         7.0         2.0        89.0      25.0    L014000200061 
 7003.8      0.3        57.0         6.0       728.0      77.0    L014000200062 
 7066.8      1.5        10.0         2.0       130.0      26.0    L014000200063 
 7077.7      0.3        65.0         8.0       847.0     104.0    L014000200064 
 7106.0      0.3         5.0         2.0        66.0      26.0    L014000200065 
 7118.2      0.6        23.0         3.0       303.0      40.0    L014000200066 
 7147.1      0.6        25.0         4.0       332.0      53.0    L014000200067 
 7178.6      0.3        59.0         7.0       791.0      94.0    L014000200068 
 7198.0      0.2         6.0         2.0        81.0      27.0    L014000200069 
