ENTRY            F1522   20250113                             F100F1522000    1 
SUBENT        F1522001   20250113                             F100F1522001    1 
BIB                 11         28                                 F1522001    2 
TITLE      Optical model analysis of deuteron elastic scattering  F1522001    3 
           on O-16 nuclei with allowance for the contribution     F1522001    4 
           from resonance                                         F1522001    5 
AUTHOR     (L.N.Generalov,V.A.Zherebtsov,A.V.Morozova,            F1522001    6 
           S.M.Selyankina,S.M.Taova)                              F1522001    7 
INSTITUTE  (4RUSEPA)                                              F1522001    8 
REFERENCE  (J,BAS,88,1825,2024) English translation               F1522001    9 
           #doi:10.1134/S1062873824708328                         F1522001   10 
           (J,IZV,88,133,2024) Russian original                   F1522001   11 
REL-REF    (M,,S.N.Abramovich+,J,BAS,57,165,1993)                 F1522001   12 
           English translation. Experiment description is given.  F1522001   13 
           (M,,S.N.Abramovich+,J,IZV,57,179,1993) Russian         F1522001   14 
           original                                               F1522001   15 
           (M,F0524001,S.N.Abramovich+,J,BAS,64,352,2000)         F1522001   16 
           English translation. Experiment description is given.  F1522001   17 
           (M,F0524001,S.N.Abramovich+,J,IZV,64,440,2000)         F1522001   18 
           Russian original                                       F1522001   19 
FACILITY   (VDGT,4RUSEPA) EGP-10 tandem accelerator               F1522001   20 
SAMPLE     Al(2)O(3) target with 39.5+-0.4 mu-g/cm2 thickness     F1522001   21 
           positioned at an angle of 45 degrees relative to the   F1522001   22 
           direction of the deuteron beam was used.               F1522001   23 
ERR-ANALYS (ERR-S) Statistical error                              F1522001   24 
           (ERR-SYS) Systematic error                             F1522001   25 
ADD-RES    Total 16O + d reaction cross section was obtained.     F1522001   26 
           Energy dependences of the optical-model parameters     F1522001   27 
           were defined.                                          F1522001   28 
STATUS     (APRVD) Entry was approved by Dr. L.N.Generalov.       F1522001   29 
HISTORY    (20250113C)                                            F1522001   30 
ENDBIB              28          0                                 F1522001   31 
COMMON               1          3                                 F1522001   32 
ERR-SYS                                                           F1522001   33 
PER-CENT                                                          F1522001   34 
         7.                                                       F1522001   35 
ENDCOMMON            3          0                                 F1522001   36 
ENDSUBENT           35          0                                 F152200199999 
SUBENT        F1522002   20250113                             F100F1522002    1 
BIB                  2          3                                 F1522002    2 
REACTION   (8-O-16(D,EL)8-O-16,,DA)                               F1522002    3 
STATUS     (TABLE,,L.N.Generalov+,J,BAS,88,1825,2024) Data were   F1522002    4 
           presented by authors. The same on fig. 9.              F1522002    5 
ENDBIB               3          0                                 F1522002    6 
NOCOMMON             0          0                                 F1522002    7 
DATA                 4        190                                 F1522002    8 
EN         ANG-CM     DATA-CM    ERR-S                            F1522002    9 
MEV        ADEG       MB/SR      MB/SR                            F1522002   10 
         3.    11.2438127792.0623 10223.2635                      F1522002   11 
         3.    16.8540 25699.5173  2055.9816                      F1522002   12 
         3.    22.4503  7740.6762   619.2281                      F1522002   13 
         3.    33.5833  1636.9267   130.9474                      F1522002   14 
         3.    39.1115   930.5854    74.4468                      F1522002   15 
         3.    44.6086   563.0379    45.0430                      F1522002   16 
         3.    55.4948   241.1666    19.2933                      F1522002   17 
         3.    60.8770   135.8369    10.8671                      F1522002   18 
         3.    66.2146   101.7111     8.1369                      F1522002   19 
         3.    76.7456    52.7032     4.2163                      F1522002   20 
         3.    81.9348    37.3609     2.9891                      F1522002   21 
         3.    87.0711    28.5418     2.2833                      F1522002   22 
         3.    97.1808    16.2177     1.2974                      F1522002   23 
         3.   102.1533    14.1157     1.1291                      F1522002   24 
         3.   107.0711    15.6882     1.2549                      F1522002   25 
         3.   111.9348    14.1171     1.1294                      F1522002   26 
         3.   116.7456    14.4451     1.1556                      F1522002   27 
         3.   121.5049    15.4523     1.2362                      F1522002   28 
         3.   126.2146    18.8430     1.5074                      F1522002   29 
         3.   135.4948    18.7860     1.5029                      F1522002   30 
         3.   144.6086    17.0172     1.3614                      F1522002   31 
         3.   149.1115    20.3814     1.6304                      F1522002   32 
         3.   166.8540    20.0297     1.6024                      F1522002   33 
         4.    11.2438 61954.3563  4336.4839                      F1522002   34 
         4.    16.8540 14666.9616  1026.7087                      F1522002   35 
         4.    22.4503  4804.6713   336.3270                      F1522002   36 
         4.    33.5833   930.2332    65.1205                      F1522002   37 
         4.    39.1115   412.6024    28.8842                      F1522002   38 
         4.    44.6086   237.5316    16.6272                      F1522002   39 
         4.    55.4948   111.7737     7.8247                      F1522002   40 
         4.    66.2146    67.9168     4.7542                      F1522002   41 
         4.    76.7456    41.1498     2.8805                      F1522002   42 
         4.    81.9348    31.9246     2.2347                      F1522002   43 
         4.    87.0711    25.9628     1.8174                      F1522002   44 
         4.    97.1808    17.2582     1.2080                      F1522002   45 
         4.   102.1533    14.3491     1.0044                      F1522002   46 
         4.   107.0711    11.6209     0.8135                      F1522002   47 
         4.   111.9348    10.3789     0.7265                      F1522002   48 
         4.   116.7456    10.0185     0.7013                      F1522002   49 
         4.   121.5049    14.4771     1.0134                      F1522002   50 
         4.   126.2146    17.3446     1.2141                      F1522002   51 
         4.   135.4948    18.8059     1.3164                      F1522002   52 
         4.   144.6086    17.9478     4.4471                      F1522002   53 
         4.   149.1115    17.8127     4.2918                      F1522002   54 
         4.   166.8540    25.5019     6.5684                      F1522002   55 
         5.    11.2438 30841.1761  2158.9097                      F1522002   56 
         5.    16.8540  8075.5859   565.2810                      F1522002   57 
         5.    22.4503  2445.8760   171.2037                      F1522002   58 
         5.    33.5833   534.4245    37.4086                      F1522002   59 
         5.    39.1115   273.8746    19.1727                      F1522002   60 
         5.    44.6086   138.5573     9.6989                      F1522002   61 
         5.    55.4948    92.7792     6.4945                      F1522002   62 
         5.    60.8770    76.2832     5.3396                      F1522002   63 
         5.    66.2146    56.7388     3.9715                      F1522002   64 
         5.    76.7456    31.5657     2.2097                      F1522002   65 
         5.    81.9348    26.5874     1.8611                      F1522002   66 
         5.    87.0711    17.1617     1.2012                      F1522002   67 
         5.    97.1808     8.5258     0.5968                      F1522002   68 
         5.   102.1533     7.5789     0.5306                      F1522002   69 
         5.   107.0711     7.8731     0.5511                      F1522002   70 
         5.   111.9348     8.3982     0.5878                      F1522002   71 
         5.   116.7456    10.5650     0.7396                      F1522002   72 
         5.   121.5049    13.4270     0.9399                      F1522002   73 
         5.   126.2146    15.9468     1.1163                      F1522002   74 
         5.   130.8770    15.3640     1.0755                      F1522002   75 
         5.   135.4948    14.6149     1.0230                      F1522002   76 
         5.   144.6086    13.5286     0.9470                      F1522002   77 
         5.   149.1115    15.5653     1.0896                      F1522002   78 
         5.   153.5833    13.6408     0.9549                      F1522002   79 
         5.   166.8540    18.1347     1.2694                      F1522002   80 
         6.    11.2438 19257.0896   962.7118                      F1522002   81 
         6.    16.8540  5435.8909   271.8135                      F1522002   82 
         6.    22.4503  1597.2456    79.8643                      F1522002   83 
         6.    33.5833   360.5582    18.0287                      F1522002   84 
         6.    39.1115   185.9705     9.2989                      F1522002   85 
         6.    44.6086    76.7181     3.8357                      F1522002   86 
         6.    55.4948    71.5935     3.5796                      F1522002   87 
         6.    66.2146    52.6621     2.6330                      F1522002   88 
         6.    76.7456    33.4054     1.6702                      F1522002   89 
         6.    81.9348    18.7793     0.9390                      F1522002   90 
         6.    87.0711    15.2438     0.7622                      F1522002   91 
         6.    97.1808     5.0691     0.2535                      F1522002   92 
         6.   102.1533     5.0210     0.2510                      F1522002   93 
         6.   107.0711     4.9486     0.2474                      F1522002   94 
         6.   111.9348     7.6672     0.3834                      F1522002   95 
         6.   116.7456     9.1077     0.4554                      F1522002   96 
         6.   121.5049    10.6516     0.5326                      F1522002   97 
         6.   126.2146    11.9835     0.5991                      F1522002   98 
         6.   130.8770    12.2912     0.6146                      F1522002   99 
         6.   144.6086    10.6089     0.5127                      F1522002  100 
         6.   149.1115    14.8174     0.7747                      F1522002  101 
         6.   153.5833    12.7575     0.6054                      F1522002  102 
         7.    11.2438 14673.8803  1027.1670                      F1522002  103 
         7.    16.8540  3698.1899   258.8700                      F1522002  104 
         7.    22.4503  1304.0018    91.2785                      F1522002  105 
         7.    33.5833   311.6816    21.8183                      F1522002  106 
