ENTRY            F0129   20200509                             F077F0129  0    1 
SUBENT        F0129001   20200509                             F077F0129  1    1 
BIB                 10         20                                 F0129  1    2 
TITLE      Angular distribution and polarization of neutrons from F0129  1    3 
           Be-9(p,n0)B-9 and B-11(p,n0)C-11 reactions             F0129  1    4 
AUTHOR     (B.D.Walker,C.Wong,J.D.Anderson,J.W.McClure)           F0129  1    5 
INSTITUTE  (1USALRL)                                              F0129  1    6 
REFERENCE  (J,PR,137,B1504,1965)                                  F0129  1    7 
REL-REF    (I,T0015001,C.Wong+,J,PR,123,598,1961) - The method    F0129  1    8 
           and apparatus, including the time-of-flight            F0129  1    9 
           electronics, employed to measure the angular           F0129  1   10 
           distributions are described                            F0129  1   11 
FACILITY   (CYCLO,1USALRL) Variable energy cyclotron              F0129  1   12 
DETECTOR   (SCIN) Plastic and stilbene scintillators.             F0129  1   13 
METHOD     (TOF)                                                  F0129  1   14 
ERR-ANALYS (ERR-SYS) Absolute error in dif.cross section          F0129  1   15 
HISTORY    (19800919C)                                            F0129  1   16 
           (19991203U) corrected 4-dig. year and lower cases.     F0129  1   17 
           (20081013A) NDS: reference on Phys.Rev. corrected.     F0129  1   18 
                       PR/B,137,1504,1965 ==> PR,137,B1504,1965   F0129  1   19 
           (20200509A) SD: Corrections in all Subents. BIB updatedF0129  1   20 
           DATA-ERR1 -> ERR-SYS; DATA-ERR2 -> DATA-ERR. Subents   F0129  1   21 
           006, 007 added. SAMPLE moved to Subents 002-007.       F0129  1   22 
ENDBIB              20          0                                 F0129  1   23 
COMMON               2          3                                 F0129  1   24 
E-LVL      ERR-SYS                                                F0129  1   25 
MEV        PER-CENT                                               F0129  1   26 
 0.0         10.0                                                 F0129  1   27 
ENDCOMMON            3          0                                 F0129  1   28 
ENDSUBENT           27          0                                 F0129  199999 
SUBENT        F0129002   20200509                             F077F0129  2    1 
BIB                  5         14                                 F0129  2    2 
REACTION   (4-BE-9(P,N)5-B-9,PAR,DA)                              F0129  2    3 
SAMPLE     Beryllium target was prepared by evaporating the       F0129  2    4 
           element on a 0.020-in. tantalum backing. Target was    F0129  2    5 
           approximately 100-keV thick to a 8 MeV protons.        F0129  2    6 
ERR-ANALYS (DATA-ERR) Error from graphic bars (relative).         F0129  2    7 
           Relative errors are compounded from counting statisticsF0129  2    8 
           and from the reproducibility of the zero-degree cross  F0129  2    9 
           section measured before and after an angular           F0129  2   10 
           distribution measurement.                              F0129  2   11 
           Generally, relative errors were < 5%.                  F0129  2   12 
STATUS     (CURVE) Fig.2 from Phys.Rev.,137(1965)B1504            F0129  2   13 
HISTORY    (20200509A) SD: SF9=EXP deleted from REACTION code.    F0129  2   14 
           COS-ERR->COS-ERR-D; DATA-ERR3->ERR-DIG. STATUS updated.F0129  2   15 
           DATA-ERR2 -> DATA-ERR.                                 F0129  2   16 
ENDBIB              14          0                                 F0129  2   17 
COMMON               2          3                                 F0129  2   18 
COS-ERR-D  ERR-DIG                                                F0129  2   19 
NO-DIM     PER-CENT                                               F0129  2   20 
 0.010      1.0                                                   F0129  2   21 
ENDCOMMON            3          0                                 F0129  2   22 
DATA                 4        105                                 F0129  2   23 
EN         COS-CM     DATA-CM    DATA-ERR                         F0129  2   24 
MEV        NO-DIM     MB/SR      MB/SR                            F0129  2   25 
        3.5      0.990   5.32E+00   9.53E-02                      F0129  2   26 
        3.5      0.904   4.74E+00   8.49E-02                      F0129  2   27 
        3.5      0.816   4.91E+00   8.78E-02                      F0129  2   28 
        3.5      0.704   4.88E+00   8.75E-02                      F0129  2   29 
        3.5      0.529   5.84E+00   1.05E-01                      F0129  2   30 
        3.5      0.367   6.03E+00   1.08E-01                      F0129  2   31 
        3.5      0.180   6.44E+00   1.15E-01                      F0129  2   32 
        3.5      0.006   6.17E+00   1.11E-01                      F0129  2   33 
        3.5     -0.169   8.88E+00   1.59E-01                      F0129  2   34 
        3.5     -0.331   8.83E+00   1.58E-01                      F0129  2   35 
        3.5     -0.480   8.46E+00   1.51E-01                      F0129  2   36 
        3.5     -0.717   8.08E+00   1.45E-01                      F0129  2   37 
        3.5     -0.828   7.47E+00   1.34E-01                      F0129  2   38 
        3.5     -0.902   6.66E+00   1.19E-01                      F0129  2   39 
        4.8      1.000   1.98E+01   2.91E-01                      F0129  2   40 
        4.8      0.927   1.56E+01   2.29E-01                      F0129  2   41 
        4.8      0.828   1.26E+01   1.85E-01                      F0129  2   42 
        4.8      0.705   8.64E+00   1.27E-01                      F0129  2   43 
        4.8      0.558   5.32E+00   7.81E-02                      F0129  2   44 
        4.8      0.398   3.28E+00   4.81E-02                      F0129  2   45 
        4.8      0.225   3.04E+00   4.47E-02                      F0129  2   46 
        4.8      0.025   3.59E+00   5.27E-02                      F0129  2   47 
        4.8     -0.128   7.85E+00   1.15E-01                      F0129  2   48 
        4.8     -0.303   9.92E+00   1.46E-01                      F0129  2   49 
        4.8     -0.453   1.21E+01   1.78E-01                      F0129  2   50 
        4.8     -0.591   1.34E+01   1.96E-01                      F0129  2   51 
        4.8     -0.703   1.43E+01   2.09E-01                      F0129  2   52 
        4.8     -0.828   1.42E+01   2.09E-01                      F0129  2   53 
        4.8     -0.889   1.28E+01   1.88E-01                      F0129  2   54 
        5.1      1.009   1.29E+01   1.68E-01                      F0129  2   55 
        5.1      0.909   1.39E+01   1.81E-01                      F0129  2   56 
        5.1      0.810   1.33E+01   1.74E-01                      F0129  2   57 
        5.1      0.699   1.15E+01   1.49E-01                      F0129  2   58 
        5.1      0.575   9.52E+00   1.24E-01                      F0129  2   59 
        5.1      0.401   8.18E+00   1.06E-01                      F0129  2   60 
        5.1      0.216   5.24E+00   6.82E-02                      F0129  2   61 
        5.1      0.017    5.6E+00   7.29E-02                      F0129  2   62 
        5.1     -0.121   6.22E+00   8.11E-02                      F0129  2   63 
        5.1     -0.296   9.61E+00   1.25E-01                      F0129  2   64 
        5.1     -0.447   1.28E+01   1.67E-01                      F0129  2   65 
        5.1     -0.584   1.48E+01   1.93E-01                      F0129  2   66 
        5.1     -0.697   1.64E+01   2.14E-01                      F0129  2   67 
        5.1     -0.808   1.58E+01   2.06E-01                      F0129  2   68 
        5.1     -0.883   1.58E+01   2.05E-01                      F0129  2   69 
        7.1      0.998    7.6E+00   1.13E-01                      F0129  2   70 
