ENTRY            F0696   20130320                             F050F069600000001 
SUBENT        F0696001   20130320                             F050F069600100001 
BIB                 10         20                                 F069600100002 
TITLE      Investigation of the reaction 28Si(3He,p)30P.          F069600100003 
AUTHOR     (Y.V.Nikitenko,G.M.Osetinskii,Song Wong Nam,M.A.Farouk)F069600100004 
INSTITUTE  (4ZZZDUB)                                              F069600100005 
REFERENCE  (J,YF,18,954,1973)                                     F069600100006 
           (J,SNP,18,492,1974) English translation                F069600100007 
FACILITY   (VDG,4ZZZDUB)                                          F069600100008 
SAMPLE     Thin self-supporting 28Si target with the thickness    F069600100009 
           of 28 mu-g/cm2.                                        F069600100010 
METHOD     (BCINT)                                                F069600100011 
DETECTOR   (SIBAR) Five surface barrier detectors with lithium    F069600100012 
           drift. One of them was used as a monitor and it was    F069600100013 
           set at 90 degr. The others were mounted on a mobile    F069600100014 
           corbel providing measurements at the angles 0-160 degr.F069600100015 
ERR-ANALYS (ERR-DIG)    Data digitizing error                     F069600100016 
           (DATA-ERR1)  Mean square error                         F069600100017 
           (DATA-ERR2)  Error from the graphic bars               F069600100018 
HISTORY    (20041018C)                                            F069600100019 
           (20130320A)English translation in REFERENCE was added. F069600100020 
           MONITOR record was removed. Data presentation in sub   F069600100021 
           002-005 was changed.                                   F069600100022 
ENDBIB              20          0                                 F069600100023 
NOCOMMON             0          0                                 F069600100024 
ENDSUBENT           23          0                                 F069600199999 
SUBENT        F0696002   20130320                             F050F069600200001 
BIB                  3          3                                 F069600200002 
REACTION   (14-SI-28(HE3,P)15-P-30,PAR,DA)                        F069600200003 
ERR-ANALYS (EN-ERR-DIG) Energy digitizing error                   F069600200004 
STATUS     (CURVE)Fig.2                                           F069600200005 
ENDBIB               3          0                                 F069600200006 
COMMON               3          3                                 F069600200007 
DATA-ERR1  EN-ERR-DIG ERR-DIG                                     F069600200008 
PER-CENT   MEV        MU-B/SR                                     F069600200009 
         9.      0.001       0.13                                 F069600200010 
ENDCOMMON            3          0                                 F069600200011 
DATA                 5        284                                 F069600200012 
E-LVL      ANG        EN         DATA       DATA-ERR2             F069600200013 
MEV        ADEG       MEV        MU-B/SR    MU-B/SR               F069600200014 
         0.        45.     2.9569     6.6243     3.7917           F069600200015 
         0.        45.     2.9718     7.1302     3.5389           F069600200016 
         0.        45.     3.0002     7.8893     3.5389           F069600200017 
         0.        45.     3.0200     7.8897     3.5389           F069600200018 
         0.        45.     3.0497     8.9016     3.2861           F069600200019 
         0.        45.     3.0968     11.178     3.5389           F069600200020 
         0.        45.     3.1451     12.948     3.2861           F069600200021 
         0.        45.     3.1946     13.708     3.2861           F069600200022 
         0.        45.     3.2478     19.270     3.0334           F069600200023 
         0.        45.     3.2998     27.866     3.0334           F069600200024 
         0.        45.     3.3506     21.800     3.2861           F069600200025 
         0.        45.     3.4013     25.846     3.2861           F069600200026 
         0.        45.     3.4471     33.178     3.2861           F069600200027 
         0.        45.     3.4991     44.554     3.7917           F069600200028 
         0.        45.     3.5511     31.664     3.0334           F069600200029 
         0.        45.     3.5969     28.126     4.0445           F069600200030 
         0.        45.     3.6440     27.369     3.0334           F069600200031 
         0.        45.     3.6935     27.875     3.0334           F069600200032 
         0.        45.     3.7442     29.899     3.7917           F069600200033 
         0.        45.     3.7962     32.681     3.0334           F069600200034 
         0.        45.     3.8965     45.069     4.2973           F069600200035 
         0.        45.     3.9485     81.976     3.5389           F069600200036 
         0.        45.     4.0029     96.133     3.7917           F069600200037 
         0.        45.     4.0413     97.145     6.3195           F069600200038 
         0.        45.     4.0958     88.805     3.2861           F069600200039 
         0.        45.     4.1466     91.587     6.5723           F069600200040 
         0.        45.     4.1985     112.06     3.0333           F069600200041 
         0.        45.     4.2468     122.43     7.3306           F069600200042 
         0.        90.     2.9564     2.9702     3.2581           F069600200043 
         0.        90.     3.0033     5.4808     3.2581           F069600200044 
         0.        90.     3.0489     5.2344     3.5088           F069600200045 
         0.        90.     3.0983     5.7402     3.0075           F069600200046 
         0.        90.     3.1464     6.7471     3.2581           F069600200047 
         0.        90.     3.1970     7.5037     3.2581           F069600200048 
         0.        90.     3.2476     9.0121     3.5088           F069600200049 
         0.        90.     3.2982     10.771     3.5088           F069600200050 
         0.        90.     3.3513     12.530     3.0075           F069600200051 
         0.        90.     3.3994     15.793     3.7594           F069600200052 
         0.        90.     3.4463     25.572     3.5088           F069600200053 
         0.        90.     3.4932     35.601     4.0100           F069600200054 
         0.        90.     3.5512     16.058     3.0075           F069600200055 
         0.        90.     3.5932     13.054     5.0125           F069600200056 
         0.        90.     3.6487     16.067     3.5088           F069600200057 
         0.        90.     3.6944     20.331     3.5088           F069600200058 
         0.        90.     3.7475     27.354     3.0075           F069600200059 
         0.        90.     3.7907     27.859     4.2606           F069600200060 
         0.        90.     3.8437     25.107     3.2581           F069600200061 
         0.        90.     3.8881     37.893     3.5088           F069600200062 
