ENTRY            F1303   20170203                             F064F1303  0    1 
SUBENT        F1303001   20170203                             F064F1303  1    1 
BIB                 11         20                                 F1303  1    2 
TITLE      Inelastic 9Be+a scattering at 90 MeV: Whether the      F1303  1    3 
           concept of the Be-9 structure should be changed?       F1303  1    4 
AUTHOR     (A.S.Demyanova,A.A.Ogloblin,A.N.Danilov,S.V.Dmitriev,  F1303  1    5 
           V.I.Starostin,S.A.Goncharov,T.L.Belyaeva,V.Trzaska)    F1303  1    6 
INSTITUTE  (4RUSKUR,4RUSMOS,3MEXIFM,2SF JYV)                      F1303  1    7 
REFERENCE  (J,ZEP,104,(5),299,2016)                               F1303  1    8 
           #doi:10.7868/S0370274X1617001X                         F1303  1    9 
           (J,JEL,104,289,2016) English translation               F1303  1   10 
           #doi:10.1134/S0021364016170070                         F1303  1   11 
REL-REF    (N,F1302001,A.S.Demyanova+,J,ZEP,102,(7),467,2015)     F1303  1   12 
           Data for 2.43 MeV exited state of Be-9 are given.      F1303  1   13 
           (N,F1302001,A.S.Demyanova+,J,JEL,102,(7),413,2015)     F1303  1   14 
           English translation                                    F1303  1   15 
FACILITY   (CYCLO,2SF JYV)                                        F1303  1   16 
DETECTOR   (TELES) Telescope of delta E-E semiconductor           F1303  1   17 
           detectors was used.                                    F1303  1   18 
METHOD     (EDE)                                                  F1303  1   19 
ERR-ANALYS (ERR-S)    Statistical errors are presented            F1303  1   20 
STATUS     (APRVD)    Entry was approved by authors               F1303  1   21 
HISTORY    (20170203C)                                            F1303  1   22 
ENDBIB              20          0                                 F1303  1   23 
COMMON               1          3                                 F1303  1   24 
EN                                                                F1303  1   25 
MEV                                                               F1303  1   26 
        90.                                                       F1303  1   27 
ENDCOMMON            3          0                                 F1303  1   28 
ENDSUBENT           27          0                                 F1303  199999 
SUBENT        F1303002   20170203                             F064F1303  2    1 
BIB                  3          3                                 F1303  2    2 
REACTION   (4-BE-9(A,INL)4-BE-9,PAR,DA)                           F1303  2    3 
STATUS     (TABLE)  Data for Fig. 4 from ZEP,104,299,2016.        F1303  2    4 
HISTORY    (20170202R) Data were presented by Dr. A.S.Demyanova.  F1303  2    5 
ENDBIB               3          0                                 F1303  2    6 
NOCOMMON             0          0                                 F1303  2    7 
DATA                 4        108                                 F1303  2    8 
E-LVL      ANG-CM     DATA-CM    ERR-S                            F1303  2    9 
MEV        ADEG       MB/SR      NB/SR                            F1303  2   10 
       4.70       8.81    2.88825     0.2969                      F1303  2   11 
       4.70      14.38    2.39054    0.16246                      F1303  2   12 
       4.70      15.84    1.54623    0.14038                      F1303  2   13 
       4.70      16.87    0.96499    0.03958                      F1303  2   14 
       4.70      17.31    0.66992    0.09925                      F1303  2   15 
       4.70      18.33    0.63869    0.03118                      F1303  2   16 
       4.70      19.06    0.38621    0.02074                      F1303  2   17 
       4.70      20.52    0.33934    0.02637                      F1303  2   18 
       4.70      23.28    0.39423    0.02454                      F1303  2   19 
       4.70      23.86    0.52485    0.03442                      F1303  2   20 
       4.70      24.74    0.55852    0.02688                      F1303  2   21 
       4.70      25.32    0.63134    0.03646                      F1303  2   22 
       4.70      26.04    0.52598    0.03168                      F1303  2   23 
       4.70      27.49    0.45364      0.031                      F1303  2   24 
       4.70      29.23    0.45045    0.03502                      F1303  2   25 
       4.70      30.38    0.42515    0.04232                      F1303  2   26 
       4.70      30.67    0.35853    0.02728                      F1303  2   27 
       4.70      31.83    0.21454    0.02878                      F1303  2   28 
       4.70      34.27    0.19704    0.02485                      F1303  2   29 
       4.70      37.14    0.20858     0.0298                      F1303  2   30 
       4.70      38.57    0.24535    0.02547                      F1303  2   31 
       4.70        40.    0.23245    0.01582                      F1303  2   32 
       4.70      43.55    0.19708    0.01252                      F1303  2   33 
       4.70      44.96    0.20259     0.0102                      F1303  2   34 
       4.70       46.8    0.19562     0.0108                      F1303  2   35 
       4.70       48.2    0.16996    0.00986                      F1303  2   36 
       4.70      49.88    0.16592    0.00825                      F1303  2   37 
       4.70      51.28    0.15246    0.00798                      F1303  2   38 
       4.70      54.75    0.11101    0.00701                      F1303  2   39 
       4.70      56.55    0.06835    0.00549                      F1303  2   40 
       4.70      57.92    0.07333    0.00576                      F1303  2   41 
       4.70      60.25    0.06551    0.00468                      F1303  2   42 
       4.70      64.32    0.05994    0.00589                      F1303  2   43 
       4.70      65.67    0.05548    0.00616                      F1303  2   44 
       4.70      67.01    0.05269    0.00575                      F1303  2   45 
       4.70      68.34     0.0458    0.00497                      F1303  2   46 
       4.70       69.4    0.05093    0.00584                      F1303  2   47 
       4.70      69.67     0.0436    0.00363                      F1303  2   48 
       4.70      70.73    0.03798    0.00506                      F1303  2   49 
       4.70      70.99    0.04599    0.00434                      F1303  2   50 
       4.70      72.31    0.04249    0.00407                      F1303  2   51 
       4.70      75.57    0.03923     0.0052                      F1303  2   52 
       4.70      76.87    0.03492    0.00478                      F1303  2   53 
       4.70      79.82     0.0275    0.00325                      F1303  2   54 
       4.70      81.72    0.02407    0.00376                      F1303  2   55 
       4.70      82.99    0.01879    0.00356                      F1303  2   56 
       4.70      86.35    0.00879    0.00238                      F1303  2   57 
       4.70      87.59    0.01132    0.00167                      F1303  2   58 
