ENTRY            F0812   20220427                             F090F0812  0    1 
SUBENT        F0812001   20220427                             F090F0812  1    1 
BIB                  5          9                                 F0812  1    2 
TITLE      Band structure in 180Ta studied with transfer reactionsF0812  1    3 
AUTHOR     (E.Warde,G.J.Costa,D.Magnac,R.Seltz,C.Gerardin,        F0812  1    4 
           M.Buenerd,Ph.Martin,W.Saathoff,C.A.Wiedner)            F0812  1    5 
INSTITUTE  (2FR STR,2FR GRE,2GERMPH)                              F0812  1    6 
REFERENCE  (J,PR/C,27,98,1983)                                    F0812  1    7 
HISTORY    (20070306C)                                            F0812  1    8 
           (20110808U) SD: year in ref. corrected.                F0812  1    9 
           (20220427A) SD: Correction in all Subents. Subent 008  F0812  1   10 
           deleted (info moved to Subent 007).                    F0812  1   11 
ENDBIB               9          0                                 F0812  1   12 
NOCOMMON             0          0                                 F0812  1   13 
ENDSUBENT           12          0                                 F0812  199999 
SUBENT        F0812002   20220427                             F090F0812  2    1 
BIB                  7         13                                 F0812  2    2 
REACTION   (73-TA-181(P,D)73-TA-180,PAR,DA)                       F0812  2    3 
FACILITY   (VDGT,2FR STR)                                         F0812  2    4 
DETECTOR   (PS) Four solid state position sensitive detectors     F0812  2    5 
           of 50 mm length each. The energy calibration of the    F0812  2    6 
           focal plane was achieved through the 13C(p,d)12C       F0812  2    7 
           reaction. The estimated error on the excitation energy F0812  2    8 
           is of the order of 5 keV.                              F0812  2    9 
SAMPLE     The natural tantalum target, 193 mu-g/cm2 thick, was   F0812  2   10 
           obtained by evaporation on a 20 mu-g/cm2 carbon backingF0812  2   11 
ERR-ANALYS (DATA-ERR) No information about source of uncertainty  F0812  2   12 
STATUS     (CURVE) Fig.4 from Phys.Rev.,C27(1983)98               F0812  2   13 
HISTORY    (20220427U) SD: ERR-ANALYS and STATUS updated. The     F0812  2   14 
           accuracy of data presentation has been revised.        F0812  2   15 
ENDBIB              13          0                                 F0812  2   16 
COMMON               4          3                                 F0812  2   17 
EN         EN-RSL-FW  ANG-ERR-D  ERR-DIG                          F0812  2   18 
MEV        KEV        ADEG       PER-CENT                         F0812  2   19 
 19.        15.         0.04       0.1                            F0812  2   20 
ENDCOMMON            3          0                                 F0812  2   21 
DATA                 4        222                                 F0812  2   22 
E-LVL      ANG-CM     DATA-CM    DATA-ERR                         F0812  2   23 
KEV        ADEG       MU-B/SR    MU-B/SR                          F0812  2   24 
         0.      31.03  1.873E+00  6.628E-01                      F0812  2   25 
         0.      40.54  3.061E+00  9.723E-01                      F0812  2   26 
         0.      50.67  4.444E+00  1.031E+00                      F0812  2   27 
         0.      60.80  4.443E+00  1.031E+00                      F0812  2   28 
         0.      65.53  2.068E+00  8.594E-01                      F0812  2   29 
         0.      70.28  2.573E+00  7.688E-01                      F0812  2   30 
        41.      20.94  2.214E+00  1.025E+00                      F0812  2   31 
        41.      30.63  3.465E+00  9.484E-01                      F0812  2   32 
        41.      40.63  5.323E+00  1.164E+00                      F0812  2   33 
        41.      50.31  4.948E+00  9.011E-01                      F0812  2   34 
        41.      60.31  3.134E+00  9.192E-01                      F0812  2   35 
        41.      65.00  2.174E+00  9.627E-01                      F0812  2   36 
        41.      70.00  2.563E+00  8.008E-01                      F0812  2   37 
       106.      16.29  3.628E+00  1.331E+00                      F0812  2   38 
       106.      26.33  5.278E+00  1.747E+00                      F0812  2   39 
       106.      31.37  3.435E+00  8.709E-01                      F0812  2   40 
       106.      36.08  4.952E+00  1.578E+00                      F0812  2   41 
       106.      41.43  3.977E+00  1.008E+00                      F0812  2   42 
       106.      45.82  6.167E+00  1.888E+00                      F0812  2   43 
       106.      50.53  7.337E+00  1.113E+00                      F0812  2   44 
       106.      55.87  8.039E+00  1.983E+00                      F0812  2   45 
       106.      65.62  6.884E+00  1.745E+00                      F0812  2   46 
       106.      71.27  6.822E+00  9.815E-01                      F0812  2   47 
       106.      86.05  5.480E+00  1.119E+00                      F0812  2   48 
       173.      10.16  1.140E+01  3.109E+00                      F0812  2   49 
       173.      15.48  1.441E+01  3.323E+00                      F0812  2   50 
       173.      20.81  1.569E+01  2.307E+00                      F0812  2   51 
       173.      25.52  1.525E+01  3.626E+00                      F0812  2   52 
