ENTRY            13680   19970730                             00001368000000001 
SUBENT        13680001   19970730                             00001368000100001 
BIB                 15         31                                 1368000100002 
INSTITUTE  (1USATNL,2GERTUE)                                      1368000100003 
REFERENCE  (J,PR/C,54,2410,9611)                                  1368000100004 
AUTHOR     (G.J.WEISEL,W.TORNOW,C.R.HOWELL,P.D.FELSHER,M.ALOHALI, 1368000100005 
           M.L.ROBERTS,R.K.DAS,R.L.WALTER,G.MERTENS)              1368000100006 
TITLE      Analyzing power measurements for 209Bi(n,n) at 6 and   1368000100007 
           9 MeV and consistent dispersive optical-model analyses 1368000100008 
           for n+209Bi and n+208Pb from -20 to +80 MeV            1368000100009 
FACILITY   (VDGT,1USATNL)                                         1368000100010 
INC-SOURCE (POLNS,D-T) Deuteron beam polarization determined      1368000100011 
            using the quench-ratio technique.  The absolute value 1368000100012 
            of the neutron polarization was known to an accuracy  1368000100013 
            of about 3%.                                          1368000100014 
INC-SPECT  The spread in neutron energy was mainly caused by the  1368000100015 
            deuteron energy loss in the gas of the deuterium cell.1368000100016 
SAMPLE     Cylinder of 209-Bi(2.0cm in diameter and 3.3 cm in     1368000100017 
            height)                                               1368000100018 
METHOD     (TOF,PSD) Pulse-shape used to discriminate against     1368000100019 
            gamma-ray induced events                              1368000100020 
DETECTOR   (SCIN) All detectors were liquid-organic scintillators 1368000100021 
CORRECTION The Monte Carlo code JANE was used to correct the      1368000100022 
            measured asymmetries for finite-geometery effects,    1368000100023 
            taking into account the sizes of the deuterium gas    1368000100024 
            cell, the scatterer, and the detector, as well as     1368000100025 
            attenutation and multiple scattering of the neutrons  1368000100026 
            in the scatterer                                      1368000100027 
           Compound-nucleus corrections applied to 6 MeV data.    1368000100028 
ERR-ANALYS (DATA-ERR) Absolute uncertainty given                  1368000100029 
MONITOR    (82-PB-208(N,EL)82-PB-208,,POL/DA,,ANA)                1368000100030 
STATUS     Data received by email, G.Weisel, 97/7/14              1368000100031 
           No reply from R. Walter to author proof.               1368000100032 
HISTORY    (970728C) YH                                           1368000100033 
ENDBIB              31          0                                 1368000100034 
NOCOMMON             0          0                                 1368000100035 
ENDSUBENT           34          0                                 1368000199999 
SUBENT        13680002   19970730                             00001368000200001 
BIB                  1          1                                 1368000200002 
REACTION   (83-BI-209(N,EL)83-BI-209,,POL/DA,,ANA)                1368000200003 
ENDBIB               1          0                                 1368000200004 
NOCOMMON             0          0                                 1368000200005 
DATA                 5         66                                 1368000200006 
EN         EN-RSL     ANG-CM     DATA       DATA-ERR              1368000200007 
MEV        MEV        ADEG       NO-DIM     NO-DIM                1368000200008 
6.0        0.35       16.36      -0.0388    0.0115                1368000200009 
6.0        0.35       20.10      -0.0226    0.0096                1368000200010 
6.0        0.35       23.87       0.0041    0.0097                1368000200011 
6.0        0.35       27.68       0.0189    0.0123                1368000200012 
6.0        0.35       31.51       0.0204    0.0159                1368000200013 
6.0        0.35       35.42       0.0107    0.0231                1368000200014 
6.0        0.35       39.38      -0.0652    0.0300                1368000200015 
6.0        0.35       44.37      -0.3688    0.0333                1368000200016 
6.0        0.35       49.32      -0.7536    0.0421                1368000200017 
6.0        0.35       54.39      -0.7186    0.0656                1368000200018 
6.0        0.35       62.96       0.6952    0.0582                1368000200019 
6.0        0.35       66.11       0.6862    0.0369                1368000200020 
6.0        0.35       70.83       0.2251    0.0449                1368000200021 
6.0        0.35       75.50       0.0220    0.0357                1368000200022 
6.0        0.35       80.22      -0.1291    0.0429                1368000200023 
6.0        0.35       84.98      -0.3617    0.0235                1368000200024 
6.0        0.35       89.75      -0.5116    0.0339                1368000200025 
6.0        0.35       94.50      -0.6111    0.0398                1368000200026 
6.0        0.35       99.26      -0.6180    0.0343                1368000200027 
6.0        0.35       104.32     -0.4396    0.0377                1368000200028 
6.0        0.35       110.05      0.0863    0.0373                1368000200029 
6.0        0.35       115.52      0.0590    0.0436                1368000200030 
6.0        0.35       120.43     -0.1230    0.0196                1368000200031 
6.0        0.35       125.24     -0.1300    0.0153                1368000200032 
6.0        0.35       130.06     -0.1015    0.0164                1368000200033 
6.0        0.35       139.59     -0.1893    0.0204                1368000200034 
6.0        0.35       144.28     -0.3075    0.0150                1368000200035 
6.0        0.35       147.96     -0.5209    0.0361                1368000200036 
6.0        0.35       154.37     -0.7554    0.0579                1368000200037 
6.0        0.35       159.49      0.7162    0.0312                1368000200038 
6.0        0.35       164.28      0.5603    0.0279                1368000200039 
9.0        0.42       16.02      -0.0432    0.0071                1368000200040 
9.0        0.42       19.63      -0.0124    0.0089                1368000200041 
9.0        0.42       23.27       0.0341    0.0106                1368000200042 
9.0        0.42       27.23       0.1229    0.0128                1368000200043 
9.0        0.42       32.21       0.1262    0.0158                1368000200044 
9.0        0.42       36.81      -0.0771    0.0131                1368000200045 
9.0        0.42       40.58      -0.1018    0.0171                1368000200046 
9.0        0.42       45.08      -0.1803    0.0121                1368000200047 
9.0        0.42       49.60      -0.2253    0.0119                1368000200048 
9.0        0.42       54.25      -0.3642    0.0169                1368000200049 
9.0        0.42       58.66      -0.4012    0.0285                1368000200050 
9.0        0.42       62.54      -0.1250    0.0230                1368000200051 
9.0        0.42       65.93       0.0615    0.0219                1368000200052 
9.0        0.42       68.36       0.0898    0.0181                1368000200053 
9.0        0.42       70.68       0.0966    0.0219                1368000200054 
9.0        0.42       75.30       0.0742    0.0074                1368000200055 
9.0        0.42       79.99       0.0123    0.0175                1368000200056 
9.0        0.42       84.70      -0.0590    0.0127                1368000200057 
9.0        0.42       89.47      -0.2590    0.0199                1368000200058 
9.0        0.42       94.36      -0.4223    0.0254                1368000200059 
9.0        0.42       97.52      -0.4792    0.0327                1368000200060 
9.0        0.42       104.33      0.3581    0.0324                1368000200061 
9.0        0.42       110.44      0.4295    0.0163                1368000200062 
9.0        0.42       115.20      0.2849    0.0121                1368000200063 
9.0        0.42       119.91      0.0122    0.0127                1368000200064 
9.0        0.42       124.64     -0.2676    0.0127                1368000200065 
9.0        0.42       129.37     -0.5861    0.0225                1368000200066 
9.0        0.42       134.32     -0.5426    0.0231                1368000200067 
9.0        0.42       139.63      0.1841    0.0356                1368000200068 
9.0        0.42       144.85      0.5353    0.0182                1368000200069 
9.0        0.42       148.79      0.2384    0.0420                1368000200070 
9.0        0.42       149.77      0.0998    0.0310                1368000200071 
9.0        0.42       154.87     -0.1123    0.0265                1368000200072 
9.0        0.42       160.13      0.3199    0.0130                1368000200073 
9.0        0.42       164.05      0.5764    0.0228                1368000200074 
ENDDATA             68          0                                 1368000200075 
ENDSUBENT           74          0                                 1368000299999 
ENDENTRY             2          0                                 1368099999999 
