ENTRY            14350   20121219                             13871435000000001 
SUBENT        14350001   20121219                             13871435000100001 
BIB                 10         35                                 1435000100002 
TITLE      Neutron-induced 235U fission spectrum measurements     1435000100003 
           using liquid organic scintillation detectors           1435000100004 
AUTHOR     (A.Enqvist,B.M.Wieger,L.Huang,M.Flaska,S.A.Pozzi,      1435000100005 
           R.C.Haight,H.Y.Lee,Elaine Kwan,Ch.Y.Wu)                1435000100006 
INSTITUTE  (1USAMSU,1USALAS,1USALRL)                              1435000100007 
REFERENCE  (J,PR/C,86,064605,2012)                                1435000100008 
FACILITY   (LINAC,1USALAS) Measurement performed using Weapons    1435000100009 
           Neutron Research (WNR) beam at 30. right at the Los    1435000100010 
           Alamos Neutron Science Center LANSCE.                  1435000100011 
SAMPLE     235U deposited on each side of 10 thin foils in PPAC   1435000100012 
           chamber. Total mass of the 235U was 113 mg with        1435000100013 
           target spot of 4 cm in diameter.                       1435000100014 
DETECTOR   (PPAC) Parallel-plate avalanche counter with internal  1435000100015 
           target containing 235U was used for detection of       1435000100016 
           fission fragments. It was located at a distance of     1435000100017 
           22.675 m from the spallation target. Its time          1435000100018 
           resolution was approx. 1 ns.                           1435000100019 
           (SCIN) Neutrons were detected using five EJ-309        1435000100020 
           cylindrical liquid scintillation detectors, with a     1435000100021 
           depth of 13.3 cm and diameter of 13 cm. Detectors      1435000100022 
           were placed at a distance of 80 cm to the center of    1435000100023 
           fission counter. EJ-309 liquid scintillator has a      1435000100024 
           short light-emission component of 3.5 ns, which        1435000100025 
           results in excellent timing properties and pulse shape 1435000100026 
           discrimination.                                        1435000100027 
METHOD     (TOF,PSD) Energy of the primary incident neutrons was  1435000100028 
           determined using time of flight over a distance of     1435000100029 
           22.675 m from the spallation target to the fission     1435000100030 
           chamber. Energy of secondary neutrons was determined   1435000100031 
           using time of flight between fission chamber and       1435000100032 
           neutron detector.                                      1435000100033 
INC-SOURCE (SPALL) Neutrons were produced by spallation reaction  1435000100034 
           using 800 MeV protons from linear accelerator          1435000100035 
           impinging on a tungsten target.                        1435000100036 
HISTORY    (20121219C) Compiled by S.H.                           1435000100037 
ENDBIB              35          0                                 1435000100038 
NOCOMMON             0          0                                 1435000100039 
ENDSUBENT           38          0                                 1435000199999 
SUBENT        14350002   20121219                             13871435000200001 
BIB                  3          8                                 1435000200002 
REACTION   (92-U-235(N,F),,NU/DE,,AV)                             1435000200003 
STATUS     (TABLE) Data presented in fig. 9 of the reference      1435000200004 
                   sent by author A.E.                            1435000200005 
ERR-ANALYS (ERR-T) Total uncertainty determined from              1435000200006 
            - statistical uncertainty                             1435000200007 
            - systematic uncertainty in detector efficiency       1435000200008 
            - systematic uncertainty in particle identification   1435000200009 
            - systematic uncertainty in flight path               1435000200010 
ENDBIB               8          0                                 1435000200011 
NOCOMMON             0          0                                 1435000200012 
DATA                 6         90                                 1435000200013 
EN-MIN     EN-MAX     E          DATA       -ERR-T     +ERR-T     1435000200014 
MEV        MEV        MEV        PT/FIS/MEV PT/FIS/MEV PT/FIS/MEV 1435000200015 
     0.5       10.0       0.55     0.8738     0.0344     0.0583   1435000200016 
     0.5       10.0       0.65     0.9845     0.0294     0.0607   1435000200017 
     0.5       10.0       0.75     0.9796     0.0255     0.0586   1435000200018 
     0.5       10.0       0.85     0.8584     0.0222     0.0513   1435000200019 
     0.5       10.0       0.95     0.8029     0.0207     0.0480   1435000200020 
     0.5       10.0       1.05     0.7427     0.0194     0.0445   1435000200021 
     0.5       10.0       1.15     0.7102     0.0188     0.0427   1435000200022 
     0.5       10.0       1.25     0.7087     0.0188     0.0426   1435000200023 
     0.5       10.0       1.35     0.6403     0.0178     0.0388   1435000200024 
     0.5       10.0       1.45     0.6327     0.0178     0.0385   1435000200025 
     0.5       10.0       1.55     0.5817     0.0171     0.0357   1435000200026 
     0.5       10.0       1.65     0.5286     0.0163     0.0328   1435000200027 
     0.5       10.0       1.75     0.5095     0.0161     0.0318   1435000200028 
     0.5       10.0       1.85     0.4802     0.0157     0.0303   1435000200029 
     0.5       10.0       1.95     0.4192     0.0146     0.0269   1435000200030 
     0.5       10.0       2.10     0.4330     0.0107     0.0257   1435000200031 
     0.5       10.0       2.30     0.3391     0.0096     0.0206   1435000200032 
     0.5       10.0       2.50     0.3258     0.0096     0.0200   1435000200033 
     0.5       10.0       2.70     0.2934     0.0093     0.0184   1435000200034 
     0.5       10.0       2.90     0.2373     0.0085     0.0154   1435000200035 
     0.5       10.0       3.10     0.2165     0.0083     0.0143   1435000200036 
     0.5       10.0       3.30     0.1864     0.0079     0.0128   1435000200037 
     0.5       10.0       3.50     0.1658     0.0075     0.0117   1435000200038 
     0.5       10.0       3.70     0.1454     0.0071     0.0106   1435000200039 
     0.5       10.0       3.90     0.1339     0.0068     0.0099   1435000200040 
     0.5       10.0       4.10     0.1153     0.0064     0.0090   1435000200041 
     0.5       10.0       4.30     0.1109     0.0063     0.0087   1435000200042 
     0.5       10.0       4.50     0.0841     0.0056     0.0072   1435000200043 
     0.5       10.0       4.70     0.0712     0.0052     0.0064   1435000200044 
     0.5       10.0       4.90     0.0623     0.0048     0.0059   1435000200045 
     0.5       10.0       5.10     0.0534     0.0045     0.0054   1435000200046 
     0.5       10.0       5.30     0.0527     0.0046     0.0054   1435000200047 
     0.5       10.0       5.50     0.0440     0.0042     0.0048   1435000200048 
     0.5       10.0       5.70     0.0373     0.0039     0.0044   1435000200049 
     0.5       10.0       5.90     0.0300     0.0035     0.0039   1435000200050 
     0.5       10.0       6.10     0.0231     0.0031     0.0034   1435000200051 
     0.5       10.0       6.30     0.0225     0.0031     0.0033   1435000200052 
     0.5       10.0       6.50     0.0143     0.0025     0.0026   1435000200053 
     0.5       10.0       6.70     0.0125     0.0023     0.0024   1435000200054 
     0.5       10.0       6.90     0.0087     0.0019     0.0020   1435000200055 
     0.5       10.0       7.10     0.0107     0.0022     0.0022   1435000200056 
