ENTRY            13745   20010829                             00001374500000001 
SUBENT        13745001   20010829                             00001374500100001 
BIB                 16         37                                 1374500100002 
INSTITUTE  (1USALAS)                                              1374500100003 
REFERENCE  (J,PR/C,53,616,199602)                                 1374500100004 
AUTHOR     (S.Raman,E.K.Warburton,J.W.Starner,E.T.Jurney,J.E.Lynn,1374500100005 
           P.Tikkanen,J.Keinonen)                                 1374500100006 
TITLE      Spectroscopy of 20F levels                             1374500100007 
FACILITY   (REAC) Internal target facility at the 8-MW Los Alamos 1374500100008 
            Omega West Reactor.                                   1374500100009 
INC-SOURCE (THCOL) Neutron flux ~6E+11 n/cm**2 s.                 1374500100010 
INC-SPECT  Approximately Maxwellian spectrum corresponding to a   1374500100011 
            temperature of 350 K.                                 1374500100012 
SAMPLE     4.30-g Teflon target placed in the thermal reactor     1374500100013 
            column                                                1374500100014 
DETECTOR   (GE-IN) 30-cm**3 coaxial intrinsic Ge detector placed  1374500100015 
            inside a 20-cm-diam x 30-cm-long NaI(Tl) annulus and  1374500100016 
            operated either in a Compton-suppressed or in a       1374500100017 
            pair-spectrometer mode.                               1374500100018 
MONITOR    The primary calibration energies used: annihilation    1374500100019 
            gamma radiation - 511.000 keV, capture gamma ray of   1374500100020 
            1-H-1(N,G) reaction - 2223.253 keV and ground state   1374500100021 
            transiton in the 6-C-12(N,G) reaction - 4945.303 keV. 1374500100022 
           (1-H-1(N,G)1-H-2,,SIG,,MXW) for 1H present in a        1374500100023 
            100.0-mg CH(2) standarD, assuming 1/v dependence for  1374500100024 
            both 1H and 19F capture cross sections.               1374500100025 
CORRECTION Corrected for self-absorption and attenuation in the   1374500100026 
            sample.                                               1374500100027 
ERR-ANALYS (DATA-ERR) Absolute uncertainties given.               1374500100028 
COMMENT    Two low-energy primary E1 transitions of energies 584  1374500100029 
            and 665 keV (populating states at 6018 and 5936 keV)  1374500100030 
            together account for more than half of the total      1374500100031 
            capture cross sections.                               1374500100032 
ADD-RES    The neutron separation energy of 20F has been          1374500100033 
            determined as 6601.35 +/- 0.04 keV.                   1374500100034 
           Lifetime values for 25 levels has been measured by the 1374500100035 
            Doppler-shift-attenuation method.                     1374500100036 
           Level spin and parity assignments have been done.      1374500100037 
STATUS     No reply from S. Raman to author proof.                1374500100038 
HISTORY    (20010726C) IS                                         1374500100039 
ENDBIB              37          0                                 1374500100040 
COMMON               3          3                                 1374500100041 
EN-DUMMY   MONIT      MONIT-ERR                                   1374500100042 
EV         MB         MB                                          1374500100043 
 0.0253     332.6        0.7                                      1374500100044 
ENDCOMMON            3          0                                 1374500100045 
ENDSUBENT           44          0                                 1374500199999 
SUBENT        13745002   20010726                             00001374500200001 
BIB                  3          3                                 1374500200002 
REACTION   (9-F-19(N,G)9-F-20,PAR,SIG,,SPA)                       1374500200003 
METHOD     (GSPEC)                                                1374500200004 
STATUS     Data taken from Table II of reference.                 1374500200005 
ENDBIB               3          0                                 1374500200006 
NOCOMMON             0          0                                 1374500200007 
DATA                 4        168                                 1374500200008 
E          E-ERR      DATA       DATA-ERR                         1374500200009 
KEV        KEV        MB         MB                               1374500200010 
 166.78     0.05       0.44       0.04                            1374500200011 
 252.65     0.23       0.008      0.002                           1374500200012 
 302.2      0.3        0.005      0.002                           1374500200013 
 325.73     0.14       0.041      0.003                           1374500200014 
 534.60     0.08       0.013      0.002                           1374500200015 
 556.41     0.03       0.202      0.013                           1374500200016 
 583.55     0.03       3.60       0.15                            1374500200017 
 620.44     0.05       0.023      0.002                           1374500200018 
 653.2      0.3        0.020      0.003                           1374500200019 
 656.00     0.03       1.98       0.10                            1374500200020 
 661.63     0.04       0.151      0.020                           1374500200021 
 662.24     0.14       0.102      0.015                           1374500200022 
 665.21     0.03       1.49       0.08                            1374500200023 
 670.1      0.6        0.003      0.001                           1374500200024 
 691.4      0.3        0.004      0.002                           1374500200025 
 734.84     0.12       0.006      0.002                           1374500200026 
 771.71     0.10       0.008      0.002                           1374500200027 
 791.2      0.4        0.004      0.001                           1374500200028 
 793.36     0.19       0.007      0.002                           1374500200029 
 803.65     0.11       0.009      0.002                           1374500200030 
 820.9      0.4        0.005      0.002                           1374500200031 
 822.69     0.04       0.219      0.012                           1374500200032 
 885.0      0.3        0.005      0.001                           1374500200033 
 894.1      0.5        0.003      0.001                           1374500200034 
 978.19     0.06       0.061      0.010                           1374500200035 
 983.53     0.03       1.16       0.06                            1374500200036 
 987.2      0.4        0.004      0.001                           1374500200037 
1020.9      0.4        0.003      0.001                           1374500200038 
1035.0      0.3        0.009      0.002                           1374500200039 
1046.00     0.04       0.177      0.009                           1374500200040 
1056.78     0.03       0.94       0.04                            1374500200041 
1135.38     0.17       0.009      0.002                           1374500200042 
1148.05     0.04       0.264      0.015                           1374500200043 
1187.70     0.06       0.045      0.003                           1374500200044 
1282.14     0.04       0.086      0.005                           1374500200045 
1306.2      0.3        0.009      0.002                           1374500200046 
1309.17     0.03       0.76       0.03                            1374500200047 
1318.52     0.10       0.023      0.002                           1374500200048 
1371.53     0.04       0.145      0.009                           1374500200049 
1375.2      0.4        0.005      0.002                           1374500200050 
1387.90     0.03       0.83       0.03                            1374500200051 
1392.22     0.05       0.078      0.006                           1374500200052 
1542.50     0.04       0.274      0.012                           1374500200053 
1545.87     0.16       0.013      0.002                           1374500200054 
1555.0      0.4        0.005      0.001                           1374500200055 
1644.50     0.08       0.073      0.006                           1374500200056 
1708.52     0.22       0.026      0.003                           1374500200057 
1742.7      0.3        0.006      0.002                           1374500200058 
1836.50     0.22       0.016      0.002                           1374500200059 
1843.74     0.03       0.61       0.03                            1374500200060 
1853.96     0.22       0.013      0.002                           1374500200061 
1935.50     0.05       0.073      0.005                           1374500200062 
1970.73     0.04       0.090      0.009                           1374500200063 
1970.95     0.05       0.010      0.003                           1374500200064 
2009.52     0.07       0.047      0.004                           1374500200065 
2038.08     0.18       0.015      0.002                           1374500200066 
2042.0      0.6        0.005      0.002                           1374500200067 
2043.89     0.06       0.068      0.005                           1374500200068 
