ENTRY            13688   19971105                             00001368800000001 
SUBENT        13688001   19971105                             00001368800100001 
BIB                 13         40                                 1368800100002 
INSTITUTE  (1USALAS,1USAORL)                                      1368800100003 
REFERENCE  (J,PR/C,56,118,9707)                                   1368800100004 
AUTHOR     (E.T.JURNEY,J.W.STARNER,J.E.LYNN,S.RAMAN)              1368800100005 
TITLE      Thermal-neutron capture by 14N                         1368800100006 
FACILITY   (REAC) Internal target facility of the Los Alamos      1368800100007 
            Omega west reactor                                    1368800100008 
INC-SPECT  Reactor spectrum, approximates a Maxwellian            1368800100009 
            distribution corresponding to a temperature of        1368800100010 
            350 K, for which the most probable neutron velocity   1368800100011 
            is 2400 m/sec.                                        1368800100012 
SAMPLE     1750 mg of melamine in a high-puritY graphite holder,  1368800100013 
            which was inside an evacuated bismuth channel.        1368800100014 
DETECTOR   (GE-IN,NAICR) Coaxial intrinsic germanium detector     1368800100015 
            positioned inside a 20-cm diameter by 30-cm long      1368800100016 
            NaI(Tl) annulus, operated either in the Compton-      1368800100017 
            suppressed or pair-spectrometer mode.                 1368800100018 
           In the pair-spectrometer mode, the FWHM values are 2.3,1368800100019 
            3.1, 3.8, and 4.5keV, respectively, for gamma-ray     1368800100020 
            energies of 3, 5, 7, and 9 MeV.                       1368800100021 
MONITOR    (1-H-1(N,G)1-H-2,,SIG) CH2 standard and graphite       1368800100022 
            holder.  A 1/v dependence used to extrapolate both H  1368800100023 
            and N to 350 K.                                       1368800100024 
           Energy calibration to 3 MeV: 510.999(+-0.001) keV      1368800100025 
            annihilation radiation and 2223.253(+-0.0004) keV     1368800100026 
            gamma-ray from H(n,gamma) reaction.                   1368800100027 
           Between 1 and 13MeV: 2223.253(+-0.0004) keV and        1368800100028 
            4945.303(+-0.012) keV gamma-ray from the H(n,gamma)   1368800100029 
            and 12C(n,gamma) reactions, respectively.             1368800100030 
           Intensity calibration determined in the Compton-       1368800100031 
            suppressed mode with a set of standard radioactive    1368800100032 
            sources with precalibrated gamma-ray intensities and  1368800100033 
            were further checked with gamma-ray from 82Br decay.  1368800100034 
MONIT-REF  (,A.H.WAPSTRA+,J,NIM/A,292,671,90)                     1368800100035 
           (,G.AUDI+,J,NP/A,565,1,95)                             1368800100036 
           (,S.RAMAN+,J,PR/C,2,2176,70)                           1368800100037 
           (,G.R.MEREDITH+,J,NP/A,142,513,70)                     1368800100038 
ERR-ANALYS (DATA-ERR) No information on source of uncertainties.  1368800100039 
STATUS     Data taken from article                                1368800100040 
           No reply to author proof.                              1368800100041 
HISTORY    (970730C) YH                                           1368800100042 
ENDBIB              40          0                                 1368800100043 
COMMON               3          3                                 1368800100044 
EN-DUMMY   MONIT      MONIT-ERR                                   1368800100045 
EV         MB         MB                                          1368800100046 
0.0253     332.6      0.7                                         1368800100047 
ENDCOMMON            3          0                                 1368800100048 
ENDSUBENT           47          0                                 1368800199999 
SUBENT        13688002   19970808                             00001368800200001 
BIB                  1          1                                 1368800200002 
REACTION   (7-N-14(N,G)7-N-15,PAR,SIG,,SPA)                       1368800200003 
ENDBIB               1          0                                 1368800200004 
NOCOMMON             0          0                                 1368800200005 
DATA                 4         58                                 1368800200006 
E          E-ERR      DATA       DATA-ERR                         1368800200007 
KEV        KEV        MB         MB                               1368800200008 
  131.44     0.07       0.015      0.003                          1368800200009 
  383.0      0.04       0.006      0.002                          1368800200010 
  583.75     0.04       0.115      0.008                          1368800200011 
  608.3      0.05       0.018      0.003                          1368800200012 
  767.84     0.07       0.050      0.003                          1368800200013 
  770.4      0.05       0.008      0.003                          1368800200014 
  831.22     0.11       0.025      0.003                          1368800200015 
  908.41     0.04       0.129      0.004                          1368800200016 
 1011.68     0.04       0.110      0.004                          1368800200017 
 1025.2      0.03       0.013      0.002                          1368800200018 
 1053.9      0.03       0.012      0.003                          1368800200019 
 1073.02     0.07       0.071      0.004                          1368800200020 
 1610.79     0.14       0.059      0.005                          1368800200021 
 1678.293    0.25       6.39       0.007                          1368800200022 
 1681.228    0.50       1.32       0.003                          1368800200023 
 1783.63     0.06       0.2        0.007                          1368800200024 
 1853.98     0.04       0.522      0.007                          1368800200025 
 1884.780    0.18      15.07       0.016                          1368800200026 
 1988.46     0.25       0.26       0.004                          1368800200027 
 1999.679    0.27       3.30       0.004                          1368800200028 
 2002.3      0.04       0.19       0.004                          1368800200029 
 2030.8      0.04       0.056      0.012                          1368800200030 
 2247.4      0.05       0.012      0.003                          1368800200031 
 2261.83     0.10       0.062      0.004                          1368800200032 
 2293.16     0.16       0.036      0.004                          1368800200033 
 2520.443    0.22       4.48       0.007                          1368800200034 
 2726.       0.05       0.016      0.004                          1368800200035 
 2830.805    0.36       1.37       0.003                          1368800200036 
 2898.4      0.05       0.018      0.004                          1368800200037 
 3013.55     0.10       0.521      0.017                          1368800200038 
 3269.2      0.04       0.049      0.009                          1368800200039 
 3300.74     0.13       0.121      0.009                          1368800200040 
 3531.982    0.20       7.18       0.009                          1368800200041 
 3677.737    0.17      11.66       0.013                          1368800200042 
 3855.60     0.07       0.656      0.021                          1368800200043 
 3880.9      0.09       0.039      0.013                          1368800200044 
 3884.20     0.09       0.456      0.018                          1368800200045 
 3923.9      0.06       0.030      0.007                          1368800200046 
 4508.731    0.17      13.42       0.014                          1368800200047 
 4654.1      0.11       0.023      0.005                          1368800200048 
 5269.163    0.17      23.98       0.024                          1368800200049 
 5297.826    0.20      17.05       0.018                          1368800200050 
 5533.391    0.18      15.72       0.017                          1368800200051 
 5562.059    0.21       8.58       0.010                          1368800200052 
 6322.433    0.16      14.64       0.018                          1368800200053 
 7153.4      0.04       0.051      0.006                          1368800200054 
 7298.980    0.32       7.54       0.010                          1368800200055 
 8310.156    0.39       3.31       0.007                          1368800200056 
 8568.6      0.04       0.056      0.004                          1368800200057 
 9046.71     0.17       0.163      0.009                          1368800200058 
 9148.95     0.09       1.19       0.005                          1368800200059 
 9151.9      0.07       0.12       0.003                          1368800200060 
 9219.5      0.11       0.015      0.006                          1368800200061 
 9757.1      0.05       0.045      0.005                          1368800200062 
 9921.3      0.03       0.102      0.008                          1368800200063 
10061.9      0.05       0.046      0.005                          1368800200064 
10697.8      0.17       0.008      0.004                          1368800200065 
10829.11     0.59      11.5        0.005                          1368800200066 
ENDDATA             60          0                                 1368800200067 
ENDSUBENT           66          0                                 1368800299999 
