ENTRY            10276   20011227                             00001027600000001 
SUBENT        10276001   20011227                             00001027600100001 
BIB                 13         25                                 1027600100002 
INSTITUTE  (1USAORL)                                              1027600100003 
REFERENCE  (R,ORNL-4780,197204)                                   1027600100004 
AUTHOR     (W.E.Kinney,F.G.Perey)                                 1027600100005 
TITLE      Neutron elastic- and inelastic- scattering cross       1027600100006 
            sections for oxygen in the energy range 4.34 to 8.56  1027600100007 
            MeV                                                   1027600100008 
FACILITY   (VDG,1USAORL) Van de Graaff, pulsed at 2 mHz and       1027600100009 
            bunched.                                              1027600100010 
INC-SOURCE (D-D) D(d,n) reaction using gas cells 1 and 2 cm       1027600100011 
            in length.  Neutron energy resolution between         1027600100012 
            60 and 70 keV.                                        1027600100013 
SAMPLE      Water contained in cylindrical can 1.61 cm diameter,  1027600100014 
            2.67 cm high placed 10 to 30 cm from gas cell.        1027600100015 
METHOD     (TOF) 2.5 ns resolution (FWHM) 2 mHz repetition rate.  1027600100016 
DETECTOR   (SCIN) 12.5 cm dia NE 213 liquid scintillator viewed   1027600100017 
            by XP-1040 photomultipliers.  Flight paths of 4 to 6  1027600100018 
            meters employed.                                      1027600100019 
MONITOR    (1-H-1(N,EL)1-H-1,,DA)                                 1027600100020 
CORRECTION  Corrected for multiple scattering and other finite    1027600100021 
            sample size effects.                                  1027600100022 
STATUS     (APRVD) Approved by author.                            1027600100023 
HISTORY    (19720712R)                                            1027600100024 
           (19750902A) Standard corrected                         1027600100025 
           (19830111A) Converted to REACTION formalism            1027600100026 
           (20011227A) Updated to new date formats, lower case.   1027600100027 
ENDBIB              25          0                                 1027600100028 
NOCOMMON             0          0                                 1027600100029 
ENDSUBENT           28          0                                 1027600199999 
SUBENT        10276002   20011227                             00001027600200001 
BIB                  3          8                                 1027600200002 
REACTION   (8-O-16(N,EL)8-O-16,,DA)                               1027600200003 
ERR-ANALYS (DATA-ERR) Includes uncertainties in:                  1027600200004 
            . geometric parameters,                               1027600200005 
            . finite size corrections,                            1027600200006 
            . statistics,                                         1027600200007 
            . residual background effects due to peak stripping   1027600200008 
              procedures.                                         1027600200009 
HISTORY    (19820111A) Subentries 2,4,6,8,10,12,15,18 combined.   1027600200010 
ENDBIB               8          0                                 1027600200011 
NOCOMMON             0          0                                 1027600200012 
DATA                 6        138                                 1027600200013 
EN         EN-RSL     ANG-CM     DATA       +DATA-ERR  -DATA-ERR  1027600200014 
MEV        MEV        ADEG       MB/SR      PER-CENT   PER-CENT   1027600200015 
  4.34     0.07         18.58        742.99     8.4       10.5    1027600200016 
  4.34     0.07         18.58        813.51     8.9        9.8    1027600200017 
  4.34     0.07         26.52        536.37     5.4       10.1    1027600200018 
  4.34     0.07         26.52        640.70     8.8        9.1    1027600200019 
  4.34     0.07         26.52        612.56     9.2       11.7    1027600200020 
  4.34     0.07         34.43        405.94     6.3        7.2    1027600200021 
  4.34     0.07         34.43        508.07     9.0       11.1    1027600200022 
  4.34     0.07         42.31        292.08     5.7        7.0    1027600200023 
  4.34     0.07         50.15        226.83     6.1        6.7    1027600200024 
  4.34     0.07         57.94        161.78     6.2       11.2    1027600200025 
  4.34     0.07         65.69        100.38     7.2        7.3    1027600200026 
  4.34     0.07         73.38         82.35     8.7        9.1    1027600200027 
  4.34     0.07         81.01         67.66     9.1       12.7    1027600200028 
  4.34     0.07         88.58         68.36     9.1        9.3    1027600200029 
  4.34     0.07         98.58         78.22     8.0        8.0    1027600200030 
  4.34     0.07        106.01         91.16     7.7        7.8    1027600200031 
  4.34     0.07        113.38         99.37     7.8        8.1    1027600200032 
  4.34     0.07        124.57         97.35     8.2       10.4    1027600200033 
  4.34     0.07        131.79         95.24     9.5        9.1    1027600200034 
  4.34     0.07        138.97         89.34     8.2        9.3    1027600200035 
  4.92     0.06         15.93        206.72    23.0       19.3    1027600200036 
  4.92     0.06         23.88        194.12    13.8       16.1    1027600200037 
  4.92     0.06         26.52        179.96     7.1        7.9    1027600200038 
  4.92     0.06         31.80        151.91    16.8       24.3    1027600200039 
  4.92     0.06         34.43        130.52     7.1       10.1    1027600200040 
  4.92     0.06         42.31        102.02     7.4        7.5    1027600200041 
  4.92     0.06         50.15         75.93     9.6       10.6    1027600200042 
  4.92     0.06         57.94         47.64    10.2       11.6    1027600200043 
  4.92     0.06         65.68         29.64    16.0       11.4    1027600200044 
  4.92     0.06         73.38         37.27    11.2       12.3    1027600200045 
  4.92     0.06         81.01         48.26     9.8        8.4    1027600200046 
  4.92     0.06         88.58         70.34     8.3        7.8    1027600200047 
  4.92     0.06         98.58         86.58     7.2        7.8    1027600200048 
  4.92     0.06        106.01         87.00     6.5        7.3    1027600200049 
  4.92     0.06        113.38         90.84     6.8        7.5    1027600200050 
  4.92     0.06        124.56         91.58     7.1        9.7    1027600200051 
