ENTRY            10104   20000202                             00001010400000001 
SUBENT        10104001   20000202                             00001010400100001 
BIB                 13         30                                 1010400100002 
INSTITUTE  (1USAORL)                                              1010400100003 
REFERENCE  (R,ORNL-4518,197008)                                   1010400100004 
AUTHOR     (F.G.PEREY,W.E.KINNEY)                                 1010400100005 
TITLE      Neutron elastic- and inelastic- scattering cross       1010400100006 
            sections for Na in the range of 5.4 to 8.5 MeV        1010400100007 
FACILITY   (VDG,1USAORL) ORNL Van de Graaff, pulsed at 2 mhz and  1010400100008 
            bunched.                                              1010400100009 
INC-SOURCE (D-D) D(d,n) reaction using gas cells ranging in length1010400100010 
            from 0.7 to 4.0 cm. Neutron energy resolution between 1010400100011 
            40 to 170 keV.                                        1010400100012 
SAMPLE     Solid right circular cylinder 2.5 cm diameter,         1010400100013 
            2.54 cm high placed 10 to 30 cm from gas cell.        1010400100014 
METHOD     (TOF) Time-of-flight. 2.5 nanosec resolution (FWHM).   1010400100015 
DETECTOR   (SCIN)  12.5 cm diameter NE213 liquid scintillator     1010400100016 
            viewed by XP-1040 photomultipliers.  Flight paths of  1010400100017 
            4 to 6 meters employed.                               1010400100018 
MONITOR    (1-H-1(N,EL)1-H-1,,DA) Detector efficiency determined  1010400100019 
            relative to n-p cross section.                        1010400100020 
CORRECTION  Corrected for multiple scattering and other finite    1010400100021 
            sample size effects.                                  1010400100022 
STATUS     (APRVD) Approved by authors.                           1010400100023 
           Data rec'd in private comm., Kinney, July 1972.        1010400100024 
HISTORY    (19720712R)                                            1010400100025 
           (19750407A) ISO-QUANT CORRECTED FOR SUBENTRIES 53-67.  1010400100026 
           (19760206U) SECONDARY REFERENCE CORRECTED              1010400100027 
           (19820511A) CONVERTED TO REACTION FORMALISM            1010400100028 
           (19820511A) CONVERTED TO REACTION FORMALISM.           1010400100029 
           (19840418A) BIB CORRECTIONS.                           1010400100030 
           (20000202A) Converted to new date format, lower case.  1010400100031 
                       BIB corrections.                           1010400100032 
ENDBIB              30          0                                 1010400100033 
NOCOMMON             0          0                                 1010400100034 
ENDSUBENT           33          0                                 1010400199999 
SUBENT        10104002   20000202                             00001010400200001 
BIB                  3         11                                 1010400200002 
REACTION   (11-NA-23(N,EL)11-NA-23,,DA)                           1010400200003 
ERR-ANALYS (DATA-ERR) Includes uncertainties in:                  1010400200004 
            . geometric parameters,                               1010400200005 
            . finite size corrections,                            1010400200006 
            . statistics,                                         1010400200007 
            . residual background effects due to peak stripping   1010400200008 
              procedures.                                         1010400200009 
            Does not include absolute error of + or - 7%,         1010400200010 
             estimated error in the absolute value of the         1010400200011 
             detector efficiency.                                 1010400200012 
HISTORY    (19820511A) SUBENTRIES 2,9,21,37 COMBINED.             1010400200013 
ENDBIB              11          0                                 1010400200014 
NOCOMMON             0          0                                 1010400200015 
DATA                 6         94                                 1010400200016 
EN         EN-RSL-HW  ANG-CM     DATA       +DATA-ERR  -DATA-ERR  1010400200017 
MEV        MEV        ADEG       MB/SR      PER-CENT   PER-CENT   1010400200018 
  5.44     0.17         22.94        374.84     6.1        6.1    1010400200019 
  5.44     0.17         28.65        334.86     6.1        6.1    1010400200020 
  5.44     0.17         33.32        250.96     6.1        6.1    1010400200021 
  5.44     0.17         33.33        239.62     6.1        6.1    1010400200022 
  5.44     0.17         39.02        183.60     6.1        6.1    1010400200023 
  5.44     0.17         39.03        187.19     6.1        6.1    1010400200024 
  5.44     0.17         43.68        128.68     6.2        6.2    1010400200025 
  5.44     0.17         44.71        132.77     6.2        6.2    1010400200026 
  5.44     0.17         49.34         98.47     4.3        4.7    1010400200027 
  5.44     0.17         55.01         64.41     6.3        6.3    1010400200028 
  5.44     0.17         59.12         52.87     6.3        6.3    1010400200029 
  5.44     0.17         64.74         42.78     6.3        6.3    1010400200030 
  5.44     0.17         70.34         37.17     6.3        6.3    1010400200031 
  5.44     0.17         74.38         39.86     4.7        5.9    1010400200032 
  5.44     0.17         79.94         39.56     5.8        4.3    1010400200033 
  5.44     0.17         85.48         44.51     4.7        4.3    1010400200034 
  5.44     0.17         90.51         33.89     5.2        6.3    1010400200035 
  5.44     0.17        101.49         33.37     5.0        7.8    1010400200036 
  5.44     0.17        104.45         30.48     4.8        6.8    1010400200037 
  5.44     0.17        109.90         28.34     5.1        6.9    1010400200038 
  5.44     0.17        115.31         26.23     5.4        9.4    1010400200039 
  6.37     0.13         15.65        522.59     4.6        5.7    1010400200040 
  6.37     0.13         23.46        387.62     4.2        4.8    1010400200041 
  6.37     0.13         23.46        376.38     6.1        6.1    1010400200042 
  6.37     0.13         28.66        313.44     6.1        6.1    1010400200043 
  6.37     0.13         33.33        202.32     6.1        6.1    1010400200044 
  6.37     0.13         33.85        209.79     6.1        6.1    1010400200045 
  6.37     0.13         39.03        141.37     6.1        6.1    1010400200046 
  6.37     0.13         44.71         89.05     6.2        6.2    1010400200047 
  6.37     0.13         48.84         70.06     6.2        6.2    1010400200048 
  6.37     0.13         54.49         42.47     4.1        7.0    1010400200049 
  6.37     0.13         60.13         28.58     5.6        8.3    1010400200050 
  6.37     0.13         64.22         22.18     7.0        8.7    1010400200051 
  6.37     0.13         69.82         24.61     5.1        9.7    1010400200052 
  6.37     0.13         75.40         31.36     4.5        8.0    1010400200053 
  6.37     0.13         79.45         27.17     4.7        7.0    1010400200054 
  6.37     0.13         84.99         31.58     4.9        6.7    1010400200055 
  6.37     0.13         90.51         35.18     5.4        9.6    1010400200056 
  6.37     0.13         94.50         33.28     6.0        6.0    1010400200057 
  6.37     0.13         99.98         34.37     5.4        7.7    1010400200058 
  6.37     0.13        104.45         36.68     5.9        9.1    1010400200059 
  6.37     0.13        105.45         33.27     5.1        8.9    1010400200060 
  6.37     0.13        109.89         36.74     5.1       10.9    1010400200061 
  6.37     0.13        115.31         32.20     5.8        9.1    1010400200062 
  6.37     0.13        121.67         23.40     5.7        5.4    1010400200063 
  6.37     0.13        129.00         20.02     5.3        5.8    1010400200064 
  6.37     0.13        136.28         19.08     6.4        5.6    1010400200065 
  7.60     0.10         15.65        588.95     4.0        5.7    1010400200066 
  7.60     0.10         22.94        352.06     6.1        6.1    1010400200067 
  7.60     0.10         23.46        396.18     4.2        4.6    1010400200068 
  7.60     0.10         28.14        267.72     6.1        6.1    1010400200069 
