ENTRY            13640   19970318                             00001364000000001 
SUBENT        13640001   19970318                             00001364000100001 
BIB                 13         17                                 1364000100002 
INSTITUTE  (1USAORL,1USADKE,1USANCA,1USATNL,1USALAS)              1364000100003 
REFERENCE  (J,PR/C,54,2051,9610)                                  1364000100004 
AUTHOR     (P.R.HUFFMAN,C.M.FRANKLE,C.R.GOULD,D.G.HAASE,          1364000100005 
           J.A.HARVEY,N.R.ROBERSON,L.W.WESTON)                    1364000100006 
TITLE      Neutron resonances in 166Ho                            1364000100007 
FACILITY   (LINAC) ORELA                                          1364000100008 
INC-SOURCE (PHOTO) Electrons on water-cooled tantalum target.     1364000100009 
SAMPLE     Solid metal sample, thickness 0.10 atoms/b.            1364000100010 
           Impurity of 0.03% 181Ta.                               1364000100011 
DETECTOR   (GLASD) 6Li-loaded glass scintillator viewed edge-on   1364000100012 
            by a pair of photomultiplier tubes operating in       1364000100013 
            coincidence.                                          1364000100014 
MONITOR    Beam intensity monitored by 235U fission chamber.      1364000100015 
METHOD     (TOF) 79.710-m flight path.                            1364000100016 
CORRECTION Corrected for background and dead-time losses.         1364000100017 
STATUS     No reply from P.R.Huffman to author proof.             1364000100018 
HISTORY    (961226C)                                              1364000100019 
ENDBIB              17          0                                 1364000100020 
NOCOMMON             0          0                                 1364000100021 
ENDSUBENT           20          0                                 1364000199999 
SUBENT        13640002   19970127                             00001364000200001 
BIB                  3          3                                 1364000200002 
REACTION   (67-HO-165(N,TOT),,SIG)                                1364000200003 
ERR-ANALYS No information                                         1364000200004 
STATUS     (UNOBT) Data requested from J.A. Harvey.               1364000200005 
ENDBIB               3          0                                 1364000200006 
NOCOMMON             0          0                                 1364000200007 
NODATA               0          0                                 1364000200008 
ENDSUBENT            7          0                                 1364000299999 
SUBENT        13640003   19970127                             00001364000300001 
BIB                  5         15                                 1364000300002 
REACTION  1(67-HO-165(N,0),,EN)                                   1364000300003 
          2(67-HO-165(N,EL),,WID,,2G)                             1364000300004 
ANALYSIS   (MLA) Analyzed with program SAMMY which uses a Reich-  1364000300005 
            Moore approximation of the R-matrix formalism.        1364000300006 
           Where parameters are not given for a resonance,        1364000300007 
            parameters are taken from the Mughabghab evaluation,  1364000300008 
            (see COMMENT for reference).                          1364000300009 
ERR-ANALYS (DATA-ERR) Statistical and systematic uncertainties    1364000300010 
            summed in quadrature.                                 1364000300011 
COMMENT    Authors report that the 10.32-eV resonance reported in 1364000300012 
            Mughabghab, Neutron Cross Sections, Vol. 1 (1984)     1364000300013 
            belongs to 181Ta.                                     1364000300014 
STATUS     Data taken from article.                               1364000300015 
           (COREL,10531002) Capture data used to confirm          1364000300016 
            assignment of resonances to 166Ho.                    1364000300017 
ENDBIB              15          0                                 1364000300018 
NOCOMMON             0          0                                 1364000300019 
DATA                 4        109                                 1364000300020 
DATA      1DATA-ERR  1DATA      2DATA-ERR  2                      1364000300021 
EV         EV         MILLI-EV   MILLI-EV                         1364000300022 
  8.17       0.01       0.131      0.008                          1364000300023 
 12.64       0.01      11.4        0.6                            1364000300024 
 18.24       0.01       0.83       0.04                           1364000300025 
 21.15       0.01       0.56       0.03                           1364000300026 
 24.79       0.01       0.0147     0.0007                         1364000300027 
 35.53       0.01       8.0        0.4                            1364000300028 
 37.36       0.01       0.55       0.03                           1364000300029 
 39.67       0.01      18.9        0.9                            1364000300030 
 47.80       0.01      29.         1.                             1364000300031 
 51.55       0.01      47.         2.                             1364000300032 
 54.42       0.01       2.6        0.1                            1364000300033 
 65.15       0.01      20.         1.                             1364000300034 
 68.91       0.01       1.24       0.06                           1364000300035 
 71.93       0.01      24.         1.                             1364000300036 
 75.08       0.01       0.083      0.004                          1364000300037 
 80.10       0.02       1.74       0.09                           1364000300038 
 83.80       0.02                                                 1364000300039 
 84.73       0.02                                                 1364000300040 
 85.80       0.02                                                 1364000300041 
 93.63       0.02      84.         4.                             1364000300042 
102.03       0.02      21.         1.                             1364000300043 
106.44       0.02       9.3        0.5                            1364000300044 
117.99       0.02      16.2        0.8                            1364000300045 
119.98       0.02       0.80       0.04                           1364000300046 
120.78       0.02       6.6        0.3                            1364000300047 
124.92       0.02      37.         2.                             1364000300048 
126.90       0.02      47.         2.                             1364000300049 
128.46       0.02      21.         1.                             1364000300050 
139.03       0.02       0.30       0.01                           1364000300051 
141.42       0.02       1.52       0.08                           1364000300052 
149.32       0.03       2.8        0.1                            1364000300053 
151.22       0.03      47.         2.                             1364000300054 
152.49       0.03       0.97       0.05                           1364000300055 
163.22       0.03       3.7        0.2                            1364000300056 
164.36       0.03      20.         1.                             1364000300057 
169.77       0.03      23.         1.                             1364000300058 
174.74       0.03       5.0        0.3                            1364000300059 
181.03       0.03      40.         2.                             1364000300060 
187.94       0.03       0.81       0.04                           1364000300061 
188.89       0.03      20.         1.                             1364000300062 
192.74       0.03       9.9        0.5                            1364000300063 
195.33       0.03       3.5        0.2                            1364000300064 
202.24       0.03      88.         9.                             1364000300065 
205.08       0.04       9.2        0.9                            1364000300066 
210.86       0.04       0.36       0.07                           1364000300067 
214.81       0.04      68.         7.                             1364000300068 
220.63       0.04      34.         3.                             1364000300069 
227.88       0.04       0.77       0.04                           1364000300070 
230.22       0.04       9.4        0.5                            1364000300071 
232.82       0.04       7.1        0.4                            1364000300072 
235.95       0.05       1.0        0.2                            1364000300073 
239.61       0.05      36.         2.                             1364000300074 
248.60       0.05       0.58       0.03                           1364000300075 
254.64       0.05     131.        13.                             1364000300076 
261.24       0.06      37.         3.                             1364000300077 
264.98       0.06       1.8        0.2                            1364000300078 
272.63       0.06       6.5        0.7                            1364000300079 
274.09       0.06      27.         3.                             1364000300080 
277.17       0.06      15.4        0.8                            1364000300081 
281.13       0.06      25.         1.                             1364000300082 
287.62       0.06      12.6        0.6                            1364000300083 
290.51       0.06       4.1        0.2                            1364000300084 
291.40       0.06      22.         2.                             1364000300085 
