ENTRY            14833   20240822                             15141483300000001 
SUBENT        14833001   20240822                             15141483300100001 
BIB                 15         44                                 1483300100002 
TITLE      Differential cross sections of the 16O(n,alpha)        1483300100003 
           reaction at neutron energies from 3.8 to 15 MeV        1483300100004 
AUTHOR     (H.Y.Lee,S.A.Kuvin,L.Zavorka,S.Mosby,B.Digiovine,      1483300100005 
           G.Hale,M.Paris,D.Votaw,M.White)                        1483300100006 
REFERENCE  (J,PR/C,109,014601,2024)                               1483300100007 
           #doi:10.1103/PhysRevC.109.014601                       1483300100008 
EXP-YEAR   (2021) Hye Young Lee (2024-11-27):                     1483300100009 
           The 2021 LENZ data is reported as the final in the     1483300100010 
            2024 report. The earlier (2016-2017) data sets were   1483300100011 
            used to validate our analyses and characterize        1483300100012 
            backgrounds, therefore we do not consider as our      1483300100013 
            final cross sections.                                 1483300100014 
REL-REF    (A,,D.A.Brown+,J,NDS,148,1,2018) ENDF/B-VIII.1 library.1483300100015 
INSTITUTE  (1USALAS)                                              1483300100016 
FACILITY   (LINAC,1USALAS) The Weapons Neutron Research (WNR)     1483300100017 
           facility.                                              1483300100018 
DETECTOR   (SISD,FISCH) LENZ (Low Energy NZ) instrument, fission  1483300100019 
           counter.                                               1483300100020 
SAMPLE     Ta2O5: 400 nm thick on 125 microm Ta backing. Mylar,   1483300100021 
           C10H8O4: 1.6 microm thick. Ta2O5: 350 and 500 nm       1483300100022 
           thick on 3 microm Ta backing.                          1483300100023 
METHOD     (TOF) The 15R flight path has the neutron flight       1483300100024 
           length of 13.28 meters from WNR T4 and is angled at    1483300100025 
           15 degree to the proton-beam right direction. The      1483300100026 
           neutron flux at the flight path is continuously        1483300100027 
           monitored by measuring fission fragments in a fission  1483300100028 
           counter. The 16O(n,alpha) reaction measurements were   1483300100029 
           performed in the LANSCE run cycles in 2016, 2017, and  1483300100030 
           2021. Based on the availability of silicon strip       1483300100031 
           detectors and the optimization of solid angle          1483300100032 
           coverage, LENZ configurations were complementary to    1483300100033 
           cover a broad range of solid angles for alpha          1483300100034 
           particles. Based on the results in the 2016/2017 data, 1483300100035 
           the 2021 experimental configuration was optimized to   1483300100036 
           reduce neutron scattering background and angular       1483300100037 
           broadening with a goal of direct application for       1483300100038 
           R-matrix analyses.                                     1483300100039 
MONITOR    (92-U-238(N,F),,SIG)                                   1483300100040 
CORRECTION The relative timing corrections between the different  1483300100041 
           particles, multiple scattering corrections, and        1483300100042 
           background corrections.                                1483300100043 
EXP-YEAR   (2021)                                                 1483300100044 
STATUS     (APRVD) Approved by H.Y.Lee on August 22, 2024.        1483300100045 
HISTORY    (20240822C) BP                                         1483300100046 
ENDBIB              44          0                                 1483300100047 
NOCOMMON             0          0                                 1483300100048 
ENDSUBENT           47          0                                 1483300199999 
SUBENT        14833002   20240822                             15141483300200001 
BIB                  3         17                                 1483300200002 
REACTION   (8-O-16(N,A)6-C-13,PAR,DA)                             1483300200003 
ERR-ANALYS (ERR-S) Per energy bin.                                1483300200004 
           (ERR-SYS) Total systematic uncertainty.                1483300200005 
           (ERR-1,0.7,1.2) Neutron energy determination.          1483300200006 
           (ERR-2) Energy resolution.                             1483300200007 
           (ERR-3,1.4,4.) Solid angle/detector efficiency.        1483300200008 
           (ERR-4) Target thickness.                              1483300200009 
           (ERR-5) Stoichiometry.                                 1483300200010 
           (ERR-6) 238U deposit nonuniformity                     1483300200011 
           (ERR-7) 238U(n,f) cross section.                       1483300200012 
           (ERR-8,0.1,0.7) 1H(n,el) cross section.                1483300200013 
           (ERR-9) Geometric effects.                             1483300200014 
           (ERR-10) PSD background analysis.                      1483300200015 
           (ERR-11) Ratio method or ratio+fission counter method. 1483300200016 
STATUS     (TABLE,,H.Y.Lee+,J,PR/C,109,014601,2024)               1483300200017 
           Author's data, also shown in Fig. 12,                  1483300200018 
           page 014601-10 of J,PR/C,109,014601,2024.              1483300200019 
ENDBIB              17          0                                 1483300200020 
COMMON               9          6                                 1483300200021 
E-LVL      ANG        ERR-2      ERR-4      ERR-5      ERR-6      1483300200022 
ERR-7      ERR-9      ERR-10                                      1483300200023 
MEV        ADEG       PER-CENT   PER-CENT   PER-CENT   PER-CENT   1483300200024 
PER-CENT   PER-CENT   PER-CENT   PER-CENT                         1483300200025 
        0.0       10.0       0.85        3.0        0.5        5.01483300200026 
        1.5        1.0        2.0                                 1483300200027 
ENDCOMMON            6          0                                 1483300200028 
DATA                 6        119                                 1483300200029 
EN         EN-RSL     DATA-CM    ERR-S      ERR-SYS    ERR-11     1483300200030 
MEV        MEV        MB/SR      MB/SR      MB/SR      PER-CENT   1483300200031 
     3.7640     0.0563       1.19       1.36       0.03        2.31483300200032 
     3.8456     0.0578       1.05       1.08       0.02        2.31483300200033 
     3.9083     0.0589       0.71       1.31       0.02        2.31483300200034 
     3.9729     0.0602       1.52       0.82       0.04        2.31483300200035 
     4.0612     0.0618       2.57       1.22       0.06        2.31483300200036 
     4.1065     0.0627       6.76       2.25       0.16        2.31483300200037 
     4.1294     0.0631       0.70       2.42       0.02        2.31483300200038 
     4.1525     0.0636       7.79       2.35       0.18        2.31483300200039 
     4.1759     0.0640      10.40       2.62       0.24        2.31483300200040 
     4.1994     0.0645      10.27       3.25       0.24        2.31483300200041 
     4.2231     0.0649       8.94       2.90       0.21        2.31483300200042 
     4.2471     0.0654      10.79       2.84       0.25        2.31483300200043 
     4.2712     0.0658      12.19       2.74       0.28        2.31483300200044 
     4.2955     0.0663      20.70       3.61       0.48        2.31483300200045 
     4.3201     0.0668      16.35       3.10       0.38        2.31483300200046 
     4.3448     0.0673      21.04       3.46       0.48        2.31483300200047 
     4.3698     0.0677      18.60       3.46       0.43        2.31483300200048 
     4.3950     0.0682      17.60       3.39       0.40        2.31483300200049 
     4.4204     0.0687      13.61       3.28       0.31        2.31483300200050 
     4.4460     0.0692       4.88       2.75       0.11        2.31483300200051 
     4.4719     0.0697       5.42       2.81       0.12        2.31483300200052 
     4.4980     0.0703       5.26       2.56       0.12        2.31483300200053 
     4.5243     0.0708      10.48       3.03       0.24        2.31483300200054 
     4.5508     0.0713      16.15       3.46       0.37        2.31483300200055 
     4.5776     0.0718       8.08       3.20       0.19        2.31483300200056 
     4.6046     0.0724      11.85       2.46       0.27        2.31483300200057 
     4.6319     0.0729      16.75       3.29       0.39        2.31483300200058 
     4.6594     0.0734       6.11       3.20       0.14        2.31483300200059 
     4.6871     0.0740       9.07       2.65       0.21        2.31483300200060 
     4.7151     0.0746       3.74       2.59       0.09        2.31483300200061 
     4.7434     0.0751       6.33       2.84       0.15        2.31483300200062 
     4.7719     0.0757       4.08       3.05       0.09        2.31483300200063 
     4.8006     0.0763       5.80       3.38       0.13        2.31483300200064 
     4.8296     0.0769      17.06       3.51       0.39        2.31483300200065 
     4.8589     0.0775      13.60       3.93       0.31        2.31483300200066 
     4.8885     0.0781      23.03       3.59       0.53        2.31483300200067 
     4.9183     0.0787      17.67       3.56       0.41        2.31483300200068 
     4.9484     0.0793      17.18       3.53       0.40        2.31483300200069 
     4.9787     0.0799      20.31       4.22       0.47        2.31483300200070 
     5.0094     0.0805      43.01       5.49       0.99        2.31483300200071 
     5.0403     0.0811      42.24       5.23       0.97        2.31483300200072 
     5.0716     0.0818      40.69       5.52       0.94        2.31483300200073 
     5.1031     0.0824      51.78       5.75       1.19        2.31483300200074 
     5.1349     0.0831      34.81       4.47       0.80        2.31483300200075 
     5.1670     0.0838      18.36       4.24       0.42        2.31483300200076 
     5.2322     0.0851       1.00       1.48       0.02        2.31483300200077 
     5.2985     0.0865       2.93       1.99       0.07        2.31483300200078 
     5.3322     0.0872       5.70       2.57       0.13        2.31483300200079 
     5.3662     0.0879       6.58       2.42       0.15        2.31483300200080 
     5.4528     0.0897       0.54       1.03       0.01        2.31483300200081 
     5.5411     0.0916       0.86       1.71       0.02        2.31483300200082 
     5.5771     0.0924       0.50       2.00       0.01        2.31483300200083 
     5.6134     0.0932       1.54       2.11       0.04        2.31483300200084 
     5.6502     0.0940       7.04       2.45       0.16        2.31483300200085 
     5.6872     0.0947       4.93       2.21       0.11        2.31483300200086 
     5.7247     0.0956       5.19       3.28       0.12        2.31483300200087 
     5.7625     0.0964       2.98       2.89       0.07        2.31483300200088 
     5.8007     0.0972       4.50       2.38       0.10        2.31483300200089 
     5.8393     0.0980       1.14       2.26       0.03        2.31483300200090 
     5.8783     0.0989      11.00       2.98       0.25        2.31483300200091 
     5.9176     0.0997      24.68       3.63       0.57        2.31483300200092 
