ENTRY            10570   20040602                             00001057000000001 
SUBENT        10570001   20040602                             00001057000100001 
BIB                 11         17                                 1057000100002 
INSTITUTE  (1USAORE)                                              1057000100003 
REFERENCE  (J,BAP,20,1496(BD9),197512)                            1057000100004 
AUTHOR     (L.L.Yu,J.C.Overley)                                   1057000100005 
TITLE      Small Angle Neutron Scattering from Pb and 238U        1057000100006 
INC-SOURCE (P-LI7) Protons on lithium-7                           1057000100007 
METHOD     (TOF) Time-of-flight                                   1057000100008 
MONITOR    No information                                         1057000100009 
CORRECTION Data corrected for multiple scattering, inelastic      1057000100010 
            scattering, and background effects.                   1057000100011 
ERR-ANALYS (DATA-ERR) No information on source of uncertainties.  1057000100012 
STATUS     (APRVD) Approved by author 1976/5/24.                  1057000100013 
            Tabulated data received from Yu. 1976/1/20.           1057000100014 
HISTORY    (19760126C)                                            1057000100015 
           (19830913A) Converted to REACTION formalism            1057000100016 
           (19860529A) BIB updates.                               1057000100017 
           (20040602A) Converted to new date formats, lower case. 1057000100018 
                       Data restored.                             1057000100019 
ENDBIB              17          0                                 1057000100020 
NOCOMMON             0          0                                 1057000100021 
ENDSUBENT           20          0                                 1057000199999 
SUBENT        10570002   20040602                             00001057000200001 
BIB                  1          1                                 1057000200002 
REACTION   (82-PB-0(N,EL)82-PB-0,,DA)                             1057000200003 
ENDBIB               1          0                                 1057000200004 
NOCOMMON             0          0                                 1057000200005 
DATA                 5         54                                 1057000200006 
ANG        ANG-RSL    EN         DATA       DATA-ERR              1057000200007 
ADEG       ADEG       MEV        B/SR       B/SR                  1057000200008 
0.52       0.1        0.6         6.43       0.74                 1057000200009 
0.52       0.1        0.7         6.68       0.71                 1057000200010 
0.52       0.1        0.8         7.06       0.71                 1057000200011 
0.52       0.1        0.9         8.10       0.68                 1057000200012 
0.52       0.1        1.0         7.47       0.69                 1057000200013 
0.52       0.1        1.1         7.30       0.67                 1057000200014 
0.52       0.1        1.2         7.63       0.67                 1057000200015 
0.52       0.1        1.3         8.56       0.69                 1057000200016 
0.52       0.1        1.4         8.74       0.71                 1057000200017 
0.52       0.1        1.5        10.11       0.70                 1057000200018 
0.52       0.1        1.6         9.15       0.69                 1057000200019 
0.52       0.1        1.7        10.26       0.77                 1057000200020 
0.52       0.1        1.8         9.48       0.73                 1057000200021 
0.52       0.1        1.9        10.06       0.80                 1057000200022 
0.52       0.1        2.0        10.29       0.83                 1057000200023 
0.52       0.1        2.1        10.70       0.77                 1057000200024 
0.52       0.1        2.2         9.04       0.68                 1057000200025 
0.52       0.1        2.3        12.07       1.36                 1057000200026 
1.0        0.6        0.6         2.57       0.31                 1057000200027 
1.0        0.6        0.7         2.99       0.32                 1057000200028 
1.0        0.6        0.8         3.94       0.36                 1057000200029 
1.0        0.6        0.9         3.26       0.33                 1057000200030 
1.0        0.6        1.0         3.09       0.34                 1057000200031 
1.0        0.6        1.1         3.69       0.35                 1057000200032 
1.0        0.6        1.2         3.94       0.34                 1057000200033 
1.0        0.6        1.3         4.82       0.37                 1057000200034 
1.0        0.6        1.4         4.35       0.37                 1057000200035 
1.0        0.6        1.5         4.14       0.37                 1057000200036 
1.0        0.6        1.6         4.81       0.37                 1057000200037 
1.0        0.6        1.7         6.32       0.43                 1057000200038 
1.0        0.6        1.8         5.44       0.39                 1057000200039 
1.0        0.6        1.9         5.78       0.42                 1057000200040 
1.0        0.6        2.0         6.44       0.43                 1057000200041 
1.0        0.6        2.1         6.77       0.43                 1057000200042 
1.0        0.6        2.2         6.59       0.39                 1057000200043 
1.0        0.6        2.3         7.93       0.50                 1057000200044 
1.5        0.6        0.6         2.00       0.23                 1057000200045 
1.5        0.6        0.7         2.03       0.24                 1057000200046 
1.5        0.6        0.8         2.48       0.27                 1057000200047 
1.5        0.6        0.9         2.35       0.26                 1057000200048 
1.5        0.6        1.0         2.12       0.26                 1057000200049 
1.5        0.6        1.1         2.16       0.27                 1057000200050 
1.5        0.6        1.2         2.96       0.29                 1057000200051 
1.5        0.6        1.3         3.20       0.30                 1057000200052 
1.5        0.6        1.4         3.06       0.31                 1057000200053 
1.5        0.6        1.5         3.13       0.30                 1057000200054 
1.5        0.6        1.6         3.40       0.30                 1057000200055 
1.5        0.6        1.7         4.16       0.35                 1057000200056 
1.5        0.6        1.8         3.93       0.34                 1057000200057 
1.5        0.6        1.9         3.76       0.36                 1057000200058 
1.5        0.6        2.0         4.92       0.40                 1057000200059 
1.5        0.6        2.1         5.54       0.40                 1057000200060 
1.5        0.6        2.2         4.47       0.36                 1057000200061 
1.5        0.6        2.3         6.47       0.46                 1057000200062 
ENDDATA             56          0                                 1057000200063 
ENDSUBENT           62          0                                 1057000299999 
SUBENT        10570003   20040602                             00001057000300001 
BIB                  1          1                                 1057000300002 
REACTION   (92-U-238(N,EL)92-U-238,,DA)                           1057000300003 
ENDBIB               1          0                                 1057000300004 
NOCOMMON             0          0                                 1057000300005 
DATA                 5         54                                 1057000300006 
ANG        ANG-RSL    EN         DATA       DATA-ERR              1057000300007 
ADEG       ADEG       MEV        B/SR       B/SR                  1057000300008 
0.5         0.1        0.6        12.03       1.45                1057000300009 
0.5         0.1        0.7        13.32       1.49                1057000300010 
0.5         0.1        0.8         8.30       1.46                1057000300011 
0.5         0.1        0.9        12.99       1.42                1057000300012 
0.5         0.1        1.0        13.16       1.47                1057000300013 
0.5         0.1        1.1        12.28       1.39                1057000300014 
0.5         0.1        1.2        12.11       1.36                1057000300015 
0.5         0.1        1.3        11.87       1.36                1057000300016 
0.5         0.1        1.4        13.28       1.37                1057000300017 
0.5         0.1        1.5        12.24       1.32                1057000300018 
0.5         0.1        1.6        13.35       1.34                1057000300019 
0.5         0.1        1.7        12.12       1.35                1057000300020 
0.5         0.1        1.8        14.15       1.37                1057000300021 
0.5         0.1        1.9        13.66       1.46                1057000300022 
0.5         0.1        2.0        16.17       1.46                1057000300023 
0.5         0.1        2.1        14.54       1.44                1057000300024 
0.5         0.1        2.2        13.77       1.33                1057000300025 
0.5         0.1        2.3        15.76       1.84                1057000300026 
1.0         0.6        0.6         4.23       0.41                1057000300027 
1.0         0.6        0.7         4.28       0.41                1057000300028 
1.0         0.6        0.8         4.99       0.44                1057000300029 
1.0         0.6        0.9         4.62       0.44                1057000300030 
1.0         0.6        1.0         5.43       0.47                1057000300031 
1.0         0.6        1.1         5.18       0.46                1057000300032 
1.0         0.6        1.2         4.77       0.45                1057000300033 
1.0         0.6        1.3         4.89       0.47                1057000300034 
1.0         0.6        1.4         5.67       0.49                1057000300035 
1.0         0.6        1.5         5.54       0.48                1057000300036 
1.0         0.6        1.6         5.74       0.48                1057000300037 
1.0         0.6        1.7         6.65       0.50                1057000300038 
1.0         0.6        1.8         7.36       0.53                1057000300039 
1.0         0.6        1.9         7.58       0.56                1057000300040 
1.0         0.6        2.0         7.87       0.56                1057000300041 
