ENTRY            11460   19820813                             00001146000000001 
SUBENT        11460001   19820813                             00001146000100001 
BIB                  5          6                                 1146000100002 
INSTITUTE  (1USAANL)                                              1146000100003 
REFERENCE  (W,HIBDON,6908) TABULATED DATA.                        1146000100004 
AUTHOR     (C.T.HIBDON)                                           1146000100005 
STATUS     (SCSRS)                                                1146000100006 
HISTORY    (760715T) TRANSLATED FROM SCISRS                       1146000100007 
           (820813A) CONVERTED TO REACTION FORMALISM              1146000100008 
ENDBIB               6          0                                 1146000100009 
NOCOMMON             0          0                                 1146000100010 
ENDSUBENT            9          0                                 1146000199999 
SUBENT        11460002   19820813                             00001146000200001 
BIB                  2          2                                 1146000200002 
REACTION   (12-MG-0(N,TOT),,SIG)                                  1146000200003 
METHOD     FLAT DETECTION, ZERO DEGREES.                          1146000200004 
ENDBIB               2          0                                 1146000200005 
NOCOMMON             0          0                                 1146000200006 
DATA                 3        421                                 1146000200007 
EN         DATA       DATA-ERR                                    1146000200008 
MEV        B          B                                           1146000200009 
 1.300  -01 4.32   +00 5.     -02                                 1146000200010 
 1.310  -01 4.30   +00 5.     -02                                 1146000200011 
 1.320  -01 4.28   +00 5.     -02                                 1146000200012 
 1.330  -01 4.27   +00 5.     -02                                 1146000200013 
 1.340  -01 4.32   +00 5.     -02                                 1146000200014 
 1.350  -01 4.22   +00 5.     -02                                 1146000200015 
 1.360  -01 4.10   +00 5.     -02                                 1146000200016 
 1.365  -01 4.22   +00 5.     -02                                 1146000200017 
 1.380  -01 4.22   +00 5.     -02                                 1146000200018 
 1.400  -01 4.05   +00 5.     -02                                 1146000200019 
 1.420  -01 4.02   +00 5.     -02                                 1146000200020 
 1.440  -01 4.05   +00 5.     -02                                 1146000200021 
 1.460  -01 4.20   +00 6.     -02                                 1146000200022 
 1.480  -01 4.12   +00 6.     -02                                 1146000200023 
 1.500  -01 4.12   +00 6.     -02                                 1146000200024 
 1.520  -01 4.13   +00 6.     -02                                 1146000200025 
 1.540  -01 4.45   +00 6.     -02                                 1146000200026 
 1.560  -01 4.47   +00 6.     -02                                 1146000200027 
 1.570  -01 4.68   +00 8.     -02                                 1146000200028 
 1.580  -01 4.62   +00 8.     -02                                 1146000200029 
 1.600  -01 4.40   +00 8.     -02                                 1146000200030 
 1.620  -01 4.25   +00 8.     -02                                 1146000200031 
 1.640  -01 4.18   +00 8.     -02                                 1146000200032 
 1.660  -01 4.19   +00 8.     -02                                 1146000200033 
 1.680  -01 4.12   +00 8.     -02                                 1146000200034 
 1.700  -01 4.00   +00 8.     -02                                 1146000200035 
 1.720  -01 4.20   +00 8.     -02                                 1146000200036 
 1.740  -01 4.17   +00 8.     -02                                 1146000200037 
 1.760  -01 4.21   +00 8.     -02                                 1146000200038 
 1.780  -01 4.38   +00 8.     -02                                 1146000200039 
 1.800  -01 4.30   +00 8.     -02                                 1146000200040 
 1.820  -01 4.37   +00 8.     -02                                 1146000200041 
 1.840  -01 4.40   +00 8.     -02                                 1146000200042 
 1.860  -01 4.32   +00 8.     -02                                 1146000200043 
 1.880  -01 4.50   +00 8.     -02                                 1146000200044 
 1.900  -01 4.67   +00 8.     -02                                 1146000200045 
 1.920  -01 4.75   +00 8.     -02                                 1146000200046 
 1.930  -01 4.75   +00 8.     -02                                 1146000200047 
 1.935  -01 4.89   +00 8.     -02                                 1146000200048 
 1.940  -01 5.25   +00 8.     -02                                 1146000200049 
 1.945  -01 5.18   +00 8.     -02                                 1146000200050 
 1.950  -01 5.10   +00 8.     -02                                 1146000200051 
 1.955  -01 5.07   +00 8.     -02                                 1146000200052 
 1.960  -01 4.95   +00 8.     -02                                 1146000200053 
 1.980  -01 4.92   +00 8.     -02                                 1146000200054 
 2.000  -01 4.92   +00 8.     -02                                 1146000200055 
 2.020  -01 5.06   +00 8.     -02                                 1146000200056 
