ENTRY            13740   20000328                             00001374000000001 
SUBENT        13740001   20000328                             00001374000100001 
BIB                 13         32                                 1374000100002 
INSTITUTE  (1USALAS,1USAOHO,2AUSIRK)                              1374000100003 
REFERENCE  (J,PR/C,60,064609,1999)                                1374000100004 
AUTHOR     (F.B.BATEMAN,R.C.HAIGHT,M.B.CHADWICK,S.M.STERBENZ,     1374000100005 
           S.M.GRIMES,H.VONACH)                                   1374000100006 
TITLE      Light charged-particle production from neutron         1374000100007 
            bombardment of silicon up to 60 MeV: Role of level    1374000100008 
            densities and isospin                                 1374000100009 
FACILITY   (MESON,1USALAS) WNR at LANSCE.                         1374000100010 
INC-SOURCE (SPALL) Protons on w target.                           1374000100011 
SAMPLE     2 natural silicon foils.                               1374000100012 
           9.78 mg/cm2 sample used for deuteron and most proton   1374000100013 
            data.                                                 1374000100014 
           0.320 mg/cm2 sample used for alpha-particle data and   1374000100015 
            lowest proton energies.                               1374000100016 
METHOD     (EDE)                                                  1374000100017 
DETECTOR   (TELES) Four 3-element  telescopes.                    1374000100018 
           1st element consisted of either a thin-window low-     1374000100019 
            pressure gass proportional counter for alpha          1374000100020 
            detection, or a thin silicon surface barrier detector.1374000100021 
           2nd element consisted of silicon surface barrier E     1374000100022 
            detectors.                                            1374000100023 
           3rd element consisted of CsI(Tl) detectors for higher  1374000100024 
            energy protons and alphas.                            1374000100025 
MONITOR    Silicon detectors calibrated using 228,229Th alpha-    1374000100026 
            particle source.                                      1374000100027 
CORRECTION Corrected for:                                         1374000100028 
           . particles not stopped in silicon detector,           1374000100029 
           . energy loss in detectors,                            1374000100030 
           .ejectile flight time from sample to detector.         1374000100031 
STATUS     Data received by email from R.Haight, 25 February 2000.1374000100032 
           No reply from R. Haight to author proof.               1374000100033 
HISTORY    (20000228C)                                            1374000100034 
ENDBIB              32          0                                 1374000100035 
NOCOMMON             0          0                                 1374000100036 
ENDSUBENT           35          0                                 1374000199999 
SUBENT        13740002   20000228                             00001374000200001 
BIB                  2          3                                 1374000200002 
REACTION   (14-SI-0(N,X)1-H-1,,DA/DE)                             1374000200003 
ERR-ANALYS (ERR-S) Statistical uncertainty.                       1374000200004 
           Systematic uncertainty about 10%.                      1374000200005 
ENDBIB               3          0                                 1374000200006 
NOCOMMON             0          0                                 1374000200007 
DATA                 6       4583                                 1374000200008 
EN-MIN     EN-MAX     ANG        E-MEAN     DATA       ERR-S      1374000200009 
MEV        MEV        ADEG       MEV        MB/SR/MEV  MB/SR/MEV  1374000200010 
    4.00       6.00    30.           1.25     0.1713     0.0441   1374000200011 
    4.00       6.00    30.           1.75     0.7943     0.2484   1374000200012 
    4.00       6.00    30.           2.25     1.0055     0.2502   1374000200013 
    4.00       6.00    30.           2.75     0.0000     0.2211   1374000200014 
    4.00       6.00    30.           3.25     0.5421     0.2042   1374000200015 
    4.00       6.00    30.           3.75     1.2682     0.2105   1374000200016 
    4.00       6.00    30.           4.25     0.0075     0.0066   1374000200017 
    4.00       6.00    30.           4.75     0.0009     0.0056   1374000200018 
    4.00       6.00    30.           5.25     0.0009     0.0038   1374000200019 
    4.00       6.00    30.           5.75     0.0019     0.0019   1374000200020 
    4.00       6.00    30.           6.25     0.0000     0.0019   1374000200021 
    4.00       6.00    30.           7.25     0.0000     0.0019   1374000200022 
    4.00       6.00    30.           8.75     0.0000     0.0019   1374000200023 
    4.00       6.00    30.           9.25     0.0000     0.0019   1374000200024 
    4.00       6.00    30.           9.75     0.0000     0.0019   1374000200025 
    4.00       6.00    30.          17.75     0.0000     0.0019   1374000200026 
    4.00       6.00    30.          43.25     0.0000     0.0019   1374000200027 
    4.00       6.00    30.          46.25     0.0000     0.0019   1374000200028 
    4.00       6.00    30.          46.75     0.0000     0.0019   1374000200029 
    4.00       6.00    60.           1.25     0.0458     0.0313   1374000200030 
    4.00       6.00    60.           1.75     1.3938     0.1279   1374000200031 
    4.00       6.00    60.           2.25     2.2132     0.1461   1374000200032 
    4.00       6.00    60.           2.75     0.3751     0.1142   1374000200033 
    4.00       6.00    60.           3.25     0.1083     0.0881   1374000200034 
    4.00       6.00    60.           3.75     0.0115     0.0572   1374000200035 
    4.00       6.00    60.           4.25     0.0000     0.0019   1374000200036 
    4.00       6.00    60.          10.25     0.0000     0.0019   1374000200037 
    4.00       6.00    90.           1.25     0.0100     0.0060   1374000200038 
    4.00       6.00    90.           1.75     0.3638     0.0912   1374000200039 
    4.00       6.00    90.           2.25     1.4660     0.1077   1374000200040 
    4.00       6.00    90.           2.75     0.3903     0.0827   1374000200041 
    4.00       6.00    90.           3.25     0.0962     0.0635   1374000200042 
    4.00       6.00    90.           3.75     0.2280     0.0512   1374000200043 
    4.00       6.00    90.           4.25     0.0000     0.0521   1374000200044 
    4.00       6.00   135.           1.75     0.0078     0.0056   1374000200045 
    4.00       6.00   135.           2.25     0.7459     0.0906   1374000200046 
    4.00       6.00   135.           2.75     0.6444     0.1028   1374000200047 
    4.00       6.00   135.           3.25     0.1288     0.0765   1374000200048 
    4.00       6.00   135.           3.75     0.0772     0.0702   1374000200049 
    4.00       6.00   135.           4.25     0.0199     0.0610   1374000200050 
    4.00       6.00   135.           4.75     0.0000     0.0580   1374000200051 
    4.00       6.00   135.           5.25     0.0019              1374000200052 
    5.00       7.00    30.           1.25     0.1944     0.0724   1374000200053 
    5.00       7.00    30.           1.75     1.9008     0.3151   1374000200054 
    5.00       7.00    30.           2.25     2.6337     0.3136   1374000200055 
    5.00       7.00    30.           2.75     2.9951     0.3156   1374000200056 
    5.00       7.00    30.           3.25     3.5952     0.3114   1374000200057 
    5.00       7.00    30.           3.75     0.8147     0.2459   1374000200058 
    5.00       7.00    30.           4.25     0.0141     0.0113   1374000200059 
    5.00       7.00    30.           4.75     0.0000     0.0103   1374000200060 
    5.00       7.00    30.           5.25     0.0019     0.0075   1374000200061 
    5.00       7.00    30.           5.75     0.0000     0.0056   1374000200062 
    5.00       7.00    30.           6.25     0.0000     0.0028   1374000200063 
    5.00       7.00    30.           8.75     0.0000     0.0019   1374000200064 
    5.00       7.00    30.           9.25     0.0000     0.0019   1374000200065 
    5.00       7.00    30.          10.25     0.0000     0.0019   1374000200066 
    5.00       7.00    30.          13.25     0.0000     0.0019   1374000200067 
    5.00       7.00    30.          13.75     0.0000     0.0019   1374000200068 
    5.00       7.00    30.          14.75     0.0000     0.0019   1374000200069 
    5.00       7.00    30.          15.25     0.0000     0.0019   1374000200070 
    5.00       7.00    30.          17.75     0.0000     0.0019   1374000200071 
    5.00       7.00    30.          18.25     0.0000     0.0019   1374000200072 
    5.00       7.00    30.          19.25     0.0000     0.0019   1374000200073 
    5.00       7.00    30.          19.75     0.0000     0.0028   1374000200074 
    5.00       7.00    30.          20.25     0.0000     0.0028   1374000200075 
    5.00       7.00    30.          27.25     0.0000     0.0019   1374000200076 
    5.00       7.00    30.          33.25     0.0000     0.0019   1374000200077 
    5.00       7.00    30.          42.25     0.0000     0.0019   1374000200078 
    5.00       7.00    30.          44.25     0.0019              1374000200079 
    5.00       7.00    30.          49.25     0.0000     0.0019   1374000200080 
    5.00       7.00    60.           1.25     0.0646     0.0416   1374000200081 
    5.00       7.00    60.           1.75     1.6781     0.1805   1374000200082 
    5.00       7.00    60.           2.25     3.7763     0.2018   1374000200083 
    5.00       7.00    60.           2.75     3.8163     0.2157   1374000200084 
    5.00       7.00    60.           3.25     3.5215     0.1984   1374000200085 
    5.00       7.00    60.           3.75     0.1682     0.1064   1374000200086 
    5.00       7.00    60.           4.25     0.0009     0.0028   1374000200087 
    5.00       7.00    60.           4.75     0.0009     0.0019   1374000200088 
    5.00       7.00    60.           5.25     0.0019     0.0019   1374000200089 
    5.00       7.00    60.           6.75     0.0019              1374000200090 
    5.00       7.00    60.          10.25     0.0000     0.0019   1374000200091 
    5.00       7.00    60.          11.75     0.0000     0.0019   1374000200092 
    5.00       7.00    90.           1.25     0.0137     0.0082   1374000200093 
    5.00       7.00    90.           1.75     1.0036     0.1277   1374000200094 
    5.00       7.00    90.           2.25     2.8915     0.1528   1374000200095 
    5.00       7.00    90.           2.75     3.2602     0.1623   1374000200096 
    5.00       7.00    90.           3.25     3.2004     0.1497   1374000200097 
    5.00       7.00    90.           3.75     0.7327     0.0893   1374000200098 
    5.00       7.00    90.           4.25     0.0891     0.0760   1374000200099 
    5.00       7.00    90.           4.75     0.0028              1374000200100 
    5.00       7.00    90.           5.25     0.0009     0.0019   1374000200101 
    5.00       7.00   135.           1.75     0.0140     0.0088   1374000200102 
    5.00       7.00   135.           2.25     1.3501     0.1361   1374000200103 
    5.00       7.00   135.           2.75     2.1215     0.1639   1374000200104 
    5.00       7.00   135.           3.25     3.2732     0.1806   1374000200105 
    5.00       7.00   135.           3.75     1.0435     0.1249   1374000200106 
    5.00       7.00   135.           4.25     0.0098     0.0970   1374000200107 
    5.00       7.00   135.           4.75     0.0000     0.0862   1374000200108 
    5.00       7.00   135.           6.75     0.0019              1374000200109 
    5.00       7.00   135.           9.75     0.0000     0.0019   1374000200110 
    6.00       8.00    30.           1.25     0.3507     0.1313   1374000200111 
    6.00       8.00    30.           1.75     1.7934     0.3722   1374000200112 
    6.00       8.00    30.           2.25     3.4546     0.3596   1374000200113 
    6.00       8.00    30.           2.75     6.4051     0.4269   1374000200114 
    6.00       8.00    30.           3.25     6.8849     0.4295   1374000200115 
    6.00       8.00    30.           3.75     4.7921     0.3964   1374000200116 
    6.00       8.00    30.           4.25     0.6533     0.0254   1374000200117 
    6.00       8.00    30.           4.75     0.0150     0.0122   1374000200118 
    6.00       8.00    30.           5.25     0.0000     0.0132   1374000200119 
    6.00       8.00    30.           5.75     0.0000     0.0103   1374000200120 
    6.00       8.00    30.           6.25     0.0000     0.0075   1374000200121 
    6.00       8.00    30.           6.75     0.0019     0.0038   1374000200122 
    6.00       8.00    30.           7.25     0.0000     0.0038   1374000200123 
    6.00       8.00    30.           7.75     0.0019              1374000200124 
    6.00       8.00    30.           8.75     0.0019              1374000200125 
    6.00       8.00    30.           9.75     0.0000     0.0028   1374000200126 
    6.00       8.00    30.          10.25     0.0000     0.0038   1374000200127 
    6.00       8.00    30.          10.75     0.0019     0.0038   1374000200128 
    6.00       8.00    30.          11.25     0.0000     0.0028   1374000200129 
    6.00       8.00    30.          12.75     0.0019              1374000200130 
    6.00       8.00    30.          13.25     0.0000     0.0028   1374000200131 
    6.00       8.00    30.          13.75     0.0000     0.0019   1374000200132 
    6.00       8.00    30.          14.25     0.0009     0.0019   1374000200133 
    6.00       8.00    30.          14.75     0.0000     0.0028   1374000200134 
    6.00       8.00    30.          15.25     0.0000     0.0028   1374000200135 
    6.00       8.00    30.          16.75     0.0019              1374000200136 
    6.00       8.00    30.          17.75     0.0000     0.0028   1374000200137 
    6.00       8.00    30.          19.25     0.0000     0.0019   1374000200138 
    6.00       8.00    30.          19.75     0.0000     0.0028   1374000200139 
    6.00       8.00    30.          20.25     0.0000     0.0028   1374000200140 
    6.00       8.00    30.          27.25     0.0000     0.0028   1374000200141 
    6.00       8.00    30.          33.25     0.0000     0.0028   1374000200142 
    6.00       8.00    30.          42.25     0.0000     0.0028   1374000200143 
    6.00       8.00    60.           1.25     0.1049     0.0317   1374000200144 
    6.00       8.00    60.           1.75     1.6002     0.2015   1374000200145 
    6.00       8.00    60.           2.25     3.7135     0.2420   1374000200146 
    6.00       8.00    60.           2.75     6.9516     0.3053   1374000200147 
    6.00       8.00    60.           3.25     6.4551     0.2952   1374000200148 
    6.00       8.00    60.           3.75     5.1510     0.2685   1374000200149 
    6.00       8.00    60.           4.25     0.0602     0.0066   1374000200150 
    6.00       8.00    60.           4.75     0.0216     0.0038   1374000200151 
    6.00       8.00    60.           5.25     0.0009     0.0028   1374000200152 
    6.00       8.00    60.           5.75     0.0000     0.0019   1374000200153 
    6.00       8.00    60.           6.25     0.0000     0.0019   1374000200154 
    6.00       8.00    60.           6.75     0.0019              1374000200155 
    6.00       8.00    60.           9.75     0.0000     0.0019   1374000200156 
    6.00       8.00    60.          10.25     0.0000     0.0019   1374000200157 
    6.00       8.00    60.          26.25     0.0000     0.0019   1374000200158 
    6.00       8.00    60.          41.75     0.0000     0.0019   1374000200159 
    6.00       8.00    90.           1.75     1.1331     0.1505   1374000200160 
    6.00       8.00    90.           2.25     2.4804     0.1822   1374000200161 
    6.00       8.00    90.           2.75     5.9248     0.2309   1374000200162 
    6.00       8.00    90.           3.25     5.9219     0.2238   1374000200163 
    6.00       8.00    90.           3.75     4.4651     0.2032   1374000200164 
    6.00       8.00    90.           4.25     3.3108     0.1831   1374000200165 
    6.00       8.00    90.           4.75     0.0244     0.0028   1374000200166 
    6.00       8.00    90.           5.25     0.0028     0.0019   1374000200167 
    6.00       8.00    90.           6.25     0.0019              1374000200168 
    6.00       8.00    90.           7.75     0.0019              1374000200169 
    6.00       8.00    90.          10.25     0.0000     0.0019   1374000200170 
    6.00       8.00   135.           1.75     0.0266     0.0140   1374000200171 
    6.00       8.00   135.           2.25     1.3207     0.1596   1374000200172 
    6.00       8.00   135.           2.75     3.4200     0.2270   1374000200173 
    6.00       8.00   135.           3.25     5.8384     0.2618   1374000200174 
    6.00       8.00   135.           3.75     3.9679     0.2249   1374000200175 
    6.00       8.00   135.           4.25     3.1925     0.2173   1374000200176 
    6.00       8.00   135.           4.75     0.4144     0.1421   1374000200177 
    6.00       8.00   135.           5.25     0.0047     0.0028   1374000200178 
    6.00       8.00   135.           5.75     0.0000     0.0019   1374000200179 
    6.00       8.00   135.           7.75     0.0000     0.0019   1374000200180 
    6.00       8.00   135.           9.75     0.0000     0.0028   1374000200181 
    6.00       8.00   135.          10.25     0.0019     0.0019   1374000200182 
    7.00       9.00    30.           1.25     0.3943     0.1766   1374000200183 
    7.00       9.00    30.           1.75     1.3912     0.4384   1374000200184 
    7.00       9.00    30.           2.25     3.2434     0.4497   1374000200185 
    7.00       9.00    30.           2.75     5.5184     0.4565   1374000200186 
