ENTRY            13610   20050720                             13361361000000001 
SUBENT        13610001   20050720                             13361361000100001 
BIB                 12         26                                 1361000100002 
INSTITUTE  (1USALAS,1USATEX,1USATAM,1USAMTU,1USAANL,3CRORBZ,      1361000100003 
           1USAWSU) and U. of Central Arkansas.                   1361000100004 
REFERENCE  (J,PR/C,48,256,1993)                                   1361000100005 
AUTHOR     (M.W.MC Naughton,K.Johnston,D.R.Swenson,D.Tupa,        1361000100006 
           R.L.York,D.A.Ambrose,P.Coffey,K.H.McNaughton,          1361000100007 
           P.J.Riley,G.Glass,J.C.Hiebert,R.H.Jeppesen,H.Spinka,   1361000100008 
           I.Supek,G.E.Tripard,H.Woolverton)                      1361000100009 
TITLE      np-elastic analyzing power A(N0) and spin transfer     1361000100010 
            K(NN)                                                 1361000100011 
FACILITY   (MESON,1USALAS) LAMPF                                  1361000100012 
INC-SOURCE (POLNS,P-D) Polarized protons on liquid deuterium      1361000100013 
SAMPLE     Liquid hydrogen                                        1361000100014 
DETECTOR   (SCIN) 24-element plastic scintillator hodoscope for   1361000100015 
            scattered neutron detection.                          1361000100016 
           (MAGSP) Recoil protons                                 1361000100017 
           Proton polarization analyzed using Janus carbon        1361000100018 
            polarimeter.                                          1361000100019 
CORRECTION Correected for detector efficiency, system live time,  1361000100020 
            and background.                                       1361000100021 
ERR-ANALYS (DATA-ERR1) Overall point-to-point uncertainty         1361000100022 
           (DATA-ERR2) Normalization uncertainty due to           1361000100023 
            uncertainty in neutron-beam polarization.             1361000100024 
STATUS     Data taken from tables in article.                     1361000100025 
           Not proofread by author.                               1361000100026 
HISTORY    (19960320C)                                            1361000100027 
           (20050720C) DR Format updated and reference corrected  1361000100028 
ENDBIB              26          0                                 1361000100029 
NOCOMMON             0          0                                 1361000100030 
ENDSUBENT           29          0                                 1361000199999 
SUBENT        13610002   19960325                             00001361000200001 
BIB                  2          2                                 1361000200002 
REACTION   (1-H-1(N,EL)1-H-1,,POL/DA,,ANA)                        1361000200003 
METHOD     Beam spin flipped.                                     1361000200004 
ENDBIB               2          0                                 1361000200005 
NOCOMMON             0          0                                 1361000200006 
DATA                 5         90                                 1361000200007 
EN         ANG-CM     DATA-CM    DATA-ERR1  DATA-ERR2             1361000200008 
MEV        ADEG       NO-DIM     NO-DIM     PER-CENT              1361000200009 
485.       160.99     -0.059      0.004      2.0                  1361000200010 
485.       157.84     -0.068      0.004      2.0                  1361000200011 
485.       154.53     -0.080      0.004      2.0                  1361000200012 
485.       150.54     -0.091      0.005      2.0                  1361000200013 
485.       146.92     -0.102      0.005      2.0                  1361000200014 
485.       143.17     -0.117      0.005      2.0                  1361000200015 
485.       140.45     -0.120      0.004      2.0                  1361000200016 
485.       136.34     -0.138      0.004      2.0                  1361000200017 
485.       131.82     -0.165      0.004      2.0                  1361000200018 
485.       129.42     -0.178      0.004      2.0                  1361000200019 
485.       125.31     -0.208      0.004      2.0                  1361000200020 
485.       121.09     -0.241      0.004      2.0                  1361000200021 
485.       118.94     -0.246      0.005      2.0                  1361000200022 
485.       115.15     -0.268      0.005      2.0                  1361000200023 
485.       110.74     -0.289      0.005      2.0                  1361000200024 
485.       108.10     -0.305      0.006      2.0                  1361000200025 
485.       103.89     -0.300      0.006      2.0                  1361000200026 
485.        99.66     -0.293      0.006      2.0                  1361000200027 
485.        97.49     -0.293      0.005      2.0                  1361000200028 
485.        93.12     -0.268      0.005      2.0                  1361000200029 
485.        89.20     -0.233      0.005      2.0                  1361000200030 
485.        87.00     -0.212      0.006      2.0                  1361000200031 
485.        82.79     -0.158      0.006      2.0                  1361000200032 
485.        79.19     -0.119      0.006      2.0                  1361000200033 
485.        77.29     -0.091      0.005      2.0                  1361000200034 
485.        73.12     -0.042      0.005      2.0                  1361000200035 
485.        69.65      0.000      0.005      2.0                  1361000200036 
485.        67.63      0.032      0.005      2.0                  1361000200037 
485.        63.90      0.080      0.005      2.0                  1361000200038 
485.        60.84      0.116      0.005      2.0                  1361000200039 
635.       159.67     -0.064      0.005      2.0                  1361000200040 
635.       156.69     -0.072      0.005      2.0                  1361000200041 
635.       153.56     -0.080      0.005      2.0                  1361000200042 
635.       149.11     -0.102      0.005      2.0                  1361000200043 
635.       145.94     -0.121      0.005      2.0                  1361000200044 
635.       142.55     -0.141      0.005      2.0                  1361000200045 
635.       139.11     -0.150      0.005      2.0                  1361000200046 
635.       134.93     -0.183      0.005      2.0                  1361000200047 
635.       130.43     -0.228      0.005      2.0                  1361000200048 
635.       128.37     -0.246      0.005      2.0                  1361000200049 
635.       124.45     -0.285      0.005      2.0                  1361000200050 
635.       119.81     -0.325      0.005      2.0                  1361000200051 
635.       117.11     -0.341      0.005      2.0                  1361000200052 
635.       113.05     -0.368      0.005      2.0                  1361000200053 
635.       108.70     -0.371      0.005      2.0                  1361000200054 
635.       106.02     -0.370      0.005      2.0                  1361000200055 
635.       101.90     -0.355      0.005      2.0                  1361000200056 
635.        97.87     -0.326      0.005      2.0                  1361000200057 
635.        95.66     -0.301      0.004      2.0                  1361000200058 
635.        91.40     -0.250      0.004      2.0                  1361000200059 
635.        87.46     -0.195      0.004      2.0                  1361000200060 
635.        85.12     -0.166      0.005      2.0                  1361000200061 
635.        81.03     -0.107      0.005      2.0                  1361000200062 
635.        77.43     -0.054      0.005      2.0                  1361000200063 
635.        74.99     -0.025      0.005      2.0                  1361000200064 
635.        70.87      0.038      0.005      2.0                  1361000200065 
635.        67.49      0.077      0.005      2.0                  1361000200066 
635.        65.66      0.103      0.004      2.0                  1361000200067 
635.        61.73      0.143      0.004      2.0                  1361000200068 
635.        58.60      0.177      0.004      2.0                  1361000200069 
788.       159.90     -0.070      0.008      2.0                  1361000200070 
788.       157.05     -0.070      0.006      2.0                  1361000200071 
788.       153.80     -0.084      0.005      2.0                  1361000200072 
788.       148.82     -0.106      0.004      2.0                  1361000200073 
788.       145.47     -0.121      0.004      2.0                  1361000200074 
788.       141.60     -0.142      0.004      2.0                  1361000200075 
788.       137.78     -0.167      0.005      2.0                  1361000200076 
788.       134.36     -0.183      0.005      2.0                  1361000200077 
788.       130.32     -0.214      0.005      2.0                  1361000200078 
788.       126.99     -0.222      0.005      2.0                  1361000200079 
788.       123.06     -0.245      0.005      2.0                  1361000200080 
788.       118.42     -0.262      0.005      2.0                  1361000200081 
788.       115.58     -0.262      0.004      2.0                  1361000200082 
788.       111.46     -0.270      0.004      2.0                  1361000200083 
788.       107.14     -0.269      0.004      2.0                  1361000200084 
788.       105.10     -0.265      0.005      2.0                  1361000200085 
788.       101.30     -0.258      0.005      2.0                  1361000200086 
788.        96.76     -0.238      0.005      2.0                  1361000200087 
788.        93.93     -0.224      0.005      2.0                  1361000200088 
788.        89.99     -0.195      0.005      2.0                  1361000200089 
788.        86.08     -0.140      0.005      2.0                  1361000200090 
788.        83.79     -0.118      0.005      2.0                  1361000200091 
788.        79.97     -0.064      0.005      2.0                  1361000200092 
788.        76.10     -0.006      0.005      2.0                  1361000200093 
788.        73.75     -0.024      0.005      2.0                  1361000200094 
