ENTRY            D0858   20180109                             D113D085800000001 
SUBENT        D0858001   20180109                             D113D085800100001 
BIB                  8         12                                 D085800100002 
TITLE      The 56Fe(a,g)60Ni reaction at excitation energies      D085800100003 
           in the region of the giant dipole resonance            D085800100004 
AUTHOR     (G.S.Foote, D.Branford, R.A.I.Bell, R.B.Watson)        D085800100005 
INSTITUTE  (3AULCBR)                                              D085800100006 
REFERENCE  (J,NP/A,220,505,1974)                                  D085800100007 
           #doi:10.1016/0375-9474(74)90131-6                      D085800100008 
FACILITY   (VDGT,3AULCBR) EN tandem Van de Graaff accelerator.    D085800100009 
DETECTOR   (NAICR) 23.8x25.4 cm detector placed with its front    D085800100010 
           face 28 cm from the target was used for gamma          D085800100011 
           registration.                                          D085800100012 
METHOD     (BCINT,GSPEC)                                          D085800100013 
HISTORY    (20180109C) SS+On                                      D085800100014 
ENDBIB              12          0                                 D085800100015 
NOCOMMON             0          0                                 D085800100016 
ENDSUBENT           15          0                                 D085800199999 
SUBENT        D0858002   20180109                             D113D085800200001 
BIB                  5          9                                 D085800200002 
REACTION   (26-FE-56(A,G)28-NI-60,PAR,DA)                         D085800200003 
SAMPLE     (26-FE-56,ENR=0.985) Self-supporting targets with the  D085800200004 
           thicknesses of 88, 86, 218 and 97 mu-g/cm2 for         D085800200005 
           12.0-17.6, 8.0-9.0, 9.0-12.0, 11.0-11.4 MeV energy     D085800200006 
           intervals, respectively.                               D085800200007 
INC-SOURCE 0.3-0.8 mu-A beams of 4He++ ions.                      D085800200008 
ERR-ANALYS (ERR-S) Statistical error.                             D085800200009 
           (ERR-1) Error in the absolute values.                  D085800200010 
STATUS     (CURVE) Figure 2 from Nucl.Phys.A220,505(1974).        D085800200011 
ENDBIB               9          0                                 D085800200012 
COMMON               4          3                                 D085800200013 
ANG        ERR-1      EN-ERR-DIG ERR-DIG                          D085800200014 
ADEG       PER-CENT   MEV        MU-B/SR                          D085800200015 
        90.        25.      0.016     0.0046                      D085800200016 
ENDCOMMON            3          0                                 D085800200017 
DATA                 5        214                                 D085800200018 
E-LVL      LVL-NUMB   EN         DATA       ERR-S                 D085800200019 
MEV        NO-DIM     MEV        MU-B/SR    MU-B/SR               D085800200020 
         0.                 7.993     1.2531     0.1217           D085800200021 
         0.                 8.090     0.5313     0.1095           D085800200022 
         0.                 8.193     0.9307     0.1094           D085800200023 
         0.                 8.287     0.6150     0.0906           D085800200024 
         0.                 8.399     1.0143     0.1338           D085800200025 
         0.                 8.475     1.4078     0.1335           D085800200026 
         0.                 8.589     1.3707     0.1393           D085800200027 
         0.                 8.701     1.0852     0.1153           D085800200028 
         0.                 8.778     0.8181     0.1095           D085800200029 
         0.                 8.891     1.3750     0.1278           D085800200030 
         0.                 8.990     1.4350     0.1336           D085800200031 
         0.                 9.041     1.2892     0.0974           D085800200032 
         0.                 9.083     1.0890     0.1158           D085800200033 
         0.                 9.145     1.0643     0.1037           D085800200034 
         0.                 9.184     1.3247     0.1154           D085800200035 
         0.                 9.234     1.0941     0.1096           D085800200036 
         0.                 9.285     0.9544     0.0978           D085800200037 
         0.                 9.339     1.0147     0.0974           D085800200038 
         0.                 9.394     1.1295     0.1098           D085800200039 
         0.                 9.435     1.5111     0.1097           D085800200040 
         0.                 9.489     1.5532     0.1275           D085800200041 
         0.                 9.539     1.3286     0.1098           D085800200042 
         0.                 9.575     2.7587     0.1878           D085800200043 
         0.                 9.644     1.2128     0.1156           D085800200044 
         0.                 9.681     1.3641     0.1330           D085800200045 
         0.                 9.735     1.4183     0.1157           D085800200046 
         0.                 9.785     1.1150     0.1215           D085800200047 
         0.                 9.830     1.1814     0.0967           D085800200048 
         0.                 9.876     1.3084     0.1095           D085800200049 
