ENTRY            D0720   20131014                             D092D072000000001 
SUBENT        D0720001   20131014                             D092D072000100001 
BIB                 12         33                                 D072000100002 
TITLE      Cross sections for inelastic scattering of neutrons on D072000100003 
            28Si and comparison with the 25Mg(a,n)28Si reaction   D072000100004 
AUTHOR     (A.Negret, C.Borcea, D.Bucurescu, D.Deleanu,           D072000100005 
            Ph.Dessagne, D.Filipescu, D.Ghita, T.Glodariu,        D072000100006 
            M.Kerveno, N.Marginean, R.Marginean, C.Mihai, S.Pascu,D072000100007 
            A.J.M.Plompen, T.Sava, L.Stroe)                       D072000100008 
INSTITUTE  (3RUMBUC,2FR ULP,2ZZZGEL)                              D072000100009 
REFERENCE  (J,PR/C,88,034604,2013)                                D072000100010 
REL-REF    (O,,A.Negret+,J,PR/C,88,034604,2013)                   D072000100011 
            28Si(n,n'+g)28Si data compiled separately             D072000100012 
FACILITY   (VDGT,3RUMBUC)                                         D072000100013 
SAMPLE     Self-supporting 25Mg target (0.626+/-0.017 mg/cm2).    D072000100014 
           Monte Carlo simulations with SRIM shows that the       D072000100015 
            energy loss of the alpha-particles ranges from        D072000100016 
            400 keV (at 5.6 MeV) to 200 keV (at 15 MeV).          D072000100017 
METHOD     (BCINT) A Faraday cup was used to determine the        D072000100018 
            integrated beam intensity                             D072000100019 
DETECTOR   (HPGE) Placed at 30 and 70 deg with respect to the     D072000100020 
            beam axis.                                            D072000100021 
           Efficiency was calibrated by a 152Eu source (for       D072000100022 
            determination of absolute efficiency below 1.5 MeV)   D072000100023 
            and an uncalibrated 56Co source (for determination of D072000100024 
            the shape of the efficiency curve at high energies    D072000100025 
            up to 3.25 MeV).                                      D072000100026 
ERR-ANALYS (EN-ERR) Calculated based on incident beam energy and  D072000100027 
            energy loss in 25Mg by alphas                         D072000100028 
           (ERR-T) Uncertainties propagated from                  D072000100029 
           (ERR-1)     Detector efficiency        (2%)            D072000100030 
           (ERR-2)     Target thickness         (2.7%)            D072000100031 
           (ERR-S,0.2) Statistical uncertainty (>0.2%)            D072000100032 
STATUS     (APRVD) Approved by Alexandru Negret (2013-10-14)      D072000100033 
HISTORY    (20131001C) On                                         D072000100034 
           (20131014R) On. Received from Alexandru Negret         D072000100035 
ENDBIB              33          0                                 D072000100036 
COMMON               2          3                                 D072000100037 
ERR-1      ERR-2                                                  D072000100038 
PER-CENT   PER-CENT                                               D072000100039 
 2.         2.7                                                   D072000100040 
ENDCOMMON            3          0                                 D072000100041 
ENDSUBENT           40          0                                 D072000199999 
SUBENT        D0720002   20131014                             D092D072000200001 
BIB                  2          2                                 D072000200002 
REACTION   (12-MG-25(A,N)14-SI-28,PAR,SIG,G)                      D072000200003 
STATUS     (TABLE) Plotted in Fig.5 of Phys.Rev.C88(2013)034604   D072000200004 
ENDBIB               2          0                                 D072000200005 
NOCOMMON             0          0                                 D072000200006 
DATA                 5        120                                 D072000200007 
E          EN         EN-ERR     DATA       ERR-T                 D072000200008 
KEV        MEV        MEV        B          B                     D072000200009 
 1779.       5.41      0.12       0.18131    0.00621              D072000200010 
 1779.       5.62      0.1        0.2134     0.00731              D072000200011 
 1779.       5.82      0.1        0.24094    0.00825              D072000200012 
 1779.       5.93      0.1        0.24506    0.0084               D072000200013 
 1779.       5.93      0.1        0.25999    0.00896              D072000200014 
 1779.       6.03      0.1        0.27459    0.00941              D072000200015 
 1779.       6.13      0.1        0.29023    0.00994              D072000200016 
 1779.       6.23      0.09       0.27803    0.00952              D072000200017 
 1779.       6.33      0.1        0.27919    0.00957              D072000200018 
 1779.       6.33      0.1        0.28855    0.00989              D072000200019 
 1779.       6.44      0.1        0.28518    0.00977              D072000200020 
 1779.       6.54      0.09       0.29303    0.01004              D072000200021 
 1779.       6.64      0.09       0.3066     0.0105               D072000200022 
 1779.       6.74      0.09       0.32001    0.01096              D072000200023 
 1779.       6.84      0.1        0.33542    0.0115               D072000200024 
 1779.       7.15      0.09       0.35901    0.0123               D072000200025 
 1779.       7.45      0.09       0.38509    0.01319              D072000200026 
 1779.       7.65      0.08       0.38063    0.01304              D072000200027 
 1779.       7.86      0.09       0.41806    0.01433              D072000200028 
 1779.       8.36      0.07       0.47114    0.01614              D072000200029 
 1779.       8.87      0.07       0.52245    0.01792              D072000200030 
 1779.       9.88      0.07       0.52957    0.02017              D072000200031 
 1779.      11.89      0.07       0.64862    0.0283               D072000200032 
 1779.      14.91      0.05       0.5048     0.02936              D072000200033 
 2839.       5.41      0.12       0.04809    0.00166              D072000200034 
 2839.       5.62      0.1        0.05297    0.00182              D072000200035 
 2839.       5.82      0.1        0.05415    0.00186              D072000200036 
 2839.       5.93      0.1        0.05404    0.00187              D072000200037 
 2839.       5.93      0.1        0.05724    0.00206              D072000200038 
 2839.       6.03      0.1        0.0619     0.00213              D072000200039 
 2839.       6.13      0.1        0.06567    0.00226              D072000200040 
 2839.       6.23      0.09       0.06248    0.00215              D072000200041 
 2839.       6.33      0.1        0.06143    0.00212              D072000200042 
 2839.       6.33      0.1        0.06265    0.00217              D072000200043 
 2839.       6.44      0.1        0.06484    0.00223              D072000200044 
 2839.       6.54      0.09       0.06912    0.00238              D072000200045 
 2839.       6.64      0.09       0.0748     0.00257              D072000200046 
 2839.       6.74      0.09       0.07733    0.00266              D072000200047 
 2839.       6.84      0.1        0.07979    0.00275              D072000200048 
 2839.       7.15      0.09       0.08172    0.00281              D072000200049 
 2839.       7.45      0.09       0.08794    0.00302              D072000200050 
 2839.       7.65      0.08       0.09261    0.0032               D072000200051 
 2839.       7.86      0.09       0.10134    0.00349              D072000200052 
 2839.       8.36      0.07       0.10875    0.00374              D072000200053 
 2839.       8.87      0.07       0.11701    0.00453              D072000200054 
 2839.       9.88      0.07       0.09725    0.00393              D072000200055 
 2839.      11.89      0.07       0.10965    0.0058               D072000200056 
 2839.      14.91      0.05       0.06993    0.00317              D072000200057 
 3201.       5.41      0.12       0.00446    0.00018              D072000200058 
 3201.       5.62      0.1        0.00463    0.00018              D072000200059 
 3201.       5.82      0.1        0.00682    0.00025              D072000200060 
 3201.       5.93      0.1        0.00738    0.00029              D072000200061 
 3201.       5.93      0.1        0.00782    0.00042              D072000200062 
 3201.       6.03      0.1        0.00808    0.0003               D072000200063 
 3201.       6.13      0.1        0.00804    0.0003               D072000200064 
 3201.       6.23      0.09       0.00718    0.00027              D072000200065 
 3201.       6.33      0.1        0.0072     0.00027              D072000200066 
 3201.       6.33      0.1        0.00736    0.00029              D072000200067 
 3201.       6.44      0.1        0.00732    0.00028              D072000200068 
 3201.       6.54      0.09       0.00698    0.00026              D072000200069 
 3201.       6.64      0.09       0.00693    0.00026              D072000200070 
 3201.       6.74      0.09       0.00709    0.00027              D072000200071 
 3201.       6.84      0.1        0.00703    0.00028              D072000200072 
 3201.       7.15      0.09       0.00686    0.00028              D072000200073 
 3201.       7.45      0.09       0.00502    0.00022              D072000200074 
 3201.       7.65      0.08       0.00534    0.00027              D072000200075 
 3201.       7.86      0.09       0.00782    0.00206              D072000200076 
 3201.       8.36      0.07       0.00871    0.00037              D072000200077 
 3201.       8.87      0.07       0.00596    0.00052              D072000200078 
 3201.       9.88      0.07       0.00518    0.00027              D072000200079 
 3201.      11.89      0.07       0.00586    0.00052              D072000200080 
 3201.      14.91      0.05       0.00344    0.00089              D072000200081 
 4497.       5.41      0.12       0.01311    0.0006               D072000200082 
 4497.       5.62      0.1        0.01755    0.00062              D072000200083 
 4497.       5.82      0.1        0.01864    0.0011               D072000200084 
 4497.       5.93      0.1        0.0194     0.00071              D072000200085 
 4497.       5.93      0.1        0.02078    0.0009               D072000200086 
 4497.       6.03      0.1        0.02195    0.00078              D072000200087 
 4497.       6.13      0.1        0.02421    0.00086              D072000200088 
