ENTRY            D0078   20110912                             D080D007800000001 
SUBENT        D0078001   20110912                             D080D007800100001 
BIB                 10         25                                 D007800100002 
TITLE      Measurement of (p,p) elastic differential cross        D007800100003 
            sections fo carbon, nitrogen, oxygen, aluminium and   D007800100004 
            silicon in  the 500-2500 keV range at 140 deg and     D007800100005 
            178 deg laboratory scattering angles                  D007800100006 
AUTHOR     (A.R.Ramos, A.Paul, L.Rijniers, M.F.da Silva,          D007800100007 
            J.C.Soares)                                           D007800100008 
INSTITUTE  (2PRTLIS,2PRTLFE,2NEDENT)                              D007800100009 
REFERENCE  (J,NIM/B,190,95,2002)                                  D007800100010 
FACILITY   (VDG,2PRTLFE)                                          D007800100011 
SAMPLE     All samples were carefully investigated by 4He BS      D007800100012 
            experiments (EHe = 1600 and 2000 keV) to determine    D007800100013 
            the stoichiometry, layer thickness, homogeneity and   D007800100014 
            presence of impurities that could affect the results. D007800100015 
           All samples are natural.                               D007800100016 
DETECTOR   (SIBAR) The annular detector, a Si surface barrier     D007800100017 
             detector, accepts particles scattered at 178 deg.    D007800100018 
             effective scattering angle and has a solid angle     D007800100019 
             of 18 msr and an energy resolution of 20 keV.        D007800100020 
            Another Si surface barrier detector is located at     D007800100021 
             140 deg. in IBM geometry, with a solid angle of      D007800100022 
             3.4 msr and an energy resolution of 15 keV.          D007800100023 
STATUS     (APRVD) Proof-read by Ana Rita L.Ramos Whal(2011-09-14)D007800100024 
ERR-ANALYS (DATA-ERR) Due to Signal area and areal density        D007800100025 
HISTORY    (20040116C) SD                                         D007800100026 
           (20110908R) On. Revised data from Ana Rita L.Ramos WahlD007800100027 
ENDBIB              25          0                                 D007800100028 
NOCOMMON             0          0                                 D007800100029 
ENDSUBENT           28          0                                 D007800199999 
SUBENT        D0078002   20110912                             D080D007800200001 
BIB                  4         14                                 D007800200002 
REACTION  1(13-AL-27(P,EL)13-AL-27,,DA,,RTH)                      D007800200003 
          2(13-AL-27(P,EL)13-AL-27,,DA)                           D007800200004 
SAMPLE     Aluminium and nitrogen where measured simultaneously   D007800200005 
            using a (1350+-70)x10**15/cm2 thick AlN film,         D007800200006 
            reactive sputter deposited over a vitreous graphite   D007800200007 
            substrate.                                            D007800200008 
           Over the AlN film, a gold layer (55 +-5)xl0**15/cm2    D007800200009 
            thick was evaporated.                                 D007800200010 
           4He BS experiments showed that the film was            D007800200011 
            stoichiometric (49 at.% N and 48 at.% Al).            D007800200012 
           Minor impurities of 0 (2.5 at. %) and Cu (0.5 at. %)   D007800200013 
            were detected.                                        D007800200014 
STATUS     (TABLE) Fig.4 of Nucl.Instrum.Meth.B190(2002)95        D007800200015 
HISTORY    (20110912A) On. STATUS added                           D007800200016 
ENDBIB              14          0                                 D007800200017 
NOCOMMON             0          0                                 D007800200018 
DATA                 5        322                                 D007800200019 
ANG        EN         DATA      1DATA      2DATA-ERR  2           D007800200020 
ADEG       KEV        NO-DIM     B/SR       B/SR                  D007800200021 
 140.        498.      0.973      1.0808     0.0080               D007800200022 
 140.        528.      0.971      0.9822     0.0076               D007800200023 
 140.        558.      0.981      0.8876     0.0069               D007800200024 
 140.        588.      0.975      0.7944     0.0053               D007800200025 
 140.        599.      0.989      0.7785     0.0050               D007800200026 
 140.        618.      0.967      0.7133     0.0040               D007800200027 
 140.        648.      0.971      0.6508     0.0047               D007800200028 
 140.        678.      0.963      0.5900     0.0042               D007800200029 
 140.        698.      0.976      0.5637     0.0036               D007800200030 
 140.        708.      0.979      0.5497     0.0039               D007800200031 
 140.        739.      0.975      0.5030     0.0037               D007800200032 
 140.        769.      0.959      0.4567     0.0035               D007800200033 
 140.        798.      0.986      0.4356     0.0026               D007800200034 
 140.        829.      0.989      0.4055     0.0033               D007800200035 
 140.        849.      0.970      0.3787     0.0032               D007800200036 
 140.        859.      0.982      0.3742     0.0031               D007800200037 
 140.        868.      0.974      0.3633     0.0030               D007800200038 
 140.        878.      0.977      0.3560     0.0029               D007800200039 
 140.        889.      0.976      0.3474     0.0026               D007800200040 
 140.        899.      0.967      0.3367     0.0026               D007800200041 
 140.        909.      0.974      0.3315     0.0025               D007800200042 
 140.        919.      0.977      0.3255     0.0021               D007800200043 
 140.        932.      0.970      0.3141     0.0023               D007800200044 
 140.        949.      0.988      0.3086     0.0023               D007800200045 
 140.        958.      0.972      0.2976     0.0021               D007800200046 
 140.        979.      0.969      0.2843     0.0022               D007800200047 
 140.       1000.      0.965      0.2715     0.0019               D007800200048 
 140.       1004.      0.964      0.2689     0.0018               D007800200049 
 140.       1008.      0.971      0.2685     0.0015               D007800200050 
 140.       1014.      0.966      0.2643     0.0024               D007800200051 
 140.       1018.      0.959      0.2599     0.0027               D007800200052 
 140.       1023.      0.985      0.2645     0.0028               D007800200053 
 140.       1029.      0.978      0.2595     0.0022               D007800200054 
 140.       1034.      0.993      0.2612     0.0024               D007800200055 
 140.       1039.      0.956      0.2490     0.0022               D007800200056 
 140.       1044.      0.986      0.2542     0.0019               D007800200057 
 140.       1049.      0.967      0.2472     0.0021               D007800200058 
 140.       1053.      0.958      0.2426     0.0021               D007800200059 
 140.       1058.      0.967      0.2428     0.0021               D007800200060 
 140.       1064.      0.984      0.2442     0.0019               D007800200061 
 140.       1069.      0.977      0.2401     0.0019               D007800200062 
 140.       1074.      0.985      0.2399     0.0018               D007800200063 
 140.       1079.      0.963      0.2325     0.0017               D007800200064 
 140.       1084.      0.968      0.2314     0.0018               D007800200065 
 140.       1089.      0.971      0.2301     0.0016               D007800200066 
 140.       1094.      0.963      0.2261     0.0017               D007800200067 
 140.       1099.      0.974      0.2267     0.0017               D007800200068 
 140.       1100.      0.965      0.2241     0.0016               D007800200069 
 140.       1139.      0.975      0.2111     0.0015               D007800200070 
 140.       1149.      0.960      0.2042     0.0015               D007800200071 
 140.       1167.      0.906      0.1869     0.0016               D007800200072 
 140.       1199.      1.026      0.2004     0.0016               D007800200073 
 140.       1218.      1.031      0.1951     0.0014               D007800200074 
 140.       1249.      1.003      0.1805     0.0015               D007800200075 
 140.       1258.      0.983      0.1743     0.0013               D007800200076 
 140.       1298.      0.980      0.1633     0.0014               D007800200077 
 140.       1299.      0.974      0.1622     0.0013               D007800200078 
 140.       1339.      1.003      0.1570     0.0013               D007800200079 
 140.       1349.      0.955      0.1474     0.0012               D007800200080 
 140.       1380.      0.952      0.1404     0.0013               D007800200081 
 140.       1399.      1.028      0.1476     0.0014               D007800200082 
 140.       1409.      1.029      0.1456     0.0014               D007800200083 
 140.       1418.      1.008      0.1407     0.0015               D007800200084 
 140.       1429.      1.016      0.1398     0.0017               D007800200085 
 140.       1438.      0.951      0.1291     0.0015               D007800200086 
 140.       1448.      0.943      0.1263     0.0017               D007800200087 
 140.       1449.      0.824      0.1102     0.0017               D007800200088 
 140.       1458.      0.964      0.1273     0.0017               D007800200089 
 140.       1468.      1.049      0.1366     0.0014               D007800200090 
 140.       1479.      1.006      0.1292     0.0016               D007800200091 
 140.       1489.      0.992      0.1256     0.0016               D007800200092 
 140.       1498.      1.065      0.1332     0.0016               D007800200093 
 140.       1499.      0.890      0.1113     0.0015               D007800200094 
 140.       1509.      1.033      0.1274     0.0015               D007800200095 
 140.       1519.      1.018      0.1238     0.0013               D007800200096 
 140.       1529.      1.050      0.1261     0.0017               D007800200097 
 140.       1534.      1.043      0.1245     0.0015               D007800200098 
 140.       1540.      1.028      0.1218     0.0016               D007800200099 
 140.       1544.      1.016      0.1197     0.0013               D007800200100 
 140.       1548.      1.005      0.1177     0.0015               D007800200101 
 140.       1558.      0.998      0.1154     0.0014               D007800200102 
 140.       1565.      0.931      0.1067     0.0013               D007800200103 
 140.       1569.      0.874      0.0996     0.0014               D007800200104 
 140.       1573.      0.968      0.1098     0.0014               D007800200105 
 140.       1579.      1.083      0.1219     0.0016               D007800200106 
 140.       1588.      1.046      0.1164     0.0016               D007800200107 
 140.       1599.      1.024      0.1125     0.0013               D007800200108 
 140.       1609.      1.017      0.1103     0.0014               D007800200109 
 140.       1618.      1.015      0.1088     0.0014               D007800200110 
 140.       1629.      0.951      0.1006     0.0015               D007800200111 
 140.       1639.      0.932      0.0974     0.0014               D007800200112 
 140.       1649.      0.909      0.0938     0.0014               D007800200113 
 140.       1655.      0.860      0.0882     0.0013               D007800200114 
 140.       1659.      1.172      0.1195     0.0012               D007800200115 
 140.       1663.      1.183      0.1201     0.0013               D007800200116 
 140.       1668.      1.066      0.1075     0.0013               D007800200117 
 140.       1679.      1.020      0.1015     0.0013               D007800200118 
 140.       1690.      1.001      0.0984     0.0012               D007800200119 
 140.       1699.      0.887      0.0863     0.0013               D007800200120 
 140.       1708.      1.030      0.0991     0.0013               D007800200121 
 140.       1719.      0.937      0.0889     0.0009               D007800200122 
 140.       1724.      1.003      0.0947     0.0010               D007800200123 
 140.       1728.      1.034      0.0972     0.0011               D007800200124 
 140.       1735.      1.040      0.0970     0.0009               D007800200125 
 140.       1739.      1.009      0.0937     0.0013               D007800200126 
 140.       1744.      1.000      0.0923     0.0012               D007800200127 
 140.       1749.      1.105      0.1014     0.0010               D007800200128 
 140.       1753.      1.132      0.1034     0.0010               D007800200129 
 140.       1760.      1.100      0.0997     0.0010               D007800200130 
 140.       1765.      1.093      0.0985     0.0010               D007800200131 
 140.       1769.      1.081      0.0970     0.0010               D007800200132 
 140.       1774.      1.089      0.0972     0.0011               D007800200133 
 140.       1778.      1.037      0.0920     0.0010               D007800200134 
 140.       1784.      1.032      0.0909     0.0011               D007800200135 
 140.       1789.      1.048      0.0918     0.0010               D007800200136 
 140.       1795.      1.000      0.0871     0.0011               D007800200137 
 140.       1799.      1.074      0.0932     0.0015               D007800200138 
 140.       1800.      1.089      0.0943     0.0013               D007800200139 
 140.       1804.      1.124      0.0969     0.0009               D007800200140 
 140.       1814.      1.055      0.0900     0.0010               D007800200141 
 140.       1825.      1.055      0.0890     0.0009               D007800200142 
 140.       1834.      1.026      0.0856     0.0010               D007800200143 
 140.       1849.      1.019      0.0837     0.0013               D007800200144 
 140.       1899.      0.871      0.0678     0.0014               D007800200145 
 140.       1901.      0.904      0.0702     0.0009               D007800200146 
 140.       1950.      0.862      0.0637     0.0009               D007800200147 
 140.       1951.      0.853      0.0629     0.0008               D007800200148 
 140.       2000.      1.002      0.0703     0.0012               D007800200149 
 140.       2024.      0.851      0.0583     0.0014               D007800200150 
 140.       2050.      1.614      0.1077     0.0012               D007800200151 
 140.       2074.      1.211      0.0790     0.0069               D007800200152 
 140.       2099.      1.087      0.0692     0.0044               D007800200153 
 140.       2123.      1.045      0.0651     0.0037               D007800200154 
 140.       2149.      1.277      0.0776     0.0038               D007800200155 
 140.       2150.      1.371      0.0832     0.0034               D007800200156 
 140.       2174.      1.129      0.0670     0.0033               D007800200157 
 140.       2199.      0.947      0.0549     0.0043               D007800200158 
 140.       2200.      0.984      0.0570     0.0034               D007800200159 
