ENTRY            D5039   20100326                             D072D503900000001 
SUBENT        D5039001   20100326                             D072D503900100001 
BIB                 10         23                                 D503900100002 
TITLE      Gamma-Decay of Resonance-Like Structure observed in    D503900100003 
           30Si(p,g)31P Reaction                                  D503900100004 
AUTHOR     (A.S.Kachan, A.N.Vodin, V.Yu.Korda, V.M.Mishchenko,    D503900100005 
           R.P.Slabospitsky)                                      D503900100006 
INSTITUTE  (4UKRKFT)                                              D503900100007 
REFERENCE  (J,VAT/I,2/40,33,2002)                                 D503900100008 
FACILITY   (VDG,4UKRKFT)Electrostatic accelerator.                D503900100009 
SAMPLE     20 micro-g/cm2-thick target 30Si.                      D503900100010 
DETECTOR   (GELI) One germanium- lithium detector is  used with   D503900100011 
           an active volume of  60 cm**3 and a resolution of 4.0  D503900100012 
           keV at Eg=1.33 MeV. The target oriented at angle of 45 D503900100013 
           degrees to proton-beam direction was at the centre of  D503900100014 
           rotation. The gamma-rays were detected  at angles of 0,D503900100015 
           30, 45, 60, 90 degrees concerning proton beam directionD503900100016 
           (NAICR)  NaI(Tl) detector was used for  excitation     D503900100017 
           function measurements  and  as monitor of gamma        D503900100018 
           radiation. The dimensions of the crystal  was          D503900100019 
           diameter 150 x 100 mm.                                 D503900100020 
METHOD     (GSPEC)                                                D503900100021 
ERR-ANALYS No information.                                        D503900100022 
HISTORY    (20070213C)UKRNDC                                      D503900100023 
           (20100322A)UKRNDC: ref. on VAT/I,40 was corrected on   D503900100024 
                                          VAT/I,2/40              D503900100025 
ENDBIB              23          0                                 D503900100026 
NOCOMMON             0          0                                 D503900100027 
ENDSUBENT           26          0                                 D503900199999 
SUBENT        D5039002   20070219                             D056D503900200001 
BIB                  2          2                                 D503900200002 
REACTION   (14-SI-30(P,G)15-P-31,PAR,DA,,LEG/RS)                  D503900200003 
STATUS     (TABLE)                                                D503900200004 
ENDBIB               2          0                                 D503900200005 
NOCOMMON             0          0                                 D503900200006 
DATA                 6         42                                 D503900200007 
EN         E-LVL-INI  E-LVL-FIN  NUMBER     DATA       DATA-ERR   D503900200008 
KEV        MEV        MEV        NO-DIM     NO-DIM     NO-DIM     D503900200009 
1482.      8.730      0.0000     2.0000     0.25       0.12       D503900200010 
1482.      8.730      0.0000     4.0000     -0.14      0.12       D503900200011 
1482.      8.730      0.0000     6.0000     -0.009     0.13       D503900200012 
1482.      8.730      2.234      2.0000     -0.40      0.10       D503900200013 
1482.      8.730      2.234      4.0000     0.05       0.10       D503900200014 
1482.      8.730      2.234      6.0000     -0.11      0.09       D503900200015 
1482.      8.730      3.134      2.0000     0.38       0.09       D503900200016 
1482.      8.730      3.134      4.0000     -0.05      0.08       D503900200017 
1482.      8.730      3.134      6.0000     0.06       0.09       D503900200018 
1482.      8.730      3.295      2.0000     0.42       0.15       D503900200019 
1482.      8.730      3.295      4.0000     0.41       0.15       D503900200020 
1482.      8.730      3.295      6.0000     0.14       0.17       D503900200021 
1482.      8.730      5.015      2.0000     -0.32      0.12       D503900200022 
1482.      8.730      5.015      4.0000     -0.11      0.12       D503900200023 
1482.      8.730      5.015      6.0000     -0.03      0.10       D503900200024 
2350.      9.571      0.0000     2.0000     0.01       0.11       D503900200025 
2350.      9.571      0.0000     4.0000     -0.04      0.12       D503900200026 
2350.      9.571      0.0000     6.0000     0.08       0.13       D503900200027 
2350.      9.571      1.266      2.0000     -0.12      0.12       D503900200028 
2350.      9.571      1.266      4.0000     0.09       0.13       D503900200029 
2350.      9.571      1.266      6.0000     0.07       0.12       D503900200030 
2350.      9.571      1.727      2.0000     -0.35      0.13       D503900200031 
2350.      9.571      1.727      4.0000     0.12       0.12       D503900200032 
2350.      9.571      1.727      6.0000     -0.11      0.12       D503900200033 
2350.      9.571      3.134      2.0000     0.09       0.11       D503900200034 
2350.      9.571      3.134      4.0000     0.12       0.13       D503900200035 
2350.      9.571      3.134      6.0000     0.15       0.14       D503900200036 
2505.      9.721      0.0000     2.0000     -0.09      0.14       D503900200037 
2505.      9.721      0.0000     4.0000     -0.09      0.15       D503900200038 
2505.      9.721      0.0000     6.0000      0.12      0.16       D503900200039 
2505.      9.721      1.266      2.0000     -0.39      0.14       D503900200040 
2505.      9.721      1.266      4.0000     0.04       0.13       D503900200041 
2505.      9.721      1.266      6.0000     0.005      0.14       D503900200042 
2505.      9.721      2.234      2.0000     0.29       0.12       D503900200043 
2505.      9.721      2.234      4.0000     0.07       0.12       D503900200044 
2505.      9.721      2.234      6.0000     0.13       0.14       D503900200045 
2505.      9.721      3.506      2.0000     -0.23      0.26       D503900200046 
2505.      9.721      3.506      4.0000     0.24       0.28       D503900200047 
2505.      9.721      3.506      6.0000     -0.21      0.30       D503900200048 
2505.      9.721      4.261      2.0000     -0.04      0.11       D503900200049 
2505.      9.721      4.261      4.0000     0.35       0.13       D503900200050 
2505.      9.721      4.261      6.0000     -0.10      0.12       D503900200051 
ENDDATA             44          0                                 D503900200052 
ENDSUBENT           51          0                                 D503900299999 
ENDENTRY             2          0                                 D503999999999 
