ENTRY            D8104   20250129                             D145D810400000001 
SUBENT        D8104001   20250129                             D145D810400100001 
BIB                 10         36                                 D810400100002 
TITLE      Multichannel experimental and theoretical approach to  D810400100003 
            the 12C(18O,18F)12B single-charge-exchange reaction atD810400100004 
            275 MeV. II. Competition between the meson exchange   D810400100005 
            and the sequential transfer in the reaction mechanism D810400100006 
AUTHOR     (A.Spatafora, F.Cappuzzello, D.Carbone, M.Cavallaro,   D810400100007 
            G.De Gregorio, J.A.Lay, L.Acosta, C.Agodi,            D810400100008 
            P.Amador-Valenzuela, J.I.Bellone, G.A.Brischetto,     D810400100009 
            D.Calvo, E.R.Chavez Lomeli, I.Ciraldo, F.Delaunay,    D810400100010 
            H.Djapo, C.Eke, P.Finocchiaro, S.Firat, M.Fisichella, D810400100011 
            A.Gargano, A.Hacisalihoglu, L.La Fauci, H.Lenske,     D810400100012 
            R.Linares, N.Medina, M.Moralles, J.R.B.Oliveira,      D810400100013 
            A.Pakou, L.Pandola, S.S.Perrotta, H.Petrascu,         D810400100014 
            O.Sgouros, M.A.G.da Silveira, S.O.Solakci, V.Soukeras,D810400100015 
            G.Souliotis, D.Torresi, S.Tudisco, B.Urazbekov,       D810400100016 
            A.Yildirim, V.A.B.Zagatto)                            D810400100017 
INSTITUTE  (2ITYLNS,2ITYCAT,2ITYFSN,2ITYNAP,2SPNSEU,3MEXUMX,      D810400100018 
            2SPNIEM,3MEXINI,2ITYTUR,2FR CAE,2TUKANK,2FR GAN,      D810400100019 
            2GERJLU,3BZLUFF,3BZLIPE,3BZLUSP,2GRCIOA,1USALRL,      D810400100020 
            3RUMBUC,4KASATN,4KASKAZ)                              D810400100021 
           (2TUKTUK) Akdeniz University, Antalya; Karadeniz       D810400100022 
            Teknik Universitesi, Trabzon; Recep Tayyip Erdogan    D810400100023 
            University, Rize; Turkish Accelerator and Radiation   D810400100024 
            Laboratory, Ankara                                    D810400100025 
           (3BZLBZL) Centro Universitario FEI, Sao Bernardo do    D810400100026 
            Campo                                                 D810400100027 
           (2GRCGRC) University of Athens and Hellenic Institute  D810400100028 
            of Nuclear Physics, Athens                            D810400100029 
REFERENCE  (J,PR/C,110,064612,2024)                               D810400100030 
FACILITY   (CYCLO,2ITYLNS) Superconducting Cyclotron K800         D810400100031 
SAMPLE     Two self-supporting 12c targets (60+/-3 ug/cm2 and     D810400100032 
            200+/-10 ug/cm2)                                      D810400100033 
DETECTOR   (MAGSP,IOCH,SI) MAGNEX scattering chamber              D810400100034 
ERR-ANALYS (ERR-SYS) charge collection and target thickness (10%) D810400100035 
STATUS     (APRVD) Proof-read by Alessandro Spatafora             D810400100036 
HISTORY    (20250107R) Received by e-mail from A.Spatafora        D810400100037 
           (20250127C) M.Odsuren, N.Otsuka                        D810400100038 
ENDBIB              36          0                                 D810400100039 
COMMON               2          3                                 D810400100040 
EN         ERR-SYS                                                D810400100041 
MEV        PER-CENT                                               D810400100042 
 275.       10.                                                   D810400100043 
ENDCOMMON            3          0                                 D810400100044 
ENDSUBENT           43          0                                 D810400199999 
SUBENT        D8104002   20250129                             D145D810400200001 
BIB                  4          4                                 D810400200002 
REACTION   (6-C-12(8-O-18,5-B-12)9-F-18,PAR,DA,RSD)               D810400200003 
ANG-SEC    (ANG-CM,9-F-18)                                        D810400200004 
ERR-ANALYS (DATA-ERR) statistics and solid angle determination    D810400200005 
STATUS     (TABLE,,A.Spatafora,J,PR/C,110,064612,2024) Fig.2      D810400200006 
ENDBIB               4          0                                 D810400200007 
NOCOMMON             0          0                                 D810400200008 
DATA                 5        120                                 D810400200009 
Q-VAL-MAX  Q-VAL-MIN  ANG-CM     DATA-CM    DATA-ERR              D810400200010 
MEV        MEV        ADEG       MB/SR      MB/SR                 D810400200011 
-14.5      -15.5        8.760632  0.114562   0.092947             D810400200012 
-14.5      -15.5        9.677136  0.116689   0.013626             D810400200013 
-14.5      -15.5       10.331995  0.106788   0.013538             D810400200014 
-14.5      -15.5       11.118093  0.088024   0.006502             D810400200015 
-14.5      -15.5       11.904499  0.084597   0.007505             D810400200016 
-14.5      -15.5       12.560094  0.068576   0.0058               D810400200017 
-14.5      -15.5       13.609548  0.04106    0.004492             D810400200018 
-14.5      -15.5       14.265792  0.031434   0.00461              D810400200019 
-14.5      -15.5       15.053659  0.026354   0.003615             D810400200020 
-14.5      -15.5       15.84195   0.029563   0.004501             D810400200021 
-14.5      -15.5       16.499206  0.025381   0.003584             D810400200022 
-14.5      -15.5       17.419899  0.027478   0.004416             D810400200023 
-14.5      -15.5       18.341274  0.023169   0.002805             D810400200024 
-14.5      -15.5       19.395153  0.017365   0.00305              D810400200025 
-14.5      -15.5       23.35656   0.006838   0.002844             D810400200026 
-14.5      -15.5       24.41572   0.007193   0.00092              D810400200027 
-14.5      -15.5       25.476178  0.007892   0.000967             D810400200028 
-14.5      -15.5       26.538003  0.005451   0.000803             D810400200029 
-14.5      -15.5       27.601264  0.005263   0.000794             D810400200030 
-14.5      -15.5       28.666034  0.00299    0.000595             D810400200031 
-14.5      -15.5       29.732386  0.002811   0.000584             D810400200032 
-14.5      -15.5       31.335049  0.001316   0.000284             D810400200033 
-14.5      -15.5       33.478202  0.001129   0.00027              D810400200034 
-14.5      -15.5       36.168165  0.000776   0.000191             D810400200035 
-15.5      -16.5        8.789395  0.32186    0.259754             D810400200036 
-15.5      -16.5        9.708931  0.283243   0.02301              D810400200037 
-15.5      -16.5       10.365961  0.263674   0.029571             D810400200038 
-15.5      -16.5       11.154671  0.214054   0.010434             D810400200039 
-15.5      -16.5       11.943695  0.157425   0.010432             D810400200040 
-15.5      -16.5       12.601478  0.106373   0.007301             D810400200041 
-15.5      -16.5       13.654445  0.099117   0.007115             D810400200042 
-15.5      -16.5       14.312891  0.092382   0.008115             D810400200043 
-15.5      -16.5       15.10341   0.091022   0.006914             D810400200044 
-15.5      -16.5       15.894363  0.063306   0.006721             D810400200045 
-15.5      -16.5       16.553846  0.060966   0.005677             D810400200046 
-15.5      -16.5       17.477667  0.045274   0.005753             D810400200047 
-15.5      -16.5       18.402187  0.055238   0.004475             D810400200048 
-15.5      -16.5       19.45968   0.036474   0.004584             D810400200049 
-15.5      -16.5       23.434863  0.019556   0.007866             D810400200050 
-15.5      -16.5       24.497762  0.01976    0.001579             D810400200051 
-15.5      -16.5       25.56199   0.01635    0.001422             D810400200052 
-15.5      -16.5       26.627617  0.01049    0.001131             D810400200053 
-15.5      -16.5       27.694716  0.011479   0.001198             D810400200054 
-15.5      -16.5       28.763359  0.007653   0.000972             D810400200055 
-15.5      -16.5       29.833624  0.006747   0.000925             D810400200056 
-15.5      -16.5       31.442232  0.004158   0.000514             D810400200057 
-15.5      -16.5       33.593466  0.003674   0.000501             D810400200058 
-15.5      -16.5       36.293809  0.002265   0.000336             D810400200059 
-16.5      -17.3        8.818621  0.345262   0.27858              D810400200060 
-16.5      -17.3        9.741239  0.282114   0.022921             D810400200061 
-16.5      -17.3       10.400476  0.232961   0.026429             D810400200062 
-16.5      -17.3       11.191839  0.188619   0.009706             D810400200063 
-16.5      -17.3       11.983525  0.147659   0.010044             D810400200064 
-16.5      -17.3       12.643531  0.140004   0.008428             D810400200065 
-16.5      -17.3       13.700068  0.136927   0.008457             D810400200066 
-16.5      -17.3       14.360754  0.102753   0.008574             D810400200067 
-16.5      -17.3       15.153968  0.091645   0.006912             D810400200068 
-16.5      -17.3       15.947627  0.08363    0.007807             D810400200069 
-16.5      -17.3       16.609372  0.063266   0.005775             D810400200070 
-16.5      -17.3       17.536375  0.050924   0.006115             D810400200071 
-16.5      -17.3       18.464092  0.0526     0.004344             D810400200072 
-16.5      -17.3       19.525261  0.048959   0.005425             D810400200073 
-16.5      -17.3       23.514452  0.023379   0.009374             D810400200074 
-16.5      -17.3       24.581154  0.022067   0.001675             D810400200075 
-16.5      -17.3       25.649218  0.021357   0.001644             D810400200076 
-16.5      -17.3       26.718714  0.0149     0.001365             D810400200077 
-16.5      -17.3       27.789717  0.012981   0.001278             D810400200078 
-16.5      -17.3       28.862303  0.011345   0.0012               D810400200079 
-16.5      -17.3        29.93655  0.007048   0.000944             D810400200080 
-16.5      -17.3        31.55121  0.005251   0.000581             D810400200081 
-16.5      -17.3       33.710674  0.00402    0.000524             D810400200082 
-16.5      -17.3       36.421588  0.002385   0.000345             D810400200083 
-19.0      -20.0        8.893799  0.768551   0.619177             D810400200084 
-19.0      -20.0        9.824347  0.70447    0.040362             D810400200085 
-19.0      -20.0       10.48926   0.571381   0.0607               D810400200086 
-19.0      -20.0       11.287452  0.516043   0.017219             D810400200087 
-19.0      -20.0       12.085985  0.478381   0.019655             D810400200088 
-19.0      -20.0       12.751714  0.370456   0.014603             D810400200089 
-19.0      -20.0       13.817438  0.290215   0.01291              D810400200090 
-19.0      -20.0       14.483886  0.260482   0.014529             D810400200091 
-19.0      -20.0       15.28404   0.19801    0.010619             D810400200092 
-19.0      -20.0       16.084663  0.171437   0.011725             D810400200093 
-19.0      -20.0       16.752236  0.161144   0.009755             D810400200094 
-19.0      -20.0       17.687428  0.130673   0.010462             D810400200095 
-19.0      -20.0       18.623378  0.126421   0.0072               D810400200096 
-19.0      -20.0       19.694011  0.083738   0.007501             D810400200097 
-19.0      -20.0       23.719292  0.051216   0.02036              D810400200098 
-19.0      -20.0       24.795797  0.04708    0.002601             D810400200099 
-19.0      -20.0       25.873747  0.034216   0.00214              D810400200100 
-19.0      -20.0       26.953219  0.034681   0.002207             D810400200101 
-19.0      -20.0       28.034292  0.028507   0.001994             D810400200102 
-19.0      -20.0       29.117047  0.020959   0.001691             D810400200103 
-19.0      -20.0       30.201568  0.019754   0.001689             D810400200104 
-19.0      -20.0       31.831849  0.014433   0.001024             D810400200105 
-19.0      -20.0       34.012564  0.00729    0.000727             D810400200106 
-19.0      -20.0       36.750795  0.004729   0.000505             D810400200107 
-20.0      -21.3        8.90921   1.579435   1.271677             D810400200108 
-20.0      -21.3        9.841383  1.477132   0.067874             D810400200109 
-20.0      -21.3       10.50746   1.242064   0.128547             D810400200110 
-20.0      -21.3       11.307053  1.144125   0.02886              D810400200111 
-20.0      -21.3       12.10699   0.944291   0.030657             D810400200112 
-20.0      -21.3       12.773892  0.77854    0.023492             D810400200113 
-20.0      -21.3       13.841501  0.560416   0.019491             D810400200114 
-20.0      -21.3       14.509131  0.433052   0.020006             D810400200115 
-20.0      -21.3       15.310708  0.380395   0.01591              D810400200116 
-20.0      -21.3       16.11276   0.301672   0.016702             D810400200117 
-20.0      -21.3       16.781527  0.269116   0.013405             D810400200118 
-20.0      -21.3       17.7184    0.236465   0.015279             D810400200119 
