ENTRY            41629   20171210                             417741629  0    1 
SUBENT        41629001   20171210                             417741629  1    1 
BIB                  8         10                                 41629  1    2 
TITLE       Fluctuation of partial widths from resonance neutron  41629  1    3 
           capture in the 141Pr nucleus .                         41629  1    4 
AUTHOR     (F.Becvar,J.Pospisil,S.A.Telezhnikov,J.Urbanec,J.Vrzal)41629  1    5 
INSTITUTE  (4ZZZDUB,3CZRUJV)                                      41629  1    6 
REFERENCE  (C,69STUDSVIK,,651,1969)                               41629  1    7 
           (R,JINR-P3-3696,1968) Preliminary results              41629  1    8 
FACILITY   (REAC,4ZZZDUB) Pulse fast reactor                      41629  1    9 
METHOD     (PHD)                                                  41629  1   10 
DETECTOR   (GELI)                                                 41629  1   11 
HISTORY    (20171210C) M.M.                                       41629  1   12 
ENDBIB              10          0                                 41629  1   13 
NOCOMMON             0          0                                 41629  1   14 
ENDSUBENT           13          0                                 41629  199999 
SUBENT        41629002   20171210                             417741629  2    1 
BIB                  6         25                                 41629  2    2 
REACTION  1(59-PR-141(N,G),PAR,WID,,MSC)                          41629  2    3 
            Relative reduced partial radiation widths.            41629  2    4 
            Values are reduced to E**3 .                          41629  2    5 
          2(59-PR-141(N,0),,J)                                    41629  2    6 
            Resonance spin                                        41629  2    7 
REL-REF    (R,,J.Morgenstern+,J,NP/A,123,561,1969)                41629  2    8 
            Resonance energies.                                   41629  2    9 
           (R,,J.Kern+,J,PR,173,1133,1968)                        41629  2   10 
            Final state energies, spin and parity.                41629  2   11 
LEVEL-PROP (59-PR-142,E-LVL=0.,SPIN=2.,PARITY=-1.)                41629  2   12 
           (59-PR-142,E-LVL=17.7,SPIN=3.,PARITY=-1.)              41629  2   13 
           (59-PR-142,E-LVL=72.3,SPIN=4.,PARITY=-1.)              41629  2   14 
           (59-PR-142,E-LVL=85.0,SPIN=1.,PARITY=-1.)              41629  2   15 
           (59-PR-142,E-LVL=144.6,SPIN=4.,PARITY=-1.)             41629  2   16 
           (59-PR-142,E-LVL=176.9,SPIN=3.,PARITY=-1.)             41629  2   17 
           (59-PR-142,E-LVL=200.5,SPIN=2.,PARITY=-1.)             41629  2   18 
           (59-PR-142,E-LVL=637.2,SPIN=4.,PARITY=-1.)             41629  2   19 
           (59-PR-142,E-LVL=703.6,SPIN=3.,PARITY=-1.)             41629  2   20 
           (59-PR-142,E-LVL=747.0,SPIN=2./3.,PARITY=-1.)          41629  2   21 
ANALYSIS  1 Values are normalized to the mean value of relative   41629  2   22 
            widths of 3+ resonances. Values are reduced to E3.    41629  2   23 
            E-LVL - final state energy. EN-RES - resonance energy.41629  2   24 
ERR-ANALYS (DATA-ERR) Type of error is not explained in the       41629  2   25 
           article.                                               41629  2   26 
STATUS     (TABLE) Table 1 of C,69STUDSVIK,,651,1969              41629  2   27 
ENDBIB              25          0                                 41629  2   28 
NOCOMMON             0          0                                 41629  2   29 
DATA                 5         41                                 41629  2   30 
EN-RES     E-LVL      DATA      1DATA-ERR  1DATA      2           41629  2   31 
EV         KEV        ARB-UNITS  ARB-UNITS  NO-DIM                41629  2   32 
  84.8        0.       2.47       0.17       2.                   41629  2   33 
  84.8       17.7      0.46       0.12       2.                   41629  2   34 
  84.8       85.0      6.65       0.25       2.                   41629  2   35 
  84.8      176.9      2.35       0.18       2.                   41629  2   36 
  84.8      200.5      3.30       0.20       2.                   41629  2   37 
  84.8      703.6      3.91       0.25       2.                   41629  2   38 
  84.8      747.0      1.14       0.19       2.                   41629  2   39 
 215.6        0.       0.21       0.15       3.                   41629  2   40 
 215.6       17.7      0.24       0.15       3.                   41629  2   41 
 215.6       72.3      0.45       0.17       3.                   41629  2   42 
 215.6      144.6      0.98       0.20       3.                   41629  2   43 
 215.6      176.9      1.23       0.21       3.                   41629  2   44 
 215.6      200.5      2.12       0.24       3.                   41629  2   45 
 215.6      637.2      1.01       0.26       3.                   41629  2   46 
 215.6      703.6      1.07       0.28       3.                   41629  2   47 
 215.6      747.0      0.70       0.28       3.                   41629  2   48 
 231.7        0.       0.16       0.10       3.                   41629  2   49 
 231.7       17.7      0.17       0.10       3.                   41629  2   50 
 231.7       72.3      1.95       0.15       3.                   41629  2   51 
 231.7      144.6      0.92       0.13       3.                   41629  2   52 
 231.7      176.9      0.35       0.11       3.                   41629  2   53 
 231.7      200.5      1.12       0.14       3.                   41629  2   54 
 231.7      637.2      0.67       0.16       3.                   41629  2   55 
 231.7      703.6      1.25       0.19       3.                   41629  2   56 
 231.7      747.0      1.17       0.19       3.                   41629  2   57 
 519.2        0.      17.90       0.94       2.                   41629  2   58 
 519.2       17.7      5.16       0.60       2.                   41629  2   59 
 519.2       85.0      5.20       0.63       2.                   41629  2   60 
 519.2      176.9      0.64       0.45       2.                   41629  2   61 
 519.2      200.5      0.00       0.40       2.                   41629  2   62 
 519.2      703.6      0.34       0.56       2.                   41629  2   63 
 519.2      747.0      0.66       0.60       2.                   41629  2   64 
 635.7        0.       0.79       0.21       3.                   41629  2   65 
 635.7       17.7      0.48       0.19       3.                   41629  2   66 
 635.7       72.3      0.09       0.18       3.                   41629  2   67 
 635.7      144.6      0.53       0.22       3.                   41629  2   68 
 635.7      176.9      3.78       0.35       3.                   41629  2   69 
 635.7      200.5      0.90       0.24       3.                   41629  2   70 
 635.7      637.2      1.13       0.30       3.                   41629  2   71 
 635.7      703.6      2.05       0.35       3.                   41629  2   72 
 635.7      747.0      1.47       0.34       3.                   41629  2   73 
ENDDATA             43          0                                 41629  2   74 
ENDSUBENT           73          0                                 41629  299999 
ENDENTRY             2          0                                 4162999999999 
