ENTRY            41098   20201010                             419341098  0    1 
SUBENT        41098001   20201010                             419341098  1    1 
BIB                 13         31                                 41098  1    2 
TITLE       Angular anisotropy of fragments from fission of Pu-24241098  1    3 
            by 0.10 - 6.38 MeV neutrons                           41098  1    4 
AUTHOR     (D.L.Shpak)                                            41098  1    5 
INSTITUTE  (4RUSFEI)                                              41098  1    6 
REFERENCE  (J,YF,52,650,1990) Anisotropy data table. Issue 3.     41098  1    7 
           (J,SNP,52,419,1990) Engl.transl.of J,YF,52,650,1990    41098  1    8 
FACILITY   (VDG,4RUSFEI) Electrostatic accelerators EG-1 , EG-2.5 41098  1    9 
           (VDGT,4RUSFEI) Tandem accelerator KG-2.5               41098  1   10 
INC-SOURCE (P-T,D-D)                                              41098  1   11 
INC-SPECT    Monochromatic neutrons.                              41098  1   12 
DETECTOR   (GLASD) Cylindrical glass plates for fission fragments 41098  1   13 
                   detection.                                     41098  1   14 
           (D4PI) Multiangle 4PI detector ( 10 angles - 4.5, 11.5,41098  1   15 
           20.5, 30., 40., 50., 60., 70., 80., 88. deg)           41098  1   16 
SAMPLE      Plutonium oxide Pu-O2, Pu-242 content is 96.7 % ,     41098  1   17 
            Pu-240 content is 1.8 % , Pu-241 content is 0.32 % ,  41098  1   18 
            Pu-239 content is 0.15 % ,Pu-238 content is 0.11 %    41098  1   19 
MONITOR     No information                                        41098  1   20 
CORRECTION  Correction on fission of admixtures isotopes - 1.5 % ,41098  1   21 
            Correction on experimental hall background - 2 % ,    41098  1   22 
            Correction on (p,n) reaction 2 % ,                    41098  1   23 
            Correction on layer inhomogeneity 1 % ,               41098  1   24 
            Correction on (d,n) reaction 2.8 % .                  41098  1   25 
ERR-ANALYS (ERR-1) Average error in scanning glass detectors      41098  1   26 
HISTORY    (19920627C)  + + Compiled at the center - CJD + +      41098  1   27 
           (20180314A) M.M. Upper -> lower case correction.       41098  1   28 
            Dates were corrected for 4-digits year.               41098  1   29 
            Ref. SNP,52,419,1990 was added.                       41098  1   30 
           Subent 007 was deleted as duplication of Subent 006.   41098  1   31 
           Subent 025 was added.  ERR-1 was added.                41098  1   32 
           (20201010A) Subents 002-006, 008-024 were corrected.   41098  1   33 
ENDBIB              31          0                                 41098  1   34 
COMMON               1          3                                 41098  1   35 
ERR-1                                                             41098  1   36 
PER-CENT                                                          41098  1   37 
 0.4                                                              41098  1   38 
ENDCOMMON            3          0                                 41098  1   39 
ENDSUBENT           38          0                                 41098  199999 
SUBENT        41098002   20201010                             419341098  2    1 
BIB                  4          6                                 41098  2    2 
REACTION   (94-PU-242(N,F),,DA,FF,RSD)                            41098  2    3 
           W(0deg)/W(90deg) = A+1.                                41098  2    4 
ERR-ANALYS (ERR-T)  Total error is quadratic sum of all errors    41098  2    5 
STATUS     (TABLE) Table 1 of Sov.Nucl.Phys.,v.52,p.419,1990      41098  2    6 
            Data are on Fig.1a of Sov.Nucl.Phys.,v.52,p.419,1990  41098  2    7 
HISTORY    (20201010A) Code PRE was deleted from Reaction.        41098  2    8 
ENDBIB               6          0                                 41098  2    9 
COMMON               1          3                                 41098  2   10 
ANG                                                               41098  2   11 
ADEG                                                              41098  2   12 
  0.                                                              41098  2   13 
ENDCOMMON            3          0                                 41098  2   14 
DATA                 4        110                                 41098  2   15 
EN         EN-RSL     DATA       ERR-T                            41098  2   16 
MEV        MEV        NO-DIM     NO-DIM                           41098  2   17 
  0.100      0.008      0.986      0.075                          41098  2   18 
  0.120      0.008      1.268      0.080                          41098  2   19 
  0.140      0.008      1.167      0.045                          41098  2   20 
  0.165      0.008      1.116      0.081                          41098  2   21 
  0.186      0.008      1.093      0.073                          41098  2   22 
  0.200      0.018      1.030      0.051                          41098  2   23 
  0.218      0.008      1.086      0.046                          41098  2   24 
  0.242      0.008      1.120      0.052                          41098  2   25 
  0.260      0.008      1.111      0.056                          41098  2   26 
  0.270      0.008      1.150      0.054                          41098  2   27 
  0.290      0.008      1.106      0.047                          41098  2   28 
  0.310      0.008      1.203      0.053                          41098  2   29 
  0.330      0.008      1.155      0.041                          41098  2   30 
  0.350      0.008      1.238      0.049                          41098  2   31 
  0.370      0.008      1.197      0.040                          41098  2   32 
  0.390      0.008      1.142      0.040                          41098  2   33 
  0.410      0.008      1.062      0.038                          41098  2   34 
  0.430      0.008      1.223      0.046                          41098  2   35 
  0.452      0.008      1.199      0.034                          41098  2   36 
  0.474      0.008      1.246      0.045                          41098  2   37 
  0.496      0.008      1.197      0.035                          41098  2   38 
  0.520      0.008      1.174      0.028                          41098  2   39 
  0.540      0.008      1.156      0.031                          41098  2   40 
  0.560      0.008      1.252      0.030                          41098  2   41 
  0.580      0.008      1.255      0.030                          41098  2   42 
  0.600      0.008      1.279      0.031                          41098  2   43 
  0.620      0.008      1.188      0.026                          41098  2   44 
  0.642      0.008      1.174      0.019                          41098  2   45 
  0.660      0.008      1.179      0.024                          41098  2   46 
  0.680      0.008      1.287      0.034                          41098  2   47 
  0.700      0.008      1.257      0.025                          41098  2   48 
  0.720      0.008      1.147      0.028                          41098  2   49 
  0.730      0.018      1.189      0.027                          41098  2   50 
  0.740      0.018      1.205      0.028                          41098  2   51 
  0.770      0.030      1.261      0.021                          41098  2   52 
  0.780      0.018      1.163      0.025                          41098  2   53 
  0.800      0.018      1.199      0.026                          41098  2   54 
  0.825      0.018      1.150      0.019                          41098  2   55 
  0.840      0.030      1.210      0.018                          41098  2   56 
  0.880      0.018      1.187      0.022                          41098  2   57 
  0.900      0.018      1.207      0.023                          41098  2   58 
  0.940      0.030      1.225      0.027                          41098  2   59 
  0.960      0.018      1.201      0.015                          41098  2   60 
  0.980      0.018      1.197      0.024                          41098  2   61 
  1.000      0.030      1.220      0.028                          41098  2   62 
  1.020      0.018      1.254      0.028                          41098  2   63 
  1.060      0.018      1.273      0.017                          41098  2   64 
  1.070      0.030      1.277      0.023                          41098  2   65 
  1.100      0.018      1.212      0.028                          41098  2   66 
  1.150      0.030      1.193      0.018                          41098  2   67 
  1.180      0.030      1.156      0.024                          41098  2   68 
  1.230      0.030      1.123      0.016                          41098  2   69 
  1.310      0.030      1.142      0.016                          41098  2   70 
  1.370      0.030      1.107      0.016                          41098  2   71 
  1.450      0.030      1.155      0.017                          41098  2   72 
  1.550      0.030      1.183      0.017                          41098  2   73 
  1.630      0.030      1.240      0.017                          41098  2   74 
  1.710      0.030      1.194      0.016                          41098  2   75 
  1.780      0.030      1.154      0.016                          41098  2   76 
  1.860      0.030      1.186      0.016                          41098  2   77 
  1.940      0.030      1.189      0.016                          41098  2   78 
