ENTRY            C1467   20080410                             C084C146700000001 
SUBENT        C1467001   20080410                             C084C146700100001 
BIB                 11         40                                 C146700100002 
INSTITUTE  (1USANCA,1USATNL)+ Univ. of North Carolina, Wilmington C146700100003 
            and University of Pisa, Italy                         C146700100004 
REFERENCE  (J,PR/C,74,034001,2006)                                C146700100005 
AUTHOR     (B.M.Fisher,C.R.Brune,H.J.Karwowski,D.S.Leonard,       C146700100006 
            E.J.Ludwig,T.C.Black,M.Viviani,A.Kievsky,S.Rosati)    C146700100007 
TITLE      Proton-3He elastic scattering at low energies          C146700100008 
FACILITY   (ACCEL,1USATNL) the TUNL supersonic gas-jet target, a  C146700100009 
            refurbished and upgraded version of the target        C146700100010 
            designed and built at the University of               C146700100011 
            Erlangen-Nurnberg                                     C146700100012 
INC-SPECT  A beam of 3He++ ions was accelerated with the FN       C146700100013 
            tandem accelerator and then deflected onto the        C146700100014 
            hydrogen gas-jet target.                              C146700100015 
SAMPLE     Target thicknesses of about 5 x 10E17 atoms/cm2 were   C146700100016 
            routinely obtained in a narrow jet (about1 mm) for    C146700100017 
            the measurements in this work, facilitating very      C146700100018 
            reasonable counting times for the cross sections      C146700100019 
            measured.                                             C146700100020 
DETECTOR   (SIBAR) Each detector was fitted with a pair of        C146700100021 
            rectangular slits mounted in a cylindrical "snout".   C146700100022 
METHOD     The measurements were performed in inverse kinematics  C146700100023 
            using a 3He beam incident on a hydrogen gas-jet.      C146700100024 
ERR-ANALYS (ERR-S) Statistical uncertainty                        C146700100025 
           (ERR-SYS) Systematic uncertainty                       C146700100026 
           Source               Mixed-jet type        Error (%)   C146700100027 
           Counting statistics     stat.                0.3       C146700100028 
           40Ar/H2 ratio           stat.                0.6       C146700100029 
                                   sys.                 0.5       C146700100030 
           40Ar-3He cross. sect.   sys.                 0.8       C146700100031 
           Angle setting           sys.                 1.0       C146700100032 
            *************************************************     C146700100033 
           Source             Beam-switching type     Error (%)   C146700100034 
           Counting statistics        stat.             0.4       C146700100035 
           Proton-proton cross. sect. sys.              0.7       C146700100036 
           BCI correction factor      sys.              1.0       C146700100037 
           Beam energy                sys.             <0.1       C146700100038 
           Angle setting              sys.             <0.1       C146700100039 
           Jet reproducibility        sys.              0.8       C146700100040 
HISTORY    (20070226C) DR                                         C146700100041 
           (20080210A) NDS SD. Reaction code was corrected        C146700100042 
ENDBIB              40          0                                 C146700100043 
NOCOMMON             0          0                                 C146700100044 
ENDSUBENT           43          0                                 C146700199999 
SUBENT        C1467002   20080410                             C084C146700200001 
BIB                  2          2                                 C146700200002 
REACTION   (1-H-1(HE3,EL)1-H-1,,DA)                               C146700200003 
STATUS     Data received by email from B.M.Fisher, Feb. 22,2007   C146700200004 
ENDBIB               2          0                                 C146700200005 
NOCOMMON             0          0                                 C146700200006 
DATA                 5         98                                 C146700200007 
EN         ANG-CM     DATA-CM    ERR-S      ERR-SYS               C146700200008 
MEV        ADEG       MB/SR      MB/SR      PER-CENT              C146700200009 
0.99        29.98     2081.452   30.826     3.5                   C146700200010 
0.99        30.50     1968.926   20.246     3.5                   C146700200011 
0.99        41.32      686.006    7.007     3.5                   C146700200012 
0.99        49.97      377.839    4.672     3.5                   C146700200013 
0.99        59.97      241.031    3.246     3.5                   C146700200014 
0.99        65.77      205.725    2.126     3.5                   C146700200015 
0.99        69.97      183.793    2.265     3.5                   C146700200016 
0.99        79.97      152.497    2.019     3.5                   C146700200017 
0.99        89.97      134.134    1.517     3.5                   C146700200018 
0.99        99.97      127.825    1.632     3.5                   C146700200019 
0.99       109.97      122.086    1.340     3.5                   C146700200020 
0.99       119.97      120.314    1.453     3.5                   C146700200021 
0.99       124.97      120.527    1.629     3.5                   C146700200022 
0.99       129.97      121.940    1.305     3.5                   C146700200023 
0.99       139.98      124.795    1.449     3.5                   C146700200024 
0.99       144.24      125.397    1.348     3.5                   C146700200025 
0.99       149.98      126.407    1.424     3.5                   C146700200026 
0.99       158.69      128.167    1.433     3.5                   C146700200027 
0.99       159.99      130.290    1.437     3.5                   C146700200028 
0.99       164.51      129.461    1.712     3.5                   C146700200029 
0.99       164.99      130.638    1.537     3.5                   C146700200030 
1.6         29.97      658.641   19.626     2.0                   C146700200031 
1.6         41.32      255.555    7.532     2.0                   C146700200032 
1.6         49.96      158.328    4.695     2.0                   C146700200033 
1.6         59.95      120.057    3.604     2.0                   C146700200034 
1.6         65.78      116.771    3.445     2.0                   C146700200035 
1.6         69.95      105.488    3.126     2.0                   C146700200036 
1.6         79.95      101.993    3.052     2.0                   C146700200037 
1.6         89.95       96.447    2.858     2.0                   C146700200038 
1.6         99.95      100.818    3.011     2.0                   C146700200039 
1.6        109.95      112.398    3.344     2.0                   C146700200040 
1.6        119.95      118.992    3.611     2.0                   C146700200041 
1.6        129.96      136.928    4.052     2.0                   C146700200042 
1.6        139.96      145.106    4.358     2.0                   C146700200043 
1.6        144.25      157.369    4.659     2.0                   C146700200044 
1.6        149.97      164.347    4.884     2.0                   C146700200045 
1.6        158.70      167.946    5.044     2.0                   C146700200046 
1.6        159.98      171.193    5.104     2.0                   C146700200047 
2.24        29.96      310.735    8.777     2.7                   C146700200048 
2.24        30.51      286.003    5.374     2.7                   C146700200049 
2.24        41.33      133.196    2.508     2.7                   C146700200050 
2.24        49.94       98.720    2.098     2.7                   C146700200051 
2.24        59.93       89.947    2.028     2.7                   C146700200052 
2.24        65.79       89.087    1.677     2.7                   C146700200053 
2.24        69.93       82.762    1.655     2.7                   C146700200054 
2.24        79.92       82.621    1.767     2.7                   C146700200055 
2.24        89.92       90.361    1.728     2.7                   C146700200056 
2.24        99.92       98.885    2.048     2.7                   C146700200057 
2.24       109.93      114.496    2.161     2.7                   C146700200058 
2.24       119.93      132.366    2.616     2.7                   C146700200059 
2.24       124.94      143.937    2.866     2.7                   C146700200060 
2.24       129.94      154.950    2.903     2.7                   C146700200061 
2.24       133.37      161.581    3.064     2.7                   C146700200062 
2.24       139.95      172.473    3.350     2.7                   C146700200063 
2.24       144.25      188.835    3.583     2.7                   C146700200064 
2.24       149.96      200.896    3.865     2.7                   C146700200065 
2.24       158.70      213.107    4.126     2.7                   C146700200066 
2.24       159.97      217.244    4.191     2.7                   C146700200067 
2.24       164.51      224.572    4.627     2.7                   C146700200068 
2.24       164.98      225.781    4.418     2.7                   C146700200069 
3.11        29.95      162.314    4.239     2.9                   C146700200070 
3.11        41.33      121.378    1.931     2.9                   C146700200071 
3.11        49.92      113.918    2.034     2.9                   C146700200072 
3.11        59.91      103.547    2.152     2.9                   C146700200073 
3.11        65.80       92.147    1.455     2.9                   C146700200074 
3.11        69.90       90.241    1.495     2.9                   C146700200075 
3.11        79.90       84.588    1.581     2.9                   C146700200076 
3.11        89.89       82.628    1.353     2.9                   C146700200077 
3.11        99.90       92.174    1.536     2.9                   C146700200078 
3.11       109.90      102.053    1.692     2.9                   C146700200079 
3.11       119.91      125.736    2.587     2.9                   C146700200080 
3.11       129.92      159.607    2.504     2.9                   C146700200081 
3.11       139.93      185.845    3.385     2.9                   C146700200082 
3.11       144.26      203.535    3.223     2.9                   C146700200083 
3.11       149.95      219.797    3.539     2.9                   C146700200084 
3.11       158.70      246.519    4.032     2.9                   C146700200085 
3.11       159.96      248.080    4.064     2.9                   C146700200086 
4.02        30.52      176.978    1.976     2.7                   C146700200087 
4.02        41.34      166.296    1.784     2.7                   C146700200088 
4.02        49.89      137.768    3.206     2.7                   C146700200089 
4.02        59.88      117.795    2.744     2.7                   C146700200090 
4.02        65.81      112.344    1.227     2.7                   C146700200091 
4.02        69.87       99.081    1.760     2.7                   C146700200092 
4.02        79.86       80.439    1.467     2.7                   C146700200093 
4.02        89.86       69.658    0.899     2.7                   C146700200094 
4.02        99.86       70.087    1.038     2.7                   C146700200095 
4.02       109.87       82.392    1.036     2.7                   C146700200096 
4.02       119.88      105.369    1.899     2.7                   C146700200097 
4.02       124.89      123.861    2.245     2.7                   C146700200098 
4.02       129.89      138.891    1.546     2.7                   C146700200099 
4.02       133.39      154.898    2.066     2.7                   C146700200100 
4.02       139.91      175.311    2.146     2.7                   C146700200101 
4.02       144.26      193.132    2.140     2.7                   C146700200102 
4.02       149.93      214.084    2.433     2.7                   C146700200103 
4.02       158.71      241.287    2.690     2.7                   C146700200104 
4.02       159.95      246.305    2.725     2.7                   C146700200105 
4.02       164.52      254.411    3.609     2.7                   C146700200106 
4.02       164.96      258.780    3.158     2.7                   C146700200107 
ENDDATA            100          0                                 C146700200108 
ENDSUBENT          107          0                                 C146700299999 
SUBENT        C1467003   20080410                             C084C146700300001 
BIB                  2          2                                 C146700300002 
REACTION   (1-H-1(HE3,EL)1-H-1,,POL/DA,,ANA)                      C146700300003 
STATUS     Data received by email from B.M.Fisher, February 22,200C146700300004 
ENDBIB               2          0                                 C146700300005 
COMMON               1          3                                 C146700300006 
ERR-SYS                                                           C146700300007 
PER-CENT                                                          C146700300008 
2.0                                                               C146700300009 
ENDCOMMON            3          0                                 C146700300010 
DATA                 4        103                                 C146700300011 
EN         ANG-CM     DATA       ERR-S                            C146700300012 
MEV        ADEG       NO-DIM     NO-DIM                           C146700300013 
1.6         39.629    0.015037   0.001421                         C146700300014 
1.6         46.063    0.028054   0.001850                         C146700300015 
1.6         52.417    0.044930   0.001974                         C146700300016 
1.6         58.682    0.057041   0.001658                         C146700300017 
1.6         64.848    0.069843   0.001649                         C146700300018 
1.6         70.903    0.076469   0.001739                         C146700300019 
1.6         76.839    0.080629   0.001306                         C146700300020 
1.6         82.646    0.085296   0.001130                         C146700300021 
1.6         88.319    0.083914   0.001109                         C146700300022 
1.6         93.848    0.083926   0.001362                         C146700300023 
1.6         99.231    0.081686   0.001139                         C146700300024 
