ENTRY            C2900   20231107                             C237C2900000    1 
SUBENT        C2900001   20231107                             C237C2900001    1 
BIB                 10         17                                 C2900001    2 
TITLE       (f7/2) 2,0(d3/2)-1 configuration states in 41Ca       C2900001    3 
           strongly populated by the 39K(alpha,d) reaction        C2900001    4 
AUTHOR     (H.Nann,W.S.Chien,A.Saha,B.H.Wildenthal)               C2900001    5 
INSTITUTE  (1USAMSU)                                              C2900001    6 
REFERENCE  (J,PR/C,12,1524,1975)                                  C2900001    7 
           #doi:10.1103/PhysRevC.12.1524                          C2900001    8 
           (J,PR/C,12,1524,1975) Data for K-39 at E-LVL=5.22 MeV. C2900001    9 
FACILITY   (CYCLO,1USAMSU)                                        C2900001   10 
DETECTOR   (MAGSP,PROPC,SCIN) Products detected in focal plane of C2900001   11 
            an Engle splin-pole magnetic spectrograph with a      C2900001   12 
            proportional-counter plastic-scintillator combination.C2900001   13 
METHOD     (STTA)                                                 C2900001   14 
SAMPLE     The target thicknesses were determined by measuring    C2900001   15 
           the elastic scattering and normalizing to              C2900001   16 
           calculations with standard optical model parameters.   C2900001   17 
ERR-ANALYS (DATA-ERR) Estimated absolute uncertainty.             C2900001   18 
HISTORY    (20230209C)                                            C2900001   19 
ENDBIB              17          0                                 C2900001   20 
COMMON               2          3                                 C2900001   21 
EN         DATA-ERR                                               C2900001   22 
MEV        PER-CENT                                               C2900001   23 
  40.        30.                                                  C2900001   24 
ENDCOMMON            3          0                                 C2900001   25 
ENDSUBENT           24          0                                 C290000199999 
SUBENT        C2900002   20231107                             C237C2900002    1 
BIB                  4          7                                 C2900002    2 
REACTION   (19-K-39(A,D)20-CA-41,PAR,DA)                          C2900002    3 
SAMPLE     The target was made by evaporating natural potassium   C2900002    4 
           metal onto a thin carbon backing and was kept under    C2900002    5 
           vacuum at all times. The target thickness was about    C2900002    6 
           60 mu-g/cm2.                                           C2900002    7 
ERR-ANALYS (ERR-S) Statistical uncertainty.                       C2900002    8 
STATUS     (CURVE,,H.Nann+,J,PR/C,12,1524,1975) Figs.2-3 (p.1525) C2900002    9 
ENDBIB               7          0                                 C2900002   10 
NOCOMMON             0          0                                 C2900002   11 
DATA                 4        114                                 C2900002   12 
E-LVL      ANG-CM     DATA-CM    ERR-S                            C2900002   13 
MEV        ADEG       MB/SR      MB/SR                            C2900002   14 
       0.00      6.311  2.307E+02  3.115E+01                      C2900002   15 
       0.00     10.651  2.242E+02  2.280E+01                      C2900002   16 
       0.00     15.955  1.678E+02  1.299E+01                      C2900002   17 
       0.00     20.947  1.124E+02  6.008E+00                      C2900002   18 
       0.00     25.188  9.546E+01  7.385E+00                      C2900002   19 
       0.00     29.542  6.732E+01  7.964E+00                      C2900002   20 
       0.00     33.687  4.574E+01  5.028E+00                      C2900002   21 
       0.00     37.603  4.544E+01  6.523E+00                      C2900002   22 
       0.00     43.011  3.505E+01  4.736E+00                      C2900002   23 
       0.00     53.601  2.982E+01  5.576E+00                      C2900002   24 
       3.37      6.230  5.052E+01  5.131E+00                      C2900002   25 
       3.37     10.256  5.661E+01  5.064E+00                      C2900002   26 
       3.37     16.102  4.919E+01  5.583E+00                      C2900002   27 
       3.37     21.086  4.390E+01  3.991E+00                      C2900002   28 
       3.37     26.933  3.891E+01  4.399E+00                      C2900002   29 
       3.37     29.521  3.226E+01  1.548E+00                      C2900002   30 
       3.37     33.834  2.309E+01  3.663E+00                      C2900002   31 
       3.37     37.764  1.455E+01  2.242E+00                      C2900002   32 
       3.37     43.227  1.106E+01  1.840E+00                      C2900002   33 
       3.37     53.770  1.272E+01  1.920E+00                      C2900002   34 
       3.83      6.422  2.165E+02  3.584E+01                      C2900002   35 
       3.83     10.447  2.223E+02  1.979E+01                      C2900002   36 
       3.83     16.198  2.298E+02  3.275E+01                      C2900002   37 
       3.83     21.086  2.080E+02  1.725E+01                      C2900002   38 
       3.83     25.399  1.833E+02  1.408E+01                      C2900002   39 
       3.83     29.617  1.461E+02  1.122E+01                      C2900002   40 
       3.83     33.834  8.350E+01  6.927E+00                      C2900002   41 
       3.83     37.955  5.867E+01  1.031E+01                      C2900002   42 
       3.83     43.514  4.177E+01  1.275E+01                      C2900002   43 
       3.83     53.962  5.637E+01  1.672E+01                      C2900002   44 
       3.92     10.543  2.203E+02  2.333E+01                      C2900002   45 
       3.92     16.102  2.116E+02  2.282E+01                      C2900002   46 
