ENTRY            C2797   20220817                             C228C2797000    1 
SUBENT        C2797001   20220817                             C228C2797001    1 
BIB                 11         24                                 C2797001    2 
TITLE      6Li(alpha,d)8Be reaction and the importance of         C2797001    3 
           exchange processes                                     C2797001    4 
AUTHOR     (M.B.Greenfield,M.F.Werby,R.J.Philpott)                C2797001    5 
INSTITUTE  (1USAFSU)                                              C2797001    6 
REFERENCE  (J,PR/C,10,564,1974)                                   C2797001    7 
           #doi:10.1103/PhysRevC.10.564                           C2797001    8 
FACILITY   (VDGT,1USAFSU) The Florida State super FN tandem       C2797001    9 
           accelerator.                                           C2797001   10 
DETECTOR   (TELES,SIBAR) Deuterons were measured with particle    C2797001   11 
           telescopes. The thickness of the surface-barrier       C2797001   12 
           transmission counters varied from 40-400 mu-m.         C2797001   13 
SAMPLE     Targets were prepared by evaporation of the enriched   C2797001   14 
           metal onto thin plastic backings. The targets were     C2797001   15 
           stored and transported under vacuum of 10e-4 Torr to   C2797001   16 
           prevent contamination.                                 C2797001   17 
           (3-LI-6,ENR=0.999)                                     C2797001   18 
MONITOR    (3-LI-6(P,EL)3-LI-6,,DA)                               C2797001   19 
           The absolute normalization of the data was determined  C2797001   20 
           by measuring 6.86 MeV proton elastic scattering at     C2797001   21 
           95deg and comparing with previously measured absolute  C2797001   22 
           cross sections of H.G.Bingham et al.                   C2797001   23 
MONIT-REF  (A1431001,H.G.Bingham+,J,NP/A,173,265,1971)            C2797001   24 
ADD-RES    (COMP) Model distorted wave Born approximation.        C2797001   25 
HISTORY    (20220817C) OG                                         C2797001   26 
ENDBIB              24          0                                 C2797001   27 
NOCOMMON             0          0                                 C2797001   28 
ENDSUBENT           27          0                                 C279700199999 
SUBENT        C2797002   20220817                             C228C2797002    1 
BIB                  3         13                                 C2797002    2 
REACTION   (3-LI-6(A,D)4-BE-8,PAR,DA)                             C2797002    3 
ERR-ANALYS (DATA-ERR) No information on source of uncertainties   C2797002    4 
           presented in figures.                                  C2797002    5 
           The relative error in the data is due primarily        C2797002    6 
           to counting statistics and is typically smaller than   C2797002    7 
           the size of the data points.                           C2797002    8 
           (ERR-1) The total uncertainty in the absolute          C2797002    9 
           normalization of the data is due to error in           C2797002   10 
           determination of deuteron solid angles, error in beam  C2797002   11 
           current normalization, counting statistics and the     C2797002   12 
           absolute error in the proton elastic scattering data.  C2797002   13 
STATUS     (CURVE) Figs.4,7 in J,PR/C,10,564,1974 were            C2797002   14 
           digitized by GSYS-2.4.9.                               C2797002   15 
ENDBIB              13          0                                 C2797002   16 
COMMON               2          3                                 C2797002   17 
ERR-1      E-LVL                                                  C2797002   18 
PER-CENT   MEV                                                    C2797002   19 
9.         0.                                                     C2797002   20 
ENDCOMMON            3          0                                 C2797002   21 
DATA                 4         57                                 C2797002   22 
EN         ANG-CM     DATA-CM    DATA-ERR                         C2797002   23 
MEV        ADEG       MB/SR      MB/SR                            C2797002   24 
        20.     12.618  4.519E+00  2.032E-01                      C2797002   25 
        20.     20.335  3.471E+00  1.882E-01                      C2797002   26 
        20.     26.622  2.823E+00  1.400E-01                      C2797002   27 
        20.     34.146  2.950E+00  1.463E-01                      C2797002   28 
        20.     40.436  1.819E+00  1.155E-01                      C2797002   29 
        20.     46.744  7.623E-01  3.668E-02                      C2797002   30 
        20.     54.070  2.373E-01  1.998E-02                      C2797002   31 
        20.     60.637  5.057E-01  3.212E-02                      C2797002   32 
        20.     66.253  7.715E-01  3.826E-02                      C2797002   33 
        20.     72.538  9.201E-01  5.844E-02                      C2797002   34 
        20.     78.920  8.207E-01  5.213E-02                      C2797002   35 
        20.     84.875  4.966E-01  2.976E-02                      C2797002   36 
        20.     90.843  2.288E-01  2.593E-02                      C2797002   37 
        20.     97.080  2.919E-01  2.416E-02                      C2797002   38 
        20.    102.258  5.016E-01  6.395E-02                      C2797002   39 
        20.    107.193  9.985E-01  8.960E-02                      C2797002   40 
        20.    112.041  1.710E+00  8.666E-02                      C2797002   41 
        20.    116.723  2.340E+00  1.052E-01                      C2797002   42 
        20.    122.020  2.730E+00  1.097E-01                      C2797002   43 
        20.    126.246  2.878E+00  1.427E-01                      C2797002   44 
        20.    130.479  2.512E+00  1.348E-01                      C2797002   45 
        20.    134.726  1.887E+00  1.205E-01                      C2797002   46 
        20.    139.015  1.253E+00  7.960E-02                      C2797002   47 
        20.    143.209  7.524E-01  5.114E-02                      C2797002   48 
        20.    147.310  3.906E-01  4.927E-02                      C2797002   49 
        20.    151.209  7.967E-01  5.415E-02                      C2797002   50 
        20.    154.469  1.449E+00  9.265E-02                      C2797002   51 
        20.    156.535  2.479E+00  1.459E-01                      C2797002   52 
        20.    160.723  3.509E+00  1.903E-01                      C2797002   53 
        20.    167.100  5.795E+00  3.462E-01                      C2797002   54 
        24.     26.901  1.299E+00  6.560E-02                      C2797002   55 
        24.     34.192  9.109E-01  4.851E-02                      C2797002   56 
        24.     40.628  6.386E-01  3.688E-02                      C2797002   57 
        24.     54.467  3.827E-01  2.209E-02                      C2797002   58 
        24.     60.792  6.558E-01  3.186E-02                      C2797002   59 
        24.     66.899  8.306E-01  5.174E-02                      C2797002   60 
        24.     72.894  8.662E-01  3.657E-02                      C2797002   61 
        24.     79.049  6.369E-01  3.733E-02                      C2797002   62 
        24.     85.095  4.043E-01  3.022E-02                      C2797002   63 
        24.     91.041  2.416E-01  1.902E-02                      C2797002   64 
        24.     96.875  1.194E-01  1.361E-02                      C2797002   65 
        24.    102.301  3.729E-01  2.839E-02                      C2797002   66 
        24.    107.032  8.316E-01  3.858E-02                      C2797002   67 
        24.    112.973  1.365E+00  8.554E-02                      C2797002   68 
        24.    122.628  2.408E+00  9.173E-02                      C2797002   69 
        24.    131.000  2.468E+00  1.042E-01                      C2797002   70 
        24.    135.165  1.996E+00  1.007E-01                      C2797002   71 
        24.    139.120  1.279E+00  6.456E-02                      C2797002   72 
        24.    143.254  7.258E-01  3.665E-02                      C2797002   73 
        24.    147.445  2.653E-01  2.611E-02                      C2797002   74 
        24.    150.772  7.666E-01  5.115E-02                      C2797002   75 
