ENTRY            C0459   19970821                             0000C045900000001 
SUBENT        C0459001   19970821                             0000C045900100001 
BIB                 11         22                                 C045900100002 
INSTITUTE  (1USAPTN) + Trinity College and Drexel Univ.           C045900100003 
REFERENCE  (J,PR/C,42,2730,9012)                                  C045900100004 
AUTHOR     (A.E.CHAMPAGNE,A.J.HOWARD,Z.Q.MAO)                     C045900100005 
TITLE      22Ne(d,p)23Ne reaction and neutron balance in the      C045900100006 
            s process                                             C045900100007 
FACILITY   (CYCLO,1USAPTN) Princeton AVF cyclotron.               C045900100008 
SAMPLE     22Ne implanted into carbon foil. Areal density of 22Ne C045900100009 
            is about 6 micro-g/cm2.                               C045900100010 
DETECTOR   (MAGSP) QDDD Spectrometer.                             C045900100011 
MONITOR    Absolute cross section scale established by normalizingC045900100012 
            the relative spectrosopic factors measured for severalC045900100013 
            low-lying bound states to tabulated values from       C045900100014 
            Howard, et al., Nucl.Phys. A152, 317 (1970), and      C045900100015 
            Fabrici, et al., Phys. Rev. C 21, 830 (1980).         C045900100016 
           Excitation energy calibrated using well-known states   C045900100017 
            populated in the 18O(d,p)19O reaction.                C045900100018 
ERR-ANALYS (DATA-ERR) Uncertainties given contain contributions   C045900100019 
            from statistical and peak-fitting uncertainties.      C045900100020 
           Overall scale uncertainty is 32%.                      C045900100021 
STATUS     Data received by email, A. Champagne, 97/7/23.         C045900100022 
           (APRVD) Approved by A. Champagne, 97/8/20.             C045900100023 
HISTORY    (970723C)                                              C045900100024 
ENDBIB              22          0                                 C045900100025 
NOCOMMON             0          0                                 C045900100026 
ENDSUBENT           25          0                                 C045900199999 
SUBENT        C0459002   19970723                             0000C045900200001 
BIB                  1          1                                 C045900200002 
REACTION   (10-NE-22(D,P)10-NE-23,PAR,DA)                         C045900200003 
ENDBIB               1          0                                 C045900200004 
COMMON               1          3                                 C045900200005 
EN                                                                C045900200006 
MEV                                                               C045900200007 
24.1                                                              C045900200008 
ENDCOMMON            3          0                                 C045900200009 
DATA                 5         56                                 C045900200010 
E-EXC      E-EXC-ERR  ANG-CM     DATA-CM    DATA-ERR              C045900200011 
MEV        MEV        ADEG       MB/SR      MB/SR                 C045900200012 
5.029       0.005      10.7       0.147      0.005                C045900200013 
5.029       0.005      13.4       0.120      0.004                C045900200014 
5.029       0.005      26.7       0.047      0.004                C045900200015 
5.029       0.005      32.0       0.038      0.005                C045900200016 
5.029       0.005      37.3       0.029      0.004                C045900200017 
5.068       0.005      10.7       0.0266     0.0018               C045900200018 
5.068       0.005      13.4       0.0266     0.0018               C045900200019 
5.068       0.005      16.0       0.0249     0.0018               C045900200020 
5.068       0.005      18.7       0.0266     0.0036               C045900200021 
5.185       0.006      10.7       0.039      0.002                C045900200022 
5.185       0.006      13.4       0.020      0.002                C045900200023 
5.185       0.006      16.0       0.021      0.004                C045900200024 
5.185       0.006      18.7       0.025      0.005                C045900200025 
5.185       0.006      21.4       0.027      0.005                C045900200026 
5.185       0.006      26.7       0.0093     0.0036               C045900200027 
5.185       0.006      32.0       0.0083     0.0020               C045900200028 
5.220       0.005      10.7       1.62       0.002                C045900200029 
5.220       0.005      13.4       1.50       0.001                C045900200030 
5.220       0.005      16.0       1.34       0.001                C045900200031 
5.220       0.005      18.7       1.19       0.002                C045900200032 
5.220       0.005      21.4       1.03       0.002                C045900200033 
5.220       0.005      26.7       0.607      0.0014               C045900200034 
5.220       0.005      32.0       0.300      0.0011               C045900200035 
5.220       0.005      37.3       0.140      0.005                C045900200036 
5.462       0.005      10.7       0.282      0.007                C045900200037 
5.462       0.005      13.4       0.142      0.017                C045900200038 
5.462       0.005      16.0       0.116      0.004                C045900200039 
5.462       0.005      18.7       0.0979     0.0053               C045900200040 
5.462       0.005      21.4       0.0820     0.0054               C045900200041 
5.462       0.005      26.7       0.0896     0.0054               C045900200042 
5.462       0.005      32.0       0.0739     0.0054               C045900200043 
5.462       0.005      37.3       0.0507     0.0054               C045900200044 
5.522       0.010      10.7       0.162      0.050                C045900200045 
5.522       0.010      16.0       0.023      0.002                C045900200046 
5.606       0.010      10.7       0.253      0.007                C045900200047 
5.606       0.010      13.4       0.170      0.004                C045900200048 
5.606       0.010      16.0       0.0968     0.0039               C045900200049 
5.606       0.010      18.7       0.0747     0.0046               C045900200050 
5.606       0.010      26.7       0.0443     0.0036               C045900200051 
5.606       0.010      32.0       0.0331     0.0043               C045900200052 
5.646       0.010      10.7       0.411      0.007                C045900200053 
5.646       0.010      13.4       0.325      0.005                C045900200054 
5.646       0.010      16.0       0.266      0.007                C045900200055 
5.646       0.010      18.7       0.198      0.007                C045900200056 
5.646       0.010      21.4       0.124      0.006                C045900200057 
5.646       0.010      26.7       0.0920     0.0054               C045900200058 
5.646       0.010      32.0       0.0446     0.0044               C045900200059 
5.646       0.010      37.3       0.0616     0.0054               C045900200060 
5.726       0.010      10.7       2.96      0.002                 C045900200061 
5.726       0.010      13.4       2.55      0.002                 C045900200062 
5.726       0.010      16.0       2.15      0.002                 C045900200063 
5.726       0.010      18.7       1.66      0.002                 C045900200064 
5.726       0.010      21.4       1.24      0.002                 C045900200065 
5.726       0.010      26.7       0.685     0.0014                C045900200066 
5.726       0.010      32.0       0.405     0.0013                C045900200067 
5.726       0.010      37.3       0.266     0.0011                C045900200068 
ENDDATA             58          0                                 C045900200069 
ENDSUBENT           68          0                                 C045900299999 
ENDENTRY             2          0                                 C045999999999 
