ENTRY            C2655   20210728                             C210C2655  0    1 
SUBENT        C2655001   20210728                             C210C2655  1    1 
BIB                  8         16                                 C2655  1    2 
TITLE      Differential cross section measurements of the 6.13    C2655  1    3 
           MeV gamma ray from proton-induced reaction of fluorine C2655  1    4 
AUTHOR     (M.V.Pham,L.A.Kesler,K.B.Woller,Z.S.Hartwig)           C2655  1    5 
INSTITUTE  (1USAMIT)                                              C2655  1    6 
           (1USAUSA) Plasma Science and Fusion Center, Cambridge  C2655  1    7 
                     Massachusetts                                C2655  1    8 
REFERENCE  (J,NIM/B,499,118,2021)                                 C2655  1    9 
FACILITY   (VDGT,1USAMIT) Experiment performed at General IONex   C2655  1   10 
           1.7 MV Tandetron accelerator at the Cambridge          C2655  1   11 
           Laboratory of Accelerator Studies of Surfaces          C2655  1   12 
SAMPLE     Thin film LiF sample with areal density of             C2655  1   13 
                 (6.20+-1.18)E+21 at/m**2                         C2655  1   14 
DETECTOR   (SCIN) Photons were detected with a LaBr3              C2655  1   15 
           scintillation detector with diameter of 1.5"           C2655  1   16 
           and thickness of 1.5"                                  C2655  1   17 
HISTORY    (20210728C) Compiled by S.H.                           C2655  1   18 
ENDBIB              16          0                                 C2655  1   19 
NOCOMMON             0          0                                 C2655  1   20 
ENDSUBENT           19          0                                 C2655  199999 
SUBENT        C2655002   20210728                             C210C2655  2    1 
BIB                  3          9                                 C2655  2    2 
REACTION   (9-F-19(P,A)8-O-16,PAR,DA,G)                           C2655  2    3 
ERR-ANALYS (ANG-ERR) Uncertainty in detector angle                C2655  2    4 
           (ERR-2) Uncertainty in beam charge                     C2655  2    5 
           (ERR-3) Uncertainty in LiF target area density         C2655  2    6 
           (ERR-4) Uncertainty in detector efficiency at 6.13 MeV C2655  2    7 
           (ERR-5) Uncertainty in transmission at 6.13 MeV        C2655  2    8 
           (ERR-6) Uncertainty in detector solid angle            C2655  2    9 
           (ERR-T) Total uncertainty                              C2655  2   10 
STATUS     (TABLE) Data taken from tab.4 of the reference         C2655  2   11 
ENDBIB               9          0                                 C2655  2   12 
COMMON               8          6                                 C2655  2   13 
E          ANG        ANG-ERR    ERR-2      ERR-3      ERR-4      C2655  2   14 
ERR-5      ERR-6                                                  C2655  2   15 
MEV        ADEG       ADEG       PER-CENT   PER-CENT   PER-CENT   C2655  2   16 
PER-CENT   PER-CENT                                               C2655  2   17 
  6.13       90.        5.         0.4        19.        6.       C2655  2   18 
  1.          3.                                                  C2655  2   19 
ENDCOMMON            6          0                                 C2655  2   20 
DATA                 4         36                                 C2655  2   21 
EN         EN-RSL     DATA       ERR-T                            C2655  2   22 
KEV        KEV        MB/SR      MB/SR                            C2655  2   23 
     837.        1.1       0.11       0.02                        C2655  2   24 
     858.        1.1       0.17       0.04                        C2655  2   25 
     868.        1.1       2.15       0.44                        C2655  2   26 
     878.        1.1       3.14       0.64                        C2655  2   27 
     888.        1.1       0.77       0.16                        C2655  2   28 
     898.        1.1       0.51       0.10                        C2655  2   29 
     908.        1.1       0.23       0.05                        C2655  2   30 
     917.        1.2       0.19       0.04                        C2655  2   31 
     927.        1.2       0.75       0.16                        C2655  2   32 
     937.        1.2       1.45       0.31                        C2655  2   33 
     947.        1.2       0.40       0.09                        C2655  2   34 
     956.        1.3       0.19       0.04                        C2655  2   35 
     957.        1.2       0.21       0.04                        C2655  2   36 
     966.        1.3       0.15       0.03                        C2655  2   37 
     986.        1.3       0.08       0.02                        C2655  2   38 
    1105.        1.2       0.17       0.04                        C2655  2   39 
    1173.        1.2       0.19       0.04                        C2655  2   40 
    1185.        1.2       0.21       0.05                        C2655  2   41 
    1255.        1.2       0.16       0.03                        C2655  2   42 
    1298.        1.2       0.09       0.02                        C2655  2   43 
    1321.        1.1       0.16       0.03                        C2655  2   44 
    1330.        1.2       0.20       0.04                        C2655  2   45 
    1338.        1.1       0.51       0.11                        C2655  2   46 
    1348.        1.2       0.82       0.18                        C2655  2   47 
    1358.        1.2       0.95       0.19                        C2655  2   48 
    1368.        1.2       6.94       1.40                        C2655  2   49 
    1378.        1.2       4.43       0.89                        C2655  2   50 
    1388.        1.2       1.61       0.33                        C2655  2   51 
    1398.        1.2       0.80       0.16                        C2655  2   52 
    1406.        1.1       0.50       0.10                        C2655  2   53 
    1408.        1.2       0.53       0.11                        C2655  2   54 
    1416.        1.2       0.42       0.09                        C2655  2   55 
    1417.        1.1       0.44       0.09                        C2655  2   56 
    1437.        1.2       0.33       0.07                        C2655  2   57 
    1477.        1.2       0.24       0.05                        C2655  2   58 
    1517.        1.2       0.25       0.05                        C2655  2   59 
ENDDATA             38          0                                 C2655  2   60 
ENDSUBENT           59          0                                 C2655  299999 
ENDENTRY             2          0                                 C265599999999 
