ENTRY            C1500   20070123                             C079C150000000001 
SUBENT        C1500001   20070123                             C079C150000100001 
BIB                 10         17                                 C150000100002 
INSTITUTE  (1USANOT,1USAFSU)                                      C150000100003 
REFERENCE  (J,PAN,69,1979,2006)                                   C150000100004 
AUTHOR     (B.B.Skorodumov,G.V.Rogachev,P.Boutachkov,A.Aprahamian,C150000100005 
            J.J.Kolata,L.O.Lamm,M.Quinn,A.Woehr)                  C150000100006 
TITLE      Investigation of the 19Na Nucleus via Resonance        C150000100007 
            Elastic Scattering                                    C150000100008 
FACILITY   (ACCEL,1USANOT) ISNAP (Institute of Structure and      C150000100009 
            Nuclear Astrophysics) at the University of Notre      C150000100010 
            Dame.                                                 C150000100011 
INC-SPECT  A beam of 18Ne was produced via the 3He(16O,18Ne)n     C150000100012 
            reaction.                                             C150000100013 
SAMPLE     Polyethylene (CH2) foil was used as the secondary      C150000100014 
            target. Its thickness of 5.52 mg/cm2 was chosen to    C150000100015 
            stop the 18Ne ions completely.                        C150000100016 
METHOD     Thick-target inverse-kinematics method.                C150000100017 
DETECTOR   (SIBAR)                                                C150000100018 
HISTORY    (20070109C) DR                                         C150000100019 
ENDBIB              17          0                                 C150000100020 
NOCOMMON             0          0                                 C150000100021 
ENDSUBENT           20          0                                 C150000199999 
SUBENT        C1500002   20070123                             C079C150000200001 
BIB                  3          4                                 C150000200002 
REACTION   (10-NE-18(P,EL)10-NE-18,,DA)                           C150000200003 
ERR-ANALYS (DATA-ERR) No information                              C150000200004 
STATUS     (CURVE) Data taken from Fig. 4, No answer from main    C150000200005 
            author.                                               C150000200006 
ENDBIB               4          0                                 C150000200007 
NOCOMMON             0          0                                 C150000200008 
DATA                 5         88                                 C150000200009 
ANG-CM     ANG-ERR    EN-CM      DATA-CM    DATA-ERR              C150000200010 
ADEG       ADEG       MEV        MB/SR      MB/SR                 C150000200011 
105.       2.7          1.118E+00  2.659E+02  3.272E+01           C150000200012 
105.       2.7          1.196E+00  3.817E+02  3.861E+01           C150000200013 
105.       2.7          1.274E+00  3.686E+02  3.664E+01           C150000200014 
105.       2.7          1.355E+00  3.333E+02  3.337E+01           C150000200015 
105.       2.7          1.433E+00  2.894E+02  3.010E+01           C150000200016 
105.       2.7          1.512E+00  2.580E+02  2.814E+01           C150000200017 
105.       2.7          1.593E+00  2.358E+02  2.748E+01           C150000200018 
105.       2.7          1.676E+00  2.220E+02  2.814E+01           C150000200019 
105.       2.7          1.752E+00  1.873E+02  2.225E+01           C150000200020 
105.       2.7          1.836E+00  1.834E+02  2.159E+01           C150000200021 
105.       2.7          1.919E+00  2.004E+02  2.290E+01           C150000200022 
105.       2.7          2.000E+00  1.599E+02  2.028E+01           C150000200023 
105.       2.7          2.084E+00  1.788E+02  2.094E+01           C150000200024 
105.       2.7          2.167E+00  1.815E+02  2.028E+01           C150000200025 
105.       2.7          2.248E+00  1.566E+02  1.898E+01           C150000200026 
105.       2.7          2.334E+00  1.461E+02  1.963E+01           C150000200027 
105.       2.7          2.418E+00  1.285E+02  1.701E+01           C150000200028 
135.       2.4          7.899E-01  2.981E+02  3.789E+01           C150000200029 
135.       2.4          8.499E-01  2.476E+02  3.316E+01           C150000200030 
135.       2.4          9.074E-01  2.026E+02  2.921E+01           C150000200031 
135.       2.4          9.596E-01  1.308E+02  2.289E+01           C150000200032 
135.       2.4          1.020E+00  1.497E+02  2.368E+01           C150000200033 
135.       2.4          1.077E+00  3.147E+02  3.632E+01           C150000200034 
135.       2.4          1.140E+00  3.581E+02  3.868E+01           C150000200035 
135.       2.4          1.200E+00  3.337E+02  3.789E+01           C150000200036 
