ENTRY            C0745   20001207                             0000C074500000001 
SUBENT        C0745001   20001207                             0000C074500100001 
BIB                 11         19                                 C074500100002 
INSTITUTE  (1USADKE)                                              C074500100003 
REFERENCE  (T,THOMASON,1969)                                      C074500100004 
AUTHOR     (R.S.THOMASON)                                         C074500100005 
TITLE      Neutron polarization in (d,n) and 3He,n) stripping     C074500100006 
            reactions on low-A nuclei                             C074500100007 
FACILITY   (VDG,1USATNL)                                          C074500100008 
INC-SPECT  Energy spreads given are due to target thickness.      C074500100009 
SAMPLE     Amorphous boron powder, 99% 11B, evaporated onto       C074500100010 
            tantalum backing.  Thicknesses ranged from 160 to 240 C074500100011 
            keV for 3He incident beam at energies studied.        C074500100012 
DETECTOR   (SCIN) Two 5.1x7.6x15.2 cm3 NE-213 scintillators       C074500100013 
            mounted symmetrically above and bellow the He cell    C074500100014 
            at 25 cm separation for neutron scattered by 120      C074500100015 
            degr.(lab).                                           C074500100016 
MONITOR    (2-HE-4(N,EL)2-HE-4,,POL/DA,,ANA) Emitted neutrons     C074500100017 
            scattered by 4He analyzer.                            C074500100018 
STATUS     (COREL,C0734001) 6,7Li(d,n) data.                      C074500100019 
           (COREL,C0736001) 9Be(3He,n) data.                      C074500100020 
HISTORY    (20001206C) VM                                         C074500100021 
ENDBIB              19          0                                 C074500100022 
NOCOMMON             0          0                                 C074500100023 
ENDSUBENT           22          0                                 C074500199999 
SUBENT        C0745002   20001207                             0000C074500200001 
BIB                  3          6                                 C074500200002 
REACTION   (5-B-11(HE3,N)7-N-13,PAR,POL/DA)                       C074500200003 
ERR-ANALYS (ERR-S) Indicated errors include statistical           C074500200004 
            uncertainties from the accidental coincidence         C074500200005 
            background substraction and also from the tails of    C074500200006 
            the adjacent peaks.                                   C074500200007 
STATUS     Data taken from Table 6 in thesis.                     C074500200008 
ENDBIB               6          0                                 C074500200009 
COMMON               1          3                                 C074500200010 
E-LVL                                                             C074500200011 
MEV                                                               C074500200012 
  0.                                                              C074500200013 
ENDCOMMON            3          0                                 C074500200014 
DATA                 6         45                                 C074500200015 
EN         EN-RSL     ANG-CM     DATA       ERR-S      MONIT      C074500200016 
MEV        MEV        ADEG       NO-DIM     NO-DIM     NO-DIM     C074500200017 
  2.98       0.12      10.63     -0.048      0.066       0.890    C074500200018 
  2.98       0.12      21.23     -0.031      0.090       0.891    C074500200019 
  2.98       0.12      31.80      0.031      0.093       0.891    C074500200020 
  2.98       0.12      47.55      0.004      0.084       0.892    C074500200021 
  2.98       0.12      63.12      0.136      0.104       0.894    C074500200022 
  2.98       0.12      83.54      0.171      0.099       0.896    C074500200023 
  2.98       0.12     103.54      0.046      0.089       0.899    C074500200024 
  2.98       0.12     123.12     -0.177      0.095       0.902    C074500200025 
  2.98       0.12     142.32     -0.038      0.117       0.904    C074500200026 
  3.21       0.10      10.65     -0.033      0.110       0.889    C074500200027 
  3.21       0.10      21.27     -0.207      0.127       0.890    C074500200028 
  3.21       0.10      31.86     -0.219      0.101       0.890    C074500200029 
  3.21       0.10      47.63     -0.050      0.115       0.891    C074500200030 
  3.21       0.10      63.21      0.012      0.077       0.893    C074500200031 
  3.21       0.10      83.65      0.445      0.131       0.895    C074500200032 
  3.21       0.10     103.65      0.184      0.110       0.898    C074500200033 
  3.21       0.10     123.21     -0.067      0.095       0.901    C074500200034 
  3.21       0.10     142.39     -0.235      0.094       0.903    C074500200035 
  3.44       0.09      10.66     -0.063      0.111       0.889    C074500200036 
  3.44       0.09      21.31     -0.153      0.097       0.889    C074500200037 
  3.44       0.09      31.91     -0.176      0.089       0.889    C074500200038 
  3.44       0.09      47.70     -0.073      0.109       0.890    C074500200039 
  3.44       0.09      63.30      0.274      0.110       0.892    C074500200040 
  3.44       0.09      83.75      0.333      0.132       0.894    C074500200041 
  3.44       0.09     103.75     -0.099      0.107       0.897    C074500200042 
  3.44       0.09     123.30     -0.236      0.131       0.900    C074500200043 
  3.44       0.09     142.45     -0.331      0.104       0.902    C074500200044 
  3.65       0.08      10.68      0.115      0.098       0.888    C074500200045 
  3.65       0.08      21.34     -0.083      0.099       0.888    C074500200046 
  3.65       0.08      31.96     -0.138      0.104       0.889    C074500200047 
  3.65       0.08      47.76     -0.159      0.104       0.890    C074500200048 
  3.65       0.08      63.38      0.141      0.105       0.891    C074500200049 
  3.65       0.08      83.84      0.135      0.099       0.894    C074500200050 
  3.65       0.08     103.84     -0.124      0.113       0.896    C074500200051 
  3.65       0.08     123.38     -0.182      0.085       0.899    C074500200052 
  3.65       0.08     142.51     -0.199      0.105       0.902    C074500200053 
  3.85       0.10      10.69     -0.207      0.067       0.887    C074500200054 
  3.85       0.10      21.37     -0.004      0.077       0.888    C074500200055 
  3.85       0.10      32.00     -0.182      0.092       0.888    C074500200056 
  3.85       0.10      47.82     -0.151      0.101       0.889    C074500200057 
  3.85       0.10      63.45      0.107      0.112       0.890    C074500200058 
  3.85       0.10      83.92      0.062      0.118       0.893    C074500200059 
  3.85       0.10     103.92      0.073      0.101       0.896    C074500200060 
  3.85       0.10     123.45      0.092      0.085       0.898    C074500200061 
  3.85       0.10     142.56     -0.156      0.094       0.901    C074500200062 
ENDDATA             47          0                                 C074500200063 
ENDSUBENT           62          0                                 C074500299999 
ENDENTRY             2          0                                 C074599999999 
