ENTRY            C2661   20210925                             C209C2661  0    1 
SUBENT        C2661001   20210925                             C209C2661  1    1 
BIB                 12         23                                 C2661  1    2 
TITLE      Gamow-Teller strength function in 71Ge via the (p,n)   C2661  1    3 
           reaction at medium energies                            C2661  1    4 
AUTHOR     (D.Krofcheck,E.Sugarbaker,J.Rapaport,D.Wang,           C2661  1    5 
           J.N.Bahcall, R.C.Byrd,C.C.Foster,C.D.Goodman,          C2661  1    6 
           I.J.Van Heerden,C.Gaarde, J.S.Larsen,D.J.Horen,        C2661  1    7 
           T.N.Taddeucci)                                         C2661  1    8 
INSTITUTE  (1USAOSU,1USAOHO,1USAIAP,1USAINU,2DENNBI,1USAORL)      C2661  1    9 
REFERENCE  (J,PRL,55,1051,1985)                                   C2661  1   10 
           #doi:10.1103/PhysRevC.5.1562                           C2661  1   11 
FACILITY   (CYCLO,1USAINU)                                        C2661  1   12 
DETECTOR   Six 100x15x15-cm3 detectors of NE-102                  C2661  1   13 
SAMPLE     (31-GA-71,ENR=0.998) A metallic 71Gd target, 14 mg/cm2 C2661  1   14 
METHOD     (TOF) Flight path of 130 m.                            C2661  1   15 
ANALYSIS   The time-of-flight spectrum has been converted to an   C2661  1   16 
           energy scale. The neutron energy scale was calibrated  C2661  1   17 
           by use of (p,n) transition in 7Li which has known Q    C2661  1   18 
           value.                                                 C2661  1   19 
MONITOR    (3-LI-7(P,N)4-BE-7,,SIG) Conversion of time of flight  C2661  1   20 
           spectra was accomplished via energy and absolute       C2661  1   21 
           neutron-detection efficiency calibrations based on the C2661  1   22 
           7Li(p,n) reaction.                                     C2661  1   23 
MONIT-REF  (,C.D.Goodman+,J,PRL,44,1755,1980)                     C2661  1   24 
HISTORY    (20210925C) OG                                         C2661  1   25 
ENDBIB              23          0                                 C2661  1   26 
COMMON               2          3                                 C2661  1   27 
EN         EN-RSL-HW                                              C2661  1   28 
MEV        KEV                                                    C2661  1   29 
 120.        215.                                                 C2661  1   30 
ENDCOMMON            3          0                                 C2661  1   31 
ENDSUBENT           30          0                                 C2661  199999 
SUBENT        C2661002   20210925                             C209C2661  2    1 
BIB                  3          4                                 C2661  2    2 
REACTION   (31-GA-71(P,N)32-GE-71,ICL,DA/DE,N/RSD)                C2661  2    3 
ERR-ANALYS No information on uncertainties.                       C2661  2    4 
STATUS     (CURVE) Fig.2 (p.1053) in Phys.Rev.Lett.,55,1051,1985  C2661  2    5 
           was digitized by GSYS2.4.7.                            C2661  2    6 
ENDBIB               4          0                                 C2661  2    7 
NOCOMMON             0          0                                 C2661  2    8 
DATA                 4         83                                 C2661  2    9 
ANG-CM     E-EXC-MIN  E-EXC-MAX  DATA-CM                          C2661  2   10 
ADEG       MEV        MEV        MB/SR/KEV                        C2661  2   11 
        0.2     -0.345     -0.295      0.768                      C2661  2   12 
        0.2     -0.297     -0.247     12.307                      C2661  2   13 
        0.2     -0.247     -0.197      4.289                      C2661  2   14 
        0.2     -0.199     -0.149      9.287                      C2661  2   15 
        0.2     -0.145     -0.095     31.606                      C2661  2   16 
        0.2     -0.095     -0.045     51.578                      C2661  2   17 
        0.2     -0.045      0.005     57.993                      C2661  2   18 
        0.2      0.004      0.054     62.167                      C2661  2   19 
        0.2      0.053      0.103     54.334                      C2661  2   20 
        0.2      0.102      0.152     32.891                      C2661  2   21 
        0.2      0.152      0.202     17.213                      C2661  2   22 
        0.2      0.201      0.251      6.657                      C2661  2   23 
        0.2      0.250        0.3      1.545                      C2661  2   24 
        0.2      0.300       0.35      2.678                      C2661  2   25 
        0.2      0.351      0.401     15.818                      C2661  2   26 
        0.2      0.399      0.449     18.070                      C2661  2   27 
        0.2      0.452      0.502     17.122                      C2661  2   28 
        0.2      0.504      0.554     10.425                      C2661  2   29 
        0.2      0.552      0.602      3.555                      C2661  2   30 
        0.2      0.599      0.649      5.308                      C2661  2   31 
        0.2      0.654      0.704     17.648                      C2661  2   32 
        0.2      0.703      0.753     18.727                      C2661  2   33 
        0.2      0.755      0.805     22.180                      C2661  2   34 
        0.2      0.801      0.851     15.539                      C2661  2   35 
        0.2      0.852      0.902     31.606                      C2661  2   36 
        0.2      0.901      0.951     33.555                      C2661  2   37 
        0.2      0.952      1.002     26.353                      C2661  2   38 
        0.2      1.002      1.052     25.093                      C2661  2   39 
        5.2     -0.345     -0.295      0.573                      C2661  2   40 
        5.2     -0.294     -0.244     -0.082                      C2661  2   41 
        5.2     -0.244     -0.194      0.000                      C2661  2   42 
        5.2     -0.194     -0.144      3.517                      C2661  2   43 
        5.2     -0.146     -0.096      7.853                      C2661  2   44 
        5.2     -0.096     -0.046     19.468                      C2661  2   45 
        5.2     -0.046      0.004     30.838                      C2661  2   46 
        5.2      0.005      0.055     32.802                      C2661  2   47 
        5.2      0.057      0.107     22.577                      C2661  2   48 
        5.2      0.103      0.153     17.260                      C2661  2   49 
        5.2      0.151      0.201     17.832                      C2661  2   50 
        5.2      0.202      0.252     15.297                      C2661  2   51 
        5.2      0.252      0.302     12.924                      C2661  2   52 
        5.2      0.304      0.354     11.125                      C2661  2   53 
        5.2      0.351      0.401     11.943                      C2661  2   54 
        5.2      0.402      0.452     17.014                      C2661  2   55 
