ENTRY            C2721   20220402                             C219C2721  0    1 
SUBENT        C2721001   20220402                             C219C2721  1    1 
BIB                 10         26                                 C2721  1    2 
TITLE      Search for giant spin-flip transitions in 90Zr and     C2721  1    3 
           208Pb                                                  C2721  1    4 
AUTHOR     (F.E.Cecil,G.T.Garvey,W.J.Braithwaite)                 C2721  1    5 
INSTITUTE  (1USAPTN)                                              C2721  1    6 
REFERENCE  (J,NP/A,232,22,1974)                                   C2721  1    7 
           #doi:10.1016/0375-9474(74)90643-5                      C2721  1    8 
FACILITY   (CYCLO,1USAPTN)                                        C2721  1    9 
DETECTOR   (NAICR) The gamma-detector was a 12.7 cm diameter by   C2721  1   10 
           10.2 cm NaI(Tl) crystal coupled to an RCA 4522         C2721  1   11 
           phototube.                                             C2721  1   12 
           (SIBAR) A stack of surface barrier detectors (ORTEC    C2721  1   13 
           2000mu-m) cooled to dry ice temperature, was used for  C2721  1   14 
           particle detection.                                    C2721  1   15 
           The efficiency was determined by measuring the         C2721  1   16 
           gamma-spectrum in coincidence with the proton          C2721  1   17 
           excitation of states in 12C and 160 at 4.43, 6.13,     C2721  1   18 
           6.92, 7.12 and 15.11 MeV.                              C2721  1   19 
SAMPLE     90Zr or 208Pb targets (typically 1 mg/cm2 thickness)   C2721  1   20 
METHOD     (COINC) The detection of inelastically scattered       C2721  1   21 
           protons in coincidence with ground-state de-excitation C2721  1   22 
           gamma-rays.                                            C2721  1   23 
CORRECTION Accidental coincidences were subtracted by counting    C2721  1   24 
           the number of elastically scattered protons, observed  C2721  1   25 
           in coincidence with gamma-rays in a given gamma-ray    C2721  1   26 
           energy interval.                                       C2721  1   27 
HISTORY    (20220402C) OG                                         C2721  1   28 
ENDBIB              26          0                                 C2721  1   29 
COMMON               1          3                                 C2721  1   30 
EN                                                                C2721  1   31 
MEV                                                               C2721  1   32 
24.                                                               C2721  1   33 
ENDCOMMON            3          0                                 C2721  1   34 
ENDSUBENT           33          0                                 C2721  199999 
SUBENT        C2721002   20220402                             C219C2721  2    1 
BIB                  3          4                                 C2721  2    2 
REACTION   (40-ZR-90(P,INL)40-ZR-90,PAR,DA)                       C2721  2    3 
ERR-ANALYS (DATA-ERR) No information on source of uncertainties   C2721  2    4 
STATUS     (CURVE) Fig.9 (p.33) in Nucl.Phys.A,232,22,1974 was    C2721  2    5 
           digitized by GSYS2.4.7.                                C2721  2    6 
ENDBIB               4          0                                 C2721  2    7 
NOCOMMON             0          0                                 C2721  2    8 
DATA                 4         68                                 C2721  2    9 
E-LVL      ANG-CM     DATA-CM    DATA-ERR                         C2721  2   10 
MEV        ADEG       MU-B/SR    MU-B/SR                          C2721  2   11 
       3.84     12.748  1.448E+02  1.259E+01                      C2721  2   12 
       3.84     15.629  1.838E+02  1.016E+01                      C2721  2   13 
       3.84     18.845  2.094E+02  1.157E+01                      C2721  2   14 
       3.84     20.793  2.307E+02  6.464E+00                      C2721  2   15 
       3.84     21.895  2.629E+02  1.223E+01                      C2721  2   16 
       3.84     25.702  2.750E+02  1.609E+01                      C2721  2   17 
       3.84     28.833  2.845E+02  1.665E+01                      C2721  2   18 
       3.84     32.809  2.876E+02  1.435E+01                      C2721  2   19 
       3.84     33.823  2.717E+02  7.834E+00                      C2721  2   20 
       3.84     34.921  2.552E+02  1.273E+01                      C2721  2   21 
       3.84     35.934  2.214E+02  9.843E+00                      C2721  2   22 
       3.84     36.863  2.103E+02  9.353E+00                      C2721  2   23 
       3.84     40.915  1.297E+02  8.370E+00                      C2721  2   24 
       3.84     45.729  8.319E+01  4.867E+00                      C2721  2   25 
       3.84     51.901  6.661E+01  3.323E+00                      C2721  2   26 
       3.84     55.626  7.898E+01  6.043E+00                      C2721  2   27 
       3.84     60.787  8.309E+01  4.860E+00                      C2721  2   28 
       3.84     65.862  8.165E+01  5.385E+00                      C2721  2   29 
       3.84     71.101  6.142E+01  4.051E+00                      C2721  2   30 
       5.51     13.261  1.544E+02  1.488E+01                      C2721  2   31 
       5.51     16.097  1.350E+02  1.232E+01                      C2721  2   32 
       5.51     21.171  1.315E+02  8.587E+00                      C2721  2   33 
       5.51     26.179  9.881E+01  1.052E+01                      C2721  2   34 
       5.51     31.097  8.125E+01  5.731E+00                      C2721  2   35 
       5.51     33.267  7.224E+01  7.327E+00                      C2721  2   36 
       5.51     34.182  7.226E+01  5.475E+00                      C2721  2   37 
       5.51     37.106  5.806E+01  4.404E+00                      C2721  2   38 
       5.51     41.087  6.806E+01  9.595E+00                      C2721  2   39 
       5.51     52.180  4.045E+01  4.913E+00                      C2721  2   40 
       5.51     56.107  3.039E+01  2.617E+00                      C2721  2   41 
       5.51     60.593  3.201E+01  2.757E+00                      C2721  2   42 
       5.51     66.257  2.770E+01  2.810E+00                      C2721  2   43 
       5.51     71.162  2.805E+01  2.843E+00                      C2721  2   44 
       5.51     80.642  2.766E+01  3.359E+00                      C2721  2   45 
       5.89     13.066  1.896E+02  2.234E+01                      C2721  2   46 
       5.89     16.033  1.823E+02  1.717E+01                      C2721  2   47 
