ENTRY            C2630   20210620                             C207C2630  0    1 
SUBENT        C2630001   20210620                             C207C2630  1    1 
BIB                  9         29                                 C2630  1    2 
TITLE      New measurement of the Ec.m. = 323 keV resonance in    C2630  1    3 
           the 19F(p,gamma)20Ne reaction                          C2630  1    4 
AUTHOR     (M.Williams,P.Adsley,B.Davids,U.Greife,D.Hutcheon,     C2630  1    5 
           J.Karpesky,A.Lennarz,M.Lovely,C.Ruiz)                  C2630  1    6 
INSTITUTE  (2UK YRK,1CANTMF,3SAFWIT,3SAFITH,1CANSFU,1USACSM)      C2630  1    7 
REFERENCE  (J,PR/C,103,055805,2021)                               C2630  1    8 
FACILITY   (LINAC,1CANTMF) Experiment performed at the ISAC-1     C2630  1    9 
           facility using DRAGON setup at TRIUMF, Vancouver       C2630  1   10 
SAMPLE     Differentially pumped windowless gas target. The       C2630  1   11 
           target pressure was changed between 2 and 5 torr       C2630  1   12 
           to check stability of the result.                      C2630  1   13 
DETECTOR   (MAGSP) Emitted charged particles are momentum         C2630  1   14 
           analysed in DRAGON recoil separator, consisting of two C2630  1   15 
           magnetic, two electrostatic dipoles and several        C2630  1   16 
           quadrupole lenses.                                     C2630  1   17 
           (BGO) Windowless gas target was surrounded by BGO arrayC2630  1   18 
           composed of 30 scintillator crystals with photo-       C2630  1   19 
           multiplier tubes. The array has a 92% of total solid   C2630  1   20 
           angle coverage.                                        C2630  1   21 
           (MCPLT) Two micro-channel plates in focal plane        C2630  1   22 
           detector were used to measure time of flight for       C2630  1   23 
           particle identification.                               C2630  1   24 
           (SISD) Mcrochannel plated were followed by double      C2630  1   25 
           sided Si strip detectors for particle identification.  C2630  1   26 
METHOD     (COINC) Coincidences between recoils in focal plane    C2630  1   27 
           detector and prompt gamma rays in BGO array was        C2630  1   28 
           required and identified by timestamp based algorithm.  C2630  1   29 
           Inverse kinematics wass used.                          C2630  1   30 
HISTORY    (20210620C) Compiled by S.H.                           C2630  1   31 
ENDBIB              29          0                                 C2630  1   32 
NOCOMMON             0          0                                 C2630  1   33 
ENDSUBENT           32          0                                 C2630  199999 
SUBENT        C2630002   20210620                             C207C2630  2    1 
BIB                  3          3                                 C2630  2    2 
REACTION   (9-F-19(P,G),,WID/STR)                                 C2630  2    3 
ERR-ANALYS (DATA-ERR) Source of uncertainties not described       C2630  2    4 
STATUS     (TABLE) Data taken from text p.5 of the reference      C2630  2    5 
ENDBIB               3          0                                 C2630  2    6 
NOCOMMON             0          0                                 C2630  2    7 
DATA                 5          1                                 C2630  2    8 
EN-RES-CM  EN-RSL     DATA       +DATA-ERR  -DATA-ERR             C2630  2    9 
KEV        KEV        MILLI-EV   MILLI-EV   MILLI-EV              C2630  2   10 
  323.0      0.5        3.3        1.1        0.9                 C2630  2   11 
ENDDATA              3          0                                 C2630  2   12 
ENDSUBENT           11          0                                 C2630  299999 
SUBENT        C2630003   20210620                             C207C2630  3    1 
BIB                  4          7                                 C2630  3    2 
REACTION   (9-F-19(P,G)10-NE-20,,SGV)                             C2630  3    3 
MISC-COL   (MISC1) Low reaction rate                              C2630  3    4 
           (MISC2) High reaction rate                             C2630  3    5 
ANALYSIS   Reaction rate determined from resonance paramters      C2630  3    6 
           obtained partly in this work                           C2630  3    7 
STATUS     (TABLE) Data taken from tab. III of the reference      C2630  3    8 
           (DEP,C2630002)                                         C2630  3    9 
ENDBIB               7          0                                 C2630  3   10 
NOCOMMON             0          0                                 C2630  3   11 
DATA                 4         51                                 C2630  3   12 
KT         DATA       MISC1      MISC2                            C2630  3   13 
KEV        CM3/S/MOL  CM3/S/MOL  CM3/S/MOL                        C2630  3   14 
    0.010     8.17E-28   6.60E-28   1.02E-27                      C2630  3   15 
    0.011     1.07E-26   8.66E-27   1.33E-26                      C2630  3   16 
    0.012     1.03E-25   8.40E-26   1.30E-25                      C2630  3   17 
    0.013     7.89E-25   6.42E-25   9.77E-25                      C2630  3   18 
    0.014     4.93E-24   3.99E-24   6.13E-24                      C2630  3   19 
    0.015     2.61E-23   2.11E-23   3.24E-23                      C2630  3   20 
    0.016     1.20E-22   9.64E-23   1.50E-22                      C2630  3   21 
    0.018     1.76E-21   1.43E-21   2.19E-21                      C2630  3   22 
    0.020     1.79E-20   1.45E-20   2.22E-20                      C2630  3   23 
    0.025     1.87E-18   1.52E-18   2.33E-18                      C2630  3   24 
    0.030     6.45E-17   5.24E-17   8.01E-17                      C2630  3   25 
    0.040     1.11E-14   9.11E-15   1.37E-14                      C2630  3   26 
    0.050     4.38E-13   3.56E-13   5.39E-13                      C2630  3   27 
    0.060     7.19E-12   5.92E-12   8.83E-12                      C2630  3   28 
    0.070     6.65E-11   5.49E-11   8.13E-11                      C2630  3   29 
    0.080     4.21E-10   3.48E-10   5.17E-10                      C2630  3   30 
    0.090      2.02E-9    1.67E-9    2.45E-9                      C2630  3   31 
    0.100      7.76E-9    6.49E-9    9.46E-9                      C2630  3   32 
    0.110      2.57E-8    2.14E-8    3.11E-8                      C2630  3   33 
    0.120      7.49E-8    6.21E-8    9.02E-8                      C2630  3   34 
    0.130      1.98E-7    1.64E-7    2.41E-7                      C2630  3   35 
    0.140      4.97E-7    4.14E-7    6.00E-7                      C2630  3   36 
    0.150      1.18E-6    9.85E-7    1.44E-6                      C2630  3   37 
    0.160      2.77E-6    2.29E-6    3.41E-6                      C2630  3   38 
    0.180      1.46E-5    1.16E-5    1.86E-5                      C2630  3   39 
    0.200      6.92E-5    5.36E-5    9.07E-5                      C2630  3   40 
    0.250      1.53E-3    1.13E-3    2.11E-3                      C2630  3   41 
    0.300      1.33E-2    9.44E-3    1.85E-2                      C2630  3   42 
    0.350      6.16E-2    4.44E-2    8.68E-2                      C2630  3   43 
    0.400      1.98E-1    1.42E-1    2.76E-1                      C2630  3   44 
    0.450      4.93E-1    3.63E-1    6.77E-1                      C2630  3   45 
    0.500      1.08E+0    8.22E-1    1.45E+0                      C2630  3   46 
    0.600      4.04E+0    3.27E+0    5.07E+0                      C2630  3   47 
    0.700      1.22E+1    1.03E+1    1.46E+1                      C2630  3   48 
    0.800      3.03E+1    2.55E+1    3.60E+1                      C2630  3   49 
    0.900      6.36E+1    5.37E+1    7.55E+1                      C2630  3   50 
    1.000      1.17E+2    9.84E+1    1.39E+2                      C2630  3   51 
    1.250      3.53E+2    2.97E+2    4.23E+2                      C2630  3   52 
    1.500      7.31E+2    6.16E+2    8.70E+2                      C2630  3   53 
    1.750      1.21E+3    1.03E+3    1.43E+3                      C2630  3   54 
    2.000      1.76E+3    1.51E+3    2.08E+3                      C2630  3   55 
    2.500      2.95E+3    2.56E+3    3.43E+3                      C2630  3   56 
    3.000      4.12E+3    3.63E+3    4.71E+3                      C2630  3   57 
    3.500      5.15E+3    4.56E+3    5.84E+3                      C2630  3   58 
    4.000      6.04E+3    5.38E+3    6.80E+3                      C2630  3   59 
    5.000      7.28E+3    6.55E+3    8.11E+3                      C2630  3   60 
