ENTRY            C2632   20210617                             C207C2632  0    1 
SUBENT        C2632001   20210617                             C207C2632  1    1 
BIB                  8         19                                 C2632  1    2 
TITLE      Decay of the key 92-keV resonance in the               C2632  1    3 
           25Mg(p,gamma) reaction to the ground and isomeric      C2632  1    4 
           states of the cosmic gamma-ray emitter 26Al            C2632  1    5 
AUTHOR     (A.Kankainen,P.J.Woods,D.T.Doherty,H.M.Albers,M.Albers,C2632  1    6 
           A.D.Ayangeakaa,M.P.Carpenter,C.J.Chiara,J.L.Harker,    C2632  1    7 
           R.V.F.Janssens,C.Lederer-Woods,D.Seweryniak,           C2632  1    8 
           F.Strieder,S.Zhu)                                      C2632  1    9 
INSTITUTE  (2UK EDG,2SF JYV,2UK SUR,1USAANL,1USANCA,1USADKE,      C2632  1   10 
           1USAMRY,1USABNL)                                       C2632  1   11 
           (1USAUSA) South Dakota School of Mines and Technology  C2632  1   12 
                     Rapid City,South Dakota                      C2632  1   13 
REFERENCE  (J,PL/B,813,136033,2021)                               C2632  1   14 
FACILITY   (LINAC,1USAANL) Experiment performed using the ATLAS   C2632  1   15 
           accelerator at Argonne National Laboratory.            C2632  1   16 
SAMPLE     24Mg target with thickness of 840 mu-g/cm2             C2632  1   17 
DETECTOR   (HPGE) Gamma rays were detected using Gammasphere      C2632  1   18 
           array, consisting of 110 Compton-suppressed HPGe       C2632  1   19 
           detectors, which cover almost 4Pi solid angle.         C2632  1   20 
HISTORY    (20210617C) Compiled by S.H.                           C2632  1   21 
ENDBIB              19          0                                 C2632  1   22 
NOCOMMON             0          0                                 C2632  1   23 
ENDSUBENT           22          0                                 C2632  199999 
SUBENT        C2632002   20210617                             C207C2632  2    1 
BIB                  3          4                                 C2632  2    2 
REACTION   (12-MG-24(HE3,P)13-AL-26,PAR,DA,G,REL)                 C2632  2    3 
ERR-ANALYS (DATA-ERR) Origin of uncertainties not described       C2632  2    4 
STATUS     (CURVE) Data taken from fig. 4 of the reference,       C2632  2    5 
                   Waiting for data from author                   C2632  2    6 
ENDBIB               4          0                                 C2632  2    7 
COMMON               1          3                                 C2632  2    8 
EN                                                                C2632  2    9 
MEV                                                               C2632  2   10 
10.                                                               C2632  2   11 
ENDCOMMON            3          0                                 C2632  2   12 
DATA                 5         32                                 C2632  2   13 
E          ANG        DATA       DATA-ERR   LVL-INI               C2632  2   14 
KEV        ADEG       ARB-UNITS  ARB-UNITS  KEV                   C2632  2   15 
      2361.        17.      1755.        41.     6399.            C2632  2   16 
      2361.        32.      1701.        23.     6399.            C2632  2   17 
      2361.        37.      1654.        21.     6399.            C2632  2   18 
      2361.        50.      1604.        14.     6399.            C2632  2   19 
      2361.        58.      1596.        39.     6399.            C2632  2   20 
      2361.        70.      1481.        12.     6399.            C2632  2   21 
      2361.        80.      1456.        12.     6399.            C2632  2   22 
      2361.        90.      1459.        17.     6399.            C2632  2   23 
      2986.        17.       39.0        1.1     3402.            C2632  2   24 
      2986.        32.       37.6        0.6     3402.            C2632  2   25 
      2986.        37.       37.8        0.5     3402.            C2632  2   26 
      2986.        50.       35.2        0.3     3402.            C2632  2   27 
      2986.        58.       31.9        0.4     3402.            C2632  2   28 
      2986.        70.       29.5        0.2     3402.            C2632  2   29 
      2986.        80.       26.5        0.3     3402.            C2632  2   30 
      2986.        90.       25.7        0.4     3402.            C2632  2   31 
      3239.        17.      103.1        4.6     6369.            C2632  2   32 
      3239.        32.      100.0        2.0     6369.            C2632  2   33 
      3239.        37.       97.2        1.7     6369.            C2632  2   34 
      3239.        50.       91.3        1.1     6369.            C2632  2   35 
      3239.        58.       93.8        3.2     6369.            C2632  2   36 
      3239.        70.       87.2        1.0     6369.            C2632  2   37 
      3239.        80.       85.7        1.1     6369.            C2632  2   38 
      3239.        90.       86.5        1.5     6369.            C2632  2   39 
      4327.        17.      298.7       11.3     6369.            C2632  2   40 
      4327.        32.      292.5        4.7     6369.            C2632  2   41 
      4327.        37.      282.6        4.4     6369.            C2632  2   42 
      4327.        50.      275.5        2.0     6369.            C2632  2   43 
      4327.        58.      267.2        7.9     6369.            C2632  2   44 
      4327.        70.      248.4        2.3     6369.            C2632  2   45 
      4327.        80.      248.6        2.2     6369.            C2632  2   46 
      4327.        90.      238.5        3.6     6369.            C2632  2   47 
ENDDATA             34          0                                 C2632  2   48 
ENDSUBENT           47          0                                 C2632  299999 
ENDENTRY             2          0                                 C263299999999 
