ENTRY            C2671   20211016                             C210C2671  0    1 
SUBENT        C2671001   20211016                             C210C2671  1    1 
BIB                 10         17                                 C2671  1    2 
TITLE      Search for a narrow state at 23.9 MeV in 4He in the    C2671  1    3 
           3H+p channel                                           C2671  1    4 
AUTHOR     (H.Paetz gen.Schieck,T.R.Donoghue,R.M.Prior,S.E.Darden)C2671  1    5 
INSTITUTE  (1USAOSU,1USANOT)                                      C2671  1    6 
REFERENCE  (J,NP/A,169,71,1971)                                   C2671  1    7 
           #doi:10.1016/0375-9474(71)90559-8                      C2671  1    8 
FACILITY   (VDGT,1USANOT) The Notre Dame Lamb-shift polarized     C2671  1    9 
           ion source                                             C2671  1   10 
INC-SOURCE (LAMB) A 0.14 nA beam whose polarization was measured  C2671  1   11 
           by scattering of protons from 4He at 115 degrees (lab) C2671  1   12 
           at 6 MeV.                                              C2671  1   13 
REL-REF    (I,,G.Michel+,J,NIM,78,261,1970)                       C2671  1   14 
SAMPLE     A Ti-3H target with 90 mu-g/cm2 of titanium evaporated C2671  1   15 
           onto a thin Ni backing.                                C2671  1   16 
DETECTOR   (SIBAR) Six 800 mu-m depletion depth surface barrier   C2671  1   17 
           detectors.                                             C2671  1   18 
HISTORY    (20211016C) OG                                         C2671  1   19 
ENDBIB              17          0                                 C2671  1   20 
NOCOMMON             0          0                                 C2671  1   21 
ENDSUBENT           20          0                                 C2671  199999 
SUBENT        C2671002   20211016                             C210C2671  2    1 
BIB                  3          6                                 C2671  2    2 
REACTION   (1-H-3(P,EL)1-H-3,,POL/DA,,ANA)                        C2671  2    3 
ERR-ANALYS (DATA-ERR) No information on source of uncertainties.  C2671  2    4 
           (ERR-1,3.,5.) A statistical accuracy of the measured   C2671  2    5 
           analysing powers                                       C2671  2    6 
STATUS     (CURVE) Fig.3 (p.74) in Nucl.Phys.A,169,71,1971 was    C2671  2    7 
           digitized by GSYS2.4.7.                                C2671  2    8 
ENDBIB               6          0                                 C2671  2    9 
COMMON               2          3                                 C2671  2   10 
POL-BM     POL-BM-ERR                                             C2671  2   11 
NO-DIM     NO-DIM                                                 C2671  2   12 
0.609      0.015                                                  C2671  2   13 
ENDCOMMON            3          0                                 C2671  2   14 
DATA                 4         63                                 C2671  2   15 
ANG        EN         DATA       DATA-ERR                         C2671  2   16 
ADEG       MEV        NO-DIM     NO-DIM                           C2671  2   17 
       120.      5.401      0.303      0.051                      C2671  2   18 
       120.      5.406      0.240      0.053                      C2671  2   19 
       120.      5.411      0.309      0.042                      C2671  2   20 
       120.      5.416      0.298      0.049                      C2671  2   21 
       120.      5.421      0.247      0.035                      C2671  2   22 
       120.      5.426      0.235      0.044                      C2671  2   23 
       120.      5.431      0.302      0.028                      C2671  2   24 
       120.      5.436      0.246      0.044                      C2671  2   25 
       120.      5.441      0.269      0.055                      C2671  2   26 
       120.      5.446      0.325      0.046                      C2671  2   27 
       120.      5.451      0.288      0.049                      C2671  2   28 
       120.      5.456      0.354      0.037                      C2671  2   29 
       120.      5.461      0.294      0.046                      C2671  2   30 
       120.      5.466      0.350      0.037                      C2671  2   31 
       120.      5.471      0.292      0.042                      C2671  2   32 
       120.      5.476      0.236      0.039                      C2671  2   33 
       120.      5.481      0.310      0.044                      C2671  2   34 
       120.      5.486      0.328      0.042                      C2671  2   35 
       120.      5.491      0.277      0.042                      C2671  2   36 
       120.      5.496      0.261      0.044                      C2671  2   37 
       120.      5.501      0.307      0.044                      C2671  2   38 
       140.      5.400      0.147      0.044                      C2671  2   39 
       140.      5.406      0.169      0.039                      C2671  2   40 
       140.      5.410      0.199      0.048                      C2671  2   41 
       140.      5.415      0.128      0.044                      C2671  2   42 
       140.      5.420      0.108      0.034                      C2671  2   43 
       140.      5.426      0.156      0.044                      C2671  2   44 
       140.      5.430      0.140      0.027                      C2671  2   45 
       140.      5.435      0.158      0.044                      C2671  2   46 
       140.      5.440      0.172      0.041                      C2671  2   47 
       140.      5.445      0.215      0.034                      C2671  2   48 
       140.      5.450      0.188      0.039                      C2671  2   49 
       140.      5.455      0.188      0.037                      C2671  2   50 
       140.      5.461      0.121      0.046                      C2671  2   51 
       140.      5.465      0.176      0.037                      C2671  2   52 
       140.      5.470      0.183      0.032                      C2671  2   53 
       140.      5.475      0.183      0.032                      C2671  2   54 
       140.      5.480      0.197      0.034                      C2671  2   55 
       140.      5.485      0.126      0.032                      C2671  2   56 
       140.      5.490      0.158      0.041                      C2671  2   57 
       140.      5.495      0.137      0.044                      C2671  2   58 
