ENTRY            G3105   20120703                             G025G310500000001 
SUBENT        G3105001   20120703                             G025G310500100001 
BIB                 16         38                                 G310500100002 
TITLE      Measurement of photo-neutron cross-sections in 208Pb   G310500100003 
            and 209Bi with 50-70 MeV bremsstrahlung               G310500100004 
AUTHOR     (H.Naik, S.Singh, A.Goswami, V.K.Manchanda, G.N.Kim,   G310500100005 
            K.S.Kim, M.W.Lee, Md.Shakilur Rahman, D.Raj,          G310500100006 
            S.Ganesan, S.Suryanarayana, M.H.Cho, W.Namkung)       G310500100007 
INSTITUTE  (3INDTRM,3KORKNU,3KORPUE)                              G310500100008 
REFERENCE  (J,NIM/B,269,1417,2011)                                G310500100009 
FACILITY   (LINAC,3KORPUE) Pohang Accelerator Laboratory (PAL)    G310500100010 
INC-SOURCE (BRST) Pulsed electron beam on thin tungsten target    G310500100011 
            (size 10.0 x 10.0 cm, thickness 0.1 mm)               G310500100012 
SAMPLE     208Pb metal foil (2 mg/cm**2 thickness, 99.999% purity,G310500100013 
            1.225x1.225 cm size) and 209Bi metal foil (2 mg/cm**2 G310500100014 
            thickness, 1.414x1.414 cm size) wrapped with super    G310500100015 
            pure Al foil (0.025 mm thickness).                    G310500100016 
METHOD     (ACTIV) Irradiated for 2-4 hours (10-15 mA, 3.75 Hz)   G310500100017 
           (GSPEC) After cooling for 30 min                       G310500100018 
DETECTOR   (HPGE) To count gamma-ray reaction products,           G310500100019 
            1.8 keV FWHM at 1332.5 keV peak of 60Co               G310500100020 
MONITOR    ((MONIT)29-CU-65(G,N)29-CU-64,,SIG)                    G310500100021 
           (13-AL-27(G,N+2P)11-NA-24,,SIG) 0.05-0.2 mb            G310500100022 
            at the bremsstrahlung energy range of 50-70 MeV       G310500100023 
DECAY-MON  (29-CU-64,,DG,1345.8)                                  G310500100024 
           (11-NA-24,,DG,1368.6)                                  G310500100025 
MONIT-REF  ((MONIT),S.Shibata+,J,PR/C,35,254,1987)                G310500100026 
            65Cu(g,n)64Cu cross section                           G310500100027 
           (,V.Di.Napoli+,J,NCL,1,835,1971)                       G310500100028 
            27Al(g,n+2p)24Na cross section                        G310500100029 
REL-REF    (R,,E.Browne+,B,BROWNE,,1986) WWW Version 2.1          G310500100030 
           (R,,J.Blachot+,J,APH,6,3,1981) Decay data              G310500100031 
ERR-ANALYS (ERR-T) Total uncertainty                              G310500100032 
           (ERR-SYS) Overall systematic error                (6%) G310500100033 
                      - Irradiation time                  (~0.5%) G310500100034 
                      - Detection efficiency calibration    (~3%) G310500100035 
                      - Half-life and gamma-ray abundance   (~1%) G310500100036 
           (ERR-S,5.,10.) Counting statistics             (5-10%) G310500100037 
STATUS     (APRVD) Approved by G.N.Kim (2011-06-23)               G310500100038 
HISTORY    (20110527C) S.C.Yang                                   G310500100039 
           (20120703U) On. SAMPLE: free text revised              G310500100040 
ENDBIB              38          0                                 G310500100041 
COMMON               3          3                                 G310500100042 
MONIT      MONIT-ERR  ERR-SYS                                     G310500100043 
MB         MB         PER-CENT                                    G310500100044 
 16.35      0.78       6.                                         G310500100045 
ENDCOMMON            3          0                                 G310500100046 
ENDSUBENT           45          0                                 G310500199999 
SUBENT        G3105002   20110527                             G023G310500200001 
BIB                  3         21                                 G310500200002 
REACTION   (83-BI-209(G,3N)83-BI-206,,SIG,,BRA)                   G310500200003 
DECAY-DATA ((1.)83-BI-206,6.243D,DG,183.98,0.158)                 G310500200004 
           ((2.)83-BI-206,6.243D,DG,262.7,0.0302)                 G310500200005 
           ((3.)83-BI-206,6.243D,DG,343.51,0.23439)               G310500200006 
           ((4.)83-BI-206,6.243D,DG,398.0,0.10741)                G310500200007 
           ((5.)83-BI-206,6.243D,DG,497.06,0.1531)                G310500200008 
           ((6.)83-BI-206,6.243D,DG,516.18,0.40747)               G310500200009 
           ((7.)83-BI-206,6.243D,DG,537.72,0.304)                 G310500200010 
           ((8.)83-BI-206,6.243D,DG,620.48,0.0576)                G310500200011 
           ((9.)83-BI-206,6.243D,DG,632.25,0.0447)                G310500200012 
           ((10.)83-BI-206,6.243D,DG,657.16,0.0191)               G310500200013 
           ((11.)83-BI-206,6.243D,DG,803.1,0.989)                 G310500200014 
           ((12.)83-BI-206,6.243D,DG,881.01,0.66164)              G310500200015 
           ((13.)83-BI-206,6.243D,DG,895.12,0.15656)              G310500200016 
           ((14.)83-BI-206,6.243D,DG,1018.63,0.07596)             G310500200017 
           ((15.)83-BI-206,6.243D,DG,1098.26,0.135)               G310500200018 
           ((16.)83-BI-206,6.243D,DG,1405.01,0.0143)              G310500200019 
           ((17.)83-BI-206,6.243D,DG,1595.27,0.0501)              G310500200020 
           ((18.)83-BI-206,6.243D,DG,1718.7,0.38044)              G310500200021 
           ((19.)83-BI-206,6.243D,DG,1878.65,0.0201)              G310500200022 
STATUS     (TABLE) Table 1 of J,NIM/B,269,1417,2011               G310500200023 
ENDBIB              21          0                                 G310500200024 
NOCOMMON             0          0                                 G310500200025 
DATA                 4         91                                 G310500200026 
EN-MAX     DATA       ERR-T      DECAY-FLAG                       G310500200027 
MEV        MB         MB         NO-DIM                           G310500200028 
50.        0.691      0.045      1.                               G310500200029 
50.        0.697      0.086      2.                               G310500200030 
50.        0.602      0.077      3.                               G310500200031 
50.        0.684      0.046      4.                               G310500200032 
50.        0.651      0.066      5.                               G310500200033 
50.        0.645      0.021      7.                               G310500200034 
50.        0.635      0.060      8.                               G310500200035 
50.        0.670      0.084      9.                               G310500200036 
50.        0.576      0.063      10.                              G310500200037 
50.        0.666      0.054      11.                              G310500200038 
50.        0.694      0.028      12.                              G310500200039 
50.        0.689      0.042      13.                              G310500200040 
50.        0.658      0.021      14.                              G310500200041 
50.        0.585      0.042      15.                              G310500200042 
50.        0.635      0.055      16.                              G310500200043 
50.        0.690      0.078      17.                              G310500200044 
50.        0.598      0.057      18.                              G310500200045 
50.        0.667      0.074      19.                              G310500200046 
55.        0.725      0.049      1.                               G310500200047 
55.        0.727      0.075      2.                               G310500200048 
55.        0.645      0.044      3.                               G310500200049 
55.        0.680      0.079      4.                               G310500200050 
55.        0.603      0.047      5.                               G310500200051 
55.        0.531      0.058      6.                               G310500200052 
55.        0.585      0.033      7.                               G310500200053 
55.        0.695      0.045      8.                               G310500200054 
55.        0.677      0.025      9.                               G310500200055 
55.        0.718      0.042      10.                              G310500200056 
55.        0.693      0.025      11.                              G310500200057 
55.        0.702      0.036      12.                              G310500200058 
55.        0.722      0.059      13.                              G310500200059 
55.        0.773      0.054      14.                              G310500200060 
55.        0.622      0.073      15.                              G310500200061 
55.        0.647      0.027      16.                              G310500200062 
55.        0.751      0.057      17.                              G310500200063 
55.        0.577      0.021      18.                              G310500200064 
55.        0.708      0.073      19.                              G310500200065 
60.        0.727      0.047      1.                               G310500200066 
60.        0.647      0.039      2.                               G310500200067 
60.        0.708      0.041      3.                               G310500200068 
60.        0.706      0.033      4.                               G310500200069 
60.        0.660      0.044      5.                               G310500200070 
60.        0.667      0.047      6.                               G310500200071 
60.        0.649      0.033      7.                               G310500200072 
60.        0.702      0.054      8.                               G310500200073 
60.        0.661      0.050      9.                               G310500200074 
60.        0.737      0.037      10.                              G310500200075 
60.        0.691      0.041      11.                              G310500200076 
60.        0.801      0.048      12.                              G310500200077 
60.        0.755      0.038      13.                              G310500200078 
60.        0.778      0.025      14.                              G310500200079 
60.        0.635      0.057      15.                              G310500200080 
60.        0.693      0.051      17.                              G310500200081 
60.        0.659      0.059      18.                              G310500200082 
60.        0.713      0.040      19.                              G310500200083 
65.        0.862      0.027      2.                               G310500200084 
65.        0.729      0.049      3.                               G310500200085 
65.        0.833      0.021      4.                               G310500200086 
65.        0.711      0.070      5.                               G310500200087 
65.        0.662      0.055      6.                               G310500200088 
65.        0.696      0.012      7.                               G310500200089 
65.        0.746      0.04       8.                               G310500200090 
65.        0.823      0.034      9.                               G310500200091 
65.        0.787      0.057      10.                              G310500200092 
65.        0.852      0.035      11.                              G310500200093 
65.        0.876      0.019      12.                              G310500200094 
65.        0.919      0.063      13.                              G310500200095 
65.        0.880      0.083      14.                              G310500200096 
65.        0.713      0.026      15.                              G310500200097 
65.        0.739      0.084      16.                              G310500200098 
65.        0.825      0.060      17.                              G310500200099 
65.        0.721      0.017      18.                              G310500200100 
65.        0.719      0.070      19.                              G310500200101 
70.        0.935      0.032      1.                               G310500200102 
70.        0.931      0.048      2.                               G310500200103 
70.        0.765      0.043      3.                               G310500200104 
70.        0.752      0.032      4.                               G310500200105 
70.        0.762      0.042      5.                               G310500200106 
70.        0.708      0.034      7.                               G310500200107 
70.        0.794      0.033      8.                               G310500200108 
70.        0.797      0.035      9.                               G310500200109 
70.        0.910      0.039      10.                              G310500200110 
70.        0.704      0.033      11.                              G310500200111 
70.        0.756      0.032      12.                              G310500200112 
70.        0.962      0.042      13.                              G310500200113 
70.        0.978      0.060      14.                              G310500200114 
70.        0.772      0.038      15.                              G310500200115 
70.        0.822      0.035      16.                              G310500200116 
70.        0.827      0.036      17.                              G310500200117 
70.        0.733      0.042      18.                              G310500200118 
70.        0.832      0.036      19.                              G310500200119 
ENDDATA             93          0                                 G310500200120 
ENDSUBENT          119          0                                 G310500299999 
SUBENT        G3105003   20110527                             G023G310500300001 
BIB                  3         15                                 G310500300002 
REACTION   (83-BI-209(G,4N)83-BI-205,,SIG,,BRA)                   G310500300003 
DECAY-DATA ((1.)83-BI-205,15.3D,DG,284.18,0.01692)                G310500300004 
           ((2.)83-BI-205,15.3D,DG,549.85,0.0295)                 G310500300005 
           ((3.)83-BI-205,15.3D,DG,570.6,0.0434)                  G310500300006 
           ((4.)83-BI-205,15.3D,DG,580.3,0.0594)                  G310500300007 
           ((5.)83-BI-205,15.3D,DG,703.44,0.310)                  G310500300008 
           ((6.)83-BI-205,15.3D,DG,987.62,0.1613)                 G310500300009 
           ((7.)83-BI-205,15.3D,DG,1043.72,0.0751)                G310500300010 
