ENTRY            G0070   20200212                             G044G007000000001 
SUBENT        G0070001   20200212                             G044G007000100001 
BIB                 11         18                                 G007000100002 
TITLE      Product yields for the photofission of 235U with 12-,  G007000100003 
            15-, 20-, 30-, and 70-MeV bremsstrahlung              G007000100004 
AUTHOR     (E.Jacobs, H.Thierens, D.De Frenne, A.De Clercq,       G007000100005 
            P.D'hondt, P.De Gelder, A.J.Deruytter)                G007000100006 
INSTITUTE  (2BLGGHT)                                              G007000100007 
REFERENCE  (J,PR/C,21,237,1980)                                   G007000100008 
FACILITY   (LINAC,2BLGGHT)                                        G007000100009 
INC-SOURCE (BRST)                                                 G007000100010 
SAMPLE     (92-U-235,ENR=0.97)                                    G007000100011 
           U3O8 target (15 mg/cm2 thick) on a 1 mm thick Al.      G007000100012 
           The target was followed by a 0.1 mm thick Al catcher   G007000100013 
            foil with a purity of 99.999% at a distance of 1 mm   G007000100014 
            from the target.                                      G007000100015 
METHOD     (ACTIV)                                                G007000100016 
           (CHSEP) Radiochemical procedure for Cd and I           G007000100017 
DETECTOR   (GELI)                                                 G007000100018 
REL-REF    (M,,E.Jacobs+,J,PR/C,19,422,1979)                      G007000100019 
HISTORY    (20200212C) Ayano Makinaga + LV                        G007000100020 
ENDBIB              18          0                                 G007000100021 
NOCOMMON             0          0                                 G007000100022 
ENDSUBENT           21          0                                 G007000199999 
SUBENT        G0070002   20200212                             G044G007000200001 
BIB                  4          5                                 G007000200002 
REACTION   (92-U-235(G,F)MASS,CHN,FY,,BRA)                        G007000200003 
REL-REF    (M,,E.Jacobs+,J,PR/C,19,422,1979)                      G007000200004 
            Method to obtain the yields for unmeasured mass chain G007000200005 
ERR-ANALYS (DATA-ERR) No information on the source of uncertainty G007000200006 
STATUS     (TABLE) Table I of Phys.Rev.C21(1980)237               G007000200007 
ENDBIB               5          0                                 G007000200008 
NOCOMMON             0          0                                 G007000200009 
DATA                 4        198                                 G007000200010 
EN-MAX     MASS       DATA       DATA-ERR                         G007000200011 
MEV        NO-DIM     PC/FIS     PC/FIS                           G007000200012 
 12.         78.       0.095      0.047                           G007000200013 
 12.         84.       1.18       0.13                            G007000200014 
 12.         85.       1.74       0.12                            G007000200015 
 12.         87.       2.94       0.25                            G007000200016 
 12.         88.       3.88       0.21                            G007000200017 
 12.         89.       4.55       0.24                            G007000200018 
 12.         91.       5.91       0.25                            G007000200019 
 12.         92.       6.02       0.37                            G007000200020 
 12.         93.       6.17       0.50                            G007000200021 
 12.         94.       6.73       0.48                            G007000200022 
 12.         95.       6.41       0.36                            G007000200023 
 12.         97.       6.02       0.31                            G007000200024 
 12.         99.       5.58       0.26                            G007000200025 
 12.        101.       4.10       0.25                            G007000200026 
 12.        103.       2.74       0.23                            G007000200027 
 12.        104.       1.66       0.13                            G007000200028 
 12.        105.       1.03       0.07                            G007000200029 
 12.        112.       0.210      0.043                           G007000200030 
 12.        115.       0.180      0.024                           G007000200031 
 12.        123.       0.218      0.040                           G007000200032 
 12.        127.       0.849      0.063                           G007000200033 
 12.        131.       4.02       0.33                            G007000200034 
 12.        132.       4.73       0.19                            G007000200035 
 12.        133.       5.83       0.30                            G007000200036 
 12.        134.       5.96       0.24                            G007000200037 
 12.        135.       6.59       0.28                            G007000200038 
 12.        140.       5.90       0.20                            G007000200039 
 12.        141.       5.73       0.32                            G007000200040 
 12.        142.       5.03       0.37                            G007000200041 
 12.        143.       4.72       0.38                            G007000200042 
 12.        146.       2.20       0.16                            G007000200043 
 12.        147.       1.86       0.13                            G007000200044 
 12.        149.       0.860      0.080                           G007000200045 
 12.        151.       0.485      0.050                           G007000200046 
 15.         78.       0.096      0.033                           G007000200047 
 15.         84.       1.44       0.19                            G007000200048 
 15.         85.       1.90       0.14                            G007000200049 
 15.         87.       3.21       0.24                            G007000200050 
 15.         88.       3.88       0.16                            G007000200051 
