ENTRY            G0029   20110902                             G025G002900000001 
SUBENT        G0029001   20110902                             G025G002900100001 
BIB                 16         36                                 G002900100002 
TITLE      Fragmentation and systematics of the pygmy dipole      G002900100003 
            resonance in the stable N=82 isotones                 G002900100004 
AUTHOR     (D.Savran, M.Elvers, J.Endres, M.Fritzsche, B.Loeher,  G002900100005 
            N.Pietralla, V.Yu.Ponomarev, C.Romig,                 G002900100006 
            L.Schnorrenberger, K.Sonnabend, A.Zilges)             G002900100007 
INSTITUTE  (2GERGSI,2GERKLN,2GERTHD,2GERFRK)                      G002900100008 
           (2GERGER) Frankfurt Institute for Advanced Studies,    G002900100009 
             Frankfurt                                            G002900100010 
REFERENCE  (J,PR/C,84,024326,2011) Data given in table            G002900100011 
           (J,PRL,100,232501,2008) Spectrum in figure             G002900100012 
FACILITY   (LINAC,2GERTHD) Electron linear accelerator S-DALINAC  G002900100013 
INC-SOURCE (BRST) End point energy at 8.2 and 9.2 MeV             G002900100014 
INC-SPECT  Bremsstrahlung spectrum                                G002900100015 
SAMPLE     (54-XE-136,ENR=0.999) filled in high-pressure gas      G002900100016 
             containers made of titanium. 2.2925 g in total.      G002900100017 
DETECTOR   (HPGE) Equiped with a bismuth germanate (BGO) anti-    G002900100018 
             Compton shield with heavy passive shielding          G002900100019 
ANALYSIS   No systematic deviations observed between the          G002900100020 
            measurements at the two different end-point energies, G002900100021 
            and thus, the results for the single experiments have G002900100022 
            been combined.                                        G002900100023 
MONITOR    (5-B-11(G,EL),,ARE)                                    G002900100024 
            136Xe target was sandwiched between two 11B targets   G002900100025 
             with a total mass of 0.77 g.                         G002900100026 
            Product of the simulated photon spectrum and          G002900100027 
             efficiency is fitted to the experimental values at   G002900100028 
             the 11B energies in order to yield an absolute       G002900100029 
             calibration the entire energy region                 G002900100030 
MONIT-REF  (,F.Ajzenberg-Selove,J,NP/A,506,1,1990)                G002900100031 
COMMENT    Denitz Savran (2011-09-02):                            G002900100032 
            The experiments at different endpoint energies did    G002900100033 
            not give hints on clear identification of inelastic   G002900100034 
            transition.                                           G002900100035 
ERR-ANALYS (DATA-ERR) No information on source of uncertainty     G002900100036 
STATUS     (APRVD) Denitz Savran (2011-09-02)                     G002900100037 
HISTORY    (20110901C) On                                         G002900100038 
ENDBIB              36          0                                 G002900100039 
NOCOMMON             0          0                                 G002900100040 
ENDSUBENT           39          0                                 G002900199999 
SUBENT        G0029002   20110902                             G025G002900200001 
BIB                  3          9                                 G002900200002 
REACTION  1(54-XE-136(G,0),,EN)                                   G002900200003 
          2((54-XE-136(G,EL)54-XE-136,,DA)//                      G002900200004 
           (54-XE-136(G,EL)54-XE-136,,DA))                        G002900200005 
          3((54-XE-136(G,EL),,WID,,SQ)/                           G002900200006 
           (54-XE-136(G,TOT),,WID))                               G002900200007 
ADD-RES    (STRUC) Spin J of the resonances are clearly assigned  G002900200008 
             to 1 except for the following resonances (keV):      G002900200009 
             3626, 5458, 6003, 6030                               G002900200010 
STATUS     (TABLE) Table I of Phys.Rev.C84(2011)024326            G002900200011 
ENDBIB               9          0                                 G002900200012 
COMMON               2          3                                 G002900200013 
ANG-NM    2ANG-DN    2                                            G002900200014 
ADEG       ADEG                                                   G002900200015 
 90.        130.                                                  G002900200016 
ENDCOMMON            3          0                                 G002900200017 
DATA                 6         77                                 G002900200018 
DATA      1DATA-ERR  1DATA      2DATA-ERR  2DATA      3DATA-ERR  3G002900200019 
KEV        KEV        NO-DIM     NO-DIM     EV         EV         G002900200020 
 3626.      1.         1.20       0.45       0.027      0.006     G002900200021 
 3738.      1.         0.93       0.13       0.057      0.005     G002900200022 
 4473.      1.         0.95       0.09       0.120      0.008     G002900200023 
 4711.      1.         0.76       0.05       0.217      0.013     G002900200024 
 4890.      1.         0.81       0.07       0.175      0.011     G002900200025 
 4929.      1.         0.77       0.04       0.341      0.019     G002900200026 
 5128.      1.         0.75       0.06       0.199      0.013     G002900200027 
 5187.      1.         0.71       0.10       0.088      0.008     G002900200028 
 5322.      1.         0.76       0.01       1.66       0.09      G002900200029 
 5352.      1.         0.74       0.17       0.072      0.009     G002900200030 
 5458.      1.         1.44       0.44       0.122      0.017     G002900200031 
 5608.      1.         0.72       0.04       0.491      0.029     G002900200032 
 5639.      1.         0.75       0.09       0.210      0.017     G002900200033 
 5651.      1.         0.72       0.05       0.441      0.026     G002900200034 
 5728.      1.         0.74       0.05       0.382      0.024     G002900200035 
 5801.      1.         0.77       0.03       2.02       0.11      G002900200036 
 5872.      1.         0.77       0.02       2.05       0.11      G002900200037 
 5888.      1.         0.78       0.02       2.59       0.13      G002900200038 
 5914.      1.         0.80       0.02       1.36       0.07      G002900200039 
 6003.      1.         1.19       0.33       0.126      0.018     G002900200040 
 6030.      1.         1.71       0.78       0.088      0.016     G002900200041 
 6105.      1.         0.97       0.28       0.159      0.026     G002900200042 
 6115.      1.         0.82       0.06       0.661      0.048     G002900200043 
 6127.      1.         0.88       0.05       1.10       0.07      G002900200044 
 6227.      1.         0.97       0.35       0.304      0.050     G002900200045 
 6254.      1.         0.63       0.16       0.236      0.032     G002900200046 
 6301.      1.         0.80       0.03       1.99       0.11      G002900200047 
 6310.      1.         0.89       0.08       0.629      0.042     G002900200048 
 6324.      1.         0.75       0.13       0.214      0.022     G002900200049 
 6354.      1.         0.78       0.05       0.796      0.047     G002900200050 
 6372.      1.         0.82       0.43       0.108      0.030     G002900200051 
 6430.      1.         0.80       0.06       0.643      0.040     G002900200052 
 6455.      1.         0.74       0.03       1.38       0.08      G002900200053 
 6493.      1.         0.73       0.02       2.62       0.14      G002900200054 
 6509.      1.         0.74       0.07       0.489      0.034     G002900200055 
 6527.      1.         0.82       0.10       0.410      0.032     G002900200056 
 6562.      1.         0.73       0.02       2.43       0.13      G002900200057 
 6577.      1.         0.70       0.05       0.703      0.043     G002900200058 
 6665.      1.         0.77       0.03       1.81       0.10      G002900200059 
 6684.      1.         0.70       0.12       0.482      0.047     G002900200060 
 6691.      1.         0.81       0.06       1.19       0.08      G002900200061 
 6704.      1.         0.75       0.04       1.32       0.08      G002900200062 
 6715.      1.         0.85       0.06       1.17       0.07      G002900200063 
 6734.      1.         0.80       0.07       0.673      0.044     G002900200064 
 6771.      1.         0.83       0.02       3.46       0.18      G002900200065 
 6797.      1.         0.81       0.09       0.542      0.040     G002900200066 
 6808.      1.         0.77       0.23       0.190      0.028     G002900200067 
 6861.      1.         0.70       0.11       0.407      0.038     G002900200068 
 6869.      1.         0.79       0.09       0.621      0.048     G002900200069 
 6884.      1.         0.71       0.10       0.342      0.029     G002900200070 
 6942.      1.         0.68       0.06       0.668      0.045     G002900200071 
 6968.      1.         0.47       0.06       0.338      0.030     G002900200072 
 7013.      1.         0.79       0.06       1.01       0.06      G002900200073 
 7023.      1.         0.64       0.06       0.683      0.047     G002900200074 
