ENTRY            G0059   20180921                             G042G005900000001 
SUBENT        G0059001   20180921                             G042G005900100001 
BIB                 13         48                                 G005900100002 
TITLE      Correlated mass, energy, and angular distributions     G005900100003 
            from bremsstrahlung-induced fission of 234U and       G005900100004 
            232Th in the energy region of the fission barrier     G005900100005 
AUTHOR     (A.Goeoek, C.Eckardt, J.Enders, M.Freudenberger,       G005900100006 
            A.Oberstedt, S.Oberstedt)                             G005900100007 
INSTITUTE  (2GERTHD,3RUMBUC,2ZZZGEL)                              G005900100008 
REFERENCE  (J,PR/C,96,044301,2017)                                G005900100009 
           (J,PPRC,59,42,2014) Preliminary data sets of figs      G005900100010 
REL-REF    The nu(A) are given.                                   G005900100011 
           (R,,M.Piessens,T,PIESSENS,1989)                        G005900100012 
            Proefschrift, Rijksuniversiteit Gent,1989             G005900100013 
           (R,,V.F.Apalin+,J,NP,71,553,1965)                      G005900100014 
FACILITY   (LINAC,2GERTHD) S-DALINAC                              G005900100015 
INC-SOURCE (BRST) Bremsstrahlung of end-point energies            G005900100016 
            U-234:                                                G005900100017 
             E0=9.0 MeV, <Ex>=7.23 MeV,                           G005900100018 
                         Irradiated for 21h with 23 uA            G005900100019 
             E0=7.5 MeV, <Ex>=6.49 MeV,                           G005900100020 
                         Irradiated for 96h with 12 uA            G005900100021 
             E0=6.4 MeV, <Ex>=5.80 MeV,                           G005900100022 
                         Irradiated for 81h with 29 uA            G005900100023 
            Th-232:                                               G005900100024 
             E0=9.5 MeV, <Ex>=7.26 MeV                            G005900100025 
                         Irradiated for 22h with 15 uA            G005900100026 
             E0=8.0 MeV, <Ex>=6.68 MeV                            G005900100027 
                         Irradiated for 29h with 20 uA            G005900100028 
            The average excitation energy <Ex> of fission nucleus G005900100029 
             was calculated from the bremsstrahlung spectra       G005900100030 
             simulated using Geant4 and photofission cross        G005900100031 
             sections.                                            G005900100032 
METHOD     The fission-fragment mass and TKE distributions from   G005900100033 
            the reaction 238U(g,f) at E0 = 8.5 MeV were used      G005900100034 
            for calibration.                                      G005900100035 
DETECTOR   (FISCH) Twin Frisch-grid ionization chamber (FGIC)     G005900100036 
SAMPLE      U-234: UF4, 46.6 +/- 0.3 ug/cm2;                      G005900100037 
            Th-232: ThF4, 87.0 +/- 5.0 ug/cm2;                    G005900100038 
            Vacuum-evaporated onto one side of thin polyamide     G005900100039 
             foils, with gold layers (50 ug/cm2) evaporated onto  G005900100040 
             the opposite side.                                   G005900100041 
ANALYSIS   The determination of fission fragment masses is based  G005900100042 
            on the well-established double kinetic energy (2E)    G005900100043 
            technique.                                            G005900100044 
           The fragment energy and mass before neutron            G005900100045 
            evaporation was calculated using nu(A) by             G005900100046 
            M.Piessens(1989) and V.F.Apalin(1965).                G005900100047 
STATUS     (APRVD) Approved by Dr. Goeoek, 4th October 2018       G005900100048 
HISTORY    (20180921C) So.                                        G005900100049 
           (20180928R) So. Received the data set from Dr. Goeoek  G005900100050 
ENDBIB              48          0                                 G005900100051 
NOCOMMON             0          0                                 G005900100052 
ENDSUBENT           51          0                                 G005900199999 
SUBENT        G0059002   20180921                             G042G005900200001 
BIB                  3          3                                 G005900200002 
REACTION   (92-U-234(G,F)MASS,PRE,FY,,BRA)                        G005900200003 
ERR-ANALYS (ERR-S) Statistical uncertainty                        G005900200004 
STATUS     (TABLE) Fig.2(a) of Phys.Rev.C,96,044301(2017)         G005900200005 
ENDBIB               3          0                                 G005900200006 
NOCOMMON             0          0                                 G005900200007 
DATA                 4        255                                 G005900200008 
EN-MAX     MASS       DATA       ERR-S                            G005900200009 
MEV        NO-DIM     PC/FIS     PC/FIS                           G005900200010 
       6.4        75.    0.02824    0.02824                       G005900200011 
       6.4        76.    0.02824    0.02824                       G005900200012 
       6.4        77.    0.05649    0.03994                       G005900200013 
       6.4        78.    0.00000    0.00000                       G005900200014 
       6.4        79.    0.00000    0.00000                       G005900200015 
       6.4        80.    0.11298    0.05649                       G005900200016 
       6.4        81.    0.22596    0.07989                       G005900200017 
       6.4        82.    0.28245    0.08932                       G005900200018 
       6.4        83.    0.56489    0.12631                       G005900200019 
       6.4        84.    0.53665    0.12312                       G005900200020 
       6.4        85.    0.87558    0.15726                       G005900200021 
       6.4        86.    1.63819    0.21510                       G005900200022 
       6.4        87.    1.63819    0.21510                       G005900200023 
       6.4        88.    2.42904    0.26193                       G005900200024 
       6.4        89.    2.99393    0.29080                       G005900200025 
       6.4        90.    4.18020    0.34361                       G005900200026 
       6.4        91.    5.02754    0.37683                       G005900200027 
       6.4        92.    5.39472    0.39035                       G005900200028 
       6.4        93.    6.58099    0.43113                       G005900200029 
       6.4        94.    6.83519    0.43938                       G005900200030 
       6.4        95.    6.27030    0.42084                       G005900200031 
       6.4        96.    6.52450    0.42928                       G005900200032 
       6.4        97.    5.81839    0.40539                       G005900200033 
       6.4        98.    6.24206    0.41989                       G005900200034 
       6.4        99.    6.15732    0.41703                       G005900200035 
       6.4       100.    5.47945    0.39340                       G005900200036 
       6.4       101.    4.74509    0.36609                       G005900200037 
       6.4       102.    4.74509    0.36609                       G005900200038 
       6.4       103.    3.72829    0.32451                       G005900200039 
       6.4       104.    3.53057    0.31578                       G005900200040 
       6.4       105.    2.45728    0.26345                       G005900200041 
       6.4       106.    2.17483    0.24785                       G005900200042 
       6.4       107.    0.98856    0.16710                       G005900200043 
       6.4       108.    0.59314    0.12943                       G005900200044 
       6.4       109.    0.22596    0.07989                       G005900200045 
       6.4       110.    0.22596    0.07989                       G005900200046 
       6.4       111.    0.16947    0.06918                       G005900200047 
       6.4       112.    0.25420    0.08473                       G005900200048 
       6.4       113.    0.02824    0.02824                       G005900200049 
       6.4       114.    0.05649    0.03994                       G005900200050 
       6.4       115.    0.02824    0.02824                       G005900200051 
       6.4       116.    0.05649    0.03994                       G005900200052 
       6.4       117.    0.00000    0.00000                       G005900200053 
       6.4       118.    0.05649    0.03994                       G005900200054 
       6.4       119.    0.02824    0.02824                       G005900200055 
       6.4       120.    0.05649    0.03994                       G005900200056 
       6.4       121.    0.02824    0.02824                       G005900200057 
       6.4       122.    0.25420    0.08473                       G005900200058 
       6.4       123.    0.16947    0.06918                       G005900200059 
       6.4       124.    0.22596    0.07989                       G005900200060 
       6.4       125.    0.22596    0.07989                       G005900200061 
       6.4       126.    0.59314    0.12943                       G005900200062 
       6.4       127.    0.98856    0.16710                       G005900200063 
       6.4       128.    2.17483    0.24785                       G005900200064 
       6.4       129.    2.45728    0.26345                       G005900200065 
       6.4       130.    3.53057    0.31578                       G005900200066 
       6.4       131.    3.72829    0.32451                       G005900200067 
       6.4       132.    4.74509    0.36609                       G005900200068 
       6.4       133.    4.74509    0.36609                       G005900200069 
       6.4       134.    5.47945    0.39340                       G005900200070 
       6.4       135.    6.15732    0.41703                       G005900200071 
       6.4       136.    6.24206    0.41989                       G005900200072 
       6.4       137.    5.81839    0.40539                       G005900200073 
       6.4       138.    6.52450    0.42928                       G005900200074 
       6.4       139.    6.27030    0.42084                       G005900200075 
       6.4       140.    6.83519    0.43938                       G005900200076 
       6.4       141.    6.58099    0.43113                       G005900200077 
       6.4       142.    5.39472    0.39035                       G005900200078 
       6.4       143.    5.02754    0.37683                       G005900200079 
       6.4       144.    4.18020    0.34361                       G005900200080 
       6.4       145.    2.99393    0.29080                       G005900200081 
       6.4       146.    2.42904    0.26193                       G005900200082 
       6.4       147.    1.63819    0.21510                       G005900200083 
       6.4       148.    1.63819    0.21510                       G005900200084 
       6.4       149.    0.87558    0.15726                       G005900200085 
       6.4       150.    0.53665    0.12312                       G005900200086 
       6.4       151.    0.56489    0.12631                       G005900200087 
       6.4       152.    0.28245    0.08932                       G005900200088 
       6.4       153.    0.22596    0.07989                       G005900200089 
       6.4       154.    0.11298    0.05649                       G005900200090 
       6.4       155.    0.00000    0.00000                       G005900200091 
       6.4       156.    0.00000    0.00000                       G005900200092 
       6.4       157.    0.05649    0.03994                       G005900200093 
       6.4       158.    0.02824    0.02824                       G005900200094 
       6.4       159.    0.02824    0.02824                       G005900200095 
       7.5        75.    0.01653    0.00954                       G005900200096 
       7.5        76.    0.02754    0.01232                       G005900200097 
       7.5        77.    0.04407    0.01558                       G005900200098 
       7.5        78.    0.03856    0.01457                       G005900200099 
       7.5        79.    0.12670    0.02642                       G005900200100 
       7.5        80.    0.14874    0.02862                       G005900200101 
       7.5        81.    0.33052    0.04267                       G005900200102 
       7.5        82.    0.42417    0.04834                       G005900200103 
       7.5        83.    0.71063    0.06257                       G005900200104 
       7.5        84.    0.88140    0.06968                       G005900200105 
       7.5        85.    1.37167    0.08693                       G005900200106 
       7.5        86.    1.74076    0.09793                       G005900200107 
       7.5        87.    2.37426    0.11436                       G005900200108 
       7.5        88.    2.70479    0.12207                       G005900200109 
       7.5        89.    3.82306    0.14512                       G005900200110 
       7.5        90.    4.58877    0.15899                       G005900200111 
       7.5        91.    5.13965    0.16826                       G005900200112 
       7.5        92.    5.85578    0.17960                       G005900200113 
       7.5        93.    6.01003    0.18196                       G005900200114 
       7.5        94.    5.96596    0.18129                       G005900200115 
       7.5        95.    6.23038    0.18526                       G005900200116 
       7.5        96.    6.59395    0.19059                       G005900200117 
       7.5        97.    5.98248    0.18154                       G005900200118 
       7.5        98.    6.07062    0.18287                       G005900200119 
       7.5        99.    5.50873    0.17420                       G005900200120 
       7.5       100.    5.24982    0.17006                       G005900200121 
       7.5       101.    4.89175    0.16416                       G005900200122 
       7.5       102.    4.17562    0.15166                       G005900200123 
       7.5       103.    3.50355    0.13892                       G005900200124 
       7.5       104.    2.90310    0.12646                       G005900200125 
       7.5       105.    2.13188    0.10837                       G005900200126 
       7.5       106.    1.46532    0.08984                       G005900200127 
       7.5       107.    0.94750    0.07225                       G005900200128 
       7.5       108.    0.68308    0.06134                       G005900200129 
       7.5       109.    0.55087    0.05509                       G005900200130 
       7.5       110.    0.30298    0.04085                       G005900200131 
       7.5       111.    0.19831    0.03305                       G005900200132 
       7.5       112.    0.09916    0.02337                       G005900200133 
       7.5       113.    0.06610    0.01908                       G005900200134 
       7.5       114.    0.02754    0.01232                       G005900200135 
       7.5       115.    0.02754    0.01232                       G005900200136 
       7.5       116.    0.02754    0.01232                       G005900200137 
       7.5       117.    0.03305    0.01349                       G005900200138 
       7.5       118.    0.02754    0.01232                       G005900200139 
       7.5       119.    0.02754    0.01232                       G005900200140 
       7.5       120.    0.02754    0.01232                       G005900200141 
       7.5       121.    0.06610    0.01908                       G005900200142 
       7.5       122.    0.09916    0.02337                       G005900200143 
       7.5       123.    0.19831    0.03305                       G005900200144 
       7.5       124.    0.30298    0.04085                       G005900200145 
       7.5       125.    0.55087    0.05509                       G005900200146 
       7.5       126.    0.68308    0.06134                       G005900200147 
       7.5       127.    0.94750    0.07225                       G005900200148 
       7.5       128.    1.46532    0.08984                       G005900200149 
       7.5       129.    2.13188    0.10837                       G005900200150 
       7.5       130.    2.90310    0.12646                       G005900200151 
       7.5       131.    3.50355    0.13892                       G005900200152 
       7.5       132.    4.17562    0.15166                       G005900200153 
       7.5       133.    4.89175    0.16416                       G005900200154 
       7.5       134.    5.24982    0.17006                       G005900200155 
       7.5       135.    5.50873    0.17420                       G005900200156 
       7.5       136.    6.07062    0.18287                       G005900200157 
       7.5       137.    5.98248    0.18154                       G005900200158 
       7.5       138.    6.59395    0.19059                       G005900200159 
       7.5       139.    6.23038    0.18526                       G005900200160 
       7.5       140.    5.96596    0.18129                       G005900200161 
       7.5       141.    6.01003    0.18196                       G005900200162 
       7.5       142.    5.85578    0.17960                       G005900200163 
       7.5       143.    5.13965    0.16826                       G005900200164 
       7.5       144.    4.58877    0.15899                       G005900200165 
