ENTRY            G0504   20130807                             G028G050400000001 
SUBENT        G0504001   20130807                             G028G050400100001 
BIB                 13         43                                 G050400100002 
TITLE      Measurement of photofission cross-section of 238U      G050400100003 
           using microtron facility                               G050400100004 
AUTHOR     (H.G.Raj Prakash, Ganesh Sanjeev, K.B.Vijay Kumar,     G050400100005 
            H.G.Harish Kumar, K.Siddappa, B.K.Nayak, A.Saxena)    G050400100006 
INSTITUTE  (3INDIND) JNN College of Engineering, Shimoga          G050400100007 
           (3INDMNG)                                              G050400100008 
           (3INDIND) SJM Institute of Technology, Chitradurga     G050400100009 
           (3INDTRM)                                              G050400100010 
REFERENCE  (J,IMP/E,20,2361,2011)                                 G050400100011 
INC-SOURCE (BRST) The extracted electron beam hit a water-cooled  G050400100012 
           bremsstrahlung converter, made of 0.188 cm thick       G050400100013 
           tantalum target. The electron beam is supplied by a    G050400100014 
           pulsed electron gun at a pulse repetition rate of 50   G050400100015 
           Hz. The maximum current of the analyzed beam is 4 uA   G050400100016 
           and electron energy resolution is +-28 keV.            G050400100017 
SAMPLE     A 238U target of thickness 200 micro-g/cm2 on an       G050400100018 
           aluminum backing. Amount of electrodeposited 238U      G050400100019 
           target on aluminum was determined by X-ray diffraction G050400100020 
           method.                                                G050400100021 
FACILITY   (MICRT,3INDMNG)                                        G050400100022 
DETECTOR   (TRD) Lexan polycarbonate film as solid state nuclear  G050400100023 
           track detector (SSNTD) placed at different angles      G050400100024 
           with respect to the incident beam direction. After     G050400100025 
           irradiation the Lexan films were cut into equal strips G050400100026 
           and etched in 6 N NaOH solution for about 1 h to       G050400100027 
           develop the fission tracks. These etched Lexan films   G050400100028 
           were washed, dried and analyzed under optical          G050400100029 
           microscope with a magnification of 400X for the tracks G050400100030 
           formed during irradiation.                             G050400100031 
METHOD     (SITA)                                                 G050400100032 
PART-DET   (FF)                                                   G050400100033 
ADD-RES    Bremsstrahlung yield simulation was carried out using  G050400100034 
           Monte Carlo EGS-4 code. The photon intensity from the  G050400100035 
           Microtron accelerator at a distance of 15 cm from the  G050400100036 
           bremsstrahlung converter (tantalum target) facility    G050400100037 
           was estimated to be 10**10 photons/sec using the code  G050400100038 
           EGS-4.                                                 G050400100039 
COMMENT    By compilers (2013-08-08): Authors also derived        G050400100040 
           fission cross sections for mono-energetic photons by   G050400100041 
           unfolding (photon difference method). However the      G050400100042 
           corresponding figure is not clear from the articles,   G050400100043 
           and they were not compiled                             G050400100044 
HISTORY    (20130630C) Compiled by B.L.                           G050400100045 
ENDBIB              43          0                                 G050400100046 
NOCOMMON             0          0                                 G050400100047 
ENDSUBENT           46          0                                 G050400199999 
SUBENT        G0504002   20130807                             G028G050400200001 
BIB                  3          8                                 G050400200002 
REACTION   (92-U-238(G,F),,DA,FF,RSD/BRA)                         G050400200003 
STATUS     (CURVE) Fig.2 of J,IMP/E,20,2361,2011                  G050400200004 
           (UNOBT) Request of numerical data sent to author Raj   G050400200005 
           Prakash on 12-27-12, reminder on 01-26-2013, reply     G050400200006 
           received on 01-27-2013, author promised to send the    G050400200007 
           data, another reminder sent on 02-11-2013, and         G050400200008 
           numerical data were never received.                    G050400200009 
ERR-ANALYS (ERR-S) Statistical errors only.                       G050400200010 
ENDBIB               8          0                                 G050400200011 
NOCOMMON             0          0                                 G050400200012 
DATA                 4         96                                 G050400200013 
EN-MAX     ANG        DATA       ERR-S                            G050400200014 
MEV        ADEG       NO-DIM     NO-DIM                           G050400200015 
        7.4        3.6      0.205      0.091                      G050400200016 
        7.4       11.1      0.246      0.090                      G050400200017 
        7.4       18.7      0.327      0.086                      G050400200018 
        7.4       26.3      0.378      0.085                      G050400200019 
        7.4       34.0      0.460      0.069                      G050400200020 
        7.4       41.5      0.552      0.076                      G050400200021 
        7.4       49.0      0.663      0.069                      G050400200022 
        7.4       56.5      0.780      0.072                      G050400200023 
        7.4       64.1      0.828      0.064                      G050400200024 
        7.4       71.6      0.926      0.063                      G050400200025 
        7.4       79.0      0.972      0.058                      G050400200026 
        7.4       86.6      0.999      0.059                      G050400200027 
        7.6        3.6      0.232      0.104                      G050400200028 
        7.6       11.1      0.268      0.084                      G050400200029 
        7.6       18.7      0.314      0.070                      G050400200030 
        7.6       26.3      0.379      0.060                      G050400200031 
        7.6       34.0      0.464      0.052                      G050400200032 
        7.6       41.5      0.590      0.049                      G050400200033 
        7.6       49.0      0.691      0.043                      G050400200034 
        7.6       56.5      0.760      0.038                      G050400200035 
        7.6       64.1      0.852      0.043                      G050400200036 
        7.6       71.6      0.899      0.038                      G050400200037 
        7.6       79.0      0.947      0.034                      G050400200038 
        7.6       86.6      0.980      0.041                      G050400200039 
        7.8        3.6      0.355      0.098                      G050400200040 
        7.8       11.1      0.375      0.091                      G050400200041 
        7.8       18.7      0.424      0.076                      G050400200042 
        7.8       26.3      0.490      0.066                      G050400200043 
        7.8       34.0      0.575      0.061                      G050400200044 
        7.8       41.5      0.663      0.049                      G050400200045 
        7.8       49.0      0.741      0.047                      G050400200046 
        7.8       56.5      0.830      0.046                      G050400200047 
        7.8       64.1      0.862      0.042                      G050400200048 
        7.8       71.6      0.943      0.039                      G050400200049 
        7.8       79.0      0.960      0.032                      G050400200050 
        7.8       86.6      1.002      0.032                      G050400200051 
        8.0        3.6      0.359      0.053                      G050400200052 
        8.0       11.1      0.385      0.053                      G050400200053 
        8.0       18.7      0.437      0.040                      G050400200054 
        8.0       26.3      0.502      0.042                      G050400200055 
        8.0       34.0      0.578      0.038                      G050400200056 
        8.0       41.5      0.642      0.028                      G050400200057 
        8.0       49.0      0.783      0.030                      G050400200058 
        8.0       56.5      0.823      0.028                      G050400200059 
        8.0       64.1      0.861      0.028                      G050400200060 
        8.0       71.6      0.952      0.030                      G050400200061 
        8.0       79.0      0.964      0.026                      G050400200062 
        8.0       86.6      0.997      0.020                      G050400200063 
        8.2        3.6      0.404      0.064                      G050400200064 
        8.2       11.1      0.419      0.058                      G050400200065 
        8.2       18.7      0.465      0.054                      G050400200066 
        8.2       26.3      0.500      0.049                      G050400200067 
        8.2       34.0      0.596      0.043                      G050400200068 
        8.2       41.5      0.672      0.041                      G050400200069 
        8.2       49.0      0.745      0.034                      G050400200070 
        8.2       56.5      0.824      0.034                      G050400200071 
        8.2       64.1      0.893      0.028                      G050400200072 
        8.2       71.6      0.925      0.037                      G050400200073 
        8.2       79.0      0.962      0.032                      G050400200074 
        8.2       86.6      1.000      0.026                      G050400200075 
        8.4        3.6      0.475      0.053                      G050400200076 
        8.4       11.1      0.502      0.053                      G050400200077 
        8.4       18.7      0.527      0.041                      G050400200078 
        8.4       26.3      0.611      0.033                      G050400200079 
        8.4       34.0      0.651      0.033                      G050400200080 
        8.4       41.5      0.756      0.034                      G050400200081 
        8.4       49.0      0.825      0.027                      G050400200082 
        8.4       56.5      0.837      0.027                      G050400200083 
        8.4       64.1      0.929      0.027                      G050400200084 
        8.4       71.6      0.940      0.026                      G050400200085 
        8.4       79.0      0.980      0.026                      G050400200086 
        8.4       86.6      0.994      0.027                      G050400200087 
        8.6        3.6      0.496      0.032                      G050400200088 
        8.6       11.1      0.515      0.039                      G050400200089 
        8.6       18.7      0.546      0.033                      G050400200090 
        8.6       26.3      0.623      0.033                      G050400200091 
        8.6       34.0      0.695      0.026                      G050400200092 
        8.6       41.5      0.760      0.028                      G050400200093 
        8.6       49.0      0.831      0.021                      G050400200094 
        8.6       56.5      0.843      0.019                      G050400200095 
        8.6       64.1      0.896      0.021                      G050400200096 
        8.6       71.6      0.947      0.021                      G050400200097 
        8.6       79.0      0.985      0.021                      G050400200098 
        8.6       86.6      0.998      0.021                      G050400200099 
        9.0        3.6      0.503      0.040                      G050400200100 
        9.0       11.1      0.524      0.034                      G050400200101 
        9.0       18.7      0.548      0.034                      G050400200102 
        9.0       26.3      0.599      0.033                      G050400200103 
        9.0       34.0      0.672      0.027                      G050400200104 
        9.0       41.5      0.710      0.025                      G050400200105 
        9.0       49.0      0.802      0.027                      G050400200106 
        9.0       56.5      0.840      0.026                      G050400200107 
        9.0       64.1      0.912      0.020                      G050400200108 
        9.0       71.6      0.942      0.024                      G050400200109 
        9.0       79.0      0.962      0.020                      G050400200110 
        9.0       86.6      1.000      0.022                      G050400200111 
ENDDATA             98          0                                 G050400200112 
ENDSUBENT          111          0                                 G050400299999 
SUBENT        G0504003   20130807                             G028G050400300001 
BIB                  3          3                                 G050400300002 
REACTION   (92-U-238(G,F),,DA,FF,S2T/RSD/BRA)                     G050400300003 
STATUS     (TABLE) Table 1 of J,IMP/E,20,2361,2011                G050400300004 
ERR-ANALYS (ERR-S) Statistical Uncertainty only                   G050400300005 
ENDBIB               3          0                                 G050400300006 
NOCOMMON             0          0                                 G050400300007 
DATA                 4         24                                 G050400300008 
NUMBER     EN-MAX     DATA       ERR-S                            G050400300009 
NO-DIM     MEV        NO-DIM     NO-DIM                           G050400300010 
         0.        7.4      0.217      0.056                      G050400300011 
         0.        7.6      0.240      0.041                      G050400300012 
         0.        7.8      0.342      0.055                      G050400300013 
         0.        8.0      0.357      0.039                      G050400300014 
         0.        8.2      0.400      0.064                      G050400300015 
         0.        8.4      0.478      0.068                      G050400300016 
         0.        8.6      0.490      0.049                      G050400300017 
         0.        9.0      0.500      0.061                      G050400300018 
         1.        7.4      0.783       0.34                      G050400300019 
         1.        7.6      0.760       0.33                      G050400300020 
         1.        7.8      0.658       0.32                      G050400300021 
         1.        8.0      0.643       0.23                      G050400300022 
         1.        8.2      0.600        0.3                      G050400300023 
         1.        8.4      0.522       0.25                      G050400300024 
         1.        8.6      0.510       0.18                      G050400300025 
         1.        9.0      0.500       0.18                      G050400300026 
         2.        7.4     0.0212      0.002                      G050400300027 
         2.        7.6     0.0002      0.003                      G050400300028 
         2.        7.8     0.0311      0.002                      G050400300029 
         2.        8.0     0.0259      0.003                      G050400300030 
         2.        8.2     0.0196      0.002                      G050400300031 
         2.        8.4     0.0570      0.002                      G050400300032 
         2.        8.6     0.0570      0.003                      G050400300033 
         2.        9.0     0.0225      0.001                      G050400300034 
ENDDATA             26          0                                 G050400300035 
ENDSUBENT           34          0                                 G050400399999 
ENDENTRY             3          0                                 G050499999999 
