ENTRY            G0071   20200213                             G044G007100000001 
SUBENT        G0071001   20200213                             G044G007100100001 
BIB                 12         27                                 G007100100002 
TITLE      Product yields for the photofission of 238U with 12-,  G007100100003 
            15-, 20-, 30-, and 70-MeV bremsstrahlung              G007100100004 
AUTHOR     (E.Jacobs, H.Thierens, D.De Frenne, A.De Clercq,       G007100100005 
            P.D'hondt, P.De Gelder, A.J.Deruytter)                G007100100006 
INSTITUTE  (2BLGGHT)                                              G007100100007 
REFERENCE  (J,PR/C,19,422,1979)                                   G007100100008 
FACILITY   (LINAC,2BLGGHT)                                        G007100100009 
INC-SOURCE (BRST) Electron on a 0.1 mm thick Au target            G007100100010 
SAMPLE     (92-U-238,ENR=0.996)                                   G007100100011 
           U3O8 target(18 mg/cm2 thick) on a 5 mm thick graphite  G007100100012 
            disk.                                                 G007100100013 
           The target was followed by a 0.1 mm thick Al catcher   G007100100014 
            foil at a distance of 1 mm from the target.           G007100100015 
METHOD     (ACTIV)                                                G007100100016 
           (CHSEP) Radiochemical procedure for Cd, I and Cs       G007100100017 
REL-REF    (R,,H.Thierens+,J,PR/C,14,1058,1976)                   G007100100018 
            Decay data                                            G007100100019 
           (R,,H.Thierens+,J,NIM,134,299,1976)                    G007100100020 
            Decay data                                            G007100100021 
DETECTOR   (GELI) 19cm3 and 50 cm3 Ortec Ge(Li) detectors which   G007100100022 
            resolutions at 1.33 MeV are 2.2 and 2.4 keV,          G007100100023 
            respectively.                                         G007100100024 
DECAY-DATA (48-CD-117-M,3.5HR,DG,564.4,0.124)                     G007100100025 
           (53-I-132-M,83.6MIN,DG,175.0,0.083)                    G007100100026 
           (55-CS-134-G,2.062YR,DG,604.7,0.976,                   G007100100027 
                                DG,795.8,0.854)                   G007100100028 
HISTORY    (20200213C) Ayano Makinaga + LV                        G007100100029 
ENDBIB              27          0                                 G007100100030 
NOCOMMON             0          0                                 G007100100031 
ENDSUBENT           30          0                                 G007100199999 
SUBENT        G0071002   20200213                             G044G007100200001 
BIB                  3          3                                 G007100200002 
REACTION   (92-U-238(G,F)MASS,CHN,FY,,BRA)                        G007100200003 
ERR-ANALYS (DATA-ERR) No information on the source of uncertainty G007100200004 
STATUS     (TABLE) Table II of Phys.Rev.C19(1979)422              G007100200005 
ENDBIB               3          0                                 G007100200006 
NOCOMMON             0          0                                 G007100200007 
DATA                 4        203                                 G007100200008 
EN-MAX     MASS       DATA       DATA-ERR                         G007100200009 
MEV        NO-DIM     PC/FIS     PC/FIS                           G007100200010 
 12.         84.       0.76       0.14                            G007100200011 
 12.         85.       0.93       0.07                            G007100200012 
 12.         87.       1.87       0.14                            G007100200013 
 12.         88.       2.27       0.16                            G007100200014 
 12.         89.       3.00       0.18                            G007100200015 
 12.         91.       4.41       0.19                            G007100200016 
 12.         92.       4.56       0.29                            G007100200017 
 12.         93.       4.93       0.43                            G007100200018 
 12.         94.       5.52       0.40                            G007100200019 
 12.         95.       5.92       0.25                            G007100200020 
 12.         97.       6.03       0.30                            G007100200021 
 12.         99.       6.76       0.28                            G007100200022 
 12.        101.       5.82       0.33                            G007100200023 
 12.        103.       5.61       0.40                            G007100200024 
 12.        104.       3.69       0.27                            G007100200025 
 12.        105.       2.71       0.28                            G007100200026 
 12.        106.       1.74       0.17                            G007100200027 
 12.        112.       0.115      0.022                           G007100200028 
 12.        115.       0.075      0.007                           G007100200029 
 12.        117.       0.087      0.011                           G007100200030 
 12.        123.       0.083      0.015                           G007100200031 
 12.        127.       0.307      0.018                           G007100200032 
 12.        129.       1.07       0.13                            G007100200033 
 12.        131.       3.73       0.24                            G007100200034 
 12.        132.       4.95       0.16                            G007100200035 
 12.        133.       6.80       0.34                            G007100200036 
 12.        134.       6.88       0.23                            G007100200037 
 12.        135.       6.73       0.28                            G007100200038 
 12.        137.       6.20       0.48                            G007100200039 
 12.        140.       6.10       0.20                            G007100200040 
 12.        141.       5.40       0.38                            G007100200041 
 12.        142.       5.07       0.47                            G007100200042 
 12.        143.       4.80       0.34                            G007100200043 
 12.        144.       4.60       0.32                            G007100200044 
 12.        146.       3.05       0.22                            G007100200045 
 12.        147.       2.40       0.17                            G007100200046 
 12.        149.       1.36       0.11                            G007100200047 
 12.        151.       0.792      0.062                           G007100200048 
 12.        153.       0.300      0.047                           G007100200049 
 15.         84.       0.90       0.09                            G007100200050 
 15.         85.       1.09       0.09                            G007100200051 
 15.         87.       2.12       0.16                            G007100200052 
 15.         88.       2.45       0.12                            G007100200053 
 15.         89.       3.10       0.17                            G007100200054 
 15.         91.       4.39       0.19                            G007100200055 
 15.         92.       4.78       0.25                            G007100200056 
 15.         93.       5.15       0.39                            G007100200057 
 15.         94.       5.57       0.40                            G007100200058 
 15.         95.       6.10       0.34                            G007100200059 
 15.         97.       5.82       0.29                            G007100200060 
 15.         99.       6.13       0.26                            G007100200061 
 15.        101.       5.71       0.31                            G007100200062 
 15.        103.       5.14       0.37                            G007100200063 
 15.        104.       3.51       0.26                            G007100200064 
 15.        105.       2.67       0.18                            G007100200065 
 15.        106.       1.67       0.23                            G007100200066 
 15.        112.       0.184      0.027                           G007100200067 
 15.        113.       0.195      0.040                           G007100200068 
 15.        115.       0.172      0.021                           G007100200069 
 15.        117.       0.171      0.024                           G007100200070 
 15.        123.       0.176      0.022                           G007100200071 
 15.        127.       0.533      0.036                           G007100200072 
 15.        129.       1.38       0.11                            G007100200073 
 15.        131.       4.02       0.26                            G007100200074 
 15.        132.       4.68       0.31                            G007100200075 
 15.        133.       6.34       0.37                            G007100200076 
 15.        134.       6.87       0.25                            G007100200077 
 15.        135.       6.58       0.29                            G007100200078 
 15.        137.       6.13       0.55                            G007100200079 
 15.        140.       5.91       0.20                            G007100200080 
 15.        141.       5.38       0.29                            G007100200081 
 15.        142.       5.02       0.44                            G007100200082 
 15.        143.       4.72       0.34                            G007100200083 
 15.        144.       4.24       0.46                            G007100200084 
 15.        146.       3.15       0.21                            G007100200085 
 15.        147.       2.22       0.15                            G007100200086 
 15.        149.       1.22       0.15                            G007100200087 
