ENTRY            M0114   20210404                             M111M0114  0    1 
SUBENT        M0114001   20210404                             M111M0114  1    1 
BIB                 12         22                                 M0114  1    2 
TITLE      Photonuclear reactions on Li-6 with charged-particles  M0114  1    3 
            emission.                                             M0114  1    4 
AUTHOR     (V.P.Denisov,L.A.Kul'chitskii,I.Ya.Chubukov)           M0114  1    5 
INSTITUTE  (4RUSFTI)                                              M0114  1    6 
REFERENCE  (J,IZV,37,107,1973)                                    M0114  1    7 
           (J,BAS,37,(1),94,1973)                                 M0114  1    8 
           English translation of J,IZV,37,107,1973.              M0114  1    9 
FACILITY   (SYNCH,4RUSFTI)                                        M0114  1   10 
SAMPLE     (3-LI-6,ENR=0.90) 8.2mg/cm2 foil of metallic lithium.  M0114  1   11 
INC-SOURCE (BRST)                                                 M0114  1   12 
METHOD     (EXTB,SITA)                                            M0114  1   13 
DETECTOR   (TELES,PROPC,NAICR)                                    M0114  1   14 
COMMENT    2-20 MeV protons, 3-20 MeV deuterons, and 4-20 MeV     M0114  1   15 
            tritons were recorded.                                M0114  1   16 
ERR-ANALYS (ERR-S) Statistical errors.                            M0114  1   17 
HISTORY    (19840420C)                                            M0114  1   18 
           (19910202A) Corrected by V.Varlamov, V.Mclane.         M0114  1   19 
           (20130604A) Corrected   by   V.Varlamov:   REFERENCE,  M0114  1   20 
            dates, REACTION, STATUS, lowercase.                   M0114  1   21 
           (20210404A) Corrected by SD and VV: COMMENT, SAMPLE    M0114  1   22 
            added, INC-SOURCE, SUBENTs 002-007; 008-010, 011-012  M0114  1   23 
            merged, corrections in all SUBENTs.                   M0114  1   24 
ENDBIB              22          0                                 M0114  1   25 
COMMON               1          3                                 M0114  1   26 
ANG                                                               M0114  1   27 
ADEG                                                              M0114  1   28 
    90.                                                           M0114  1   29 
ENDCOMMON            3          0                                 M0114  1   30 
ENDSUBENT           29          0                                 M0114  199999 
SUBENT        M0114002   20210404                             M111M0114  2    1 
BIB                  3          6                                 M0114  2    2 
REACTION   (3-LI-6(G,P)2-HE-5,PAR,DA,,BRA/REL)                    M0114  2    3 
STATUS     (CURVE) fig.1 from Izv.Ross.Akad.Nauk,37(1973)107.     M0114  2    4 
HISTORY    (20130531A) Corrected by V.Varlamov: BRS deleted.      M0114  2    5 
           (20210404A) Corrected by SD and VV: REACTION,          M0114  2    6 
            CRITOQUE deleted, DATA from SUBENTs 003-007 wadded,   M0114  2    7 
            STATUS updated.                                       M0114  2    8 
ENDBIB               6          0                                 M0114  2    9 
NOCOMMON             0          0                                 M0114  2   10 
DATA                 5        212                                 M0114  2   11 
E-MIN      E-MAX      EN-MAX     DATA       ERR-S                 M0114  2   12 
MEV        MEV        MEV        ARB-UNITS  ARB-UNITS             M0114  2   13 
         3.         4.       20.5       6.68       0.87           M0114  2   14 
         3.         4.       21.5       7.42       0.49           M0114  2   15 
         3.         4.       22.5       7.10       0.60           M0114  2   16 
         3.         4.       23.5       6.68       0.51           M0114  2   17 
         3.         4.       24.5       6.67       0.46           M0114  2   18 
         3.         4.       25.5       6.01       0.65           M0114  2   19 
         3.         4.       26.6       6.46       0.61           M0114  2   20 
         3.         4.       27.6       6.58       0.73           M0114  2   21 
         3.         4.       28.5       6.92       0.40           M0114  2   22 
         3.         4.       29.6       6.45       0.46           M0114  2   23 
         3.         4.       30.5       6.38       0.53           M0114  2   24 
         3.         4.       31.6       6.31       0.29           M0114  2   25 
         3.         4.       32.7       6.21       0.41           M0114  2   26 
         3.         4.       33.7       5.79       0.50           M0114  2   27 
         3.         4.       34.7       5.88       0.26           M0114  2   28 
         3.         4.       35.7       6.00       0.47           M0114  2   29 
         3.         4.       36.7       5.88       0.30           M0114  2   30 
         3.         4.       37.8       5.91       0.51           M0114  2   31 
         3.         4.       38.8       5.72       0.23           M0114  2   32 
         3.         4.       39.6       6.01       0.42           M0114  2   33 
         3.         4.       40.8       6.02       0.27           M0114  2   34 
         3.         4.       41.8       5.99       0.24           M0114  2   35 
         3.         4.       42.8       5.98       0.45           M0114  2   36 
         3.         4.       43.9       5.96       0.24           M0114  2   37 
         3.         4.       45.0       5.82       0.53           M0114  2   38 
         3.         4.       45.9       5.80       0.25           M0114  2   39 
         3.         4.       47.0       5.67       0.44           M0114  2   40 
         3.         4.       47.9       5.48       0.26           M0114  2   41 
         3.         4.       49.0       5.60       0.57           M0114  2   42 
         3.         4.       49.9       5.67       0.30           M0114  2   43 
         3.         4.       50.9       5.28       0.42           M0114  2   44 
         3.         4.       52.1       4.92       0.26           M0114  2   45 
         3.         4.       53.0       4.71       0.41           M0114  2   46 
         3.         4.       54.0       4.87       0.28           M0114  2   47 
         3.         4.       55.0       4.66       0.41           M0114  2   48 
         3.         4.       56.4       4.79       0.44           M0114  2   49 
         4.         5.       20.6       5.62       0.60           M0114  2   50 
         4.         5.       21.7       5.64       0.42           M0114  2   51 
         4.         5.       22.7       5.35       0.44           M0114  2   52 
         4.         5.       23.7       5.39       0.40           M0114  2   53 
         4.         5.       24.7       5.25       0.40           M0114  2   54 
         4.         5.       25.8       4.97       0.50           M0114  2   55 
         4.         5.       26.7       5.06       0.58           M0114  2   56 
         4.         5.       27.7       5.32       0.39           M0114  2   57 
         4.         5.       28.8       5.61       0.48           M0114  2   58 
         4.         5.       29.7       5.31       0.33           M0114  2   59 
