ENTRY            M0580   20230614                             M125M0580  0    1 
SUBENT        M0580001   20230614                             M125M0580  1    1 
BIB                 12         46                                 M0580  1    2 
TITLE      Photon scattering from 206Pb.                          M0580  1    3 
AUTHOR     (A.M.Nathan,P.L.Cole,P.T.Debevec,S.D.Hoblit,           M0580  1    4 
            S.F.LeBrun,D.H.Wright)                                M0580  1    5 
REFERENCE  (J,PR/C,34,480,1986)                                   M0580  1    6 
INSTITUTE  (1USAUI)                                               M0580  1    7 
FACILITY   (MICRT,1USAUI) University of Illinois MUSL-2           M0580  1    8 
            accelerator.                                          M0580  1    9 
INC-SOURCE (TAGD)                                                 M0580  1   10 
METHOD     (EXTB,SITA)                                            M0580  1   11 
DETECTOR   (NAICR) High efficiency, good resolution NaI           M0580  1   12 
            spectrometer (NaI(Tl) crystal, 25 cm in diameter      M0580  1   13 
            and 30 cm long, surrounded by 11.4-cm-thick annulus   M0580  1   14 
            and disk of NE102 plastic scintillator which served   M0580  1   15 
            as an anticoincidence shield).                        M0580  1   16 
SAMPLE     (82-PB-206,ENR=0.993) The scattered target was         M0580  1   17 
            metallic lead, containing 88.3% 206Pb, 9.0% 207Pb,    M0580  1   18 
            and 2.7% 208Pb.  Typical target thickness ranged      M0580  1   19 
            from 3 to 7 g/cm**2.                                  M0580  1   20 
ERR-ANALYS (ERR-S) Statistical errors.                            M0580  1   21 
           (ERR-SYS) Systematic errors were estimated to be 5 %.  M0580  1   22 
COMMENT    Differential cross sections for the elastic scattering M0580  1   23 
            of tagged, monochromatic photons have been measured   M0580  1   24 
            on a separated target of 206 Pb between 12 and 30     M0580  1   25 
            MeV.                                                  M0580  1   26 
            The interpretation of these data implies that the     M0580  1   27 
            total photoabsorption cross section in the region of  M0580  1   28 
            the giant dipole resonance of 206Pb is nearly         M0580  1   29 
            identical to that of 208Pb, except shifted slightly   M0580  1   30 
            higher in energy. Fore-to-aft ratios of differential  M0580  1   31 
            cross sections are ambiguous as to existence of giant M0580  1   32 
            quadrupole resonance between 20 and 30 MeV. This      M0580  1   33 
            ambiguity is due in part to the influence of poorly   M0580  1   34 
            known exchange effects and in part to uncertainties   M0580  1   35 
            in the Delbruck amplitude. Upper limits are placed    M0580  1   36 
            on the relative photon-decay branch of the giant      M0580  1   37 
            dipole resonance and isovector giant quadrupole       M0580  1   38 
            resonance to the lowest 2+ and 3- states,             M0580  1   39 
            respectively. These limits are well above those       M0580  1   40 
            predicted by current models for the coupling of giant M0580  1   41 
            resonances to surface vibrations.                     M0580  1   42 
HISTORY    (19990318C) data were compiled at the USA BNL NNDC by  M0580  1   43 
            V.V.Varlamov.                                         M0580  1   44 
           (20190625A) Corrected by SD and VV: ERR-ANALYS,        M0580  1   45 
            STATUS, DATA, SUBENTS 002 - 004 merged, lowercase.    M0580  1   46 
           (20230614A) Corrected by V.Varlamov: COMMON in SUBENT  M0580  1   47 
            002.                                                  M0580  1   48 
ENDBIB              46          0                                 M0580  1   49 
COMMON               1          3                                 M0580  1   50 
ERR-SYS                                                           M0580  1   51 
PER-CENT                                                          M0580  1   52 
  5.                                                              M0580  1   53 
ENDCOMMON            3          0                                 M0580  1   54 
ENDSUBENT           53          0                                 M0580  199999 
SUBENT        M0580002   20230614                             M125M0580  2    1 
BIB                  3          6                                 M0580  2    2 
REACTION   (82-PB-206(G,EL)82-PB-206,,DA)                         M0580  2    3 
STATUS     (TABLE) Table 2 of Phys.Rev.,C34(1986)480.             M0580  2    4 
HISTORY    (20190625A) Corrected by SD and VV: DATA substituted,  M0580  2    5 
            DATA-ERR -> ERR-S.                                    M0580  2    6 
           (20230614A) Corrected by V.Varlamov: COMMON ->         M0580  2    7 
            NOCOMMON.                                             M0580  2    8 
ENDBIB               6          0                                 M0580  2    9 
NOCOMMON             0          0                                 M0580  2   10 
DATA                 4         69                                 M0580  2   11 
ANG        EN         DATA       ERR-S                            M0580  2   12 
ADEG       MEV        MU-B/SR    MU-B/SR                          M0580  2   13 
        60.       20.9       265.         8.                      M0580  2   14 
        60.      22.22       205.         8.                      M0580  2   15 
        60.      22.35       238.         8.                      M0580  2   16 
        60.      22.80       185.         7.                      M0580  2   17 
        60.      23.42       198.         7.                      M0580  2   18 
        60.      23.95       201.         5.                      M0580  2   19 
        60.      24.09       183.         7.                      M0580  2   20 
        60.      24.77       167.         7.                      M0580  2   21 
        60.      25.53       161.         6.                      M0580  2   22 
        60.      25.80       180.         7.                      M0580  2   23 
        60.      26.20       176.         7.                      M0580  2   24 
        60.      26.31       172.         6.                      M0580  2   25 
        60.      27.15       149.         5.                      M0580  2   26 
        60.      27.25       158.         8.                      M0580  2   27 
        60.      28.95       162.        10.                      M0580  2   28 
        60.      29.80       147.         7.                      M0580  2   29 
        90.      13.82       720.        18.                      M0580  2   30 
        90.      14.17       759.        20.                      M0580  2   31 
        90.      14.54       742.        17.                      M0580  2   32 
        90.      14.94       676.        17.                      M0580  2   33 
        90.      15.35       614.        15.                      M0580  2   34 
        90.      15.80       525.        15.                      M0580  2   35 
        90.      16.27       444.        14.                      M0580  2   36 
        90.      16.77       361.        12.                      M0580  2   37 
       135.      12.49       461.        19.                      M0580  2   38 
       135.      12.79       591.        18.                      M0580  2   39 
       135.      13.12       701.        18.                      M0580  2   40 
       135.      13.47       855.        19.                      M0580  2   41 
       135.      13.82       986.        20.                      M0580  2   42 
       135.      13.86      1007.        18.                      M0580  2   43 
       135.      14.17      1011.        23.                      M0580  2   44 
       135.      14.24      1017.        17.                      M0580  2   45 
       135.      14.54      1041.        20.                      M0580  2   46 
       135.      14.64      1043.        19.                      M0580  2   47 
       135.      14.94       942.        18.                      M0580  2   48 
       135.      15.05       982.        33.                      M0580  2   49 
       135.      15.08       900.        22.                      M0580  2   50 
       135.      15.35       884.        18.                      M0580  2   51 
       135.      15.47       895.        31.                      M0580  2   52 
       135.      15.80       772.        17.                      M0580  2   53 
       135.      15.94       745.        27.                      M0580  2   54 
       135.      16.27       635.        16.                      M0580  2   55 
       135.      16.42       644.        24.                      M0580  2   56 
       135.      16.47       611.        15.                      M0580  2   57 
       135.      16.73       556.        15.                      M0580  2   58 
       135.      16.77       574.        15.                      M0580  2   59 
       135.      16.96       540.        20.                      M0580  2   60 
       135.      17.00       531.        15.                      M0580  2   61 
       135.      17.29       483.        14.                      M0580  2   62 
       135.      17.59       423.        14.                      M0580  2   63 
       135.      17.92       401.        14.                      M0580  2   64 
       135.      18.26       381.        14.                      M0580  2   65 
       135.      18.62       356.        12.                      M0580  2   66 
       135.      20.90       299.         6.                      M0580  2   67 
       135.      22.22       227.        10.                      M0580  2   68 
       135.      22.35       236.         5.                      M0580  2   69 
       135.      22.80       206.        11.                      M0580  2   70 
       135.      23.42       194.         9.                      M0580  2   71 
       135.      23.95       193.         4.                      M0580  2   72 
       135.      24.09       181.         9.                      M0580  2   73 
       135.      24.77       167.         8.                      M0580  2   74 
       135.      25.53       151.         7.                      M0580  2   75 
       135.      25.80       166.         3.                      M0580  2   76 
       135.      26.20       150.         4.                      M0580  2   77 
       135.      26.31       156.         9.                      M0580  2   78 
       135.      27.15       133.         7.                      M0580  2   79 
       135.      27.25       141.         4.                      M0580  2   80 
       135.      28.95       118.         3.                      M0580  2   81 
       135.      29.80       100.         3.                      M0580  2   82 
ENDDATA             71          0                                 M0580  2   83 
ENDSUBENT           82          0                                 M0580  299999 
NOSUBENT      M0580003   20190625                             M101M0580  3    1 
NOSUBENT      M0580004   20190625                             M101M0580  4    1 
ENDENTRY             4          0                                 M058099999999 
