ENTRY            32763   20181120                             31873276300000001 
SUBENT        32763001   20181120                             31873276300100001 
BIB                 10         26                                 3276300100002 
TITLE      Measurement of double-differential (n,xp) cross        3276300100003 
            sections of natural nickel in 14.6 MeV neutron energy 3276300100004 
AUTHOR     (Bangjiao Ye, Zhongmin Wang, Yangmei Fan, Rongdian Han,3276300100005 
            Zhenxi Xiao)                                          3276300100006 
INSTITUTE  (3CPRHST)                                              3276300100007 
REFERENCE  (J,NP/A,612,213,1997)                                  3276300100008 
           (J,CST,29,290,1995) 88 deg DDX and DE in figs          3276300100009 
FACILITY   (CCW,3CPRHST) 150 kV Cockcroft-Walton accelerator      3276300100010 
INC-SOURCE (D-T) T-Ti target, 1.5E+09 neutrons/s                  3276300100011 
SAMPLE     Natural metallic Ni sheet with 99% purity, 0.5 mm in   3276300100012 
            thickness and 40 mm in length                         3276300100013 
DETECTOR   (TELES,PROPC,CSICR)                                    3276300100014 
           32 proportional counters (dE) + a CsI(Tl) crystal (E). 3276300100015 
           16 telescopes were for measurement of the Fe target,   3276300100016 
            and the other 16 for simultaneous measurement of the  3276300100017 
            background.                                           3276300100018 
ERR-ANALYS (ERR-T) Statistical and systematic errors.             3276300100019 
            The latters consist of errors in:                     3276300100020 
           (ERR-1) neutron flux                    (3.3%)         3276300100021 
           (ERR-2) target height                     (2%)         3276300100022 
           (ERR-3) solid angle of central detector   (3%)         3276300100023 
           (ERR-4) value of dE/dx                    (2%)         3276300100024 
           (ERR-5) data reduction procedure          (2%)         3276300100025 
           (ERR-6) other                             (3%)         3276300100026 
HISTORY    (20171018C) Compiled by Jimin Wang (CNDC)              3276300100027 
           (20181120A) On. ANG-RSL moved to 002.                  3276300100028 
ENDBIB              26          0                                 3276300100029 
COMMON               6          3                                 3276300100030 
ERR-1      ERR-2      ERR-3      ERR-4      ERR-5      ERR-6      3276300100031 
PER-CENT   PER-CENT   PER-CENT   PER-CENT   PER-CENT   PER-CENT   3276300100032 
 3.3        2.         3.         2.         2.         3.        3276300100033 
ENDCOMMON            3          0                                 3276300100034 
ENDSUBENT           33          0                                 3276300199999 
SUBENT        32763002   20181120                             31873276300200001 
BIB                  3          3                                 3276300200002 
REACTION   (28-NI-0(N,X)1-H-1,,DA/DE)                             3276300200003 
STATUS     (TABLE) Table 1 of Nucl.Phys.A,612(1997)213            3276300200004 
HISTORY    (20181120A) On. ANG-RSL moved from 001.                3276300200005 
ENDBIB               3          0                                 3276300200006 
COMMON               2          3                                 3276300200007 
EN         ANG-RSL                                                3276300200008 
MEV        ADEG                                                   3276300200009 
 14.6       12.                                                   3276300200010 
ENDCOMMON            3          0                                 3276300200011 
DATA                 5        165                                 3276300200012 
ANG-CM     E-MIN      E-MAX      DATA-CM    ERR-T                 3276300200013 
ADEG       MEV        MEV        MB/SR/MEV  MB/SR/MEV             3276300200014 
  25.6       3.         4.        11.66       0.74                3276300200015 
  25.6       4.         5.        10.55       0.67                3276300200016 
  25.6       5.         6.         7.53       0.48                3276300200017 
  25.6       6.         7.         9.02       0.57                3276300200018 
  25.6       7.         8.         6.88       0.43                3276300200019 
  25.6       8.         9.         3.62       0.23                3276300200020 
  25.6       9.        10.         1.77       0.12                3276300200021 
  25.6      10.        11.         1.04       0.7                 3276300200022 
  25.6      11.        12.         0.54       0.04                3276300200023 
  25.6      12.        13.         0.30       0.02                3276300200024 
  25.6      13.        14.         0.16       0.01                3276300200025 
  33.6       3.         4.        11.28       0.71                3276300200026 
  33.6       4.         5.        12.04       0.88                3276300200027 
  33.6       5.         6.         9.62       0.49                3276300200028 
  33.6       6.         7.         8.84       0.56                3276300200029 
  33.6       7.         8.         6.93       0.44                3276300200030 
  33.6       8.         9.         2.54       0.17                3276300200031 
  33.6       9.        10.         1.89       0.12                3276300200032 
  33.6      10.        11.         1.31       0.09                3276300200033 
  33.6      11.        12.         0.60       0.04                3276300200034 
  33.6      12.        13.         0.31       0.02                3276300200035 
  33.6      13.        14.         0.11       0.01                3276300200036 
  44.9       4.         5.        12.21       0.77                3276300200037 
  44.9       5.         6.        11.90       0.75                3276300200038 
  44.9       6.         7.         7.42       0.47                3276300200039 
  44.9       7.         8.         5.51       0.35                3276300200040 
  44.9       8.         9.         3.02       0.20                3276300200041 
  44.9       9.        10.         2.36       0.15                3276300200042 
  44.9      10.        11.         0.88       0.06                3276300200043 
  44.9      11.        12.         0.70       0.05                3276300200044 
  44.9      12.        13.         0.36       0.03                3276300200045 
  44.9      13.        14.         0.11       0.01                3276300200046 
  56.1       4.         5.        11.08       0.70                3276300200047 
  56.1       5.         6.         9.88       0.62                3276300200048 
  56.1       6.         7.         6.55       0.42                3276300200049 
  56.1       7.         8.         5.42       0.34                3276300200050 
  56.1       8.         9.         3.20       0.21                3276300200051 
  56.1       9.        10.         1.63       0.11                3276300200052 
  56.1      10.        11.         0.86       0.06                3276300200053 
  56.1      11.        12.         0.47       0.4                 3276300200054 
  56.1      12.        13.         0.32       0.02                3276300200055 
  56.1      13.        14.         0.11       0.01                3276300200056 
  68.5       3.         4.        10.00       0.63                3276300200057 
  68.5       4.         5.        11.34       0.71                3276300200058 
  68.5       5.         6.         9.77       0.61                3276300200059 
  68.5       6.         7.         6.04       0.38                3276300200060 
  68.5       7.         8.         5.26       0.33                3276300200061 
  68.5       8.         9.         3.62       0.23                3276300200062 
  68.5       9.        10.         1.38       0.10                3276300200063 
  68.5      10.        11.         0.86       0.06                3276300200064 
  68.5      11.        12.         0.48       0.04                3276300200065 
  68.5      12.        13.         0.21       0.02                3276300200066 
  68.5      13.        14.         0.09       0.01                3276300200067 
  78.4       3.         4.        12.31       0.77                3276300200068 
  78.4       4.         5.        11.89       0.75                3276300200069 
  78.4       5.         6.         9.11       0.58                3276300200070 
  78.4       6.         7.         7.97       0.50                3276300200071 
  78.4       7.         8.         4.89       0.31                3276300200072 
  78.4       8.         9.         2.58       0.17                3276300200073 
  78.4       9.        10.         1.99       0.13                3276300200074 
  78.4      10.        11.         0.98       0.07                3276300200075 
  78.4      11.        12.         0.56       0.04                3276300200076 
  78.4      12.        13.         0.23       0.02                3276300200077 
  78.4      13.        14.         0.04       0.01                3276300200078 
  89.7       4.         5.        12.12       0.76                3276300200079 
  89.7       5.         6.         9.53       0.60                3276300200080 
  89.7       6.         7.         6.64       0.42                3276300200081 
  89.7       7.         8.         5.45       0.35                3276300200082 
  89.7       8.         9.         2.45       0.16                3276300200083 
  89.7       9.        10.         1.68       0.11                3276300200084 
  89.7      10.        11.         0.73       0.05                3276300200085 
  89.7      11.        12.         0.38       0.03                3276300200086 
  89.7      12.        13.         0.23       0.02                3276300200087 
  89.7      13.        14.         0.10       0.01                3276300200088 
  99.7       4.         5.        13.16       0.83                3276300200089 
  99.7       5.         6.         9.56       0.61                3276300200090 
  99.7       6.         7.         8.48       0.54                3276300200091 
  99.7       7.         8.         4.26       0.29                3276300200092 
  99.7       8.         9.         3.23       0.21                3276300200093 
  99.7       9.        10.         1.63       0.12                3276300200094 
  99.7      10.        11.         1.17       0.09                3276300200095 
  99.7      11.        12.         0.78       0.06                3276300200096 
  99.7      13.        14.         0.14       0.01                3276300200097 
 109.9       4.         5.         9.65       0.62                3276300200098 
 109.9       5.         6.         9.93       0.63                3276300200099 
 109.9       6.         7.         6.86       0.44                3276300200100 
 109.9       7.         8.         4.74       0.30                3276300200101 
 109.9       8.         9.         2.33       0.16                3276300200102 
 109.9       9.        10.         2.42       0.16                3276300200103 
 109.9      10.        11.         0.59       0.05                3276300200104 
 109.9      11.        12.         0.63       0.5                 3276300200105 
 109.9      12.        13.         0.16       0.02                3276300200106 
 109.9      13.        14.         0.16       0.02                3276300200107 
 119.1       3.         4.        11.74       0.62                3276300200108 
 119.1       4.         5.        12.75       0.93                3276300200109 
 119.1       5.         6.        11.50       0.72                3276300200110 
 119.1       6.         7.         5.96       0.38                3276300200111 
 119.1       7.         8.         5.23       0.34                3276300200112 
 119.1       8.         9.         3.03       0.20                3276300200113 
 119.1       9.        10.         1.46       0.10                3276300200114 
 119.1      10.        11.         1.09       0.08                3276300200115 
 119.1      11.        12.         0.53       0.04                3276300200116 
 119.1      12.        13.         0.15       0.02                3276300200117 
 119.1      13.        14.         0.05       0.01                3276300200118 
 129.1       3.         4.        11.27       0.71                3276300200119 
 129.1       4.         5.         8.99       0.51                3276300200120 
 129.1       5.         6.         9.53       0.66                3276300200121 
 129.1       6.         7.         7.17       0.46                3276300200122 
 129.1       7.         8.         3.27       0.22                3276300200123 
 129.1       8.         9.         2.89       0.19                3276300200124 
 129.1       9.        10.         1.62       0.11                3276300200125 
 129.1      10.        11.         0.72       0.06                3276300200126 
 129.1      11.        12.         0.60       0.04                3276300200127 
 129.1      12.        13.         0.19       0.02                3276300200128 
 129.1      13.        14.         0.14       0.01                3276300200129 
 137.5       4.         5.         7.68       0.49                3276300200130 
 137.5       5.         6.         9.00       0.57                3276300200131 
 137.5       6.         7.         7.77       0.49                3276300200132 
 137.5       7.         8.         3.98       0.26                3276300200133 
 137.5       8.         9.         2.44       0.16                3276300200134 
 137.5       9.        10.         1.08       0.09                3276300200135 
 137.5      10.        11.         0.66       0.06                3276300200136 
 137.5      11.        12.         0.67       0.05                3276300200137 
 137.5      12.        13.         0.24       0.02                3276300200138 
 137.5      13.        14.         0.09       0.01                3276300200139 
 145.1       4.         5.        10.51       0.67                3276300200140 
 145.1       5.         6.         8.95       0.57                3276300200141 
 145.1       6.         7.         5.41       0.35                3276300200142 
 145.1       7.         8.         3.82       0.25                3276300200143 
 145.1       8.         9.         2.11       0.14                3276300200144 
 145.1       9.        10.         1.39       0.10                3276300200145 
 145.1      10.        11.         0.63       0.05                3276300200146 
 145.1      11.        12.         0.39       0.03                3276300200147 
 145.1      12.        13.         0.13       0.02                3276300200148 
 145.1      13.        14.         0.07       0.01                3276300200149 
 152.5       4.         5.         9.10       0.76                3276300200150 
 152.5       5.         6.         8.54       0.36                3276300200151 
 152.5       6.         7.         5.76       0.37                3276300200152 
 152.5       7.         8.         4.46       0.29                3276300200153 
 152.5       8.         9.         1.79       0.13                3276300200154 
 152.5       9.        10.         1.06       0.08                3276300200155 
 152.5      10.        11.         0.66       0.05                3276300200156 
 152.5      11.        12.         0.48       0.04                3276300200157 
 152.5      12.        13.         0.05       0.01                3276300200158 
 152.5      13.        14.         0.04       0.01                3276300200159 
 158.3       4.         5.         7.56       0.49                3276300200160 
 158.3       5.         6.         7.43       0.47                3276300200161 
 158.3       6.         7.         3.07       0.21                3276300200162 
 158.3       7.         8.         4.08       0.27                3276300200163 
 158.3       8.         9.         1.50       0.11                3276300200164 
 158.3       9.        10.         1.14       0.08                3276300200165 
 158.3      10.        11.         1.15       0.08                3276300200166 
 158.3      11.        12.         0.25       0.03                3276300200167 
 158.3      12.        13.         0.13       0.02                3276300200168 
 158.3      13.        14.         0.01       0.01                3276300200169 
