ENTRY            31461   20181120                             31873146100000001 
SUBENT        31461001   20181120                             31873146100100001 
BIB                 11         26                                 3146100100002 
TITLE      Proton emission in reaction of 14.6 MeV neutrons with  3146100100003 
            natural iron                                          3146100100004 
AUTHOR     (Bangjiao Ye, Yangmei Fan, Zhongmin Wang, Rongdian Han)3146100100005 
INSTITUTE  (3CPRHST)                                              3146100100006 
REFERENCE  (J,NSE,122,136,1996)                                   3146100100007 
           (J,CST,29,290,1995) 88 deg DDX and DE in figs          3146100100008 
FACILITY   (CCW,3CPRHST) 150 kV Cockcroft-Walton accelerator      3146100100009 
INC-SOURCE (D-T) T-Ti target, 1.5E+09 neutrons/s                  3146100100010 
SAMPLE     Natural iron sheet, 0.5 mm thick and 40 mm high        3146100100011 
METHOD     (EDE)                                                  3146100100012 
DETECTOR   (TELES,PROPC,CSICR)                                    3146100100013 
           32 proportional counters (dE) + a CsI(Tl) crystal (E). 3146100100014 
           16 telescopes were for measurement of the Fe target,   3146100100015 
            and the other 16 for simultaneous measurement of the  3146100100016 
            background.                                           3146100100017 
ERR-ANALYS (ERR-T) Statistical and systematic errors.             3146100100018 
            The latters consist of errors in:                     3146100100019 
           (ERR-1) neutron flux                    (3.3%)         3146100100020 
           (ERR-2) target height                     (2%)         3146100100021 
           (ERR-3) solid angle of central detector   (3%)         3146100100022 
           (ERR-4) value of dE/dx                    (2%)         3146100100023 
           (ERR-5) data reduction procedure          (2%)         3146100100024 
           (ERR-6) other                             (3%)         3146100100025 
HISTORY    (19960815C) HW                                         3146100100026 
           (20100221U) SD: 4-digits year, cosmetic changes        3146100100027 
           (20181120A) On. Major revisions in 002-017.            3146100100028 
ENDBIB              26          0                                 3146100100029 
COMMON               6          3                                 3146100100030 
ERR-1      ERR-2      ERR-3      ERR-4      ERR-5      ERR-6      3146100100031 
PER-CENT   PER-CENT   PER-CENT   PER-CENT   PER-CENT   PER-CENT   3146100100032 
 3.3        2.         3.         2.         2.         3.        3146100100033 
ENDCOMMON            3          0                                 3146100100034 
ENDSUBENT           33          0                                 3146100199999 
SUBENT        31461002   20181120                             31873146100200001 
BIB                  3          3                                 3146100200002 
REACTION   (26-FE-0(N,X)1-H-1,,DA/DE)                             3146100200003 
STATUS     (TABLE) Table 1 of Nucl.Sci.Eng.122(1996)136           3146100200004 
HISTORY    (20181120A) On. 002-017 merged into 002.               3146100200005 
ENDBIB               3          0                                 3146100200006 
COMMON               2          3                                 3146100200007 
EN         ANG-RSL                                                3146100200008 
MEV        ADEG                                                   3146100200009 
 14.6       12.                                                   3146100200010 
ENDCOMMON            3          0                                 3146100200011 
DATA                 5        165                                 3146100200012 
ANG        E-MIN      E-MAX      DATA       ERR-T                 3146100200013 
ADEG       MEV        MEV        MB/SR/MEV  MB/SR/MEV             3146100200014 
  25.0       4.         5.        2.30       0.19                 3146100200015 
  25.0       5.         6.        2.22       0.18                 3146100200016 
  25.0       6.         7.        3.63       0.24                 3146100200017 
  25.0       7.         8.        2.52       0.17                 3146100200018 
  25.0       8.         9.        1.29       0.09                 3146100200019 
  25.0       9.        10.        0.94       0.07                 3146100200020 
  25.0      10.        11.        0.30       0.03                 3146100200021 
  25.0      11.        12.        0.12       0.02                 3146100200022 
  25.0      12.        13.        0.02       0.01                 3146100200023 
  25.0      13.        14.        0.05       0.01                 3146100200024 
  32.8       4.         5.        3.18       0.23                 3146100200025 
  32.8       5.         6.        2.88       0.21                 3146100200026 
  32.8       6.         7.        3.02       0.21                 3146100200027 
  32.8       7.         8.        1.89       0.13                 3146100200028 
  32.8       8.         9.        1.14       0.08                 3146100200029 
  32.8       9.        10.        0.66       0.05                 3146100200030 
  32.8      10.        11.        0.36       0.03                 3146100200031 
  32.8      11.        12.        0.05       0.02                 3146100200032 
  32.8      12.        13.        0.06       0.01                 3146100200033 
  32.8      13.        14.        0.01       0.00                 3146100200034 
  43.9       3.         4.        3.33       0.24                 3146100200035 
  43.9       4.         5.        2.77       0.15                 3146100200036 
  43.9       5.         6.        3.39       0.29                 3146100200037 
  43.9       6.         7.        2.50       0.17                 3146100200038 
  43.9       7.         8.        1.91       0.13                 3146100200039 
  43.9       8.         9.        0.68       0.06                 3146100200040 
  43.9       9.        10.        1.03       0.07                 3146100200041 
  43.9      10.        11.        0.25       0.03                 3146100200042 
  43.9      11.        12.        0.25       0.02                 3146100200043 
  43.9      12.        13.        0.01       0.01                 3146100200044 
  43.9      13.        14.        0.03       0.00                 3146100200045 
  55.0       4.         5.        2.77       0.20                 3146100200046 
  55.0       5.         6.        2.02       0.15                 3146100200047 
  55.0       6.         7.        1.82       0.13                 3146100200048 
  55.0       7.         8.        1.60       0.11                 3146100200049 
  55.0       8.         9.        1.18       0.08                 3146100200050 
  55.0       9.        10.        0.50       0.04                 3146100200051 
  55.0      10.        11.        0.36       0.03                 3146100200052 
  55.0      11.        12.        0.28       0.02                 3146100200053 
  55.0      12.        13.        0.04       0.01                 3146100200054 
  55.0      13.        14.        0.06       0.01                 3146100200055 
  67.2       4.         5.        3.43       0.27                 3146100200056 
  67.2       5.         6.        3.07       0.24                 3146100200057 
  67.2       6.         7.        1.57       0.12                 3146100200058 
  67.2       7.         8.        1.99       0.13                 3146100200059 
  67.2       8.         9.        0.95       0.07                 3146100200060 
  67.2       9.        10.        0.73       0.05                 3146100200061 
  67.2      10.        11.        0.54       0.04                 3146100200062 
  67.2      11.        12.        0.05       0.01                 3146100200063 
  67.2      12.        13.        0.08       0.01                 3146100200064 
  67.2      13.        14.        0.01       0.00                 3146100200065 
  77.1       3.         4.        2.88       0.20                 3146100200066 
  77.1       4.         5.        3.43       0.21                 3146100200067 
  77.1       5.         6.        3.07       0.24                 3146100200068 
  77.1       6.         7.        1.57       0.14                 3146100200069 
  77.1       7.         8.        1.99       0.13                 3146100200070 
  77.1       8.         9.        0.95       0.07                 3146100200071 
  77.1       9.        10.        0.73       0.05                 3146100200072 
  77.1      10.        11.        0.54       0.03                 3146100200073 
  77.1      11.        12.        0.05       0.02                 3146100200074 
  77.1      12.        13.        0.08       0.01                 3146100200075 
  77.1      13.        14.        0.01       0.01                 3146100200076 
  88.3       4.         5.        3.51       0.29                 3146100200077 
  88.3       5.         6.        3.34       0.22                 3146100200078 
  88.3       6.         7.        2.22       0.15                 3146100200079 
  88.3       7.         8.        1.82       0.13                 3146100200080 
  88.3       8.         9.        1.12       0.08                 3146100200081 
  88.3       9.        10.        0.38       0.04                 3146100200082 
  88.3      10.        11.        0.49       0.04                 3146100200083 
  88.3      11.        12.        0.06       0.01                 3146100200084 
  88.3      12.        13.        0.02       0.01                 3146100200085 
  88.3      13.        14.        0.00       0.00                 3146100200086 
  98.3       4.         5.        3.06       0.17                 3146100200087 
  98.3       5.         6.        3.34       0.28                 3146100200088 
  98.3       6.         7.        2.78       0.19                 3146100200089 
  98.3       7.         8.        1.43       0.11                 3146100200090 
  98.3       8.         9.        0.62       0.06                 3146100200091 
  98.3       9.        10.        0.66       0.06                 3146100200092 
  98.3      10.        11.        0.32       0.03                 3146100200093 
  98.3      11.        12.        0.01       0.02                 3146100200094 
  98.3      12.        13.        0.13       0.01                 3146100200095 
  98.3      13.        14.        0.02       0.01                 3146100200096 
 108.6       4.         5.        3.62       0.30                 3146100200097 
 108.6       5.         6.        3.34       0.27                 3146100200098 
 108.6       6.         7.        2.62       0.18                 3146100200099 
 108.6       7.         8.        1.80       0.13                 3146100200100 
 108.6       8.         9.        1.02       0.08                 3146100200101 
 108.6       9.        10.        0.60       0.05                 3146100200102 
 108.6      10.        11.        0.23       0.03                 3146100200103 
 108.6      11.        12.        0.26       0.02                 3146100200104 
 108.6      12.        13.        0.03       0.01                 3146100200105 
