ENTRY            30036   19730609                             317230036  0    1 
SUBENT        30036001   19730609                             317230036  1    1 
BIB                 13         33                                 30036  1    2 
TITLE      Angular correlation measurements of 12C(n,n'gamma)12C  30036  1    3 
            at 14.7 MeV                                           30036  1    4 
AUTHOR     (J.Zamudio, L.Romero, R.Morales)                       30036  1    5 
INSTITUTE  (3CHLSAN)                                              30036  1    6 
REFERENCE  (J,NP/A,96,449,1967)                                   30036  1    7 
FACILITY   (CCW,3CHLSAN) 800 keV Cockcroft-Walton accelerator     30036  1    8 
SAMPLE     Natural graphite cylinder (6 cm diam., 6.7 cm height)  30036  1    9 
INC-SOURCE (D-T) 200 keV deuterons on T-Zr target                 30036  1   10 
METHOD     (COINC) Gamma rays from the 2+ to 0+ de-excitation of  30036  1   11 
            the first excited state in 12C were observed in       30036  1   12 
            coincidence with inelastically scattered neutrons.    30036  1   13 
           Background was minimized by requiring coincidence      30036  1   14 
            between the neutrons and the associated alpha-        30036  1   15 
            particles                                             30036  1   16 
           (TOF) Time-of-flight technique was necessary to        30036  1   17 
            distinguish neutron-gamma from gamma-neutron events.  30036  1   18 
           Measurements were performed in the reaction plane for  30036  1   19 
            five different neutron detector positions and in a    30036  1   20 
            plane perpendicular to the reaction plane for two     30036  1   21 
            neutron detector positions.                           30036  1   22 
PART-DET   (G) 2+ -> 0+ transition from first excited state to    30036  1   23 
            ground state in 12C                                   30036  1   24 
           (N) Scattered neutrons                                 30036  1   25 
           (A) Associated alpha particles in d-t reaction         30036  1   26 
DETECTOR   (SCIN) Liquid scintillator for neutrons                30036  1   27 
           (SCIN) Plastic scintillator for T(d,n) alpha particles 30036  1   28 
           (NAICR) NaI(Tl) detector for gamma rays                30036  1   29 
ERR-ANALYS (DATA-ERR) No information on source of uncertainty     30036  1   30 
STATUS     (TABLE) Priv. communication with J.Zamudio (July,1968) 30036  1   31 
HISTORY    (19721227T) Conversion of DASTAR 707,693,529,697,658.  30036  1   32 
           (19730606U)                                            30036  1   33 
           (20150723S) On. Restored from NDS VMS Archive (1998)   30036  1   34 
           (20150723A) On. 002-008 merged into 002                30036  1   35 
ENDBIB              33          0                                 30036  1   36 
COMMON               1          3                                 30036  1   37 
EN                                                                30036  1   38 
MEV                                                               30036  1   39 
 14.7                                                             30036  1   40 
ENDCOMMON            3          0                                 30036  1   41 
ENDSUBENT           40          0                                 30036  199999 
SUBENT        30036002   20150723                             317230036  2    1 
BIB                  2          6                                 30036  2    2 
REACTION   (6-C-12(N,INL)6-C-12,,MLT/DA,,MSC)                     30036  2    3 
           Gammas per steradian per inelastically scattered       30036  2    4 
            neutron                                               30036  2    5 
EN-SEC     ANG1:   polar angle of neutron       - phi(n')         30036  2    6 
           ANG2:   polar angle of gamma-ray     - phi(gamma)      30036  2    7 
           ANG-AZ: azimuthal angle of gamma-ray - theta(gamma)    30036  2    8 
ENDBIB               6          0                                 30036  2    9 
NOCOMMON             0          0                                 30036  2   10 
DATA                 5         52                                 30036  2   11 
ANG1       ANG2       ANG-AZ     DATA       DATA-ERR              30036  2   12 
ADEG       ADEG       ADEG       PRT/RCT/SR PRT/RCT/SR            30036  2   13 
  30.         0.        0.        0.180      0.018                30036  2   14 
  30.         0.       10.        0.208      0.017                30036  2   15 
  30.         0.       20.        0.204      0.047                30036  2   16 
  30.         0.       27.        0.534      0.069                30036  2   17 
  30.        40.       90.        0.106      0.053                30036  2   18 
  30.        50.       90.        0.127      0.047                30036  2   19 
  30.        60.       90.        0.140      0.042                30036  2   20 
  30.        80.       90.        0.061      0.039                30036  2   21 
  30.        90.       90.        0.130      0.030                30036  2   22 
  30.       100.       90.        0.132      0.045                30036  2   23 
  30.       110.       90.        0.172      0.030                30036  2   24 
  30.       120.       90.        0.264      0.061                30036  2   25 
  30.       180.       10.        0.135      0.024                30036  2   26 
  30.       180.       20.        0.318      0.030                30036  2   27 
  30.       180.       25.        0.329      0.044                30036  2   28 
  40.         0.        0.        0.110      0.020                30036  2   29 
  40.         0.       10.        0.165      0.016                30036  2   30 
  40.         0.       20.        0.137      0.018                30036  2   31 
  40.         0.       29.        0.226      0.024                30036  2   32 
  40.        50.       90.        0.197      0.020                30036  2   33 
  40.        60.       90.        0.197      0.025                30036  2   34 
  40.        70.       90.        0.122      0.027                30036  2   35 
  40.        80.       90.        0.128      0.020                30036  2   36 
  40.        90.       90.        0.187      0.026                30036  2   37 
  40.       100.       90.        0.202      0.021                30036  2   38 
  40.       110.       90.        0.275      0.026                30036  2   39 
  40.       180.       10.        0.149      0.019                30036  2   40 
  40.       180.       20.        0.215      0.017                30036  2   41 
  40.       180.       28.        0.242      0.020                30036  2   42 
  60.        50.       90.        0.157      0.032                30036  2   43 
  60.        60.       90.        0.162      0.030                30036  2   44 
  60.        70.       90.        0.111      0.016                30036  2   45 
  60.        80.       90.        0.119      0.019                30036  2   46 
  60.        90.       90.        0.230      0.025                30036  2   47 
  60.       100.       90.        0.282      0.025                30036  2   48 
  60.       110.       90.        0.267      0.015                30036  2   49 
  80.        50.       90.        0.137      0.024                30036  2   50 
  80.        60.       90.        0.151      0.022                30036  2   51 
  80.        70.       90.        0.150      0.054                30036  2   52 
  80.        80.       90.        0.166      0.032                30036  2   53 
  80.        90.       90.        0.235      0.065                30036  2   54 
  80.       100.       90.        0.118      0.028                30036  2   55 
  80.       110.       90.        0.147      0.033                30036  2   56 
 100.        40.       90.        0.214      0.049                30036  2   57 
 100.        50.       90.        0.147      0.047                30036  2   58 
 100.        60.       90.        0.151      0.025                30036  2   59 
 100.        70.       90.        0.206      0.040                30036  2   60 
 100.        80.       90.        0.182      0.036                30036  2   61 
 100.        90.       90.        0.175      0.035                30036  2   62 
 100.       100.       90.        0.222      0.035                30036  2   63 
 100.       110.       90.        0.292      0.041                30036  2   64 
 100.       117.       90.        0.442      0.156                30036  2   65 
ENDDATA             54          0                                 30036  2   66 
ENDSUBENT           65          0                                 30036  299999 
ENDENTRY             2          0                                 3003699999999 
