ENTRY            A0645   20220807                             A102A0645  0    1 
SUBENT        A0645001   20220807                             A102A0645  1    1 
BIB                 11         34                                 A0645  1    2 
TITLE      The p+p--pi-positive+d reaction close to threshold at  A0645  1    3 
           COSY                                                   A0645  1    4 
AUTHOR     (GEM Collaboration, M.Drochner, J.Ernst, S.Foertsch,   A0645  1    5 
           L.Freindl, D.Frekers, W.Garske, K.Grewer, S.Igel,      A0645  1    6 
           R.Jahn, L.Jarczyk, G.Kemmerling, K.Kilian,             A0645  1    7 
           S.Kliczewski, W.Klimala, D.Kolev, T.Kutsarova,         A0645  1    8 
           G.Lippert, H.Machner, R.Maier, C.Nake, B.Rasen,        A0645  1    9 
           P.von Rossen, B.R.Roy, K.Scho, R.Siudak, J.Smyrski,    A0645  1   10 
           A.Strzalkowski, R.Tsenov, P.A.Zolnierczuk, K.Zwoll)    A0645  1   11 
INSTITUTE  (2GERJUL,3POLUJK,3POLIFJ,3BULBLA,3BULSOF,2GERBON,      A0645  1   12 
           2GERMST,3INDTRM)                                       A0645  1   13 
REFERENCE  (J,NP/A,643,55,1998) Main Reference                    A0645  1   14 
           (J,NP/A,626,63,1997) Proceeding of Conference.         A0645  1   15 
           (J,PRL,77,454,1996)  Preliminary publication.          A0645  1   16 
FACILITY   (ISOCY,2GERJUL) As Injector                            A0645  1   17 
           (SYNCH,2GERJUL) Cooler Synchrotron = COSY              A0645  1   18 
SAMPLE     Liquid hydrogen targets were employed. The target cellsA0645  1   19 
           had 6 mm diam. and windows made of mylar foils 1.5 um  A0645  1   20 
           thick. At this thickness their influence on the cross  A0645  1   21 
           section measurement is almost negligible.              A0645  1   22 
DETECTOR   (MWPC)                                                 A0645  1   23 
           (SCIN) Complex system of detectors different types.    A0645  1   24 
METHOD     (COINC)                                                A0645  1   25 
ERR-ANALYS (DATA-ERR) An analysis is absent.                      A0645  1   26 
MISC-COL   (MISC) The ratio of linear momentum of positive pions  A0645  1   27 
           to m(pion)*c                                           A0645  1   28 
HISTORY    (19990708C)                                            A0645  1   29 
           (20000503A) Remarks of Otto Schwerer are included      A0645  1   30 
           (20000717A) DATE is corrected                          A0645  1   31 
           (20110826A) "GEM Collaboration" as 1st author was      A0645  1   32 
           added, according M.Bossant comment-SB                  A0645  1   33 
           (20220807A) SD: Corrections in all Subents. Subent 004 A0645  1   34 
           deleted (The same A0 numbers are compiled with the A2  A0645  1   35 
           coefficients in Subent 003).                           A0645  1   36 
ENDBIB              34          0                                 A0645  1   37 
COMMON               1          3                                 A0645  1   38 
EN-ERR                                                            A0645  1   39 
PER-CENT                                                          A0645  1   40 
      0.056                                                       A0645  1   41 
ENDCOMMON            3          0                                 A0645  1   42 
ENDSUBENT           41          0                                 A0645  199999 
SUBENT        A0645002   20220807                             A102A0645  2    1 
BIB                  3          5                                 A0645  2    2 
REACTION   (1-H-1(P,PIP)1-H-2,,DA)                                A0645  2    3 
STATUS     (TABLE) The data table was taken from                  A0645  2    4 
           http://Ikpgem02.ikp.kfa-Juelich.de (the URL is not     A0645  2    5 
           accessible now, 2022/08/07)                            A0645  2    6 
HISTORY    (20220807A) SD: SF9=EXP deleted from REACTION code.    A0645  2    7 
ENDBIB               5          0                                 A0645  2    8 
NOCOMMON             0          0                                 A0645  2    9 
DATA                 5        242                                 A0645  2   10 
EN         COS-CM     DATA-CM    DATA-ERR   MISC                  A0645  2   11 
MEV        NO-DIM     MU-B/SR    MU-B/SR    NO-DIM                A0645  2   12 
     288.16      -0.94      0.728       0.07      0.062           A0645  2   13 
     288.16       -0.9      0.822      0.074      0.062           A0645  2   14 
     288.16      -0.86      0.782      0.073      0.062           A0645  2   15 
     288.16      -0.82      0.654      0.066      0.062           A0645  2   16 
     288.16      -0.78      0.789      0.073      0.062           A0645  2   17 
     288.16      -0.74      0.795      0.073      0.062           A0645  2   18 
     288.16       -0.7      0.667      0.067      0.062           A0645  2   19 
     288.16      -0.66       0.66      0.067      0.062           A0645  2   20 
     288.16      -0.62      0.714      0.069      0.062           A0645  2   21 
     288.16      -0.58      0.748      0.071      0.062           A0645  2   22 
     288.16      -0.54      0.795      0.073      0.062           A0645  2   23 
     288.16       -0.5      0.822      0.074      0.062           A0645  2   24 
     288.16      -0.46      0.822      0.074      0.062           A0645  2   25 
     288.16      -0.42      0.687      0.068      0.062           A0645  2   26 
     288.16      -0.38      0.741      0.071      0.062           A0645  2   27 
     288.16      -0.34      0.741      0.071      0.062           A0645  2   28 
     288.16       -0.3      0.654      0.066      0.062           A0645  2   29 
     288.16      -0.26      0.795      0.073      0.062           A0645  2   30 
     288.16      -0.22      0.876      0.077      0.062           A0645  2   31 
     288.16      -0.18      0.809      0.074      0.062           A0645  2   32 
     288.16      -0.14      0.694      0.068      0.062           A0645  2   33 
     288.16       -0.1      0.802      0.074      0.062           A0645  2   34 
     288.16      -0.06      0.822      0.074      0.062           A0645  2   35 
     288.16      -0.02      0.714      0.069      0.062           A0645  2   36 
     288.16       0.02      0.809      0.074      0.062           A0645  2   37 
     288.16       0.06      0.856      0.076      0.062           A0645  2   38 
     288.16        0.1      0.613      0.064      0.062           A0645  2   39 
     288.16       0.14      0.782      0.073      0.062           A0645  2   40 
     288.16       0.18      0.748      0.071      0.062           A0645  2   41 
     288.16       0.22      0.667      0.067      0.062           A0645  2   42 
     288.16       0.26      0.654      0.066      0.062           A0645  2   43 
     288.16        0.3      0.714      0.069      0.062           A0645  2   44 
     288.16       0.34      0.802      0.074      0.062           A0645  2   45 
     288.16       0.38      0.708      0.069      0.062           A0645  2   46 
     288.16       0.42      0.849      0.076      0.062           A0645  2   47 
     288.16       0.46      0.768      0.072      0.062           A0645  2   48 
     288.16        0.5      0.849      0.076      0.062           A0645  2   49 
     288.16       0.54      0.701      0.069      0.062           A0645  2   50 
     288.16       0.58      0.876      0.077      0.062           A0645  2   51 
     288.16       0.62      0.815      0.074      0.062           A0645  2   52 
     288.16       0.66      0.842      0.075      0.062           A0645  2   53 
     288.16        0.7      0.782      0.073      0.062           A0645  2   54 
     288.16       0.74       0.91      0.078      0.062           A0645  2   55 
     288.16       0.78      0.789      0.073      0.062           A0645  2   56 
     288.16       0.82      0.701      0.069      0.062           A0645  2   57 
     288.16       0.86      0.944       0.08      0.062           A0645  2   58 
     288.16        0.9      0.775      0.072      0.062           A0645  2   59 
     288.16       0.94      0.782      0.073      0.062           A0645  2   60 
     288.16       0.98       0.64      0.066      0.062           A0645  2   61 
     288.87      -0.94      1.182      0.145       0.09           A0645  2   62 
     288.87       -0.9      0.967      0.132       0.09           A0645  2   63 
     288.87      -0.86      1.254       0.15       0.09           A0645  2   64 
     288.87      -0.82        1.2      0.147       0.09           A0645  2   65 
     288.87      -0.78      1.146      0.143       0.09           A0645  2   66 
