ENTRY            A1485   19990324                             0000A148500000001 
SUBENT        A1485001   19990324                             0000A148500100001 
BIB                 10         26                                 A148500100002 
INSTITUTE  (1USAORL)                                              A148500100003 
REFERENCE  (J,NP,46,(3),336,196307)                               A148500100004 
AUTHOR     (J.L.DUGGAN,P.D.MILLER,R.F.GABBARD)                    A148500100005 
TITLE      A study of the reactions 9Be(HE3,N)11C,                A148500100006 
           7Li(HE3,N)9B and 13C(HE3,N)15O                         A148500100007 
FACILITY   (VDG)                                                  A148500100008 
SAMPLE     The 9Be targets were produced by evaporating 9Be       A148500100009 
           metal onto platinum blanks the uniformity of the       A148500100010 
           targets were uniform to within 10%                     A148500100011 
           The Li targets were made by evaporating pure Li metal  A148500100012 
           Of LiF onto platinum blanks. The thickness of the LiF  A148500100013 
           targets were determined by weighting before and after  A148500100014 
           evaporation                                            A148500100015 
           The 13C targets were made by cracking methyl iodide,   A148500100016 
           enriched to about 60% in 13C, onto heated platium      A148500100017 
           blanks. The thickness of the 13C targets are not known A148500100018 
METHOD     (TOF)                                                  A148500100019 
DETECTOR   (SCIN) 10.2cm X 7.6 cm plastic crystal                 A148500100020 
ERR-ANALYS (DATA-ERR2) The absolute cross sections reported in    A148500100021 
           this paper may be in error as much as 50% while        A148500100022 
           relative values are good to within 7%. The principal   A148500100023 
           uncertainty is the approximations that were made in    A148500100024 
           solving the plastic scintillator efficiency integrals. A148500100025 
HISTORY    (19820528C) Compilation Produced by Arzamas RFNC-VNIIEFA148500100026 
           (19970923U) Last checking has been done.               A148500100027 
           (19990321U)CNPD: corrected 4-dig. year and lower cases.A148500100028 
ENDBIB              26          0                                 A148500100029 
COMMON               1          3                                 A148500100030 
DATA-ERR2                                                         A148500100031 
PER-CENT                                                          A148500100032 
         7.                                                       A148500100033 
ENDCOMMON            3          0                                 A148500100034 
ENDSUBENT           33          0                                 A148500199999 
SUBENT        A1485002   19990324                             0000A148500200001 
BIB                  3          4                                 A148500200002 
REACTION   (4-BE-9(HE3,N)6-C-11,PAR,DA,,,EXP)                     A148500200003 
ERR-ANALYS (EN-ERR) Digitizing error                              A148500200004 
           (DATA-ERR) Digitizing error                            A148500200005 
STATUS     (CURVE) Fig 4,5,6,7                                    A148500200006 
ENDBIB               4          0                                 A148500200007 
COMMON               2          3                                 A148500200008 
EN-ERR     DATA-ERR                                               A148500200009 
MEV        MB/SR                                                  A148500200010 
 0.01        0.006                                                A148500200011 
ENDCOMMON            3          0                                 A148500200012 
DATA                 4         92                                 A148500200013 
EN         ANG        E-LVL      DATA                             A148500200014 
MEV        ADEG       MEV        MB/SR                            A148500200015 
     1.307      0.         0.         0.2298                      A148500200016 
     1.311     81.5        0.         0.0737                      A148500200017 
     1.313      0.         4.804      0.0155                      A148500200018 
     1.314      0.         4.319      0.0464                      A148500200019 
     1.315     81.5        2.         0.0405                      A148500200020 
     1.315     81.5        2.         0.0477                      A148500200021 
     1.315     81.5        4.319      0.0272                      A148500200022 
     1.316     81.5        2.         0.0548                      A148500200023 
     1.332      0.         2.         0.052                       A148500200024 
     1.398     81.5        4.804      0.0817                      A148500200025 
     1.421     81.5        2.         0.0707                      A148500200026 
     1.422     81.5        0.         0.1369                      A148500200027 
     1.424     81.5        4.319      0.0586                      A148500200028 
     1.532      0.         4.319      0.0988                      A148500200029 
     1.532      0.         4.804      0.0597                      A148500200030 
     1.533      0.         4.319      0.084                       A148500200031 
     1.535      0.         2.         0.1637                      A148500200032 
     1.537      0.         4.804      0.0745                      A148500200033 
     1.539     81.5        4.804      0.1635                      A148500200034 
     1.547      0.         0.         0.501                       A148500200035 
     1.559     81.5        0.         0.2826                      A148500200036 
     1.56      81.5        4.319      0.1181                      A148500200037 
     1.564     81.5        0.         0.2428                      A148500200038 
     1.569     81.5        2.         0.1724                      A148500200039 
     1.569     81.5        2.         0.1538                      A148500200040 
     1.591      0.         2.         0.1553                      A148500200041 
     1.613      0.         4.319      0.0991                      A148500200042 
     1.613      0.         4.804      0.0755                      A148500200043 
     1.626      0.         0.         0.5044                      A148500200044 
     1.671     81.5        4.804      0.2096                      A148500200045 
     1.695     81.5        2.         0.2312                      A148500200046 
     1.696     81.5        0.         0.4168                      A148500200047 
     1.701     81.5        2.         0.2197                      A148500200048 
     1.703     81.5        4.319      0.1629                      A148500200049 
     1.734      0.         4.319      0.1349                      A148500200050 
     1.734      0.         4.804      0.1006                      A148500200051 
     1.735      0.         0.         0.6385                      A148500200052 
     1.735      0.         4.319      0.1172                      A148500200053 
     1.735      0.         4.804      0.0858                      A148500200054 
     1.741      0.         2.         0.1955                      A148500200055 
     1.747      0.         2.         0.1813                      A148500200056 
     1.771     81.5        4.804      0.3087                      A148500200057 
     1.798     81.5        0.         0.5764                      A148500200058 
     1.808      0.         0.         0.6503                      A148500200059 
     1.81      81.5        2.         0.2956                      A148500200060 
     1.81      81.5        4.319      0.2341                      A148500200061 
     1.825      0.         4.804      0.1433                      A148500200062 
     1.833      0.         2.         0.2685                      A148500200063 
     1.836      0.         4.319      0.184                       A148500200064 
     1.94      81.5        4.804      0.4264                      A148500200065 
     1.949      0.         4.319      0.2404                      A148500200066 
     1.949      0.         4.804      0.2189                      A148500200067 
     1.95      81.5        0.         0.8045                      A148500200068 
     1.955      0.         2.         0.313                       A148500200069 
     1.959     81.5        2.         0.3702                      A148500200070 
     1.962     81.5        4.319      0.3276                      A148500200071 
     1.967      0.         0.         1.009                       A148500200072 
     2.07       0.         4.804      0.3716                      A148500200073 
     2.077      0.         2.         0.3447                      A148500200074 
     2.089      0.         4.319      0.3487                      A148500200075 
     2.093     81.5        4.804      0.5023                      A148500200076 
     2.105      0.         0.         1.299                       A148500200077 
     2.109     81.5        2.         0.3804                      A148500200078 
     2.11      81.5        0.         0.919                       A148500200079 
     2.116     81.5        4.319      0.3857                      A148500200080 
     2.166      0.         4.804      0.5655                      A148500200081 
     2.168      0.         4.319      0.4051                      A148500200082 
     2.171      0.         2.         0.3363                      A148500200083 
     2.174      0.         0.         1.249                       A148500200084 
     2.226     81.5        4.804      0.5307                      A148500200085 
     2.237     81.5        0.         0.9766                      A148500200086 
     2.237     81.5        2.         0.3964                      A148500200087 
     2.248     81.5        4.319      0.4334                      A148500200088 
     2.271      0.         2.         0.3621                      A148500200089 
     2.276      0.         4.804      0.8159                      A148500200090 
     2.278      0.         4.319      0.4143                      A148500200091 
     2.285      0.         0.         1.32                        A148500200092 
