ENTRY            A1073   20240703                             A112A1073  0    1 
SUBENT        A1073001   20240703                             A112A1073  1    1 
BIB                 10         13                                 A1073  1    2 
TITLE      Study of 5Li around 20 MeV excitation energy by a      A1073  1    3 
           radiative capture reaction                             A1073  1    4 
AUTHOR     (H.Schroder,W.Mausberg)                                A1073  1    5 
REFERENCE  (J,ZP,235,234,1970)                                    A1073  1    6 
INSTITUTE  (2GERFRB)                                              A1073  1    7 
FACILITY   (VDG,2GERFRB)                                          A1073  1    8 
SAMPLE     Zirconium-deuterium targets on a tungsten backing      A1073  1    9 
METHOD     (PHD)                                                  A1073  1   10 
DETECTOR   (NAICR) Two detectors 6. in. * 8. in. diam             A1073  1   11 
ERR-ANALYS (DATA-ERR) No information about source of uncertainty  A1073  1   12 
HISTORY    (19810327C) Compilation produced by Arzamas RFNC-VNIIEFA1073  1   13 
           (19990205U)CNPD: corrected 4-dig. year and lower cases.A1073  1   14 
           (20240703A) SD: Corrections in all Subents.            A1073  1   15 
ENDBIB              13          0                                 A1073  1   16 
COMMON               2          3                                 A1073  1   17 
EN-ERR     E-LVL                                                  A1073  1   18 
MEV        MEV                                                    A1073  1   19 
 0.02              0.0                                            A1073  1   20 
ENDCOMMON            3          0                                 A1073  1   21 
ENDSUBENT           20          0                                 A1073  199999 
SUBENT        A1073002   20240703                             A112A1073  2    1 
BIB                  4          6                                 A1073  2    2 
REACTION   (1-H-2(HE3,G)3-LI-5,PAR,DA)                            A1073  2    3 
ERR-ANALYS  E-EXC-C-ER - Digitizing error of excitation energy of A1073  2    4 
            initial compound nucleus                              A1073  2    5 
STATUS     (CURVE,,H.Schroder+,J,ZP,235,234,1970) Fig 2           A1073  2    6 
HISTORY    (20240703A) SD: SF5=PAR added; SF9=EXP deleted from    A1073  2    7 
           REACTION code. Data were re-digitized.                 A1073  2    8 
ENDBIB               6          0                                 A1073  2    9 
COMMON               2          3                                 A1073  2   10 
E-EXC-C-ER ERR-DIG                                                A1073  2   11 
MEV        MU-B/SR                                                A1073  2   12 
       0.01       0.01                                            A1073  2   13 
ENDCOMMON            3          0                                 A1073  2   14 
DATA                 4        131                                 A1073  2   15 
ANG        E-EXC-CMP  DATA       DATA-ERR                         A1073  2   16 
ADEG       MEV        MU-B/SR    MU-B/SR                          A1073  2   17 
        0.0      16.46       0.75       0.04                      A1073  2   18 
        0.0      16.52       1.84       0.07                      A1073  2   19 
        0.0      16.55       2.21       0.10                      A1073  2   20 
        0.0      16.58       2.79       0.17                      A1073  2   21 
        0.0      16.61       2.86       0.16                      A1073  2   22 
        0.0      16.65       2.86       0.09                      A1073  2   23 
        0.0      16.70       2.57       0.10                      A1073  2   24 
        0.0      16.75       2.55       0.11                      A1073  2   25 
        0.0      16.81       2.38       0.11                      A1073  2   26 
        0.0      16.86       2.29       0.09                      A1073  2   27 
        0.0      16.96       2.29       0.11                      A1073  2   28 
        0.0      17.02       2.19       0.07                      A1073  2   29 
        0.0      17.15       2.19       0.07                      A1073  2   30 
        0.0      17.26       2.19       0.07                      A1073  2   31 
        0.0      17.39       2.29       0.09                      A1073  2   32 
        0.0      17.53       2.45       0.09                      A1073  2   33 
        0.0      17.56       2.38       0.07                      A1073  2   34 
        0.0      17.67       2.60       0.09                      A1073  2   35 
        0.0      17.77       2.60       0.18                      A1073  2   36 
        0.0      17.77       2.65       0.09                      A1073  2   37 
        0.0      17.89       2.76       0.09                      A1073  2   38 
        0.0      17.93       2.77       0.14                      A1073  2   39 
        0.0      17.98       2.83       0.09                      A1073  2   40 
        0.0      18.01       2.72       0.23                      A1073  2   41 
        0.0      18.02       2.77       0.07                      A1073  2   42 
        0.0      18.09       2.94       0.07                      A1073  2   43 
        0.0      18.17       3.03       0.07                      A1073  2   44 
        0.0      18.18       3.25       0.20                      A1073  2   45 
        0.0      18.37       3.44       0.11                      A1073  2   46 
        0.0      18.46       3.37       0.17                      A1073  2   47 
        0.0      18.58       3.58       0.24                      A1073  2   48 
        0.0      18.74       3.82       0.13                      A1073  2   49 
        0.0      18.96       4.05       0.20                      A1073  2   50 
        0.0      18.98       4.12       0.17                      A1073  2   51 
        0.0      19.01       4.05       0.21                      A1073  2   52 
        0.0      19.10       3.92       0.26                      A1073  2   53 
        0.0      19.22       4.02       0.24                      A1073  2   54 
        0.0      19.28       4.19       0.26                      A1073  2   55 
        0.0      19.32       4.09       0.26                      A1073  2   56 
        0.0      19.42       4.16       0.24                      A1073  2   57 
        0.0      19.51       4.17       0.24                      A1073  2   58 
        0.0      19.61       4.54       0.26                      A1073  2   59 
        0.0      19.67       4.37       0.24                      A1073  2   60 
        0.0      19.73       4.49       0.23                      A1073  2   61 
        0.0      19.84       4.60       0.24                      A1073  2   62 
        0.0      19.92       4.29       0.26                      A1073  2   63 
        0.0      19.98       4.27       0.21                      A1073  2   64 
        0.0      20.01       4.34       0.21                      A1073  2   65 
        0.0      20.11       4.42       0.24                      A1073  2   66 
        0.0      20.21       4.29       0.24                      A1073  2   67 
        0.0      20.25       4.10       0.20                      A1073  2   68 
        0.0      20.28       4.20       0.24                      A1073  2   69 
        0.0      20.33       4.29       0.24                      A1073  2   70 
        0.0      20.41       4.10       0.21                      A1073  2   71 
        0.0      20.52       4.16       0.21                      A1073  2   72 
        0.0      20.56       4.03       0.30                      A1073  2   73 
        0.0      20.62       4.30       0.24                      A1073  2   74 
        0.0      20.72       3.98       0.23                      A1073  2   75 
        0.0      20.82       3.89       0.24                      A1073  2   76 
        0.0      20.86       3.79       0.26                      A1073  2   77 
        0.0      20.94       3.76       0.23                      A1073  2   78 
        0.0      21.01       3.98       0.21                      A1073  2   79 
        0.0      21.11       3.66       0.21                      A1073  2   80 
        0.0      21.19       3.64       0.23                      A1073  2   81 
      130.0      16.46       0.76       0.06                      A1073  2   82 
      130.0      16.52       1.83       0.10                      A1073  2   83 
      130.0      16.56       2.23       0.11                      A1073  2   84 
      130.0      16.59       2.78       0.16                      A1073  2   85 
      130.0      16.62       2.82       0.11                      A1073  2   86 
      130.0      16.64       2.96       0.14                      A1073  2   87 
      130.0      16.66       2.88       0.10                      A1073  2   88 
      130.0      16.69       2.59       0.10                      A1073  2   89 
      130.0      16.75       2.59       0.10                      A1073  2   90 
      130.0      16.81       2.41       0.10                      A1073  2   91 
      130.0      16.85       2.30       0.08                      A1073  2   92 
      130.0      16.97       2.31       0.08                      A1073  2   93 
      130.0      17.00       2.21       0.07                      A1073  2   94 
      130.0      17.16       2.20       0.08                      A1073  2   95 
      130.0      17.26       2.20       0.08                      A1073  2   96 
      130.0      17.39       2.30       0.10                      A1073  2   97 
      130.0      17.54       2.48       0.08                      A1073  2   98 
      130.0      17.57       2.40       0.06                      A1073  2   99 
      130.0      17.66       2.59       0.08                      A1073  2  100 
      130.0      17.76       2.75       0.17                      A1073  2  101 
      130.0      17.79       2.66       0.07                      A1073  2  102 
      130.0      17.89       2.78       0.08                      A1073  2  103 
      130.0      17.96       2.96       0.23                      A1073  2  104 
      130.0      17.98       2.85       0.11                      A1073  2  105 
      130.0      18.02       2.76       0.07                      A1073  2  106 
      130.0      18.09       2.96       0.08                      A1073  2  107 
      130.0      18.15       3.03       0.08                      A1073  2  108 
      130.0      18.20       3.00       0.20                      A1073  2  109 
      130.0      18.37       3.24       0.20                      A1073  2  110 
      130.0      18.47       3.41       0.21                      A1073  2  111 
      130.0      18.56       3.33       0.21                      A1073  2  112 
      130.0      18.72       3.68       0.21                      A1073  2  113 
      130.0      18.95       3.92       0.20                      A1073  2  114 
      130.0      18.98       3.89       0.20                      A1073  2  115 
      130.0      19.01       3.95       0.23                      A1073  2  116 
      130.0      19.10       4.25       0.24                      A1073  2  117 
      130.0      19.20       3.92       0.24                      A1073  2  118 
      130.0      19.26       3.91       0.21                      A1073  2  119 
      130.0      19.27       4.05       0.27                      A1073  2  120 
      130.0      19.30       4.22       0.23                      A1073  2  121 
      130.0      19.39       4.15       0.23                      A1073  2  122 
      130.0      19.46       4.12       0.24                      A1073  2  123 
      130.0      19.49       4.34       0.27                      A1073  2  124 
      130.0      19.58       4.42       0.25                      A1073  2  125 
      130.0      19.67       4.47       0.23                      A1073  2  126 
