ENTRY            O2391   20191128                             O073O2391  0    1 
SUBENT        O2391001   20191128                             O073O2391  1    1 
BIB                 12         26                                 O2391  1    2 
TITLE      Highly accurate spreading width G' of isobaric         O2391  1    3 
           analog states in 139La from 138Ba(p,p') using a        O2391  1    4 
           two-level S-matrix resonance parametrization           O2391  1    5 
AUTHOR     (K.R.Nyga,H.Paetz gen.Schieck)                         O2391  1    6 
INSTITUTE  (2GERKLN)                                              O2391  1    7 
REFERENCE  (J,NP/A,501,513,1989)                                  O2391  1    8 
FACILITY   (VDGT,2GERKLN) HVEC FN tandem Van de Graaff acceleratorO2391  1    9 
INC-SOURCE (POLIS) Lamb-shift source LASCO                        O2391  1   10 
SAMPLE     Isotopically enriched targets (purity >99%, supported  O2391  1   11 
           by 10 mu-g/cm2 carbon foils) with a barium thickness ofO2391  1   12 
           53 mu-g/cm2 for the first beam time and 151 mu-g/cm2   O2391  1   13 
           for the other two beam times.                          O2391  1   14 
DETECTOR   (SIBAR) Eight Si surface barrier detectors were mountedO2391  1   15 
           symmetrically to the left and right of the beam        O2391  1   16 
           Two further detectors were mounted at 45. degr. as     O2391  1   17 
           monitors for target thickness determination via        O2391  1   18 
           Rutherford scattering at Elab = 7 MeV.                 O2391  1   19 
           The beam polarization was monitored simultaneously     O2391  1   20 
           with a 4He polarimeter with two detectors at           O2391  1   21 
           Angle(Lab) = 112. installed in the Faraday cup behind  O2391  1   22 
           the scattering chamber.                                O2391  1   23 
METHOD     (BCINT)                                                O2391  1   24 
ADD-RES    Additionally, data set cross section * analyzing power O2391  1   25 
           are given on figs 4,5(b).                              O2391  1   26 
ERR-ANALYS (DATA-ERR) No information about source of uncertainty. O2391  1   27 
HISTORY    (20191128C) SD                                         O2391  1   28 
ENDBIB              26          0                                 O2391  1   29 
NOCOMMON             0          0                                 O2391  1   30 
ENDSUBENT           29          0                                 O2391  199999 
SUBENT        O2391002   20191128                             O073O2391  2    1 
BIB                  2          2                                 O2391  2    2 
REACTION   (56-BA-138(P,EL)56-BA-138,,DA)                         O2391  2    3 
STATUS     (CURVE) figs 2,3 from Nucl.Phys.,A501(1989)513         O2391  2    4 
ENDBIB               2          0                                 O2391  2    5 
COMMON               2          3                                 O2391  2    6 
EN-ERR-DIG ERR-DIG                                                O2391  2    7 
MEV        MB/SR                                                  O2391  2    8 
 0.0017      0.040                                                O2391  2    9 
ENDCOMMON            3          0                                 O2391  2   10 
DATA                 4        392                                 O2391  2   11 
ANG        EN         DATA       DATA-ERR                         O2391  2   12 
ADEG       MEV        MB/SR      MB/SR                            O2391  2   13 
       140.     9.4433     38.134      1.697                      O2391  2   14 
       140.     9.4850     37.105      1.697                      O2391  2   15 
       140.     9.5240     36.745      1.748                      O2391  2   16 
       140.     9.5735     35.561      1.594                      O2391  2   17 
       140.     9.6047     35.612      1.594                      O2391  2   18 
       140.     9.6463     34.686      1.491                      O2391  2   19 
       140.     9.6880     33.914      1.543                      O2391  2   20 
       140.     9.7244     32.834      1.440                      O2391  2   21 
       140.     9.7634     32.113      1.491                      O2391  2   22 
       140.     9.8025     31.496      1.388                      O2391  2   23 
       140.     9.8155     32.010      1.080                      O2391  2   24 
       140.     9.8233     32.010      1.080                      O2391  2   25 
       140.     9.8337     31.495      1.028                      O2391  2   26 
       140.     9.8416     32.010      0.874                      O2391  2   27 
       140.     9.8520     31.135      0.874                      O2391  2   28 
       140.     9.8624     31.444      0.977                      O2391  2   29 
       140.     9.8728     31.135      0.977                      O2391  2   30 
       140.     9.8806     31.083      0.977                      O2391  2   31 
       140.     9.8936     31.032      1.080                      O2391  2   32 
       140.     9.9040     30.312      1.080                      O2391  2   33 
       140.     9.9144     30.517      0.926                      O2391  2   34 
       140.     9.9249     30.569      0.977                      O2391  2   35 
       140.     9.9327     30.260      0.720                      O2391  2   36 
       140.     9.9457     30.517      0.926                      O2391  2   37 
       140.     9.9509     30.980      0.617                      O2391  2   38 
       140.     9.9613     30.517      0.977                      O2391  2   39 
       140.     9.9717     30.568      0.771                      O2391  2   40 
       140.     9.9796     31.545      0.771                      O2391  2   41 
       140.     9.9822     31.905      0.720                      O2391  2   42 
       140.     9.9900     32.059      0.874                      O2391  2   43 
       140.    10.0080     32.419      1.028                      O2391  2   44 
       140.    10.0080     31.287      0.720                      O2391  2   45 
       140.    10.0210     31.493      0.823                      O2391  2   46 
       140.    10.0340     30.258      0.977                      O2391  2   47 
       140.    10.0500     30.310      0.617                      O2391  2   48 
       140.    10.0520     29.024      0.720                      O2391  2   49 
       140.    10.0600     28.407      0.771                      O2391  2   50 
       140.    10.0710     28.972      0.874                      O2391  2   51 
       140.    10.0890     28.407      0.977                      O2391  2   52 
       140.    10.0890     27.532      0.566                      O2391  2   53 
       140.    10.1200     27.429      1.234                      O2391  2   54 
       140.    10.1540     27.120      1.234                      O2391  2   55 
       140.    10.1930     26.400      1.286                      O2391  2   56 
