ENTRY            O2309   20210906                             O084O2309  0    1 
SUBENT        O2309001   20210906                             O084O2309  1    1 
BIB                 10         34                                 O2309  1    2 
TITLE      High-resolution (p,t) reaction measurements as         O2309  1    3 
           spectroscopic tests of ab-initio theory in the mid-pf  O2309  1    4 
           shell                                                  O2309  1    5 
AUTHOR     (K.G.Leach,J.D.Holt,P.E.Garrett,S.R.Stroberg,G.C.Ball, O2309  1    6 
           P.C.Bender,V.Bildstein,A.Diaz Varela,R.Dunlop,         O2309  1    7 
           T.Faestermann, B.Hadinia,R.Hertenberger,D.S.Jamieson,  O2309  1    8 
           B.Jigmeddorj,R.Krucken,A.T.Laffoley,A.J.Radich,        O2309  1    9 
           E.T.Rand,C.E.Svensson,S.Triambak,H.-F.Wirth)           O2309  1   10 
INSTITUTE  (1USACSM,1CANGUE,1CANTMF,2GERMUN,2GERLMU,3SAFUWC)      O2309  1   11 
           (2GERGER) Excellence Cluster Universe,Garching,Germany O2309  1   12 
REFERENCE  (J,PR/C,100,014320,2019)                               O2309  1   13 
           (J,PR/C,94,011304,2016)                                O2309  1   14 
           Results for ground and excited states at 3895.0(5) keV O2309  1   15 
           and (c) 4068.8(5) keV on graph.                        O2309  1   16 
REL-REF    (O,O2265001,K.G.Leach+,J,PR/C,100,014320,2019)         O2309  1   17 
            64Zn(p,t) data compiled in entry O2165                O2309  1   18 
           (I,O2154001,K.G.Leach+,J,PR/C,87,064306,2013)          O2309  1   19 
FACILITY   (VDGT,2GERLMU) Experiment was performed at the         O2309  1   20 
           Maier-Leibnitz tandem Van de Graaff accelerator        O2309  1   21 
           laboratory of the Ludwig-Maximilians-Universitat       O2309  1   22 
           and Technische Universitat Munchen                     O2309  1   23 
SAMPLE     (24-CR-50,ENR=0.993) A 99.3% isotopically pure Cr-52   O2309  1   24 
           sample of 130 ug/cm**2 thickness on 10 ug/cm2 carbon   O2309  1   25 
           backing was used.                                      O2309  1   26 
METHOD     (BCINT)                                                O2309  1   27 
DETECTOR   (MAGSP)                                                O2309  1   28 
           (SISD)                                                 O2309  1   29 
HISTORY    (20161010C) S.B.                                       O2309  1   30 
           (20200403R) Data received from Dr. K.G.Leach           O2309  1   31 
           (20200407A) VS Reference PR/C,100,015320,2019 added    O2309  1   32 
           Subentries 002-003 combined and new data added.        O2309  1   33 
           Subentry 004 added.                                    O2309  1   34 
           (20210906A) VS EN-SEC deleted in subent 002.           O2309  1   35 
            Data replaced and ERR-ANALYS deleted in subent 003.   O2309  1   36 
ENDBIB              34          0                                 O2309  1   37 
COMMON               1          3                                 O2309  1   38 
EN                                                                O2309  1   39 
MEV                                                               O2309  1   40 
24.                                                               O2309  1   41 
ENDCOMMON            3          0                                 O2309  1   42 
ENDSUBENT           41          0                                 O2309  199999 
SUBENT        O2309002   20210906                             O084O2309  2    1 
BIB                  4          7                                 O2309  2    2 
REACTION   (24-CR-52(P,T)24-CR-50,PAR,DA)                         O2309  2    3 
ERR-ANALYS (ERR-T) The 5% systematic uncertainties combined in    O2309  2    4 
           quadrature with statistical uncertainties.             O2309  2    5 
           (ERR-SYS) 5% systamatic uncertainties                  O2309  2    6 
STATUS     (TABLE) Figs. 4 and 5 of Phys.Rev.C100(2019)015320     O2309  2    7 
HISTORY    (20200407A) VS. New data added.                        O2309  2    8 
           (20210906U) VS. EN-SEC deleted.                        O2309  2    9 
ENDBIB               7          0                                 O2309  2   10 
COMMON               1          3                                 O2309  2   11 
ERR-SYS                                                           O2309  2   12 
PER-CENT                                                          O2309  2   13 
         5.                                                       O2309  2   14 
ENDCOMMON            3          0                                 O2309  2   15 
DATA                 4        287                                 O2309  2   16 
E-LVL      ANG-CM     DATA-CM    ERR-T                            O2309  2   17 
MEV        ADEG       MU-B/SR    MU-B/SR                          O2309  2   18 
        0.0  10.1967026524.207439    327.147                      O2309  2   19 
        0.0  15.2930692689.289154    134.954                      O2309  2   20 
        0.0  20.387077 634.399222    32.4092                      O2309  2   21 
        0.0  25.477974  73.825428    4.04659                      O2309  2   22 
        0.0  30.565037 106.950712    5.87605                      O2309  2   23 
        0.0  35.647579 256.363201    13.1257                      O2309  2   24 
        0.0  40.724953 427.871178     21.993                      O2309  2   25 
        0.0  50.861855 644.404897     33.015                      O2309  2   26 
     0.7833    10.1967   132.6945     7.1026                      O2309  2   27 
     0.7833   15.29307   242.3202    12.3911                      O2309  2   28 
     0.7833   20.38708   396.7159    20.4249                      O2309  2   29 
     0.7833   25.47797   459.2964    23.5635                      O2309  2   30 
     0.7833   30.56504   417.6347    21.6896                      O2309  2   31 
     0.7833   35.64758   291.4499    14.8936                      O2309  2   32 
     0.7833   40.72495   163.6926    8.64675                      O2309  2   33 
     0.7833   50.86186   88.28171    4.87151                      O2309  2   34 
     1.8813  10.196702  19.768555    1.16631                      O2309  2   35 
     1.8813  20.387077  11.895339   0.784569                      O2309  2   36 
     1.8813  25.477974  12.665339    0.91754                      O2309  2   37 
     1.8813  30.565037  15.075731    1.08573                      O2309  2   38 
     1.8813  35.647579  18.047002    1.11565                      O2309  2   39 
     1.8813  40.724953  21.046807    1.28584                      O2309  2   40 
     1.8813  50.861855  20.492052    1.20685                      O2309  2   41 
     2.9242  40.724953  36.676230    1.89517                      O2309  2   42 
     2.9242  50.861855  40.610057    2.17807                      O2309  2   43 
     3.1612  30.565037  26.378506    1.42046                      O2309  2   44 
     3.1612  35.647579  16.444756    0.87319                      O2309  2   45 
     3.1612  50.861855  11.022902   0.668039                      O2309  2   46 
     3.3246  30.565037   3.563895   0.256992                      O2309  2   47 
     3.3246  35.647579   3.220781    0.21446                      O2309  2   48 
     3.3246  40.724953   4.689549   0.284909                      O2309  2   49 
     3.3246  50.861855   5.168115   0.362153                      O2309  2   50 
     3.5938  10.196702   0.960016   0.171405                      O2309  2   51 
     3.5938  15.293069   1.295462   0.141017                      O2309  2   52 
     3.5938  20.387077   1.036718   0.162934                      O2309  2   53 
     3.5938  25.477974   0.890404   0.178996                      O2309  2   54 
     3.5938  30.565037   1.209599   0.190602                      O2309  2   55 
     3.5938  35.647579   1.203377     0.1624                      O2309  2   56 
     3.5938  40.724953   1.569679   0.125976                      O2309  2   57 
     3.6118  10.196702  53.782746    3.25616                      O2309  2   58 
     3.6118  15.293069  50.313579    2.71481                      O2309  2   59 
     3.6118  20.387077  48.167973    2.59545                      O2309  2   60 
     3.6118  25.477974  53.354845    3.08816                      O2309  2   61 
     3.6118  30.565037  69.169694    3.56523                      O2309  2   62 
     3.6118  35.647579  77.289286    3.95102                      O2309  2   63 
     3.6118  40.724953  84.998894    4.34384                      O2309  2   64 
     3.6975  10.196702   6.554087   0.457167                      O2309  2   65 
     3.6975  15.293069   8.664169   0.511579                      O2309  2   66 
     3.6975  20.387077  10.409885   0.621687                      O2309  2   67 
     3.6975  25.477974  11.910302   0.743759                      O2309  2   68 
     3.6975  30.565037  10.342284   0.608479                      O2309  2   69 
     3.6975  35.647579   9.895174   0.569446                      O2309  2   70 
     3.6975  40.724953   8.540029   0.471889                      O2309  2   71 
     3.7919  10.196702   1.667416   0.137466                      O2309  2   72 
     3.7919  15.293069   1.794626   0.161035                      O2309  2   73 
     3.7919  20.387077   1.968976   0.197944                      O2309  2   74 
     3.7919  25.477974   2.602625   0.237702                      O2309  2   75 
