ENTRY            O2445   20190415                             O070O2445  0    1 
SUBENT        O2445001   20190415                             O070O2445  1    1 
BIB                  9         19                                 O2445  1    2 
TITLE      Experimental study of the rearrangements of valence    O2445  1    3 
           protons and neutrons amongst single-particle orbits    O2445  1    4 
           during double-beta decay in 100Mo                      O2445  1    5 
AUTHOR     (S.J.Freeman,D.K.Sharp,S.A.McAllister,B.P.Kay,         O2445  1    6 
           C.M.Deibel, T.Faestermann,R.Hertenberger,              O2445  1    7 
           A.J.Mitchell,J.P.Schiffer,S.V.Szwec,J.S.Thomas,        O2445  1    8 
           H.-F.Wirth)                                            O2445  1    9 
INSTITUTE  (2UK MAN,2UK YRK,1USAANL,1USAMSU,2GERMUN,2GERMUU,      O2445  1   10 
           2GERLMU)                                               O2445  1   11 
REFERENCE  (J,PR/C,96,054325,2017)                                O2445  1   12 
           #doi:10.1103/PhysRevC.96.054325                        O2445  1   13 
FACILITY   (VDGT,2GERLMU) MP tandem accelerator at the            O2445  1   14 
           Maier-Leibnitz Laboratorium of the Ludwig-Maximilians  O2445  1   15 
           Universitat and the Technische Universitat Munchen     O2445  1   16 
METHOD     (BCINT)                                                O2445  1   17 
DETECTOR   (MAGSP) Q3D magnetic spectrometer                      O2445  1   18 
ERR-ANALYS (ERR-S) Statistical uncertainties                      O2445  1   19 
           (ERR-SYS) Systematic uncertainties - 5%.               O2445  1   20 
HISTORY    (20190415C) VS                                         O2445  1   21 
ENDBIB              19          0                                 O2445  1   22 
COMMON               1          3                                 O2445  1   23 
ERR-SYS                                                           O2445  1   24 
PER-CENT                                                          O2445  1   25 
         5.                                                       O2445  1   26 
ENDCOMMON            3          0                                 O2445  1   27 
ENDSUBENT           26          0                                 O2445  199999 
SUBENT        O2445002   20190415                             O070O2445  2    1 
BIB                  3          7                                 O2445  2    2 
REACTION   (44-RU-102(D,P)44-RU-103,PAR,DA)                       O2445  2    3 
SAMPLE     Isotopically enriched target with nominal thicknesses  O2445  2    4 
           of 100 ug/cm2, which were evaporated onto thin carbon  O2445  2    5 
           foils with thicknesses in the range of 8-20 ug/cm2.    O2445  2    6 
           (44-RU-102,ENR=0.9938)                                 O2445  2    7 
STATUS     (TABLE) Table I. of Phy. Rev. C96 (2017) 054325        O2445  2    8 
           Supplemental material.                                 O2445  2    9 
ENDBIB               7          0                                 O2445  2   10 
COMMON               3          3                                 O2445  2   11 
EN         EN-RSL-FW  E-LVL-ERR                                   O2445  2   12 
MEV        KEV        KEV                                         O2445  2   13 
        15.         8.         3.                                 O2445  2   14 
ENDCOMMON            3          0                                 O2445  2   15 
DATA                 4        579                                 O2445  2   16 
ANG        E-LVL      DATA       ERR-S                            O2445  2   17 
ADEG       KEV        MB/SR      MB/SR                            O2445  2   18 
         8.         2.       1.06       0.01                      O2445  2   19 
         8.       134.      0.006      0.001                      O2445  2   20 
         8.       174.       7.70       0.03                      O2445  2   21 
         8.       213.      0.098      0.003                      O2445  2   22 
         8.       239.      0.087      0.003                      O2445  2   23 
         8.       297.      0.292      0.005                      O2445  2   24 
         8.       346.      0.046      0.002                      O2445  2   25 
         8.       406.      0.848      0.009                      O2445  2   26 
         8.       432.      0.257      0.005                      O2445  2   27 
         8.       480.      0.013      0.001                      O2445  2   28 
         8.       500.      0.018      0.001                      O2445  2   29 
         8.       548.      0.127      0.008                      O2445  2   30 
         8.       554.      0.341      0.009                      O2445  2   31 
         8.       562.      0.088      0.006                      O2445  2   32 
         8.       591.      0.186      0.004                      O2445  2   33 
         8.       661.      0.180      0.004                      O2445  2   34 
         8.       698.      0.040      0.002                      O2445  2   35 
         8.       737.      0.382      0.006                      O2445  2   36 
         8.       774.      0.015      0.002                      O2445  2   37 
         8.       785.      0.003      0.001                      O2445  2   38 
         8.       908.      0.553      0.007                      O2445  2   39 
         8.       927.      0.076      0.003                      O2445  2   40 
         8.      1004.      0.042      0.002                      O2445  2   41 
         8.      1056.      0.003      0.001                      O2445  2   42 
         8.      1065.     0.0016     0.0008                      O2445  2   43 
         8.      1080.      0.009      0.001                      O2445  2   44 
         8.      1107.      0.569      0.007                      O2445  2   45 
         8.      1174.      0.009      0.001                      O2445  2   46 
         8.      1184.      0.030      0.002                      O2445  2   47 
         8.      1218.      0.036      0.001                      O2445  2   48 
         8.      1236.      0.021      0.001                      O2445  2   49 
         8.      1250.      0.186      0.003                      O2445  2   50 
         8.      1270.      0.031      0.001                      O2445  2   51 
         8.      1288.      0.007      0.001                      O2445  2   52 
         8.      1300.     0.0039     0.0008                      O2445  2   53 
         8.      1312.      0.013      0.001                      O2445  2   54 
         8.      1323.      0.037      0.002                      O2445  2   55 
         8.      1347.      0.010      0.001                      O2445  2   56 
         8.      1370.      0.014      0.001                      O2445  2   57 
         8.      1487.      0.033      0.001                      O2445  2   58 
         8.      1554.      0.103      0.003                      O2445  2   59 
         8.      1600.      0.079      0.003                      O2445  2   60 
         8.      1614.      0.023      0.002                      O2445  2   61 
         8.      1644.      0.080      0.003                      O2445  2   62 
         8.      1661.      0.026      0.002                      O2445  2   63 
         8.      1699.      0.044      0.002                      O2445  2   64 
         8.      1716.      0.160      0.004                      O2445  2   65 
         8.      1729.      0.042      0.002                      O2445  2   66 
         8.      1750.      0.089      0.003                      O2445  2   67 
         8.      1779.      0.042      0.002                      O2445  2   68 
         8.      1810.      0.565      0.007                      O2445  2   69 
         8.      1835.      0.033      0.003                      O2445  2   70 
         8.      1878.      0.051      0.003                      O2445  2   71 
         8.      1907.      0.095      0.004                      O2445  2   72 
         8.      1916.      0.033      0.003                      O2445  2   73 
         8.      1928.      0.018      0.002                      O2445  2   74 
         8.      1962.      0.369      0.006                      O2445  2   75 
         8.      1999.      0.040      0.005                      O2445  2   76 
         8.      2011.      0.067      0.005                      O2445  2   77 
         8.      2016.      0.042      0.005                      O2445  2   78 
         8.      2042.      0.050      0.003                      O2445  2   79 
         8.      2058.      0.064      0.003                      O2445  2   80 
         8.      2081.      0.106      0.004                      O2445  2   81 
         8.      2102.      0.036      0.003                      O2445  2   82 
         8.      2117.      0.145      0.004                      O2445  2   83 
         8.      2137.      0.047      0.003                      O2445  2   84 
         8.      2158.      0.011      0.002                      O2445  2   85 
         8.      2170.      0.033      0.003                      O2445  2   86 
         8.      2248.      0.063      0.004                      O2445  2   87 
         8.      2318.      0.076      0.003                      O2445  2   88 
         8.      2328.      0.078      0.004                      O2445  2   89 
         8.      2353.      0.032      0.004                      O2445  2   90 
         8.      2364.      0.035      0.004                      O2445  2   91 
         8.      2373.      0.021      0.004                      O2445  2   92 
         8.      2398.      0.012      0.002                      O2445  2   93 
         8.      2410.      0.007      0.002                      O2445  2   94 
         8.      2426.      0.031      0.002                      O2445  2   95 
         8.      2438.      0.091      0.003                      O2445  2   96 
         8.      2452.      0.038      0.003                      O2445  2   97 
         8.      2468.      0.006      0.001                      O2445  2   98 
         8.      2479.      0.015      0.002                      O2445  2   99 
         8.      2488.      0.028      0.002                      O2445  2  100 
         8.      2515.      0.196      0.003                      O2445  2  101 
         8.      2532.     0.0039     0.0004                      O2445  2  102 
         8.      2549.      0.185      0.003                      O2445  2  103 
         8.      2576.      0.038      0.002                      O2445  2  104 
         8.      2626.      0.083      0.002                      O2445  2  105 
         8.      2656.      0.173      0.004                      O2445  2  106 
         8.      2669.      0.023      0.004                      O2445  2  107 
         8.      2694.      0.120      0.005                      O2445  2  108 
         8.      2723.      0.168      0.006                      O2445  2  109 
         8.      2735.      0.069      0.004                      O2445  2  110 
         8.      2763.      0.025      0.002                      O2445  2  111 
         8.      2782.      0.053      0.007                      O2445  2  112 
         8.      2808.      0.040      0.003                      O2445  2  113 
         8.      2833.      0.079      0.007                      O2445  2  114 
         8.      2847.      0.081      0.008                      O2445  2  115 
         8.      2870.      0.028      0.003                      O2445  2  116 
         8.      2879.      0.013      0.002                      O2445  2  117 
         8.      2893.      0.039      0.006                      O2445  2  118 
         8.      2904.      0.132      0.005                      O2445  2  119 
         8.      2947.      0.083      0.004                      O2445  2  120 
         8.      2960.      0.143      0.004                      O2445  2  121 
         8.      2979.      0.086      0.004                      O2445  2  122 
         8.      2996.      0.076      0.004                      O2445  2  123 
         8.      3015.      0.173      0.005                      O2445  2  124 
         8.      3041.      0.026      0.003                      O2445  2  125 
         8.      3169.      0.119      0.004                      O2445  2  126 
         8.      3204.      0.041      0.003                      O2445  2  127 
         8.      3216.      0.086      0.004                      O2445  2  128 
         8.      3232.      0.064      0.003                      O2445  2  129 
         8.      3245.      0.092      0.004                      O2445  2  130 
         8.      3278.      0.049      0.003                      O2445  2  131 
        18.         2.       4.43       0.01                      O2445  2  132 
        18.       134.     0.0236     0.0006                      O2445  2  133 
        18.       174.      0.975      0.004                      O2445  2  134 
        18.       213.      0.172      0.002                      O2445  2  135 
