ENTRY            O1244   20050225                             O023O124400000001 
SUBENT        O1244001   20050225                             O023O124400100001 
BIB                 12         23                                 O124400100002 
TITLE      Study of the Cu-63 and Cu-65 levels by the (t,a)       O124400100003 
           reaction.                                              O124400100004 
AUTHOR     (D.Bachner, R.Bock, H.H.Duhm, R.Santo, R.Stock,        O124400100005 
           S.Hinds)                                               O124400100006 
INSTITUTE  (2GERMPH)                                              O124400100007 
           (2UK ALD)                                              O124400100008 
REFERENCE  (J,NP/A,99,487,1967)                                   O124400100009 
HISTORY    (20050117C)                                            O124400100010 
           (20050224A) Corrections.                               O124400100011 
           (20050225U) Last checking has been done.               O124400100012 
SAMPLE     Self-supportin targets of about 250-mug/cm**2 were madeO124400100013 
           by evaporation of highly enriched (>99%) Zn- powder.   O124400100014 
ADD-RES    (COMP).DWBA analysis using the code JULIE.             O124400100015 
           (STRUC) Spectroscopic factors,                         O124400100016 
           energy spectra of outgoing particles from the Zn-64    O124400100017 
           and Zn-66 target were observed.                        O124400100018 
DETECTOR   (MAGSP) Broad-range multi-angle magnetic spectrograph. O124400100019 
FACILITY   (VDGT,2UK ALD)                                         O124400100020 
METHOD     (SITA)                                                 O124400100021 
STATUS     (CURVE).By CAJAD.                                      O124400100022 
ERR-ANALYS (DATA-ERR).The uncertainty is shown by authors on      O124400100023 
           figures.  An analysis is not given.                    O124400100024 
           (ANG-ERR-D).Digitizing error of angle.                 O124400100025 
ENDBIB              23          0                                 O124400100026 
COMMON               1          3                                 O124400100027 
EN                                                                O124400100028 
MEV                                                               O124400100029 
        13.                                                       O124400100030 
ENDCOMMON            3          0                                 O124400100031 
ENDSUBENT           30          0                                 O124400199999 
SUBENT        O1244002   20050225                             O023O124400200001 
BIB                  3         12                                 O124400200002 
REACTION   (30-ZN-66(T,A)29-CU-65,PAR,DA,,REL) Figure 3           O124400200003 
EN-SEC     (E-LVL,29-CU-65)                                       O124400200004 
LEVEL-PROP (29-CU-65,E-LVL=0.000,SPIN=1.5,PARITY=-1.)             O124400200005 
           (29-CU-65,E-LVL=0.771,SPIN=0.5,PARITY=-1.)             O124400200006 
           (29-CU-65,E-LVL=1.115,SPIN=2.5,PARITY=-1.)             O124400200007 
           (29-CU-65,E-LVL=1.481,SPIN=3.5,PARITY=-1.)             O124400200008 
           (29-CU-65,E-LVL=1.622,SPIN=2.5,PARITY=-1.)             O124400200009 
           (29-CU-65,E-LVL=2.654,SPIN=3.5,PARITY=-1.)             O124400200010 
           (29-CU-65,E-LVL=3.267,SPIN=1.5,PARITY=+1.)             O124400200011 
           (29-CU-65,E-LVL=3.432,SPIN=3.5,PARITY=-1.)             O124400200012 
           (29-CU-65,E-LVL=3.629,SPIN=1.5,PARITY=-1.)             O124400200013 
           (29-CU-65,E-LVL=4.528,SPIN=0.5,PARITY=+1.)             O124400200014 
ENDBIB              12          0                                 O124400200015 
COMMON               1          3                                 O124400200016 
ANG-ERR-D                                                         O124400200017 
ADEG                                                              O124400200018 
        0.4                                                       O124400200019 
ENDCOMMON            3          0                                 O124400200020 
DATA                 4        121                                 O124400200021 
E-LVL      ANG-CM     DATA-CM    DATA-ERR                         O124400200022 
MEV        ADEG       ARB-UNITS  PER-CENT                         O124400200023 
         0.       19.3      9200.        11.                      O124400200024 
         0.       28.1      4200.        12.                      O124400200025 
         0.       35.7      4900.        12.                      O124400200026 
         0.       43.6      2400.        13.                      O124400200027 
         0.       51.8      1250.         8.                      O124400200028 
         0.       59.4      1130.         9.                      O124400200029 
         0.       67.7      1040.        13.                      O124400200030 
         0.       74.1       260.        12.                      O124400200031 
         0.       81.5       270.        15.                      O124400200032 
         0.       89.4       240.        17.                      O124400200033 
         0.       97.3       133.        13.                      O124400200034 
         0.      103.8        61.        13.                      O124400200035 
         0.      111.6        96.        14.                      O124400200036 
         0.      119.5        75.        23.                      O124400200037 
      0.771       19.2      2200.        14.                      O124400200038 
      0.771       27.7      1040.         7.                      O124400200039 
      0.771       35.5      1800.        12.                      O124400200040 
      0.771       43.6       880.        11.                      O124400200041 
      0.771        52.       267.        10.                      O124400200042 
      0.771       60.3       278.         4.                      O124400200043 
      0.771       67.7       330.         9.                      O124400200044 
      0.771       73.6       117.        11.                      O124400200045 
      0.771       81.8        63.        11.                      O124400200046 
      0.771       89.8       113.        11.                      O124400200047 
      0.771        98.        54.        11.                      O124400200048 
      0.771      103.8        17.        24.                      O124400200049 
      0.771      111.8        21.        24.                      O124400200050 
      0.771      118.9        28.        21.                      O124400200051 
      1.115       19.4      2550.         7.                      O124400200052 
      1.115       27.3      1240.        13.                      O124400200053 
      1.115       35.8       660.         8.                      O124400200054 
      1.115       43.3       370.        11.                      O124400200055 
      1.115       51.6       420.        12.                      O124400200056 
      1.115       59.8       199.        13.                      O124400200057 
      1.115       67.7       118.         9.                      O124400200058 
      1.115       73.7       106.        10.                      O124400200059 
      1.115       81.9        54.        20.                      O124400200060 
      1.115       89.8        36.        17.                      O124400200061 
      1.115       97.7        30.        23.                      O124400200062 
      1.115      103.4        24.        21.                      O124400200063 
      1.115       120.        26.        19.                      O124400200064 
      1.481       20.1      6400.         9.                      O124400200065 
      1.481       27.6      2800.        11.                      O124400200066 
      1.481       35.9      2600.        12.                      O124400200067 
      1.481        44.      1190.        12.                      O124400200068 
      1.481       51.5       590.        15.                      O124400200069 
      1.481       59.6       770.        13.                      O124400200070 
      1.481       67.7       340.        12.                      O124400200071 
      1.481       73.7       223.        12.                      O124400200072 
      1.481       82.2       111.        14.                      O124400200073 
      1.481       89.2       128.        15.                      O124400200074 
      1.481       97.5       121.        14.                      O124400200075 
      1.481      103.4        52.        19.                      O124400200076 
      1.481      111.5        22.        23.                      O124400200077 
      1.481      119.5        22.        30.                      O124400200078 
      1.622       19.7      1420.        11.                      O124400200079 
      1.622       27.3       840.        11.                      O124400200080 
      1.622       35.8       400.        10.                      O124400200081 
      1.622       43.9       189.        15.                      O124400200082 
      1.622       51.6       210.        14.                      O124400200083 
      1.622       59.7        70.        17.                      O124400200084 
      1.622       67.4        81.        15.                      O124400200085 
      1.622       73.4        50.        18.                      O124400200086 
      1.622        81.        35.        23.                      O124400200087 
