ENTRY            O2173   20170404                             O061O2173  0    1 
SUBENT        O2173001   20170404                             O061O2173  1    1 
BIB                 12         27                                 O2173  1    2 
TITLE      Quantitative analysis of two-neutron correlations in   O2173  1    3 
           the 12C(18O,16O)14C reaction.                          O2173  1    4 
AUTHOR     (M.Cavallaro, F.Cappuzzello, M.Bondi, D.Carbone,       O2173  1    5 
           V.N.Garcia, A.Gargano, S.M.Lenzi, J.Lubian, C.Agodi,   O2173  1    6 
           F.Azaiez, M.De Napoli, A.Foti, S.Franchoo, R.Linares,  O2173  1    7 
           D.Nicolosi, M.Niikura, J.A.Scarpaci, S.Tropea)         O2173  1    8 
INSTITUTE  (2ITYLNS,2ITYCAT,3BZLUFF,2ITYNAP,2ITYPAD,2FR PAR)      O2173  1    9 
REFERENCE  (J,PR/C,88,054601,2013) - final results                O2173  1   10 
           (J,EPJ/CS,66,03017,2014) - results for ground state    O2173  1   11 
REL-REF    (M,,F.Cappuzzello+,J,NIM/A,638,74,2011)                O2173  1   12 
           (M,,M.Cavallaro+,J,NIM/A,648,46,2011)                  O2173  1   13 
SAMPLE     A 50 mug/cm**2 pure 12C and 99% enriched 13C targets.  O2173  1   14 
DETECTOR   (MAGSP) MAGNEX spectrometer is a large acceptance      O2173  1   15 
           magnetic spectrometer with very high requirements for  O2173  1   16 
           magnetic and optical performance.                      O2173  1   17 
FACILITY   (CYCLO,2ITYLNS)                                        O2173  1   18 
METHOD     (BCINT)                                                O2173  1   19 
ERR-ANALYS (DATA-ERR) An accuracy is about 10% in the absolute    O2173  1   20 
           cross section, mainly due to the uncertainty on the    O2173  1   21 
           target thickness.                                      O2173  1   22 
           (ERR-1,,3.) The error bars in the angular distributionsO2173  1   23 
           include both a statistical contribution and a componentO2173  1   24 
           due to the solid angle determination (about 3%)        O2173  1   25 
STATUS     (CURVE).Scanned from fig.3 of J,PR/C,88,054601,2013.   O2173  1   26 
HISTORY    (20140326C)                                            O2173  1   27 
           (20170404A) SD: E-LVL2 was added to Subents 002,003.   O2173  1   28 
           Ref. EPJ/CS,66,03017 was added.                        O2173  1   29 
ENDBIB              27          0                                 O2173  1   30 
COMMON               1          3                                 O2173  1   31 
EN                                                                O2173  1   32 
MEV                                                               O2173  1   33 
        84.                                                       O2173  1   34 
ENDCOMMON            3          0                                 O2173  1   35 
ENDSUBENT           34          0                                 O2173  199999 
SUBENT        O2173002   20170404                             O061O2173  2    1 
BIB                  4          7                                 O2173  2    2 
REACTION   (6-C-12(8-O-18,6-C-14)8-O-16,PAR,DA,RSD)               O2173  2    3 
EN-SEC     (E-LVL1,6-C-14)                                        O2173  2    4 
           (E-LVL2,8-O-16)                                        O2173  2    5 
LEVEL-PROP (6-C-14,E-LVL=0.00,SPIN=0.0,PARITY=+1.)                O2173  2    6 
           (6-C-14,E-LVL=8.32,SPIN=2.0,PARITY=+1.)                O2173  2    7 
           (6-C-14,E-LVL=10.74,SPIN=4.0,PARITY=+1.)               O2173  2    8 
HISTORY    (20170404A) SD: E-LVL -> E-LVL1, E-LVL2 was added.     O2173  2    9 
ENDBIB               7          0                                 O2173  2   10 
COMMON               1          3                                 O2173  2   11 
E-LVL2                                                            O2173  2   12 
MEV                                                               O2173  2   13 
 0.0                                                              O2173  2   14 
ENDCOMMON            3          0                                 O2173  2   15 
DATA                 4        214                                 O2173  2   16 
E-LVL1     ANG-CM     DATA-CM    DATA-ERR                         O2173  2   17 
MEV        ADEG       MB/SR      MB/SR                            O2173  2   18 
       0.00      7.951  3.790E+00  1.253E+00                      O2173  2   19 
       0.00      8.798  3.101E+00  9.399E-01                      O2173  2   20 
       0.00      9.574  1.994E+00  4.267E-01                      O2173  2   21 
       0.00     10.280  1.447E+00  3.095E-01                      O2173  2   22 
       0.00     10.774  7.612E-01  1.129E-01                      O2173  2   23 
       0.00     11.339  4.005E-01  9.809E-02                      O2173  2   24 
       0.00     12.539  1.469E-01  4.452E-02                      O2173  2   25 
       0.00     13.174  2.906E-01  7.979E-02                      O2173  2   26 
       0.00     13.950  7.312E-01  1.791E-01                      O2173  2   27 
       0.00     14.374  1.092E+00  1.986E-01                      O2173  2   28 
       0.00     15.080  1.137E+00  1.686E-01                      O2173  2   29 
       0.00     15.644  1.232E+00  1.827E-01                      O2173  2   30 
       0.00     16.138  6.483E-01  1.230E-01                      O2173  2   31 
       0.00     16.632  5.748E-01  1.230E-01                      O2173  2   32 
       0.00     17.268  3.148E-01  8.645E-02                      O2173  2   33 
       0.00     17.620  5.096E-01  8.645E-02                      O2173  2   34 
       0.00     17.903  1.356E-01  3.722E-02                      O2173  2   35 
       0.00     18.609  4.407E-02  2.351E-02                      O2173  2   36 
       0.00     18.820  1.024E-01  2.351E-02                      O2173  2   37 
       0.00     19.456  6.852E-02  2.077E-02                      O2173  2   38 
       0.00     19.738  2.950E-02  1.991E-02                      O2173  2   39 
       0.00     19.950  2.906E-01  5.282E-02                      O2173  2   40 
       0.00     20.232  5.836E-02  3.323E-02                      O2173  2   41 
       0.00     20.514  6.749E-01  2.579E-01                      O2173  2   42 
       0.00     21.220  8.937E-01  1.912E-01                      O2173  2   43 
       0.00     22.138  1.137E+00  2.433E-01                      O2173  2   44 
       0.00     23.196  1.335E+00  2.857E-01                      O2173  2   45 
       0.00     23.620  8.937E-01  2.189E-01                      O2173  2   46 
       0.00     24.114  6.749E-01  2.046E-01                      O2173  2   47 
       0.00     24.749  7.025E-01  2.046E-01                      O2173  2   48 
       0.00     24.961  4.703E-01  2.046E-01                      O2173  2   49 
       0.00     25.384  2.108E-01  5.162E-02                      O2173  2   50 
       0.00     25.737  1.024E-01  4.160E-02                      O2173  2   51 
       0.00     26.302  6.324E-02  1.917E-02                      O2173  2   52 
       0.00     26.725  3.328E-02  1.775E-02                      O2173  2   53 
       0.00     26.796  1.552E-02  1.536E-02                      O2173  2   54 
       0.00     27.290  6.075E-02  3.004E-02                      O2173  2   55 
       0.00     27.925  9.833E-02  3.997E-02                      O2173  2   56 
       0.00     28.278  2.108E-01  5.788E-02                      O2173  2   57 
       0.00     28.490  2.791E-01  9.961E-02                      O2173  2   58 
       0.00     28.984  3.277E-01  8.999E-02                      O2173  2   59 
       0.00     29.690  3.848E-01  1.272E-01                      O2173  2   60 
       0.00     30.395  4.005E-01  9.809E-02                      O2173  2   61 
       0.00     31.172  3.148E-01  9.544E-02                      O2173  2   62 
       0.00     31.807  4.005E-01  1.324E-01                      O2173  2   63 
       0.00     32.583  2.108E-01  3.832E-02                      O2173  2   64 
       0.00     32.936  1.869E-01  3.397E-02                      O2173  2   65 
       0.00     33.572  8.718E-02  2.135E-02                      O2173  2   66 
       0.00     34.207  2.513E-02  1.871E-02                      O2173  2   67 
       0.00     34.419  4.407E-02  1.871E-02                      O2173  2   68 
       0.00     34.842  4.407E-02  1.079E-02                      O2173  2   69 
       0.00     34.983  1.220E-02  1.219E-02                      O2173  2   70 
       0.00     35.548  2.414E-02  1.629E-02                      O2173  2   71 
       0.00     36.042  4.234E-02  1.163E-02                      O2173  2   72 
       0.00     36.112  7.133E-02  2.700E-02                      O2173  2   73 
       0.00     36.677  7.729E-02  2.555E-02                      O2173  2   74 
       0.00     37.242  8.718E-02  3.332E-02                      O2173  2   75 
       0.00     38.089  1.202E-01  3.300E-02                      O2173  2   76 
       0.00     38.512  1.657E-01  4.549E-02                      O2173  2   77 
       0.00     39.006  1.155E-01  5.700E-02                      O2173  2   78 
       0.00     39.712  1.657E-01  5.912E-02                      O2173  2   79 
       0.00     40.135  1.024E-01  2.190E-02                      O2173  2   80 
       0.00     40.559  4.775E-02  1.311E-02                      O2173  2   81 
       0.00     41.194  3.071E-02  8.433E-03                      O2173  2   82 
       0.00     41.759  1.126E-02  5.093E-03                      O2173  2   83 
       0.00     42.394  2.950E-02  8.101E-03                      O2173  2   84 
       0.00     42.959  1.433E-02  6.158E-03                      O2173  2   85 
       0.00     43.523  4.234E-02  1.399E-02                      O2173  2   86 
       0.00     44.300  2.723E-02  1.184E-02                      O2173  2   87 
       0.00     44.794  3.753E-02  1.031E-02                      O2173  2   88 
       0.00     45.500  5.386E-02  1.319E-02                      O2173  2   89 
       0.00     46.417  5.607E-02  1.200E-02                      O2173  2   90 
       0.00     47.193  5.386E-02  1.319E-02                      O2173  2   91 
       0.00     48.040  5.607E-02  1.200E-02                      O2173  2   92 
       0.00     48.535  4.234E-02  1.163E-02                      O2173  2   93 
       0.00     49.311  3.071E-02  8.433E-03                      O2173  2   94 
       0.00     49.946  8.504E-03  4.986E-03                      O2173  2   95 
       0.00     50.652  8.852E-03  5.606E-03                      O2173  2   96 
       8.32      9.574  4.250E+00  7.742E-01                      O2173  2   97 
       8.32     10.421  4.795E+00  5.624E-01                      O2173  2   98 
       8.32     11.409  4.606E+00  5.624E-01                      O2173  2   99 
       8.32     12.115  3.619E+00  5.624E-01                      O2173  2  100 
       8.32     12.821  3.767E+00  5.624E-01                      O2173  2  101 
       8.32     13.386  3.619E+00  5.624E-01                      O2173  2  102 
       8.32     13.880  3.619E+00  5.624E-01                      O2173  2  103 
       8.32     14.585  3.476E+00  5.624E-01                      O2173  2  104 
       8.32     15.291  3.619E+00  5.624E-01                      O2173  2  105 
       8.32     15.644  2.420E+00  5.624E-01                      O2173  2  106 
       8.32     16.421  2.233E+00  5.624E-01                      O2173  2  107 
       8.32     17.126  2.623E+00  5.624E-01                      O2173  2  108 
       8.32     17.691  2.731E+00  5.624E-01                      O2173  2  109 
       8.32     18.185  1.755E+00  5.624E-01                      O2173  2  110 
       8.32     19.173  2.061E+00  5.624E-01                      O2173  2  111 
       8.32     19.314  1.555E+00  1.660E-01                      O2173  2  112 
       8.32     19.879  1.494E+00  1.660E-01                      O2173  2  113 
       8.32     20.514  1.494E+00  1.660E-01                      O2173  2  114 
       8.32     20.797  1.222E+00  1.660E-01                      O2173  2  115 
       8.32     21.361  1.222E+00  1.660E-01                      O2173  2  116 
       8.32     21.996  1.040E+00  1.660E-01                      O2173  2  117 
       8.32     22.561  9.220E-01  1.660E-01                      O2173  2  118 
       8.32     23.408  1.040E+00  1.660E-01                      O2173  2  119 
       8.32     23.479  6.683E-01  1.660E-01                      O2173  2  120 
       8.32     24.326  5.044E-01  1.660E-01                      O2173  2  121 
       8.32     25.173  5.466E-01  1.660E-01                      O2173  2  122 
       8.32     26.019  5.466E-01  1.660E-01                      O2173  2  123 
       8.32     26.584  5.924E-01  1.660E-01                      O2173  2  124 
       8.32     27.219  5.466E-01  1.660E-01                      O2173  2  125 
       8.32     27.713  3.962E-01  1.660E-01                      O2173  2  126 
       8.32     28.137  2.990E-01  7.336E-02                      O2173  2  127 
       8.32     29.690  2.546E-01  7.336E-02                      O2173  2  128 
       8.32     31.948  1.773E-01  3.229E-02                      O2173  2  129 
       8.32     32.513  1.921E-01  4.714E-02                      O2173  2  130 
       8.32     33.148  2.349E-01  7.134E-02                      O2173  2  131 
       8.32     33.713  2.167E-01  5.963E-02                      O2173  2  132 
       8.32     34.277  2.082E-01  3.793E-02                      O2173  2  133 
       8.32     34.983  2.082E-01  5.109E-02                      O2173  2  134 
       8.32     35.477  1.186E-01  3.236E-02                      O2173  2  135 
       8.32     36.465  1.636E-01  4.500E-02                      O2173  2  136 
       8.32     37.171  9.315E-02  2.286E-02                      O2173  2  137 
       8.32     37.736  8.948E-02  3.852E-02                      O2173  2  138 
       8.32     38.442  7.931E-02  3.036E-02                      O2173  2  139 
       8.32     38.865  5.985E-02  1.817E-02                      O2173  2  140 
       8.32     39.712  3.694E-02  1.590E-02                      O2173  2  141 
       8.32     41.194  3.274E-02  1.084E-02                      O2173  2  142 
       8.32     41.759  4.516E-02  2.237E-02                      O2173  2  143 
       8.32     42.465  3.145E-02  1.620E-02                      O2173  2  144 
       8.32     43.594  3.548E-02  1.528E-02                      O2173  2  145 
       8.32     44.653  1.653E-02  6.728E-03                      O2173  2  146 
       8.32     45.006  9.411E-03  6.595E-03                      O2173  2  147 
       8.32     45.570  1.020E-02  7.267E-03                      O2173  2  148 
       8.32     45.852  1.587E-02  6.024E-03                      O2173  2  149 
       8.32     46.417  9.040E-03  3.892E-03                      O2173  2  150 
       8.32     46.982  4.750E-03  2.538E-03                      O2173  2  151 
       8.32     47.758  4.563E-03  2.438E-03                      O2173  2  152 
       8.32     48.393  8.684E-03  3.536E-03                      O2173  2  153 
       8.32     49.029  1.151E-02  4.685E-03                      O2173  2  154 
       8.32     49.593  4.563E-03  2.602E-03                      O2173  2  155 
       8.32     50.228  1.352E-02  4.832E-03                      O2173  2  156 
       8.32     50.864  4.750E-03  2.709E-03                      O2173  2  157 
       8.32     51.499  8.012E-03  3.262E-03                      O2173  2  158 
       8.32     52.064  1.298E-02  4.927E-03                      O2173  2  159 
       8.32     52.769  6.553E-03  2.821E-03                      O2173  2  160 
       8.32     53.405  2.599E-03  1.852E-03                      O2173  2  161 
       8.32     54.181  2.496E-03  1.687E-03                      O2173  2  162 
       8.32     54.816  2.599E-03  1.852E-03                      O2173  2  163 
       8.32     55.310  7.102E-03  3.658E-03                      O2173  2  164 
       8.32     55.945  4.750E-03  2.789E-03                      O2173  2  165 
      10.74      8.869  9.413E+00  4.835E+00                      O2173  2  166 
      10.74      9.786  9.413E+00  3.695E-01                      O2173  2  167 
      10.74     10.492  1.105E+01  4.337E-01                      O2173  2  168 
      10.74     10.915  8.688E+00  4.337E-01                      O2173  2  169 
      10.74     11.621  8.688E+00  4.337E-01                      O2173  2  170 
      10.74     12.398  8.020E+00  4.337E-01                      O2173  2  171 
      10.74     13.174  7.403E+00  4.337E-01                      O2173  2  172 
