ENTRY            O1662   20140205                             O052O166200000001 
SUBENT        O1662001   20140205                             O052O166200100001 
BIB                 14         45                                 O166200100002 
TITLE      Study of refractive structure in the inelastic         O166200100003 
           O-16 + O-16 scattering at the incident energies of     O166200100004 
            250 to 1120 MeV.                                      O166200100005 
AUTHOR     (Dao T.Khoa, H.G.Bohlen, W.von Oertzen, G.Bartnitzky,  O166200100006 
           A.Blazevic, F.Nuoffer, B.Gebauer, W.Mittig,            O166200100007 
           P.Roussel-Chomaz)                                      O166200100008 
INSTITUTE  (3VN STH)                                              O166200100009 
           (2GERBER)                                              O166200100010 
           (2GERTUB)                                              O166200100011 
           (2GERTUE)                                              O166200100012 
           (2FR GAN)                                              O166200100013 
REFERENCE  (J,NP/A,759,3,2005) - final results                    O166200100014 
           (J,ZP/A,346,189,1993) -prelim.res. for inelastic scat. O166200100015 
FACILITY   (CYCLO,2GERBER) Cyclotron in Hahn-Meitner-Inst., used  O166200100016 
           for energies 250-480 MeV                               O166200100017 
           (CYCLO,2FR GAN) Grand Accelerateur National d'Ions     O166200100018 
           Lourds (GANIL) used for measurements at 704 and 1120   O166200100019 
           MeV.                                                   O166200100020 
METHOD     (EDE,TOF)                                              O166200100021 
SAMPLE     For the oxygen targets different compounds have been   O166200100022 
           used: 6Li2O,  CaO and V2O5. The latter two were        O166200100023 
           prepared as self-supporting foils in  the range of     O166200100024 
           0.2-1.4 mg/cm2 thickness and the former on a           O166200100025 
           carbon-backing of 60 mu-g/cm2 thickness.               O166200100026 
DETECTOR   (SPEC) Q3D magnetic spectrograph at Hahn-Meitner-Inst. O166200100027 
           for the incident energies Elab  = 250-480 MeV and at   O166200100028 
           the SPEG  spectrograph at GANIL for the energies of    O166200100029 
           704 and 1120 MeV.                                      O166200100030 
ERR-ANALYS (DATA-ERR).The errors are mainly of statistical.       O166200100031 
REL-REF    (E,O1698001,Dao T.Khoa+,J,NP/A,672,387,2000) The       O166200100032 
           calibration and precision the angular scale is very    O166200100033 
           important the (especially for ratio sigma/sigma-Mott), O166200100034 
           the procedure described in NP/A,672,387,2000, sect.2.  O166200100035 
           (O,O1698001,Dao T.Khoa+,J,NP/A,672,387,2000) -         O166200100036 
           The inelastic scattering data which have been measured O166200100037 
           in parallel with the elastic 16O + 16O scattering at   O166200100038 
           Elab = 250, 350, 480, 704 and 1120 MeV.                O166200100039 
EN-SEC     (E-LVL,8-O-16)                                         O166200100040 
LEVEL-PROP (8-O-16,E-LVL=6.92,SPIN=2.,PARITY=+1.)                 O166200100041 
           (8-O-16,E-LVL=6.13,SPIN=3.,PARITY=-1.)                 O166200100042 
STATUS     (TABLE) Data received from  Prof.H.G.Bohlen            O166200100043 
HISTORY    (20081016C) SB                                         O166200100044 
           (20140205U) SD: Ref. on ZP/A,346 (see REFERENCE) and   O166200100045 
           NP/A,672 (see REL-REF) were added; Institute code      O166200100046 
           changed  (3VN NNR -> 3VN STH)                          O166200100047 
ENDBIB              45          0                                 O166200100048 
NOCOMMON             0          0                                 O166200100049 
ENDSUBENT           48          0                                 O166200199999 
SUBENT        O1662002   20081020                             O037O166200200001 
BIB                  1          1                                 O166200200002 
REACTION   (8-O-16(8-O-16,INL)8-O-16,PAR,DA)                      O166200200003 
ENDBIB               1          0                                 O166200200004 
NOCOMMON             0          0                                 O166200200005 
DATA                 5        689                                 O166200200006 
EN         E-LVL      ANG-CM     DATA-CM    DATA-ERR              O166200200007 
MEV        MEV        ADEG       MB/SR      MB/SR                 O166200200008 
  250.00000    6.13000    4.88000  558.40000   48.86458           O166200200009 
  250.00000    6.13000    5.39000  323.50000   28.30806           O166200200010 
  250.00000    6.13000    5.90000  186.90000    7.39410           O166200200011 
  250.00000    6.13000    6.40000   68.37000    2.00954           O166200200012 
  250.00000    6.13000    6.91000   36.02000    1.23251           O166200200013 
  250.00000    6.13000    7.42000   29.56000    1.23697           O166200200014 
  250.00000    6.13000    7.93000   47.00000    2.20998           O166200200015 
  250.00000    6.13000    8.44000   62.92000    2.79925           O166200200016 
  250.00000    6.13000    8.95000   78.11000    3.22625           O166200200017 
  250.00000    6.13000    9.46000   57.90000    2.50025           O166200200018 
  250.00000    6.13000    9.77000   54.91000    2.58422           O166200200019 
  250.00000    6.13000    9.96000   53.09000    1.48185           O166200200020 
  250.00000    6.13000   10.07000   47.77000    2.98906           O166200200021 
  250.00000    6.13000   10.37000   34.04000    0.76476           O166200200022 
  250.00000    6.13000   10.47000   29.39000    0.65145           O166200200023 
  250.00000    6.13000   10.68000   21.68000    1.40543           O166200200024 
  250.00000    6.13000   10.98000   13.44000    0.33811           O166200200025 
  250.00000    6.13000   11.29000    3.02100    0.14386           O166200200026 
  250.00000    6.13000   11.59000    5.16400    0.48134           O166200200027 
  250.00000    6.13000   11.90000   10.76000    0.57964           O166200200028 
  250.00000    6.13000   12.20000   16.20000    1.19344           O166200200029 
  250.00000    6.13000   12.51000   22.17000    0.60163           O166200200030 
  250.00000    6.13000   12.81000   24.48000    0.54662           O166200200031 
  250.00000    6.13000   13.12000   25.23000    1.90744           O166200200032 
  250.00000    6.13000   13.42000   26.43000    0.56715           O166200200033 
  250.00000    6.13000   13.73000   23.91000    2.29983           O166200200034 
  250.00000    6.13000   14.03000   19.60000    0.49702           O166200200035 
  250.00000    6.13000   14.34000   13.58000    0.27536           O166200200036 
  250.00000    6.13000   14.64000    8.71000    1.52386           O166200200037 
  250.00000    6.13000   14.95000    5.88300    0.08894           O166200200038 
  250.00000    6.13000   15.25000    3.85700    0.05508           O166200200039 
  250.00000    6.13000   15.56000    2.98700    0.04084           O166200200040 
  250.00000    6.13000   15.66000    4.16600    0.24199           O166200200041 
  250.00000    6.13000   15.86000    4.56600    0.06497           O166200200042 
  250.00000    6.13000   15.96000    5.52400    0.33990           O166200200043 
  250.00000    6.13000   16.17000    6.70400    0.09771           O166200200044 
  250.00000    6.13000   16.27000    7.51200    0.37223           O166200200045 
  250.00000    6.13000   16.47000    9.64600    0.14851           O166200200046 
  250.00000    6.13000   16.57000    9.79400    0.46209           O166200200047 
  250.00000    6.13000   16.78000   10.63000    0.16046           O166200200048 
  250.00000    6.13000   16.88000   10.94000    0.43335           O166200200049 
  250.00000    6.13000   17.08000   10.84000    0.16843           O166200200050 
  250.00000    6.13000   17.19000   10.54000    0.38509           O166200200051 
  250.00000    6.13000   17.39000    9.05500    0.14925           O166200200052 
  250.00000    6.13000   17.49000    8.79800    0.37028           O166200200053 
  250.00000    6.13000   17.69000    8.83100    0.17805           O166200200054 
  250.00000    6.13000   17.80000    7.78400    0.36858           O166200200055 
  250.00000    6.13000   18.00000    7.04900    0.13070           O166200200056 
  250.00000    6.13000   18.10000    6.64300    0.33177           O166200200057 
  250.00000    6.13000   18.30000    6.08500    0.11300           O166200200058 
  250.00000    6.13000   18.41000    5.84300    0.30529           O166200200059 
