ENTRY            O2089   20131008                             O051O208900000001 
SUBENT        O2089001   20131008                             O051O208900100001 
BIB                 11         36                                 O208900100002 
TITLE      Carbon fragmentation measurements and validation       O208900100003 
           of the GEANT4 nuclear reaction models for hadrontherapyO208900100004 
AUTHOR     (M.De Napoli, C.Agodi, G.Battistoni, A.A.Blancato,     O208900100005 
           G.A.P.Cirrone, G.Cuttone, F.Giacoppo, M.C.Morone,      O208900100006 
           D.Nicolosi, L.Pandola, V.Patera, G.Raciti, E.Rapisarda,O208900100007 
           F.Romano, D.Sardina, A.Sarti, A.Sciubba, V.Scuderi,    O208900100008 
           C.Sfienti, S.Tropea)                                   O208900100009 
INSTITUTE  (2ITYCAT)                                              O208900100010 
           (2ITYLNS)                                              O208900100011 
           (2ITYMIL)                                              O208900100012 
           (2NOROSL)                                              O208900100013 
           (2ITYROM)                                              O208900100014 
           (2ITYLGS)                                              O208900100015 
           (2BLGLEU)                                              O208900100016 
           (2GERMNZ)                                              O208900100017 
REFERENCE  (J,PMB,57,7651,2012)                                   O208900100018 
           (S,AIP-1525,558,2013)                                  O208900100019 
FACILITY   (CYCLO,2ITYLNS) LNS Superconducting Cyclotron          O208900100020 
SAMPLE     Carbon target, thickness 104 mug/cm**2, was used       O208900100021 
DETECTOR   (TELES,SI,CSICR) the detection system consisted on     O208900100022 
           two Si-CsI hodoscopes with different granularity-      O208900100023 
           81 two-fold 1*1 cm**2 of active area telescopes-       O208900100024 
           300 mum Si-detector followed by a 10 cm long CsI(Tl)   O208900100025 
           and                                                    O208900100026 
           88 three-fold 3*3 cm**2 of active area telescopes-     O208900100027 
           50 mum+300 mum Si-detector followed by a 6 cm long     O208900100028 
           CsI(Tl)                                                O208900100029 
METHOD     (TOF,EDE)                                              O208900100030 
ERR-ANALYS (DATA-ERR).The uncertainty is reported in tables-      O208900100031 
           The uncertainties in the cross sections result from theO208900100032 
           statistical errors in the fragment yields, the         O208900100033 
           uncertainties on the target thickness, the number of   O208900100034 
           incident ions and the dead-time.                       O208900100035 
STATUS     (TABLE).Tables of J,PMB,57,7651,2012                   O208900100036 
HISTORY    (20121106C)  S.B.                                      O208900100037 
           (20131008A).New reference was added                    O208900100038 
ENDBIB              36          0                                 O208900100039 
COMMON               1          3                                 O208900100040 
EN                                                                O208900100041 
MEV/A                                                             O208900100042 
62.                                                               O208900100043 
ENDCOMMON            3          0                                 O208900100044 
ENDSUBENT           43          0                                 O208900199999 
SUBENT        O2089002   20121106                             O050O208900200001 
BIB                  4          4                                 O208900200002 
REACTION   (6-C-12(6-C-12,X)2-HE-4,,DA/DE)                        O208900200003 
EN-SEC     (E,A)                                                  O208900200004 
STATUS     (TABLE).Table A1 of J,PMB,57,7651,2012                 O208900200005 
ERR-ANALYS (E-ERR).The uncertainty is reported in tables          O208900200006 
ENDBIB               4          0                                 O208900200007 
COMMON               1          3                                 O208900200008 
E-ERR                                                             O208900200009 
MEV                                                               O208900200010 
10.                                                               O208900200011 
ENDCOMMON            3          0                                 O208900200012 
DATA                 4        114                                 O208900200013 
ANG        E          DATA       DATA-ERR                         O208900200014 
ADEG       MEV        MB/SR/MEV  MB/SR/MEV                        O208900200015 
2.2        30.        5.0        0.9                              O208900200016 
2.2        50.        5.2        0.9                              O208900200017 
2.2        70.        6.5        0.9                              O208900200018 
2.2        90.        9.         1.                               O208900200019 
2.2        110.       11.        1.                               O208900200020 
2.2        130.       15.        2.                               O208900200021 
2.2        150.       24.        3.                               O208900200022 
2.2        170.       32.        3.                               O208900200023 
2.2        190.       53.        5.                               O208900200024 
2.2        210.       72.        7.                               O208900200025 
2.2        230.       93.        9.                               O208900200026 
2.2        250.       107.       10.                              O208900200027 
2.2        270.       66.        6.                               O208900200028 
2.2        290.       32.        3.                               O208900200029 
2.2        310.       17.        2.                               O208900200030 
2.2        330.       8.         1.                               O208900200031 
2.2        350.       4.4        0.8                              O208900200032 
2.2        370.       1.5        0.4                              O208900200033 
2.2        390.       0.8        0.3                              O208900200034 
4.9        30.        3.8        0.7                              O208900200035 
4.9        50.        4.4        0.7                              O208900200036 
4.9        70.        7.         1.                               O208900200037 
4.9        90.        6.4        0.8                              O208900200038 
4.9        110.       8.         1.                               O208900200039 
4.9        130.       12.        1.                               O208900200040 
4.9        150.       16.        2.                               O208900200041 
4.9        170.       24.        3.                               O208900200042 
4.9        190.       33.        3.                               O208900200043 
4.9        210.       42.        4.                               O208900200044 
4.9        230.       51.        5.                               O208900200045 
4.9        250.       49.        5.                               O208900200046 
4.9        270.       34.        3.                               O208900200047 
4.9        290.       27.        3.                               O208900200048 
4.9        310.       15.        2.                               O208900200049 
4.9        330.       5.2        0.9                              O208900200050 
4.9        350.       2.6        0.5                              O208900200051 
4.9        370.       1.1        0.3                              O208900200052 
4.9        390.       0.5        0.3                              O208900200053 
7.6        30.        3.2        0.3                              O208900200054 
7.6        50.        3.7        0.3                              O208900200055 
7.6        70.        5.0        0.4                              O208900200056 
7.6        90.        5.7        0.5                              O208900200057 
7.6        110.       7.2        0.6                              O208900200058 
7.6        130.       10.3       0.9                              O208900200059 
7.6        150.       14.        1.                               O208900200060 
7.6        170.       20.        2.                               O208900200061 
7.6        190.       27.        2.                               O208900200062 
7.6        210.       33.        3.                               O208900200063 
7.6        230.       35.        3.                               O208900200064 
7.6        250.       27.        2.                               O208900200065 
7.6        270.       16.        1.                               O208900200066 
7.6        290.       7.8        0.7                              O208900200067 
7.6        310.       3.3        0.3                              O208900200068 
7.6        330.       1.2        0.1                              O208900200069 
7.6        350.       0.43       0.06                             O208900200070 
7.6        370.       0.21       0.04                             O208900200071 
7.6        390.       0.11       0.03                             O208900200072 
14.4       30.        2.8        0.2                              O208900200073 
14.4       50.        3.6        0.3                              O208900200074 
14.4       70.        3.6        0.3                              O208900200075 
14.4       90.        4.0        0.3                              O208900200076 
14.4       110.       4.6        0.4                              O208900200077 
14.4       130.       5.9        0.5                              O208900200078 
14.4       150.       6.5        0.5                              O208900200079 
14.4       170.       7.2        0.6                              O208900200080 
14.4       190.       7.0        0.6                              O208900200081 
14.4       210.       6.1        0.5                              O208900200082 
14.4       230.       4.5        0.4                              O208900200083 
14.4       250.       2.7        0.2                              O208900200084 
14.4       270.       1.5        0.1                              O208900200085 
14.4       290.       0.73       0.07                             O208900200086 
14.4       310.       0.33       0.04                             O208900200087 
14.4       330.       0.12       0.02                             O208900200088 
14.4       350.       0.05       0.01                             O208900200089 
14.4       370.       0.017      0.005                            O208900200090 
14.4       390.       0.0022     0.0007                           O208900200091 
18.0       30.        1.8        0.2                              O208900200092 
18.0       50.        2.8        0.2                              O208900200093 
18.0       70.        2.6        0.2                              O208900200094 
18.0       90.        2.4        0.2                              O208900200095 
18.0       110.       2.5        0.2                              O208900200096 
18.0       130.       2.8        0.2                              O208900200097 
